Actual,Predicted,Model
6.301,6.12351893764143,Ridge
10.0,9.0746196224442,Ridge
10.0,9.96522114080074,Ridge
10.0,9.697932776748898,Ridge
10.0,10.572866699378611,Ridge
4.231,5.153897399580027,Ridge
6.191,6.470831194407063,Ridge
10.0,9.114128315074456,Ridge
5.282,5.780696689301325,Ridge
10.0,8.90989871933277,Ridge
5.926,5.469642753728041,Ridge
4.253,4.820113531618041,Ridge
4.138,4.190070397271692,Ridge
4.682,5.186639987459978,Ridge
5.508,7.108471476732936,Ridge
5.947,4.79129628015255,Ridge
5.429,6.045381573847054,Ridge
6.028,5.627227218784402,Ridge
10.0,10.921089091471394,Ridge
4.929,5.571394396428862,Ridge
4.798,5.237237249904169,Ridge
6.301,5.639,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,5.388,DecisionTreeRegressor
6.191,5.639,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,5.708,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,5.366,DecisionTreeRegressor
4.253,4.514,DecisionTreeRegressor
4.138,4.589,DecisionTreeRegressor
4.682,4.514,DecisionTreeRegressor
5.508,5.522,DecisionTreeRegressor
5.947,6.199,DecisionTreeRegressor
5.429,5.45,DecisionTreeRegressor
6.028,4.865,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.228,DecisionTreeRegressor
4.798,4.589,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,6.201,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,4.316,RandomForestRegressor
6.191,6.988,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.366,RandomForestRegressor
4.253,5.863,RandomForestRegressor
4.138,4.514,RandomForestRegressor
4.682,10.0,RandomForestRegressor
5.508,5.719,RandomForestRegressor
5.947,5.382,RandomForestRegressor
5.429,5.8069999999999995,RandomForestRegressor
6.028,4.514,RandomForestRegressor
10.0,4.157,RandomForestRegressor
4.929,4.816,RandomForestRegressor
4.798,5.283,RandomForestRegressor
6.301,5.708271604938272,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,5.708271604938272,AdaBoostRegressor
6.191,5.708271604938272,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.708271604938272,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.708271604938272,AdaBoostRegressor
4.253,4.73736111111111,AdaBoostRegressor
4.138,4.73736111111111,AdaBoostRegressor
4.682,5.708271604938272,AdaBoostRegressor
5.508,5.708271604938272,AdaBoostRegressor
5.947,4.73736111111111,AdaBoostRegressor
5.429,5.708271604938272,AdaBoostRegressor
6.028,5.708271604938272,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,5.708271604938272,AdaBoostRegressor
4.798,5.708271604938272,AdaBoostRegressor
6.301,5.940418430055003,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,6.642709730283546,KNeighborsRegressor
4.231,4.742459108955139,KNeighborsRegressor
6.191,5.978638896641152,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
5.282,5.783073521755398,KNeighborsRegressor
