Actual,Predicted,Model
6.301,6.211823642229005,Ridge
10.0,8.837616265353923,Ridge
10.0,9.999598800522172,Ridge
10.0,9.684793350090066,Ridge
10.0,10.720879069744992,Ridge
4.231,5.091726873267049,Ridge
6.191,6.364224045858209,Ridge
10.0,9.03228215072161,Ridge
5.282,5.8275048636924,Ridge
10.0,8.87474457578981,Ridge
5.926,5.521248480744217,Ridge
4.253,4.911802067422674,Ridge
4.138,3.8713706421197465,Ridge
4.682,4.9759421294479385,Ridge
5.508,6.866445177725693,Ridge
5.947,4.875233032412504,Ridge
5.429,6.046247195834405,Ridge
6.028,5.747335569057468,Ridge
10.0,10.626747439810915,Ridge
4.929,5.593761650984682,Ridge
4.798,5.251567119445109,Ridge
6.301,5.639,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,5.468,DecisionTreeRegressor
6.191,6.005,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,6.199,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,5.223000000000001,DecisionTreeRegressor
4.253,5.307,DecisionTreeRegressor
4.138,4.514,DecisionTreeRegressor
4.682,4.816,DecisionTreeRegressor
5.508,5.904,DecisionTreeRegressor
5.947,4.888,DecisionTreeRegressor
5.429,5.374,DecisionTreeRegressor
6.028,5.223000000000001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.87,DecisionTreeRegressor
4.798,5.904,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,6.642,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,5.59,RandomForestRegressor
6.191,5.951,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,4.977,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,4.977,RandomForestRegressor
4.253,4.807,RandomForestRegressor
4.138,4.807,RandomForestRegressor
4.682,4.514,RandomForestRegressor
5.508,5.719,RandomForestRegressor
5.947,4.977,RandomForestRegressor
5.429,5.863,RandomForestRegressor
6.028,5.8095,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,4.977,RandomForestRegressor
4.798,5.59,RandomForestRegressor
6.301,5.8278750000000015,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,5.413294117647058,AdaBoostRegressor
6.191,5.8278750000000015,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.413294117647058,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.8278750000000015,AdaBoostRegressor
4.253,4.766852941176469,AdaBoostRegressor
4.138,4.766852941176469,AdaBoostRegressor
4.682,4.766852941176469,AdaBoostRegressor
5.508,5.8278750000000015,AdaBoostRegressor
5.947,5.413294117647058,AdaBoostRegressor
5.429,5.413294117647058,AdaBoostRegressor
6.028,5.8278750000000015,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,5.413294117647058,AdaBoostRegressor
4.798,4.766852941176469,AdaBoostRegressor
6.301,6.032907105225857,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,6.1711651949785225,KNeighborsRegressor
4.231,4.742459108955139,KNeighborsRegressor
6.191,6.310934120559443,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
5.282,5.7710184333310535,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.926,5.78933777567622,KNeighborsRegressor
4.253,5.034595036601035,KNeighborsRegressor
4.138,4.874580362469184,KNeighborsRegressor
4.682,5.318568683075199,KNeighborsRegressor
5.508,5.653424128372454,KNeighborsRegressor
5.947,5.156010091332518,KNeighborsRegressor
5.429,5.383376427759531,KNeighborsRegressor
6.028,5.870459569349996,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
4.929,5.090310303681193,KNeighborsRegressor
4.798,5.8644424083422795,KNeighborsRegressor
6.301,5.915950385150228,MLPRegressor
10.0,8.768754005313781,MLPRegressor
10.0,10.097424812350521,MLPRegressor
10.0,9.736340862616423,MLPRegressor
10.0,11.496872476974119,MLPRegressor
4.231,4.493021751182509,MLPRegressor
6.191,6.505327766285645,MLPRegressor
10.0,8.368370552502178,MLPRegressor
5.282,5.914087842561113,MLPRegressor
10.0,8.009726152651032,MLPRegressor
5.926,5.416477058841317,MLPRegressor
4.253,4.33049708419172,MLPRegressor
4.138,3.2531055615185496,MLPRegressor
4.682,5.596010040484656,MLPRegressor
5.508,7.309663698936082,MLPRegressor
5.947,4.639269242771284,MLPRegressor
5.429,5.954194426505602,MLPRegressor
6.028,5.7560880241687915,MLPRegressor
10.0,11.004549394012024,MLPRegressor
4.929,5.6885475772738765,MLPRegressor
4.798,4.436199139663823,MLPRegressor
6.301,9.139815214099773,ElasticNet
10.0,8.487420731816526,ElasticNet
10.0,9.26485663156635,ElasticNet
10.0,10.125110900983406,ElasticNet
10.0,8.535025896914195,ElasticNet
4.231,10.7547887711421,ElasticNet
6.191,6.720821369253993,ElasticNet
10.0,10.470947369082113,ElasticNet
5.282,7.12711566885172,ElasticNet
10.0,9.036191788793406,ElasticNet
5.926,7.073829122570681,ElasticNet
4.253,6.378136484428842,ElasticNet
4.138,6.706698097703823,ElasticNet
4.682,7.133568598013607,ElasticNet
5.508,7.263963902366099,ElasticNet
5.947,7.082233715082224,ElasticNet
5.429,8.132452542231793,ElasticNet
6.028,6.4609399859366095,ElasticNet
10.0,11.400369508885388,ElasticNet
4.929,6.373909241579628,ElasticNet
4.798,7.8354510450263675,ElasticNet
6.301,6.085310857903098,SGDRegressor
10.0,8.87238478253904,SGDRegressor
10.0,10.185619352409287,SGDRegressor
10.0,9.934636204657675,SGDRegressor
10.0,10.55843680510754,SGDRegressor
4.231,5.101495921043218,SGDRegressor
6.191,5.464035032428686,SGDRegressor
10.0,9.032269814569823,SGDRegressor
5.282,6.166583213770106,SGDRegressor
10.0,9.189972059788479,SGDRegressor
5.926,5.163416087476779,SGDRegressor
4.253,4.765493240837947,SGDRegressor
4.138,4.440705806135465,SGDRegressor
4.682,4.800664296233917,SGDRegressor
5.508,7.196062961426907,SGDRegressor
5.947,4.733525621757972,SGDRegressor
5.429,5.776026351130667,SGDRegressor
6.028,6.133168055277891,SGDRegressor
10.0,10.821477831941005,SGDRegressor
4.929,5.293558344792196,SGDRegressor
4.798,5.3289157897937995,SGDRegressor
6.301,6.201358151034431,BayesianRidge
10.0,8.877624362540178,BayesianRidge
10.0,10.024922380294875,BayesianRidge
10.0,9.680999788966632,BayesianRidge
10.0,10.632704783690428,BayesianRidge
4.231,5.1087946712926655,BayesianRidge
6.191,6.373886624699445,BayesianRidge
10.0,9.122614677945444,BayesianRidge
