Actual,Predicted,Model
6.301,6.171066486543334,Ridge
10.0,8.822901443780342,Ridge
10.0,9.970929672690055,Ridge
10.0,9.711128688608282,Ridge
10.0,10.59408917887739,Ridge
4.231,5.140332049896165,Ridge
6.191,6.578922338312974,Ridge
10.0,9.07926644945366,Ridge
5.282,5.834547355626472,Ridge
10.0,8.927730872937339,Ridge
5.926,5.526313161624568,Ridge
4.253,4.908740232705576,Ridge
4.138,3.950374410121473,Ridge
4.682,4.931196250990154,Ridge
5.508,6.865452634496312,Ridge
5.947,4.779174089274848,Ridge
5.429,6.035364814437358,Ridge
6.028,5.68322641310775,Ridge
10.0,10.641349739209325,Ridge
4.929,5.543106373885765,Ridge
4.798,5.261137498758882,Ridge
6.301,5.574,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,787.732,DecisionTreeRegressor
6.191,5.9399999999999995,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,5.1850000000000005,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,5.7620000000000005,DecisionTreeRegressor
4.253,4.514,DecisionTreeRegressor
4.138,4.331,DecisionTreeRegressor
4.682,4.662000000000001,DecisionTreeRegressor
5.508,10.0,DecisionTreeRegressor
5.947,5.226,DecisionTreeRegressor
5.429,5.807,DecisionTreeRegressor
6.028,5.7620000000000005,DecisionTreeRegressor
10.0,5.1025,DecisionTreeRegressor
4.929,10.0,DecisionTreeRegressor
4.798,4.726,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,5.954,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,787.732,RandomForestRegressor
6.191,5.87,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,5.031,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.954,RandomForestRegressor
4.253,4.977,RandomForestRegressor
4.138,4.816,RandomForestRegressor
4.682,5.712,RandomForestRegressor
5.508,5.801,RandomForestRegressor
5.947,5.379,RandomForestRegressor
5.429,4.977,RandomForestRegressor
6.028,5.108,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,4.218,RandomForestRegressor
4.798,5.502,RandomForestRegressor
6.301,5.795835820895523,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,4.909,AdaBoostRegressor
6.191,5.795835820895523,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,4.909,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.795835820895523,AdaBoostRegressor
4.253,4.909,AdaBoostRegressor
4.138,4.909,AdaBoostRegressor
4.682,4.909,AdaBoostRegressor
5.508,5.795835820895523,AdaBoostRegressor
5.947,4.909,AdaBoostRegressor
5.429,4.909,AdaBoostRegressor
6.028,5.795835820895523,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,4.909,AdaBoostRegressor
4.798,4.909,AdaBoostRegressor
6.301,5.866489020405138,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,6.5752158754917565,KNeighborsRegressor
4.231,4.742459108955139,KNeighborsRegressor
6.191,5.83751247421312,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
5.282,5.7710184333310535,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.926,5.752158296232229,KNeighborsRegressor
4.253,5.034595036601035,KNeighborsRegressor
