Actual,Predicted,Model
6.301,7.289604447383546,Ridge
10.0,8.886497364238073,Ridge
10.0,10.590082557184198,Ridge
10.0,9.421420705278397,Ridge
10.0,10.16820266521999,Ridge
4.231,5.463209942117636,Ridge
6.191,7.4285687510926905,Ridge
10.0,9.35180504344194,Ridge
5.282,5.549468779395277,Ridge
10.0,8.524307665228532,Ridge
5.926,5.045748359316154,Ridge
4.253,4.216396982286451,Ridge
4.138,4.230859439476875,Ridge
4.682,5.149832569892016,Ridge
5.508,7.155185424480582,Ridge
5.947,4.514032991301151,Ridge
5.429,5.722821530325122,Ridge
6.028,5.009802634159775,Ridge
10.0,10.087953763629422,Ridge
4.929,4.826918209674613,Ridge
4.798,4.849851180050022,Ridge
6.301,5.639,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,5.779,DecisionTreeRegressor
4.231,4.783,DecisionTreeRegressor
6.191,5.604,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,5.708,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,5.764,DecisionTreeRegressor
4.253,5.313,DecisionTreeRegressor
4.138,5.074,DecisionTreeRegressor
4.682,4.514,DecisionTreeRegressor
5.508,4.953,DecisionTreeRegressor
5.947,6.188,DecisionTreeRegressor
5.429,6.642,DecisionTreeRegressor
6.028,3.855,DecisionTreeRegressor
10.0,5.468,DecisionTreeRegressor
4.929,10.0,DecisionTreeRegressor
4.798,5.763,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,5.963,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,5.517,RandomForestRegressor
6.191,6.071,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,5.031,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,6.988,RandomForestRegressor
4.253,6.176,RandomForestRegressor
4.138,4.88,RandomForestRegressor
4.682,4.514,RandomForestRegressor
5.508,5.479,RandomForestRegressor
5.947,5.501,RandomForestRegressor
5.429,5.904,RandomForestRegressor
6.028,5.764,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,5.517,RandomForestRegressor
4.798,5.517,RandomForestRegressor
6.301,5.773866666666668,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,5.139387096774193,AdaBoostRegressor
6.191,6.035654320987651,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.714434782608697,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.9623939393939365,AdaBoostRegressor
4.253,4.516214285714286,AdaBoostRegressor
4.138,4.818338461538462,AdaBoostRegressor
4.682,5.139387096774193,AdaBoostRegressor
5.508,5.555821428571428,AdaBoostRegressor
5.947,5.139387096774193,AdaBoostRegressor
5.429,5.555821428571428,AdaBoostRegressor
6.028,5.667999999999999,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,5.432138888888889,AdaBoostRegressor
4.798,5.240578947368425,AdaBoostRegressor
6.301,6.0329369506640385,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,6.642582877290857,KNeighborsRegressor
4.231,4.742462113809421,KNeighborsRegressor
6.191,6.069964079823751,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.282,5.771012585214208,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.926,5.789338184088261,KNeighborsRegressor
4.253,5.034617613896999,KNeighborsRegressor
4.138,4.874583889197852,KNeighborsRegressor
4.682,5.318565642259267,KNeighborsRegressor
5.508,6.03558657162411,KNeighborsRegressor
5.947,5.156010300117092,KNeighborsRegressor
5.429,5.34859422135473,KNeighborsRegressor
6.028,5.870458360198424,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.929,5.090300228021314,KNeighborsRegressor
4.798,5.864450339118154,KNeighborsRegressor
6.301,7.604252135032909,MLPRegressor
10.0,8.918873131224784,MLPRegressor
10.0,10.778223558099633,MLPRegressor
10.0,9.345537876959497,MLPRegressor
10.0,10.03639944017218,MLPRegressor
4.231,5.536215767676288,MLPRegressor
6.191,7.730158990612455,MLPRegressor
10.0,9.433812201721532,MLPRegressor
5.282,5.451596844924547,MLPRegressor
10.0,8.421697914992366,MLPRegressor
5.926,4.902351605846307,MLPRegressor
4.253,4.015102037263733,MLPRegressor
4.138,4.325299550625593,MLPRegressor
4.682,5.177125516733249,MLPRegressor
5.508,7.246947738158101,MLPRegressor
5.947,4.37461965372522,MLPRegressor
5.429,5.631188431692675,MLPRegressor
6.028,4.74694981045946,MLPRegressor
10.0,9.913891805879311,MLPRegressor
4.929,4.590921640853568,MLPRegressor
4.798,4.723073250536093,MLPRegressor
6.301,8.659324064041543,ElasticNet
10.0,8.706923327622809,ElasticNet
10.0,9.071432849386929,ElasticNet
10.0,8.446485738368729,ElasticNet
10.0,7.095912692197963,ElasticNet
4.231,8.163651040949064,ElasticNet
6.191,7.464292310444559,ElasticNet
10.0,10.154434037919094,ElasticNet
5.282,6.227377348501047,ElasticNet
10.0,9.058971650842103,ElasticNet
5.926,6.941584092493003,ElasticNet
4.253,5.406000973647035,ElasticNet
4.138,6.475204578727568,ElasticNet
4.682,6.529274769435115,ElasticNet
5.508,8.178670563192076,ElasticNet
5.947,6.540116070169361,ElasticNet
5.429,6.221547827508557,ElasticNet
6.028,6.789591548426223,ElasticNet
10.0,9.004199474128516,ElasticNet
4.929,5.772047651328677,ElasticNet
4.798,6.922705115460286,ElasticNet
6.301,8.124110442082623,SGDRegressor
10.0,9.114061092090786,SGDRegressor
10.0,10.62896493420029,SGDRegressor
10.0,9.535252362196843,SGDRegressor
10.0,10.636406096194387,SGDRegressor
4.231,5.014106415715692,SGDRegressor
6.191,8.148674727360692,SGDRegressor
