Actual,Predicted,Model
6.301,6.154226231068799,Ridge
10.0,8.872634623393417,Ridge
10.0,9.999931576725174,Ridge
10.0,9.67380714756201,Ridge
10.0,10.65219260131954,Ridge
4.231,5.106963122704485,Ridge
6.191,6.528210194500394,Ridge
10.0,9.129116549380218,Ridge
5.282,5.853561588483181,Ridge
10.0,8.98179969975868,Ridge
5.926,5.556024425515621,Ridge
4.253,4.882173340444726,Ridge
4.138,3.9767123991541125,Ridge
4.682,4.793747381425462,Ridge
5.508,6.780253380228397,Ridge
5.947,4.84538621381801,Ridge
5.429,5.963627751987882,Ridge
6.028,5.725999187242459,Ridge
10.0,10.624929899100437,Ridge
4.929,5.511524027541543,Ridge
4.798,5.309100590881328,Ridge
6.301,5.679,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,10.0,DecisionTreeRegressor
6.191,6.031000000000001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,5.708,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,6.3149999999999995,DecisionTreeRegressor
4.253,4.226,DecisionTreeRegressor
4.138,4.9195,DecisionTreeRegressor
4.682,6.031000000000001,DecisionTreeRegressor
5.508,10.0,DecisionTreeRegressor
5.947,5.501,DecisionTreeRegressor
5.429,5.368499999999999,DecisionTreeRegressor
6.028,5.87,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,4.4915,DecisionTreeRegressor
4.798,5.9515,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,6.188,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,5.388,RandomForestRegressor
6.191,6.071,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,5.031,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.971,RandomForestRegressor
4.253,4.208,RandomForestRegressor
4.138,4.589,RandomForestRegressor
4.682,4.514,RandomForestRegressor
5.508,5.687,RandomForestRegressor
5.947,4.783,RandomForestRegressor
5.429,5.712,RandomForestRegressor
6.028,5.971,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,4.589,RandomForestRegressor
4.798,5.678,RandomForestRegressor
6.301,5.713779069767441,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,4.666888888888889,AdaBoostRegressor
6.191,5.713779069767441,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.713779069767441,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.713779069767441,AdaBoostRegressor
4.253,4.666888888888889,AdaBoostRegressor
4.138,4.666888888888889,AdaBoostRegressor
4.682,4.666888888888889,AdaBoostRegressor
5.508,5.713779069767441,AdaBoostRegressor
5.947,4.666888888888889,AdaBoostRegressor
5.429,4.666888888888889,AdaBoostRegressor
6.028,5.713779069767441,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,4.666888888888889,AdaBoostRegressor
4.798,5.713779069767441,AdaBoostRegressor
6.301,6.084149852972536,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,6.094672626158553,KNeighborsRegressor
4.231,4.724603871690862,KNeighborsRegressor
6.191,5.912333635843601,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
5.282,5.7710184333310535,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.926,5.78933777567622,KNeighborsRegressor
4.253,5.034595036601035,KNeighborsRegressor
4.138,4.874580362469184,KNeighborsRegressor
4.682,5.283241391946123,KNeighborsRegressor
5.508,6.067889008871973,KNeighborsRegressor
5.947,5.156010091332518,KNeighborsRegressor
5.429,5.379316573822958,KNeighborsRegressor
6.028,5.891824060765626,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.929,5.090310303681193,KNeighborsRegressor
4.798,5.8644424083422795,KNeighborsRegressor
6.301,6.130721969602257,MLPRegressor
10.0,8.907495531341288,MLPRegressor
10.0,10.01038041943997,MLPRegressor
10.0,9.65842636036121,MLPRegressor
10.0,10.632303122674507,MLPRegressor
4.231,5.068657055629248,MLPRegressor
6.191,6.5680546314209955,MLPRegressor
10.0,9.161263549570945,MLPRegressor
5.282,5.874749484450065,MLPRegressor
10.0,9.015248419036078,MLPRegressor
5.926,5.55684541631602,MLPRegressor
4.253,4.880165239595909,MLPRegressor
4.138,3.9822083674529156,MLPRegressor
4.682,4.730783779888233,MLPRegressor
5.508,6.794246666024819,MLPRegressor
5.947,4.826114845417838,MLPRegressor
5.429,5.940391373661142,MLPRegressor
6.028,5.716992613154286,MLPRegressor
10.0,10.62059939655452,MLPRegressor
4.929,5.528226956090167,MLPRegressor
4.798,5.316060461054295,MLPRegressor
6.301,9.14197681248091,ElasticNet
10.0,8.487130147828555,ElasticNet
10.0,9.264957769137558,ElasticNet
10.0,10.125548668748818,ElasticNet
10.0,8.53606434756568,ElasticNet
4.231,10.753837713874043,ElasticNet
6.191,6.721395467210152,ElasticNet
10.0,10.471456168307123,ElasticNet
5.282,7.126113451636538,ElasticNet
10.0,9.0361325057204,ElasticNet
5.926,7.073513859082774,ElasticNet
4.253,6.377277642346742,ElasticNet
4.138,6.704275516728487,ElasticNet
4.682,7.132063868510249,ElasticNet
5.508,7.265434680435264,ElasticNet
5.947,7.083855884774333,ElasticNet
5.429,8.130589130589096,ElasticNet
6.028,6.462540570456248,ElasticNet
10.0,11.399546176205549,ElasticNet
4.929,6.372055025857523,ElasticNet
4.798,7.835353619507673,ElasticNet
6.301,6.2779341238432105,SGDRegressor
10.0,8.892461382567415,SGDRegressor
10.0,9.937417022496028,SGDRegressor
10.0,9.767019102983163,SGDRegressor
10.0,10.582221764258206,SGDRegressor
4.231,5.151455900713772,SGDRegressor
6.191,6.537766635455231,SGDRegressor
10.0,9.034360742865035,SGDRegressor
5.282,6.075428596430728,SGDRegressor
10.0,8.872228141320447,SGDRegressor
5.926,5.489824503642648,SGDRegressor
4.253,4.720228531428514,SGDRegressor
4.138,3.9455883005974286,SGDRegressor
4.682,4.942940657170879,SGDRegressor
5.508,7.192974862197826,SGDRegressor
5.947,4.695996290561957,SGDRegressor
5.429,5.733471535487591,SGDRegressor
6.028,5.99566358971619,SGDRegressor
10.0,10.661606794926094,SGDRegressor
4.929,5.639278302372266,SGDRegressor
4.798,5.373838950661727,SGDRegressor
6.301,6.145656396215356,BayesianRidge
10.0,8.889364718463883,BayesianRidge
10.0,10.004213176209069,BayesianRidge
10.0,9.666324472876896,BayesianRidge
10.0,10.640883650453155,BayesianRidge
4.231,5.079044522033536,BayesianRidge
6.191,6.532563367283077,BayesianRidge
10.0,9.138823627009206,BayesianRidge
5.282,5.865272340447523,BayesianRidge
10.0,9.001324399730704,BayesianRidge
5.926,5.554977598138493,BayesianRidge
4.253,4.883556541133977,BayesianRidge
4.138,3.9630915307551247,BayesianRidge
4.682,4.770644518983492,BayesianRidge
5.508,6.779516968994438,BayesianRidge
5.947,4.835052018392632,BayesianRidge
5.429,5.941202086225512,BayesianRidge
6.028,5.727485524155228,BayesianRidge
10.0,10.614605083809453,BayesianRidge
4.929,5.50697437930836,BayesianRidge
4.798,5.331817949963425,BayesianRidge
6.301,6.145380038884468,KernelRidge
10.0,8.889765274594538,KernelRidge
10.0,10.00435361819109,KernelRidge
10.0,9.665991000947542,KernelRidge
10.0,10.6410813202383,KernelRidge
4.231,5.077557738637552,KernelRidge
6.191,6.5328311116900295,KernelRidge
10.0,9.138855174649507,KernelRidge
5.282,5.865482396678999,KernelRidge
10.0,9.001782016013749,KernelRidge
5.926,5.554950949270278,KernelRidge
4.253,4.883394278702326,KernelRidge
4.138,3.962329665373545,KernelRidge
4.682,4.769768833415583,KernelRidge
