Actual,Predicted,Model
6.301,6.189908908565605,Ridge
10.0,8.873839132130348,Ridge
10.0,10.01701753675745,Ridge
10.0,9.68617165039787,Ridge
10.0,10.620854843074003,Ridge
4.231,5.132038891047276,Ridge
6.191,6.493446080474361,Ridge
10.0,9.136669398588946,Ridge
5.282,5.864017126324321,Ridge
10.0,8.987133450044004,Ridge
5.926,5.548113683953283,Ridge
4.253,4.8912539991925055,Ridge
4.138,3.964295985182634,Ridge
4.682,4.793266003956759,Ridge
5.508,6.8052991552903235,Ridge
5.947,4.8417370518005605,Ridge
5.429,5.988821243104449,Ridge
6.028,5.74357001849244,Ridge
10.0,10.614316974267416,Ridge
4.929,5.507382196235371,Ridge
4.798,5.331155835318945,Ridge
6.301,5.934,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,5.764,DecisionTreeRegressor
6.191,6.376,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,5.133,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,5.763,DecisionTreeRegressor
4.253,5.128,DecisionTreeRegressor
4.138,5.031,DecisionTreeRegressor
4.682,4.514,DecisionTreeRegressor
5.508,5.719,DecisionTreeRegressor
5.947,10.0,DecisionTreeRegressor
5.429,5.128,DecisionTreeRegressor
6.028,4.359999999999999,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.764,DecisionTreeRegressor
4.798,5.951,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,5.6874,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,4.8986,RandomForestRegressor
6.191,6.139571428571428,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,5.355333333333333,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.5189,RandomForestRegressor
4.253,4.8986,RandomForestRegressor
4.138,4.846000000000001,RandomForestRegressor
4.682,4.8986,RandomForestRegressor
5.508,5.4879999999999995,RandomForestRegressor
5.947,8.440666666666667,RandomForestRegressor
5.429,4.846000000000001,RandomForestRegressor
6.028,5.031,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,5.222,RandomForestRegressor
4.798,5.946666666666666,RandomForestRegressor
6.301,5.673435294117646,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,4.785874999999999,AdaBoostRegressor
6.191,5.673435294117646,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.673435294117646,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.673435294117646,AdaBoostRegressor
4.253,4.785874999999999,AdaBoostRegressor
4.138,4.785874999999999,AdaBoostRegressor
4.682,4.785874999999999,AdaBoostRegressor
5.508,5.673435294117646,AdaBoostRegressor
5.947,4.785874999999999,AdaBoostRegressor
5.429,4.785874999999999,AdaBoostRegressor
6.028,5.673435294117646,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,4.785874999999999,AdaBoostRegressor
4.798,5.673435294117646,AdaBoostRegressor
