Actual,Predicted,Model
10.0,9.326241768133334,Ridge
6.667,5.726611338206567,Ridge
1.238,1.4551207088648397,Ridge
0.833,1.8432072541886573,Ridge
1.667,2.4419995439620528,Ridge
10.0,8.290653194661004,Ridge
6.667,8.199443544039614,Ridge
1.032,1.9302423861345757,Ridge
4.444,4.4172092259895,Ridge
2.083,2.3491121271341826,Ridge
10.0,10.501781736724737,Ridge
5.0,4.078552889880777,Ridge
6.944,5.488242548203693,Ridge
6.667,6.572504169954902,Ridge
3.333,3.0414228520744273,Ridge
3.611,3.7762490108920126,Ridge
6.667,8.062406824563386,Ridge
5.0,4.289258634330355,Ridge
2.143,2.6570414818928216,Ridge
10.0,19.7280114259815,Ridge
4.167,3.813840059702536,Ridge
10.0,4.167,DecisionTreeRegressor
6.667,8.3335,DecisionTreeRegressor
1.238,1.238,DecisionTreeRegressor
0.833,0.8329999999999999,DecisionTreeRegressor
1.667,1.6670000000000003,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
1.032,1.032,DecisionTreeRegressor
4.444,2.976,DecisionTreeRegressor
2.083,2.113,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.0,4.167,DecisionTreeRegressor
6.944,5.417,DecisionTreeRegressor
6.667,6.666999999999999,DecisionTreeRegressor
3.333,3.333,DecisionTreeRegressor
3.611,10.0,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
5.0,5.0,DecisionTreeRegressor
2.143,1.667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,7.599,DecisionTreeRegressor
10.0,7.646778413675871,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.5158121671564175,GradientBoostingRegressor
0.833,3.5158121671564175,GradientBoostingRegressor
1.667,3.5158121671564175,GradientBoostingRegressor
10.0,6.353696418809474,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.5158121671564175,GradientBoostingRegressor
4.444,4.724524608851054,GradientBoostingRegressor
2.083,3.5158121671564175,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
6.944,4.787223604227933,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.724524608851054,GradientBoostingRegressor
3.611,3.5158121671564175,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
2.143,3.5158121671564175,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.724524608851054,GradientBoostingRegressor
10.0,7.691799999999996,RandomForestRegressor
6.667,7.881919999999995,RandomForestRegressor
1.238,1.2175399999999996,RandomForestRegressor
0.833,0.8329999999999991,RandomForestRegressor
1.667,1.7181800000000012,RandomForestRegressor
10.0,6.3904799999999975,RandomForestRegressor
6.667,7.298919999999997,RandomForestRegressor
1.032,1.1065399999999987,RandomForestRegressor
4.444,4.360319999999999,RandomForestRegressor
2.083,2.247339999999999,RandomForestRegressor
10.0,9.037379999999997,RandomForestRegressor
5.0,4.850140000000001,RandomForestRegressor
6.944,6.150319999999999,RandomForestRegressor
6.667,6.769299999999995,RandomForestRegressor
3.333,3.1831599999999995,RandomForestRegressor
3.611,4.326639999999999,RandomForestRegressor
6.667,7.073959999999996,RandomForestRegressor
5.0,5.01668,RandomForestRegressor
2.143,2.5485400000000005,RandomForestRegressor
10.0,9.42264,RandomForestRegressor
4.167,4.8871600000000015,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.8675555555555565,AdaBoostRegressor
1.238,2.4566881720430103,AdaBoostRegressor
0.833,2.34434,AdaBoostRegressor
1.667,2.706510869565217,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
1.032,2.4566881720430103,AdaBoostRegressor
4.444,5.474773584905658,AdaBoostRegressor
2.083,2.4566881720430103,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.0,5.738542372881355,AdaBoostRegressor
6.944,5.733108695652168,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
3.333,3.165999999999999,AdaBoostRegressor
3.611,2.9745517241379322,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
5.0,5.738542372881355,AdaBoostRegressor
2.143,2.706510869565217,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.167,5.588574468085107,AdaBoostRegressor
10.0,10.0,KNeighborsRegressor
6.667,8.231289432984655,KNeighborsRegressor
1.238,1.238,KNeighborsRegressor
0.833,0.8330000000000001,KNeighborsRegressor
1.667,1.667,KNeighborsRegressor
10.0,3.700226965056934,KNeighborsRegressor
6.667,7.615300433066391,KNeighborsRegressor
1.032,1.032,KNeighborsRegressor
