Actual,Predicted,Model
10.0,9.623598271453375,Ridge
6.667,5.815509130356766,Ridge
1.238,1.5433732734263668,Ridge
0.833,1.8414253115901462,Ridge
1.667,2.4089151482196014,Ridge
10.0,8.155487614615911,Ridge
6.667,8.172231311868591,Ridge
1.032,1.951314020433034,Ridge
4.444,4.566235131844899,Ridge
2.083,2.355836816186493,Ridge
10.0,10.432152457216187,Ridge
5.0,4.021192672453536,Ridge
6.944,5.444798642999088,Ridge
6.667,6.467524864119938,Ridge
3.333,3.116404078584058,Ridge
3.611,3.635454267131105,Ridge
6.667,7.565992941765117,Ridge
5.0,4.290630470919211,Ridge
2.143,2.6017994538498077,Ridge
10.0,17.95496309644603,Ridge
4.167,3.8407265059390556,Ridge
10.0,4.167,DecisionTreeRegressor
6.667,5.937749999999999,DecisionTreeRegressor
1.238,1.238,DecisionTreeRegressor
0.833,1.1455000000000002,DecisionTreeRegressor
1.667,1.667,DecisionTreeRegressor
10.0,4.8613333333333335,DecisionTreeRegressor
6.667,6.250333333333333,DecisionTreeRegressor
1.032,1.032,DecisionTreeRegressor
4.444,4.028,DecisionTreeRegressor
2.083,1.1455000000000002,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.0,4.167,DecisionTreeRegressor
6.944,6.984,DecisionTreeRegressor
6.667,7.778,DecisionTreeRegressor
3.333,3.9585,DecisionTreeRegressor
3.611,3.99325,DecisionTreeRegressor
6.667,4.854333333333333,DecisionTreeRegressor
5.0,5.0,DecisionTreeRegressor
2.143,2.5,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,7.133,DecisionTreeRegressor
10.0,7.646778413675871,GradientBoostingRegressor
6.667,6.172923371900926,GradientBoostingRegressor
1.238,3.515812167156418,GradientBoostingRegressor
0.833,3.515812167156418,GradientBoostingRegressor
1.667,3.515812167156418,GradientBoostingRegressor
10.0,6.353696418809474,GradientBoostingRegressor
6.667,6.172923371900926,GradientBoostingRegressor
1.032,3.515812167156418,GradientBoostingRegressor
4.444,4.724524608851055,GradientBoostingRegressor
2.083,3.515812167156418,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.813083916521162,GradientBoostingRegressor
6.944,4.7872236042279335,GradientBoostingRegressor
6.667,6.172923371900926,GradientBoostingRegressor
3.333,4.724524608851055,GradientBoostingRegressor
3.611,3.515812167156418,GradientBoostingRegressor
6.667,6.172923371900926,GradientBoostingRegressor
5.0,4.813083916521162,GradientBoostingRegressor
2.143,3.515812167156418,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.724524608851055,GradientBoostingRegressor
10.0,8.333419999999997,RandomForestRegressor
6.667,7.300239999999995,RandomForestRegressor
1.238,1.2216599999999997,RandomForestRegressor
0.833,0.8369799999999991,RandomForestRegressor
1.667,1.6515200000000012,RandomForestRegressor
10.0,6.863100000000002,RandomForestRegressor
6.667,7.025579999999995,RandomForestRegressor
1.032,1.0988999999999993,RandomForestRegressor
4.444,4.781739999999999,RandomForestRegressor
2.083,2.071979999999999,RandomForestRegressor
10.0,9.366719999999997,RandomForestRegressor
5.0,4.733480000000001,RandomForestRegressor
6.944,6.253899999999996,RandomForestRegressor
6.667,6.973659999999996,RandomForestRegressor
3.333,3.3359399999999995,RandomForestRegressor
3.611,3.9603999999999995,RandomForestRegressor
6.667,6.925539999999997,RandomForestRegressor
5.0,4.98336,RandomForestRegressor
2.143,2.886280000000001,RandomForestRegressor
10.0,8.991719999999999,RandomForestRegressor
4.167,5.324020000000001,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.759564102564102,AdaBoostRegressor
1.238,2.642590909090909,AdaBoostRegressor
0.833,2.642590909090909,AdaBoostRegressor
1.667,2.843448717948717,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.709372881355932,AdaBoostRegressor
1.032,2.642590909090909,AdaBoostRegressor
4.444,5.065024390243903,AdaBoostRegressor
2.083,2.642590909090909,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.0,5.065024390243903,AdaBoostRegressor
6.944,5.387209999999995,AdaBoostRegressor
6.667,6.759564102564102,AdaBoostRegressor
3.333,4.838595238095239,AdaBoostRegressor
3.611,2.843448717948717,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
5.0,5.065024390243903,AdaBoostRegressor
2.143,2.843448717948717,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.167,5.065024390243903,AdaBoostRegressor
10.0,9.999999999999998,KNeighborsRegressor
6.667,8.231266245799457,KNeighborsRegressor
1.238,1.238,KNeighborsRegressor
0.833,0.8329999999999999,KNeighborsRegressor
1.667,1.667,KNeighborsRegressor
10.0,3.7002385956785684,KNeighborsRegressor
6.667,7.614969108459747,KNeighborsRegressor
1.032,1.032,KNeighborsRegressor
4.444,4.231168500615688,KNeighborsRegressor
2.083,2.082999999999999,KNeighborsRegressor
10.0,9.681922289718258,KNeighborsRegressor
5.0,4.364838594099696,KNeighborsRegressor
6.944,6.0922970575804,KNeighborsRegressor
6.667,7.093577560909359,KNeighborsRegressor
3.333,3.3330000000000037,KNeighborsRegressor
3.611,4.505746415043678,KNeighborsRegressor
6.667,6.868428926457889,KNeighborsRegressor
5.0,5.0,KNeighborsRegressor
2.143,3.295433371984446,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.167,4.167,KNeighborsRegressor
10.0,9.83641603987847,MLPRegressor
6.667,6.517526602136993,MLPRegressor
1.238,1.2241675590982117,MLPRegressor
0.833,0.866840044392654,MLPRegressor
1.667,1.6668298148669443,MLPRegressor
10.0,9.615729244747763,MLPRegressor
6.667,7.479492051875232,MLPRegressor
1.032,1.0188717448198277,MLPRegressor
4.444,4.5431621089280725,MLPRegressor
2.083,2.084593068305289,MLPRegressor
10.0,10.012715488929928,MLPRegressor
5.0,5.016747881992453,MLPRegressor
6.944,5.418683664490622,MLPRegressor
6.667,6.530385697353587,MLPRegressor
3.333,3.332806731761444,MLPRegressor
3.611,3.7819330109780838,MLPRegressor
6.667,7.104781467978846,MLPRegressor
5.0,5.0011054451551225,MLPRegressor
2.143,2.007227125632121,MLPRegressor
10.0,10.433739062206786,MLPRegressor
4.167,4.105483260910836,MLPRegressor
10.0,7.056393536987688,ElasticNet
6.667,6.013177314509642,ElasticNet
1.238,3.428218018989874,ElasticNet
0.833,3.5222070555980896,ElasticNet
1.667,3.4998888776410553,ElasticNet
10.0,5.386792703295822,ElasticNet
6.667,6.596559986191668,ElasticNet
1.032,3.588416750430744,ElasticNet
4.444,4.856876490884835,ElasticNet
2.083,3.8667100881517724,ElasticNet
10.0,8.182177683656182,ElasticNet
5.0,4.616049344503618,ElasticNet
6.944,5.892892284427023,ElasticNet
6.667,6.025207675580579,ElasticNet
3.333,4.023499655108816,ElasticNet
3.611,4.107068213903619,ElasticNet
6.667,6.286786481162633,ElasticNet
5.0,4.499742129938367,ElasticNet
2.143,3.9107302278831426,ElasticNet
10.0,11.575802588936632,ElasticNet
4.167,4.7514284618583105,ElasticNet
10.0,9.222966283355975,SGDRegressor
6.667,5.788379823798067,SGDRegressor
1.238,1.405235171170026,SGDRegressor
0.833,1.730410159508815,SGDRegressor
1.667,2.235900168498801,SGDRegressor
10.0,8.26249031133076,SGDRegressor
6.667,8.004322315062204,SGDRegressor
1.032,1.8037796943082105,SGDRegressor
4.444,4.472838835176237,SGDRegressor
2.083,2.212950862129355,SGDRegressor
10.0,10.317658526146587,SGDRegressor
5.0,3.899006330480306,SGDRegressor
6.944,5.419391540695367,SGDRegressor
6.667,6.34887391285929,SGDRegressor
3.333,3.018233465110679,SGDRegressor
3.611,3.8729510500190067,SGDRegressor
6.667,7.62441949569193,SGDRegressor
5.0,4.079321351131503,SGDRegressor
2.143,2.5232717271228395,SGDRegressor
10.0,18.914507723272557,SGDRegressor
4.167,3.701405396581044,SGDRegressor
10.0,9.607881244885986,BayesianRidge
6.667,5.820254752124597,BayesianRidge
1.238,1.5545231905302184,BayesianRidge
0.833,1.8510805052837496,BayesianRidge
1.667,2.412476007718859,BayesianRidge
10.0,8.07850194053547,BayesianRidge
6.667,8.16426637503147,BayesianRidge
1.032,1.9621910298977676,BayesianRidge
4.444,4.575411762178738,BayesianRidge
2.083,2.368092518050444,BayesianRidge
10.0,10.413356517916132,BayesianRidge
5.0,4.030364920912783,BayesianRidge
6.944,5.4694467230376445,BayesianRidge
6.667,6.466462069206579,BayesianRidge
3.333,3.11969156467401,BayesianRidge
3.611,3.6378628554873025,BayesianRidge
6.667,7.5610419686370705,BayesianRidge
5.0,4.295203108594362,BayesianRidge
2.143,2.6126973686496937,BayesianRidge
10.0,17.909561094987687,BayesianRidge
4.167,3.855989575006124,BayesianRidge
10.0,10.218871316479838,KernelRidge
6.667,6.74897209503534,KernelRidge
1.238,0.8830139125165104,KernelRidge
0.833,1.0589220136770328,KernelRidge
1.667,1.7811896949578339,KernelRidge
10.0,9.100289849547831,KernelRidge
6.667,7.709458767490986,KernelRidge
1.032,1.3321321726472135,KernelRidge
4.444,5.058607987012569,KernelRidge
2.083,2.050217094025008,KernelRidge
10.0,9.382987429594365,KernelRidge
5.0,4.678503408740252,KernelRidge
6.944,5.456371007443913,KernelRidge
6.667,6.428786507760787,KernelRidge
3.333,3.143315438516913,KernelRidge
3.611,3.847013189588761,KernelRidge
6.667,7.551088198731563,KernelRidge
5.0,4.860232310338523,KernelRidge
2.143,2.0834510600567864,KernelRidge
10.0,13.479030772639351,KernelRidge
4.167,4.186085754526879,KernelRidge
10.0,9.643732413402686,LinearRegression
6.667,5.812126360039593,LinearRegression
1.238,1.529424050313143,LinearRegression
0.833,1.8287415492415144,LinearRegression
1.667,2.4036425769344394,LinearRegression
10.0,8.270137061160952,LinearRegression
6.667,8.181239566375659,LinearRegression
1.032,1.9371709218292694,LinearRegression
4.444,4.5564899873254365,LinearRegression
2.083,2.3399223120200587,LinearRegression
10.0,10.455843248871087,LinearRegression
5.0,4.008171416338472,LinearRegression
6.944,5.4134301387341,LinearRegression
6.667,6.468713023844971,LinearRegression
3.333,3.1119647395979255,LinearRegression
3.611,3.6309515395484775,LinearRegression
6.667,7.56789314876023,LinearRegression
5.0,4.283754945103025,LinearRegression
2.143,2.5876171932623864,LinearRegression
10.0,18.01269287550172,LinearRegression
4.167,3.820575195827975,LinearRegression
10.0,7.635633649593194,RANSACRegressor
6.667,5.926524641129456,RANSACRegressor
1.238,1.3642360642309885,RANSACRegressor
0.833,1.661621038403866,RANSACRegressor
1.667,2.226884881340566,RANSACRegressor
10.0,8.46783590116417,RANSACRegressor
6.667,8.301195657564808,RANSACRegressor
1.032,1.7996107244801212,RANSACRegressor
4.444,4.788796311818511,RANSACRegressor
2.083,2.0357602726162165,RANSACRegressor
10.0,10.63595546129239,RANSACRegressor
5.0,4.100937445996682,RANSACRegressor
6.944,5.426852109482452,RANSACRegressor
6.667,6.48949174056461,RANSACRegressor
3.333,3.0866320649623296,RANSACRegressor
3.611,3.815860463701478,RANSACRegressor
6.667,7.6191388502621,RANSACRegressor
5.0,4.368816314760505,RANSACRegressor
2.143,2.51164670667848,RANSACRegressor
10.0,18.363724415957694,RANSACRegressor
4.167,3.944574403431038,RANSACRegressor
10.0,7.857995717291949,TheilSenRegressor
6.667,5.654633125886778,TheilSenRegressor
1.238,1.1171970374391345,TheilSenRegressor
0.833,1.503304854584906,TheilSenRegressor
1.667,2.187134620832896,TheilSenRegressor
10.0,3.990086890726347,TheilSenRegressor
6.667,8.553140983891021,TheilSenRegressor
1.032,1.6419331641708719,TheilSenRegressor
4.444,4.577808291500072,TheilSenRegressor
2.083,2.0095295837231015,TheilSenRegressor
10.0,10.776096173147177,TheilSenRegressor
5.0,4.113291952681421,TheilSenRegressor
6.944,5.523483568476467,TheilSenRegressor
6.667,6.49847807299145,TheilSenRegressor
3.333,2.963883437873334,TheilSenRegressor
3.611,3.5945602515154476,TheilSenRegressor
6.667,8.18563717933132,TheilSenRegressor
5.0,4.4110139017836385,TheilSenRegressor
2.143,2.4117693184421802,TheilSenRegressor
10.0,9.333195479495199,TheilSenRegressor
4.167,3.808893678569193,TheilSenRegressor
10.0,9.267524719238281,TensorFlow
6.667,6.401592254638672,TensorFlow
1.238,1.2303907871246338,TensorFlow
0.833,1.192703127861023,TensorFlow
1.667,1.6653932332992554,TensorFlow
10.0,8.990233421325684,TensorFlow
6.667,6.734703540802002,TensorFlow
1.032,1.0446338653564453,TensorFlow
4.444,4.525401592254639,TensorFlow
2.083,2.0653460025787354,TensorFlow
10.0,9.836289405822754,TensorFlow
5.0,4.979755401611328,TensorFlow
6.944,6.356895446777344,TensorFlow
6.667,5.426595687866211,TensorFlow
3.333,3.3461310863494873,TensorFlow
3.611,4.435305118560791,TensorFlow
6.667,7.360971927642822,TensorFlow
5.0,5.013711929321289,TensorFlow
2.143,2.4029176235198975,TensorFlow
10.0,14.58228874206543,TensorFlow
4.167,4.083102226257324,TensorFlow
