Actual,Predicted,Model
10.0,9.64197478013913,Ridge
6.667,5.7984800779159364,Ridge
1.238,1.5240329815046438,Ridge
0.833,1.8374496310446236,Ridge
1.667,2.4102721981570334,Ridge
10.0,8.167532858798957,Ridge
6.667,8.170588391166563,Ridge
1.032,1.9431934270192577,Ridge
4.444,4.540564185884234,Ridge
2.083,2.3531153027898584,Ridge
10.0,10.44003959674255,Ridge
5.0,4.027395132326289,Ridge
6.944,5.4526470123176125,Ridge
6.667,6.478780987019318,Ridge
3.333,3.100763806869591,Ridge
3.611,3.6502187574129943,Ridge
6.667,7.629511629347881,Ridge
5.0,4.286801049898719,Ridge
2.143,2.6047999520068896,Ridge
10.0,18.202990091113644,Ridge
4.167,3.8327738812897794,Ridge
10.0,10.0,DecisionTreeRegressor
6.667,6.667000000000001,DecisionTreeRegressor
1.238,1.238,DecisionTreeRegressor
0.833,0.8329999999999999,DecisionTreeRegressor
1.667,1.6670000000000005,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
1.032,1.032,DecisionTreeRegressor
4.444,4.444,DecisionTreeRegressor
2.083,2.7675,DecisionTreeRegressor
10.0,6.667,DecisionTreeRegressor
5.0,6.25,DecisionTreeRegressor
6.944,7.1625,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
3.333,3.333,DecisionTreeRegressor
3.611,3.4029999999999996,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
5.0,5.0,DecisionTreeRegressor
2.143,2.5,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,4.167,DecisionTreeRegressor
10.0,7.646778413675871,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.5158121671564175,GradientBoostingRegressor
0.833,3.5158121671564175,GradientBoostingRegressor
1.667,3.5158121671564175,GradientBoostingRegressor
10.0,6.353696418809474,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.5158121671564175,GradientBoostingRegressor
4.444,4.724524608851054,GradientBoostingRegressor
2.083,3.5158121671564175,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
6.944,4.787223604227933,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.724524608851054,GradientBoostingRegressor
3.611,3.5158121671564175,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
2.143,3.5158121671564175,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.724524608851054,GradientBoostingRegressor
10.0,6.816839999999998,RandomForestRegressor
6.667,7.345839999999996,RandomForestRegressor
1.238,1.3700799999999995,RandomForestRegressor
0.833,0.8496799999999992,RandomForestRegressor
1.667,1.6670000000000014,RandomForestRegressor
10.0,6.40596,RandomForestRegressor
6.667,6.8989799999999954,RandomForestRegressor
1.032,1.0698999999999994,RandomForestRegressor
4.444,4.800759999999998,RandomForestRegressor
2.083,2.5049199999999994,RandomForestRegressor
10.0,9.333400000000001,RandomForestRegressor
5.0,4.952520000000001,RandomForestRegressor
6.944,6.433699999999999,RandomForestRegressor
6.667,6.901039999999995,RandomForestRegressor
3.333,3.5383399999999994,RandomForestRegressor
3.611,3.9068199999999997,RandomForestRegressor
6.667,7.2104599999999985,RandomForestRegressor
5.0,5.01668,RandomForestRegressor
2.143,2.7236000000000007,RandomForestRegressor
10.0,9.675,RandomForestRegressor
4.167,4.92644,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,7.0003,AdaBoostRegressor
1.238,2.4145060240963856,AdaBoostRegressor
0.833,2.4145060240963856,AdaBoostRegressor
1.667,2.9327954545454533,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.792387096774194,AdaBoostRegressor
1.032,2.4145060240963856,AdaBoostRegressor
4.444,5.346913043478261,AdaBoostRegressor
2.083,2.4145060240963856,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.0,5.380617977528092,AdaBoostRegressor
6.944,5.622644444444445,AdaBoostRegressor
6.667,7.0003,AdaBoostRegressor
3.333,3.2718761061946893,AdaBoostRegressor
3.611,2.9327954545454533,AdaBoostRegressor
6.667,6.914964285714286,AdaBoostRegressor
5.0,5.380617977528092,AdaBoostRegressor
2.143,2.9327954545454533,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.167,5.346913043478261,AdaBoostRegressor
10.0,10.0,KNeighborsRegressor
6.667,8.231268554163076,KNeighborsRegressor
1.238,1.238,KNeighborsRegressor
0.833,0.8329999999999999,KNeighborsRegressor
1.667,1.6670000000000005,KNeighborsRegressor
10.0,3.7002374393124917,KNeighborsRegressor
6.667,7.6150020893585975,KNeighborsRegressor
1.032,1.032,KNeighborsRegressor
4.444,4.231168006546291,KNeighborsRegressor
2.083,2.083,KNeighborsRegressor
10.0,9.681916048284597,KNeighborsRegressor
5.0,4.364841286095556,KNeighborsRegressor
6.944,6.0923047014013525,KNeighborsRegressor
6.667,7.093586583943522,KNeighborsRegressor
3.333,3.3330000000000046,KNeighborsRegressor
3.611,4.505749084795774,KNeighborsRegressor
6.667,6.868430186944351,KNeighborsRegressor
5.0,4.999999999999998,KNeighborsRegressor
2.143,3.2953896367234576,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.167,4.167,KNeighborsRegressor
10.0,9.926928893807858,MLPRegressor
6.667,5.967926393525222,MLPRegressor
1.238,1.206867260917961,MLPRegressor
0.833,0.8836749306894546,MLPRegressor
1.667,1.6634788374958518,MLPRegressor
10.0,8.854445491185698,MLPRegressor
6.667,7.579263120871163,MLPRegressor
1.032,1.0294537974919318,MLPRegressor
4.444,4.463645276664461,MLPRegressor
