Actual,Predicted,Model
10.0,9.637768050102768,Ridge
6.667,5.804028240665865,Ridge
1.238,1.5304285416624803,Ridge
0.833,1.8387018713560037,Ridge
1.667,2.4097051764726625,Ridge
10.0,8.163566224508678,Ridge
6.667,8.171087781261448,Ridge
1.032,1.9458035695394678,Ridge
4.444,4.549026814957293,Ridge
2.083,2.354000675991605,Ridge
10.0,10.437299884815765,Ridge
5.0,4.025222566109685,Ridge
6.944,5.4500903311654545,Ridge
6.667,6.474789052975153,Ridge
3.333,3.1059825612750642,Ridge
3.611,3.645169020542718,Ridge
6.667,7.608111851820135,Ridge
5.0,4.28795254153282,Ridge
2.143,2.603605598999524,Ridge
10.0,18.11828911004922,Ridge
4.167,3.8353540154501955,Ridge
10.0,10.0,DecisionTreeRegressor
6.667,6.805666666666667,DecisionTreeRegressor
1.238,1.238,DecisionTreeRegressor
0.833,0.8827499999999999,DecisionTreeRegressor
1.667,1.6670000000000003,DecisionTreeRegressor
10.0,3.6310000000000002,DecisionTreeRegressor
6.667,9.16675,DecisionTreeRegressor
1.032,0.8827499999999999,DecisionTreeRegressor
4.444,4.028,DecisionTreeRegressor
2.083,2.852,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.0,4.167,DecisionTreeRegressor
6.944,8.40275,DecisionTreeRegressor
6.667,4.9605,DecisionTreeRegressor
3.333,3.9585,DecisionTreeRegressor
3.611,5.972,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
5.0,5.0,DecisionTreeRegressor
2.143,2.5,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,9.16675,DecisionTreeRegressor
10.0,7.646778413675872,GradientBoostingRegressor
6.667,6.172923371900926,GradientBoostingRegressor
1.238,3.515812167156417,GradientBoostingRegressor
0.833,3.515812167156417,GradientBoostingRegressor
1.667,3.515812167156417,GradientBoostingRegressor
10.0,6.353696418809474,GradientBoostingRegressor
6.667,6.172923371900926,GradientBoostingRegressor
1.032,3.515812167156417,GradientBoostingRegressor
4.444,4.724524608851054,GradientBoostingRegressor
2.083,3.515812167156417,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
6.944,4.787223604227933,GradientBoostingRegressor
6.667,6.172923371900926,GradientBoostingRegressor
3.333,4.724524608851054,GradientBoostingRegressor
3.611,3.515812167156417,GradientBoostingRegressor
6.667,6.172923371900926,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
2.143,3.515812167156417,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.724524608851054,GradientBoostingRegressor
10.0,7.202899999999997,RandomForestRegressor
6.667,7.189139999999994,RandomForestRegressor
1.238,1.1672599999999997,RandomForestRegressor
0.833,0.8660999999999991,RandomForestRegressor
1.667,1.6848400000000012,RandomForestRegressor
10.0,6.349639999999999,RandomForestRegressor
6.667,7.086279999999995,RandomForestRegressor
1.032,1.1156599999999994,RandomForestRegressor
4.444,4.96984,RandomForestRegressor
2.083,2.1652199999999993,RandomForestRegressor
10.0,9.200079999999996,RandomForestRegressor
5.0,4.95848,RandomForestRegressor
6.944,6.30828,RandomForestRegressor
6.667,6.582039999999996,RandomForestRegressor
3.333,3.4473799999999994,RandomForestRegressor
3.611,4.08978,RandomForestRegressor
6.667,6.594559999999997,RandomForestRegressor
5.0,5.0,RandomForestRegressor
2.143,2.6636600000000006,RandomForestRegressor
10.0,9.3389,RandomForestRegressor
4.167,5.096700000000001,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.914964285714286,AdaBoostRegressor
1.238,2.3575060240963857,AdaBoostRegressor
0.833,2.3575060240963857,AdaBoostRegressor
1.667,2.661475247524753,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
1.032,2.3575060240963857,AdaBoostRegressor
4.444,4.926009999999996,AdaBoostRegressor
2.083,2.3575060240963857,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.0,5.356884615384616,AdaBoostRegressor
6.944,5.7370925925925915,AdaBoostRegressor
