Actual,Predicted,Model
10.0,9.641926830082376,Ridge
6.667,5.798522782339841,Ridge
1.238,1.5240698867426614,Ridge
0.833,1.8374789312761477,Ridge
1.667,2.410255859326797,Ridge
10.0,8.167787179409382,Ridge
6.667,8.170584079874816,Ridge
1.032,1.9432085315606358,Ridge
4.444,4.540551140808479,Ridge
2.083,2.353151900174277,Ridge
10.0,10.440027319084038,Ridge
5.0,4.027377979598674,Ridge
6.944,5.452741660111774,Ridge
6.667,6.478764750451286,Ridge
3.333,3.10079066934703,Ridge
3.611,3.650209441084452,Ridge
6.667,7.629651332417247,Ridge
5.0,4.286745863115836,Ridge
2.143,2.6048183702369596,Ridge
10.0,18.20289954163652,Ridge
4.167,3.8327680589602773,Ridge
10.0,4.167,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
1.238,1.238,DecisionTreeRegressor
0.833,1.9789999999999999,DecisionTreeRegressor
1.667,1.667,DecisionTreeRegressor
10.0,5.4165,DecisionTreeRegressor
6.667,8.3335,DecisionTreeRegressor
1.032,1.3093333333333332,DecisionTreeRegressor
4.444,3.502,DecisionTreeRegressor
2.083,2.083,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.0,3.75,DecisionTreeRegressor
6.944,5.64475,DecisionTreeRegressor
6.667,6.667000000000001,DecisionTreeRegressor
3.333,3.889,DecisionTreeRegressor
3.611,3.99325,DecisionTreeRegressor
6.667,8.3335,DecisionTreeRegressor
5.0,3.0556666666666668,DecisionTreeRegressor
2.143,5.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,2.897,DecisionTreeRegressor
10.0,7.646778413675871,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.515812167156418,GradientBoostingRegressor
0.833,3.515812167156418,GradientBoostingRegressor
1.667,3.515812167156418,GradientBoostingRegressor
10.0,6.353696418809474,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.515812167156418,GradientBoostingRegressor
4.444,4.724524608851054,GradientBoostingRegressor
2.083,3.515812167156418,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
6.944,4.787223604227933,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
