Actual,Predicted,Model
10.0,9.64197708155834,Ridge
6.667,5.798510799396663,Ridge
1.238,1.5240282654341843,Ridge
0.833,1.8374492010831056,Ridge
1.667,2.4102773081108295,Ridge
10.0,8.167007299426556,Ridge
6.667,8.170551746143484,Ridge
1.032,1.943195028557346,Ridge
4.444,4.540646010181109,Ridge
2.083,2.353131245589509,Ridge
10.0,10.440019082274263,Ridge
5.0,4.027427742672082,Ridge
6.944,5.452676965821187,Ridge
6.667,6.478736562768875,Ridge
3.333,3.1007893813714924,Ridge
3.611,3.650155067094021,Ridge
6.667,7.629301287142516,Ridge
5.0,4.286834914050885,Ridge
2.143,2.6047911850906056,Ridge
10.0,18.202826929378038,Ridge
4.167,3.832786166087776,Ridge
10.0,10.0,DecisionTreeRegressor
6.667,6.667000000000001,DecisionTreeRegressor
1.238,1.238,DecisionTreeRegressor
0.833,0.8329999999999999,DecisionTreeRegressor
1.667,1.667,DecisionTreeRegressor
10.0,4.028,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
1.032,1.5875,DecisionTreeRegressor
4.444,5.1385000000000005,DecisionTreeRegressor
2.083,2.083,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.0,5.0,DecisionTreeRegressor
6.944,7.5,DecisionTreeRegressor
6.667,6.666999999999999,DecisionTreeRegressor
3.333,3.333,DecisionTreeRegressor
3.611,3.5515,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
5.0,3.75,DecisionTreeRegressor
2.143,2.5,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,5.3075,DecisionTreeRegressor
10.0,7.646778413675871,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.5158121671564175,GradientBoostingRegressor
0.833,3.5158121671564175,GradientBoostingRegressor
1.667,3.5158121671564175,GradientBoostingRegressor
10.0,6.353696418809474,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.5158121671564175,GradientBoostingRegressor
4.444,4.724524608851054,GradientBoostingRegressor
2.083,3.5158121671564175,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
6.944,4.787223604227933,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.724524608851054,GradientBoostingRegressor
3.611,3.5158121671564175,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.813083916521161,GradientBoostingRegressor
2.143,3.5158121671564175,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.724524608851054,GradientBoostingRegressor
10.0,7.516799999999998,RandomForestRegressor
6.667,7.1557599999999955,RandomForestRegressor
1.238,1.2164999999999997,RandomForestRegressor
0.833,0.840959999999999,RandomForestRegressor
1.667,1.6670000000000014,RandomForestRegressor
10.0,6.691660000000001,RandomForestRegressor
6.667,6.938239999999995,RandomForestRegressor
1.032,1.1162199999999993,RandomForestRegressor
4.444,4.8471400000000004,RandomForestRegressor
2.083,2.365239999999999,RandomForestRegressor
10.0,9.466719999999999,RandomForestRegressor
5.0,4.783460000000001,RandomForestRegressor
6.944,6.199619999999999,RandomForestRegressor
6.667,6.716959999999997,RandomForestRegressor
3.333,3.2497999999999996,RandomForestRegressor
3.611,3.8282,RandomForestRegressor
6.667,7.243399999999998,RandomForestRegressor
5.0,4.93336,RandomForestRegressor
2.143,2.9465600000000007,RandomForestRegressor
10.0,9.472239999999998,RandomForestRegressor
4.167,5.23116,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.905071428571429,AdaBoostRegressor
1.238,2.585054054054054,AdaBoostRegressor
0.833,2.585054054054054,AdaBoostRegressor
1.667,2.592439024390244,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.905071428571429,AdaBoostRegressor
1.032,2.585054054054054,AdaBoostRegressor
4.444,4.834869565217391,AdaBoostRegressor
2.083,2.592439024390244,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.0,5.044846153846153,AdaBoostRegressor
6.944,5.548962962962961,AdaBoostRegressor
6.667,6.899903225806452,AdaBoostRegressor
3.333,3.44541904761905,AdaBoostRegressor
3.611,2.592439024390244,AdaBoostRegressor
6.667,6.905071428571429,AdaBoostRegressor
5.0,5.044846153846153,AdaBoostRegressor
2.143,2.592439024390244,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.167,4.834869565217391,AdaBoostRegressor
10.0,10.0,KNeighborsRegressor
6.667,8.231268554163076,KNeighborsRegressor
1.238,1.238,KNeighborsRegressor
0.833,0.8329999999999999,KNeighborsRegressor
1.667,1.6670000000000005,KNeighborsRegressor
10.0,3.7002374393124917,KNeighborsRegressor
6.667,7.6150020893585975,KNeighborsRegressor
1.032,1.032,KNeighborsRegressor
4.444,4.231168006546291,KNeighborsRegressor
2.083,2.083,KNeighborsRegressor
10.0,9.681916048284597,KNeighborsRegressor
5.0,4.364841286095556,KNeighborsRegressor
6.944,6.0923047014013525,KNeighborsRegressor
6.667,7.093586583943522,KNeighborsRegressor
3.333,3.3330000000000046,KNeighborsRegressor
3.611,4.505749084795774,KNeighborsRegressor
6.667,6.868430186944351,KNeighborsRegressor
5.0,4.999999999999998,KNeighborsRegressor
2.143,3.2953896367234576,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.167,4.167,KNeighborsRegressor
10.0,9.998219534219976,MLPRegressor
6.667,6.585822038859279,MLPRegressor
1.238,1.241937509958948,MLPRegressor
0.833,0.8790432418286716,MLPRegressor
