Actual,Predicted,Model
5.382,5.585270673758599,Ridge
10.0,9.449462182390736,Ridge
10.0,10.286756180843556,Ridge
10.0,9.027379629894412,Ridge
10.0,8.890164337246881,Ridge
5.44,5.937740422419031,Ridge
5.116,5.153723735978245,Ridge
10.0,9.62788433809306,Ridge
4.394,5.446944304094162,Ridge
10.0,9.707785324969882,Ridge
5.019,4.780288574225981,Ridge
4.861,5.850296468775568,Ridge
5.058,5.054109375329768,Ridge
4.742,5.0684779304630325,Ridge
5.517,5.818026026982965,Ridge
7.049,6.631085780997879,Ridge
5.877,5.483174490457145,Ridge
4.583,4.994159841049236,Ridge
10.0,9.977038881972295,Ridge
5.064,5.550837524393511,Ridge
5.449,5.766664562154039,Ridge
5.382,5.5432500000000005,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.44,5.1795,DecisionTreeRegressor
5.116,5.5432500000000005,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,5.547666666666667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.913,DecisionTreeRegressor
4.861,5.612,DecisionTreeRegressor
5.058,6.41,DecisionTreeRegressor
4.742,4.11725,DecisionTreeRegressor
5.517,5.2467500000000005,DecisionTreeRegressor
7.049,4.6202499999999995,DecisionTreeRegressor
5.877,4.7605,DecisionTreeRegressor
4.583,5.349333333333334,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,4.6202499999999995,DecisionTreeRegressor
5.449,6.349,DecisionTreeRegressor
5.382,6.023861028570724,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,5.80494306067042,GradientBoostingRegressor
5.116,6.023861028570724,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.901593624097429,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,5.889005316672874,GradientBoostingRegressor
4.861,6.3378251631153,GradientBoostingRegressor
5.058,6.32308471796393,GradientBoostingRegressor
4.742,5.93979877256827,GradientBoostingRegressor
5.517,6.023861028570724,GradientBoostingRegressor
7.049,6.741951818819784,GradientBoostingRegressor
5.877,5.776006905595756,GradientBoostingRegressor
4.583,5.901593624097429,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,5.927210465143715,GradientBoostingRegressor
5.449,6.023861028570724,GradientBoostingRegressor
5.382,5.63542,RandomForestRegressor
10.0,9.94334,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.90431,RandomForestRegressor
10.0,9.49559,RandomForestRegressor
5.44,5.537749999999997,RandomForestRegressor
5.116,5.375940000000002,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.394,4.93488,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.019,4.92287,RandomForestRegressor
4.861,5.838149999999998,RandomForestRegressor
5.058,5.47597,RandomForestRegressor
4.742,5.068709999999999,RandomForestRegressor
5.517,5.85295,RandomForestRegressor
7.049,6.7061199999999985,RandomForestRegressor
5.877,5.066379999999999,RandomForestRegressor
4.583,5.170310000000001,RandomForestRegressor
10.0,9.777250000000002,RandomForestRegressor
5.064,5.2712499999999975,RandomForestRegressor
5.449,5.515449999999999,RandomForestRegressor
5.382,5.390035087719299,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.44,5.420431372549021,AdaBoostRegressor
5.116,5.390035087719299,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.394,5.390035087719299,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.019,5.2273139534883715,AdaBoostRegressor
4.861,5.6262,AdaBoostRegressor
5.058,5.5860243902439,AdaBoostRegressor
4.742,5.426968421052631,AdaBoostRegressor
5.517,5.420431372549021,AdaBoostRegressor
7.049,7.009388888888888,AdaBoostRegressor
5.877,5.263827956989249,AdaBoostRegressor
4.583,5.390035087719299,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,5.420431372549021,AdaBoostRegressor
5.449,5.426968421052631,AdaBoostRegressor
5.382,5.9043543590760175,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,6.59211163626274,KNeighborsRegressor
5.44,5.411801633204192,KNeighborsRegressor
5.116,5.319394658348829,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.394,5.078348118881624,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.019,5.199011285879112,KNeighborsRegressor
4.861,5.398956372546797,KNeighborsRegressor
5.058,5.164362757864555,KNeighborsRegressor
4.742,5.064786916619706,KNeighborsRegressor
5.517,6.228142158445177,KNeighborsRegressor
7.049,6.78603034425382,KNeighborsRegressor
5.877,5.203247379078942,KNeighborsRegressor
4.583,5.480357533223303,KNeighborsRegressor
10.0,9.791107015673296,KNeighborsRegressor
5.064,5.1692465191084205,KNeighborsRegressor
5.449,5.814857738747985,KNeighborsRegressor
5.382,6.451564201032256,MLPRegressor
10.0,10.08850807132686,MLPRegressor
10.0,9.992081374305446,MLPRegressor
10.0,9.814699110682739,MLPRegressor
10.0,8.311419433364126,MLPRegressor
5.44,6.084205205414066,MLPRegressor
5.116,5.355919583617127,MLPRegressor
10.0,10.079795573709657,MLPRegressor
4.394,4.868848766975148,MLPRegressor
10.0,9.909836593513244,MLPRegressor
5.019,5.4423437043965395,MLPRegressor
4.861,4.651739605513769,MLPRegressor
5.058,4.768045905937403,MLPRegressor
4.742,4.713274724174718,MLPRegressor
5.517,5.642512972095118,MLPRegressor
7.049,7.982779681842529,MLPRegressor
5.877,5.186878164914769,MLPRegressor
4.583,4.629924335583019,MLPRegressor
10.0,10.084270894426801,MLPRegressor
5.064,5.116441742264304,MLPRegressor
5.449,5.456377202019907,MLPRegressor
5.382,5.883059130448641,ElasticNet
10.0,9.164253483073402,ElasticNet
10.0,9.618321551358706,ElasticNet
10.0,8.483356522852741,ElasticNet
10.0,8.23917643837617,ElasticNet
5.44,6.887392821309648,ElasticNet
5.116,5.982219700549037,ElasticNet
10.0,8.823163048083583,ElasticNet
4.394,6.037182588784959,ElasticNet
10.0,8.823163048083583,ElasticNet
5.019,5.578313187416764,ElasticNet
4.861,6.3561876356988085,ElasticNet
5.058,5.936380568744128,ElasticNet
4.742,5.765751279863684,ElasticNet
5.517,6.123065198218572,ElasticNet
7.049,6.346884217579219,ElasticNet
5.877,6.079601854920316,ElasticNet
4.583,5.587175435389135,ElasticNet
10.0,9.01898188846027,ElasticNet
5.064,6.519107761460108,ElasticNet
5.449,6.484504674839291,ElasticNet
5.382,5.303991403763274,SGDRegressor
10.0,9.572760313212012,SGDRegressor
10.0,10.562057640147994,SGDRegressor
10.0,9.122239507403265,SGDRegressor
10.0,8.515261380223377,SGDRegressor
5.44,6.091335885570297,SGDRegressor
5.116,4.659154129636507,SGDRegressor
10.0,9.704020783520031,SGDRegressor
4.394,5.626985627717243,SGDRegressor
10.0,9.791617273367159,SGDRegressor
5.019,4.863914711226092,SGDRegressor
4.861,5.790837716070843,SGDRegressor
5.058,5.264171051551851,SGDRegressor
4.742,5.151545702063385,SGDRegressor
5.517,5.600081522602887,SGDRegressor
7.049,6.698111127605915,SGDRegressor
5.877,5.482636243640772,SGDRegressor
4.583,4.921941706901093,SGDRegressor
10.0,10.017827361810852,SGDRegressor
5.064,5.621606206094772,SGDRegressor
5.449,5.843014516821492,SGDRegressor
5.382,5.621853691040305,BayesianRidge
10.0,9.464929046720636,BayesianRidge
10.0,10.282868207463686,BayesianRidge
10.0,9.046518314077968,BayesianRidge
10.0,8.764823954777736,BayesianRidge
5.44,6.031378989967651,BayesianRidge
5.116,5.157202374674387,BayesianRidge
10.0,9.651710077507035,BayesianRidge
4.394,5.419170180660885,BayesianRidge
10.0,9.725013252891198,BayesianRidge
5.019,4.806065951066489,BayesianRidge
4.861,5.853607229138499,BayesianRidge
5.058,5.04515038122406,BayesianRidge
4.742,5.0717943813325945,BayesianRidge
5.517,5.856641873886484,BayesianRidge
7.049,6.647070915391859,BayesianRidge
5.877,5.477939764830195,BayesianRidge
4.583,4.998150706706813,BayesianRidge
10.0,9.911014208807094,BayesianRidge
5.064,5.654285887552812,BayesianRidge
5.449,5.873416311779855,BayesianRidge
5.382,5.583432104916085,KernelRidge
10.0,9.672138919933591,KernelRidge
10.0,10.35515049458971,KernelRidge
10.0,9.132186741611294,KernelRidge
10.0,7.354735139996764,KernelRidge
5.44,5.988271689434005,KernelRidge
5.116,5.09167076814291,KernelRidge
10.0,9.759092635233745,KernelRidge
4.394,4.749504348033618,KernelRidge
10.0,9.815524165828101,KernelRidge
5.019,5.085527130406042,KernelRidge
4.861,5.688902394277569,KernelRidge
5.058,5.029843466229316,KernelRidge
4.742,4.702899965414488,KernelRidge
5.517,6.076754274443866,KernelRidge
7.049,7.112124886066944,KernelRidge
5.877,5.508563148574765,KernelRidge
4.583,4.951527405082324,KernelRidge
10.0,9.497104526511457,KernelRidge
5.064,5.330404132373643,KernelRidge
5.449,5.8825321797410135,KernelRidge
5.382,5.576104561133167,LinearRegression
10.0,9.44466108355548,LinearRegression
10.0,10.288354431069967,LinearRegression
10.0,9.021872758164012,LinearRegression
10.0,8.920168495920878,LinearRegression
5.44,5.914819144495484,LinearRegression
5.116,5.155014002040972,LinearRegression
10.0,9.619590188358025,LinearRegression
4.394,5.454681175934438,LinearRegression
10.0,9.701674764262133,LinearRegression
5.019,4.775985344233012,LinearRegression
4.861,5.846840053901783,LinearRegression
5.058,5.05420039368755,LinearRegression
4.742,5.067873780489412,LinearRegression
5.517,5.8063408620256425,LinearRegression
7.049,6.627893726185393,LinearRegression
5.877,5.482039045305027,LinearRegression
4.583,4.99242248038493,LinearRegression
10.0,9.991243300685396,LinearRegression
5.064,5.528654559620042,LinearRegression
5.449,5.741673760002033,LinearRegression
5.382,5.791797657882396,RANSACRegressor
10.0,9.741085719198985,RANSACRegressor
10.0,10.145446654493067,RANSACRegressor
10.0,9.509974187358177,RANSACRegressor
10.0,7.821058646224029,RANSACRegressor
5.44,6.239499265142142,RANSACRegressor
5.116,5.14474924305104,RANSACRegressor
10.0,9.860919894800814,RANSACRegressor
4.394,4.975722421004667,RANSACRegressor
10.0,10.065883283499371,RANSACRegressor
5.019,5.293982792884074,RANSACRegressor
4.861,6.10012410513941,RANSACRegressor
5.058,4.668438406967933,RANSACRegressor
4.742,4.4657932785380385,RANSACRegressor
5.517,5.898899370760027,RANSACRegressor
7.049,6.758978402810616,RANSACRegressor
5.877,5.384575669099766,RANSACRegressor
4.583,4.43094845452692,RANSACRegressor
10.0,9.515800345321729,RANSACRegressor
5.064,6.077424212145079,RANSACRegressor
5.449,6.567419263913723,RANSACRegressor
5.382,5.601976946826392,TheilSenRegressor
10.0,9.325080823250053,TheilSenRegressor
10.0,10.196304622970429,TheilSenRegressor
10.0,9.111062999720506,TheilSenRegressor
10.0,5.9514695948949505,TheilSenRegressor
5.44,5.9626884378398355,TheilSenRegressor
5.116,2.334969477301274,TheilSenRegressor
10.0,9.630098397727984,TheilSenRegressor
4.394,5.2831569740469435,TheilSenRegressor
10.0,9.727486324837058,TheilSenRegressor
5.019,4.651143565511915,TheilSenRegressor
4.861,5.807493813546355,TheilSenRegressor
5.058,4.970249356060584,TheilSenRegressor
4.742,4.842170603058998,TheilSenRegressor
5.517,5.763141528351304,TheilSenRegressor
