Actual,Predicted,Model
5.382,5.585156820601916,Ridge
10.0,9.44950656868884,Ridge
10.0,10.286752187272718,Ridge
10.0,9.027176639076549,Ridge
10.0,8.890362537595479,Ridge
5.44,5.937763736213895,Ridge
5.116,5.1534439041373945,Ridge
10.0,9.627806741822853,Ridge
4.394,5.446873480860869,Ridge
10.0,9.707707794567758,Ridge
5.019,4.780323416937529,Ridge
4.861,5.850404763041386,Ridge
5.058,5.0539244105142505,Ridge
4.742,5.068638403425625,Ridge
5.517,5.8176352142075825,Ridge
7.049,6.631746994032495,Ridge
5.877,5.483300989157101,Ridge
4.583,4.994611347779113,Ridge
10.0,9.976899436180329,Ridge
5.064,5.5511614768039275,Ridge
5.449,5.766692709870332,Ridge
5.382,6.324999999999999,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.44,6.196,DecisionTreeRegressor
5.116,5.332000000000001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,4.286,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,5.1775,DecisionTreeRegressor
4.861,5.7585,DecisionTreeRegressor
5.058,5.394500000000001,DecisionTreeRegressor
4.742,4.5955,DecisionTreeRegressor
5.517,5.619,DecisionTreeRegressor
7.049,7.1625,DecisionTreeRegressor
5.877,4.606,DecisionTreeRegressor
4.583,4.286,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,5.5615000000000006,DecisionTreeRegressor
5.449,5.5615000000000006,DecisionTreeRegressor
5.382,6.023861028570724,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,5.80494306067042,GradientBoostingRegressor
5.116,6.023861028570724,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.901593624097429,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,5.889005316672874,GradientBoostingRegressor
4.861,6.3378251631153,GradientBoostingRegressor
5.058,6.32308471796393,GradientBoostingRegressor
4.742,5.93979877256827,GradientBoostingRegressor
5.517,6.023861028570724,GradientBoostingRegressor
7.049,6.741951818819784,GradientBoostingRegressor
5.877,5.776006905595756,GradientBoostingRegressor
4.583,5.901593624097429,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,5.927210465143715,GradientBoostingRegressor
5.449,6.023861028570724,GradientBoostingRegressor
5.382,6.033760000000001,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.556639999999998,RandomForestRegressor
5.44,5.4288599999999985,RandomForestRegressor
5.116,5.2769400000000015,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.394,4.850539999999999,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.019,4.9483999999999995,RandomForestRegressor
4.861,5.79564,RandomForestRegressor
5.058,5.5015,RandomForestRegressor
4.742,5.121600000000002,RandomForestRegressor
5.517,6.1436,RandomForestRegressor
7.049,6.87466,RandomForestRegressor
5.877,4.9155000000000015,RandomForestRegressor
4.583,5.21168,RandomForestRegressor
10.0,9.881920000000001,RandomForestRegressor
5.064,5.0965599999999975,RandomForestRegressor
5.449,5.540419999999999,RandomForestRegressor
5.382,5.520581967213118,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.44,5.340074999999998,AdaBoostRegressor
5.116,5.520581967213118,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.394,5.407445544554452,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.019,5.340074999999998,AdaBoostRegressor
4.861,5.686392857142857,AdaBoostRegressor
5.058,5.4333,AdaBoostRegressor
4.742,5.400587719298249,AdaBoostRegressor
5.517,5.521328,AdaBoostRegressor
7.049,6.840277777777775,AdaBoostRegressor
