Actual,Predicted,Model
5.382,5.584129933720851,Ridge
10.0,9.440898740781684,Ridge
10.0,10.293673832916484,Ridge
10.0,9.018068785416874,Ridge
10.0,8.89451200277059,Ridge
5.44,5.950563526711166,Ridge
5.116,5.162007884338225,Ridge
10.0,9.6117094370699,Ridge
4.394,5.449056277245846,Ridge
10.0,9.698665898070459,Ridge
5.019,4.784322811521982,Ridge
4.861,5.839565320905808,Ridge
5.058,5.050022966495941,Ridge
4.742,5.055973923919929,Ridge
5.517,5.812097912952325,Ridge
7.049,6.635136396164725,Ridge
5.877,5.4692793889807385,Ridge
4.583,4.9983650365088295,Ridge
10.0,9.972518974770345,Ridge
5.064,5.5518742384751505,Ridge
5.449,5.757960573072396,Ridge
5.382,5.219,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.44,6.2375,DecisionTreeRegressor
5.116,5.0335,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,5.0329999999999995,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,5.655,DecisionTreeRegressor
4.861,5.626,DecisionTreeRegressor
5.058,4.596,DecisionTreeRegressor
4.742,5.626,DecisionTreeRegressor
5.517,5.0335,DecisionTreeRegressor
7.049,7.1625,DecisionTreeRegressor
5.877,4.596,DecisionTreeRegressor
4.583,5.619,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,3.194,DecisionTreeRegressor
5.449,5.325,DecisionTreeRegressor
5.382,5.869202669898246,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,6.274749365859086,GradientBoostingRegressor
5.116,5.992086535629174,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.945172429217992,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,5.864054632986652,GradientBoostingRegressor
4.861,6.068825152855667,GradientBoostingRegressor
5.058,6.069176912171103,GradientBoostingRegressor
4.742,5.827788359714093,GradientBoostingRegressor
5.517,5.869202669898246,GradientBoostingRegressor
7.049,6.794324458673362,GradientBoostingRegressor
5.877,5.822640322802499,GradientBoostingRegressor
4.583,5.822288563487064,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,5.864054632986652,GradientBoostingRegressor
5.449,5.869202669898246,GradientBoostingRegressor
5.382,5.4031,RandomForestRegressor
10.0,9.94956,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
