Actual,Predicted,Model
5.382,5.584523603146758,Ridge
10.0,9.445396143660618,Ridge
10.0,10.288228183301896,Ridge
10.0,9.023939288933262,Ridge
10.0,8.891081239791788,Ridge
5.44,5.936017677638717,Ridge
5.116,5.155662102463138,Ridge
10.0,9.621408981911193,Ridge
4.394,5.4460735871919805,Ridge
10.0,9.703739379865173,Ridge
5.019,4.781774012585053,Ridge
4.861,5.844002154380785,Ridge
5.058,5.05513020432902,Ridge
4.742,5.068568357003992,Ridge
5.517,5.817040405788287,Ridge
7.049,6.630627345748639,Ridge
5.877,5.484046388525469,Ridge
4.583,4.9944803876147645,Ridge
10.0,9.979125643230848,Ridge
5.064,5.549058627442644,Ridge
5.449,5.763715021693109,Ridge
5.382,5.821,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.44,5.976666666666667,DecisionTreeRegressor
5.116,4.998666666666666,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,4.064333333333333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.834333333333333,DecisionTreeRegressor
4.861,5.917,DecisionTreeRegressor
5.058,5.906000000000001,DecisionTreeRegressor
4.742,4.064333333333333,DecisionTreeRegressor
5.517,4.618,DecisionTreeRegressor
7.049,7.346333333333334,DecisionTreeRegressor
5.877,4.413666666666667,DecisionTreeRegressor
4.583,4.064333333333333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,4.834333333333333,DecisionTreeRegressor
5.449,5.976666666666667,DecisionTreeRegressor
5.382,5.92467389183697,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,6.021121228824985,GradientBoostingRegressor
5.116,5.966537440205864,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.8635064433545665,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,5.731481464460929,GradientBoostingRegressor
4.861,6.069519125055735,GradientBoostingRegressor
5.058,6.260934397373686,GradientBoostingRegressor
4.742,6.021121228824985,GradientBoostingRegressor
5.517,5.92467389183697,GradientBoostingRegressor
7.049,6.7905427051848335,GradientBoostingRegressor
5.877,6.021121228824985,GradientBoostingRegressor
4.583,5.821642894985672,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,5.73954452598229,GradientBoostingRegressor
5.449,5.92467389183697,GradientBoostingRegressor
5.382,5.38049,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.28432,RandomForestRegressor
5.44,5.565609999999998,RandomForestRegressor
5.116,5.259140000000001,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.394,4.9737,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.019,4.863159999999999,RandomForestRegressor
4.861,5.50906,RandomForestRegressor
5.058,5.450900000000001,RandomForestRegressor
4.742,5.11824,RandomForestRegressor
5.517,5.7267399999999995,RandomForestRegressor
7.049,7.145759999999998,RandomForestRegressor
5.877,5.1563,RandomForestRegressor
4.583,5.107609999999999,RandomForestRegressor
10.0,9.79288,RandomForestRegressor
5.064,5.0716199999999985,RandomForestRegressor
5.449,5.269999999999999,RandomForestRegressor
5.382,5.1666849315068495,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.44,5.516714285714286,AdaBoostRegressor
5.116,5.218921568627452,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.394,5.206164179104479,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.019,5.050891566265059,AdaBoostRegressor
4.861,5.1666849315068495,AdaBoostRegressor
5.058,5.703692307692307,AdaBoostRegressor
4.742,5.516714285714286,AdaBoostRegressor
5.517,5.1666849315068495,AdaBoostRegressor
7.049,6.872714285714286,AdaBoostRegressor
5.877,5.516714285714286,AdaBoostRegressor
4.583,5.135232876712327,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,5.055818181818182,AdaBoostRegressor
5.449,5.1666849315068495,AdaBoostRegressor
5.382,5.827785906687491,KNeighborsRegressor
