Actual,Predicted,Model
5.382,5.585271331345453,Ridge
10.0,9.449467072824655,Ridge
10.0,10.28679453730335,Ridge
10.0,9.027430359314279,Ridge
10.0,8.890164501996333,Ridge
5.44,5.937679744175071,Ridge
5.116,5.1539023689082235,Ridge
10.0,9.627889698830668,Ridge
4.394,5.446927548131001,Ridge
10.0,9.707815294755202,Ridge
5.019,4.780280246325493,Ridge
4.861,5.850231187174589,Ridge
5.058,5.054011865094321,Ridge
4.742,5.068435853055417,Ridge
5.517,5.818001073984172,Ridge
7.049,6.630917478927369,Ridge
5.877,5.483093206348178,Ridge
4.583,4.993912706288482,Ridge
10.0,9.977089913355323,Ridge
5.064,5.550851410721624,Ridge
5.449,5.76663944989832,Ridge
5.382,6.018,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.44,6.046666666666667,DecisionTreeRegressor
5.116,5.27775,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,5.3213333333333335,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.81775,DecisionTreeRegressor
4.861,6.67225,DecisionTreeRegressor
5.058,6.67225,DecisionTreeRegressor
4.742,5.1645,DecisionTreeRegressor
5.517,5.51,DecisionTreeRegressor
7.049,5.896249999999999,DecisionTreeRegressor
5.877,6.046666666666667,DecisionTreeRegressor
4.583,4.582000000000001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,5.23275,DecisionTreeRegressor
5.449,5.781333333333333,DecisionTreeRegressor
5.382,6.023861028570724,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,5.80494306067042,GradientBoostingRegressor
5.116,6.023861028570724,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.901593624097429,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
