Actual,Predicted,Model
10.0,12.674602212629914,Ridge
1.255,1.295342055898733,Ridge
0.3,0.5932028136660752,Ridge
0.911,0.9413436766399048,Ridge
1.056,1.2872194932657632,Ridge
5.0,5.943508792591189,Ridge
7.236,6.952792780392759,Ridge
0.969,0.9415579377809293,Ridge
6.236,6.178599734152759,Ridge
1.186,1.3961611913177574,Ridge
6.317,6.171517868490479,Ridge
6.595,6.172540200220509,Ridge
7.488,7.2143934626254715,Ridge
2.075,2.133150462127083,Ridge
6.067,5.7960074323950685,Ridge
2.143,2.351981083073368,Ridge
3.099,3.6870479059915273,Ridge
6.2,6.171089346208431,Ridge
1.292,1.7849294042690413,Ridge
10.0,17.860175254524833,Ridge
6.039,5.825152312113708,Ridge
10.0,10.0,DecisionTreeRegressor
1.255,0.819,DecisionTreeRegressor
0.3,0.428,DecisionTreeRegressor
0.911,0.934,DecisionTreeRegressor
1.056,0.981,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
7.236,7.498,DecisionTreeRegressor
0.969,0.934,DecisionTreeRegressor
6.236,6.279,DecisionTreeRegressor
1.186,1.186,DecisionTreeRegressor
6.317,6.233,DecisionTreeRegressor
6.595,6.555,DecisionTreeRegressor
7.488,6.893,DecisionTreeRegressor
2.075,2.079,DecisionTreeRegressor
6.067,5.469,DecisionTreeRegressor
2.143,1.939,DecisionTreeRegressor
3.099,10.0,DecisionTreeRegressor
6.2,6.208,DecisionTreeRegressor
1.292,1.555,DecisionTreeRegressor
10.0,7.498,DecisionTreeRegressor
6.039,6.056,DecisionTreeRegressor
10.0,7.534589561350309,GradientBoostingRegressor
1.255,2.3009574394951824,GradientBoostingRegressor
0.3,2.3009574394951824,GradientBoostingRegressor
0.911,2.3009574394951824,GradientBoostingRegressor
1.056,2.3009574394951824,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,5.737011542472361,GradientBoostingRegressor
0.969,2.3009574394951824,GradientBoostingRegressor
6.236,5.574818733620143,GradientBoostingRegressor
1.186,2.3009574394951824,GradientBoostingRegressor
6.317,5.574818733620143,GradientBoostingRegressor
6.595,5.755635160633294,GradientBoostingRegressor
7.488,5.755635160633294,GradientBoostingRegressor
2.075,2.3009574394951824,GradientBoostingRegressor
6.067,5.574818733620143,GradientBoostingRegressor
2.143,2.3009574394951824,GradientBoostingRegressor
3.099,2.3009574394951824,GradientBoostingRegressor
