Actual,Predicted,Model
10.0,13.349498309130642,Ridge
1.255,1.2236525799466182,Ridge
0.3,0.661203035340769,Ridge
0.911,0.946589310435419,Ridge
1.056,1.229679004630492,Ridge
5.0,6.031694008862242,Ridge
7.236,6.968098179886695,Ridge
0.969,0.9468065545745681,Ridge
6.236,6.119365730997684,Ridge
1.186,1.416647926532642,Ridge
6.317,6.126447341500283,Ridge
6.595,6.127483906392795,Ridge
7.488,7.126636022066611,Ridge
2.075,1.9990124551140134,Ridge
6.067,5.935763814494942,Ridge
2.143,2.285948704439731,Ridge
3.099,3.359291707053369,Ridge
6.2,6.126012853221984,Ridge
1.292,1.7135448686415677,Ridge
10.0,16.336303593175344,Ridge
6.039,5.842861089272868,Ridge
10.0,10.0,DecisionTreeRegressor
1.255,1.024,DecisionTreeRegressor
0.3,0.428,DecisionTreeRegressor
0.911,0.934,DecisionTreeRegressor
1.056,1.275,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
7.236,7.047,DecisionTreeRegressor
0.969,0.934,DecisionTreeRegressor
6.236,6.233,DecisionTreeRegressor
1.186,1.186,DecisionTreeRegressor
6.317,6.45,DecisionTreeRegressor
6.595,6.331,DecisionTreeRegressor
7.488,1.975,DecisionTreeRegressor
2.075,2.079,DecisionTreeRegressor
6.067,1.533,DecisionTreeRegressor
2.143,2.083,DecisionTreeRegressor
3.099,2.499,DecisionTreeRegressor
6.2,6.208,DecisionTreeRegressor
1.292,1.555,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
6.039,6.031,DecisionTreeRegressor
10.0,7.534589561350309,GradientBoostingRegressor
1.255,2.3009574394951824,GradientBoostingRegressor
0.3,2.3009574394951824,GradientBoostingRegressor
0.911,2.3009574394951824,GradientBoostingRegressor
1.056,2.3009574394951824,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,5.737011542472361,GradientBoostingRegressor
0.969,2.3009574394951824,GradientBoostingRegressor
6.236,5.574818733620143,GradientBoostingRegressor
1.186,2.3009574394951824,GradientBoostingRegressor
6.317,5.574818733620143,GradientBoostingRegressor
6.595,5.755635160633294,GradientBoostingRegressor
7.488,5.755635160633294,GradientBoostingRegressor
2.075,2.3009574394951824,GradientBoostingRegressor
6.067,5.574818733620143,GradientBoostingRegressor
2.143,2.3009574394951824,GradientBoostingRegressor
3.099,2.3009574394951824,GradientBoostingRegressor
6.2,5.574818733620143,GradientBoostingRegressor
1.292,2.3009574394951824,GradientBoostingRegressor
10.0,6.113427854738768,GradientBoostingRegressor
6.039,5.574818733620143,GradientBoostingRegressor
10.0,8.64957047619048,RandomForestRegressor
1.255,1.3816344761904762,RandomForestRegressor
0.3,1.0720949206349208,RandomForestRegressor
0.911,0.9600261746031745,RandomForestRegressor
1.056,1.6284258888888885,RandomForestRegressor
5.0,6.649053761904762,RandomForestRegressor
7.236,6.920931523809523,RandomForestRegressor
0.969,1.016167388888889,RandomForestRegressor
6.236,6.275191677655677,RandomForestRegressor
1.186,1.3053571984126984,RandomForestRegressor
6.317,6.260562063492063,RandomForestRegressor
6.595,6.630416642857145,RandomForestRegressor
7.488,6.976363564935065,RandomForestRegressor
2.075,2.774665658730159,RandomForestRegressor
6.067,5.034659230158728,RandomForestRegressor
2.143,2.2559593968253973,RandomForestRegressor
3.099,3.0419304047619056,RandomForestRegressor
6.2,6.114224626984129,RandomForestRegressor
1.292,2.3033813333333337,RandomForestRegressor
10.0,8.995745666666668,RandomForestRegressor
6.039,6.032569571428571,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
1.255,1.4112330097087376,AdaBoostRegressor
0.3,1.4112330097087376,AdaBoostRegressor
0.911,1.4112330097087376,AdaBoostRegressor
1.056,1.4112330097087376,AdaBoostRegressor
5.0,1.4112330097087376,AdaBoostRegressor
7.236,6.581420289855071,AdaBoostRegressor
0.969,1.4112330097087376,AdaBoostRegressor
6.236,6.581420289855071,AdaBoostRegressor
1.186,1.4112330097087376,AdaBoostRegressor
6.317,6.581420289855071,AdaBoostRegressor
6.595,6.581420289855071,AdaBoostRegressor
7.488,6.581420289855071,AdaBoostRegressor
2.075,1.4112330097087376,AdaBoostRegressor
6.067,6.581420289855071,AdaBoostRegressor
2.143,1.4112330097087376,AdaBoostRegressor
3.099,1.4112330097087376,AdaBoostRegressor
6.2,6.581420289855071,AdaBoostRegressor
1.292,1.4112330097087376,AdaBoostRegressor
10.0,6.581420289855071,AdaBoostRegressor
6.039,6.581420289855071,AdaBoostRegressor
10.0,10.0,KNeighborsRegressor
1.255,0.8190031121859563,KNeighborsRegressor
0.3,0.7585279717914951,KNeighborsRegressor
0.911,0.9155841218469084,KNeighborsRegressor
1.056,0.9741832074157496,KNeighborsRegressor
5.0,1.9580762660258164,KNeighborsRegressor
7.236,7.319801867813799,KNeighborsRegressor
0.969,0.9686652353009438,KNeighborsRegressor
6.236,6.279000102835305,KNeighborsRegressor
1.186,1.186,KNeighborsRegressor
6.317,6.223706354092419,KNeighborsRegressor
6.595,6.58323836970432,KNeighborsRegressor
7.488,6.8336886241616845,KNeighborsRegressor
2.075,2.078678592877965,KNeighborsRegressor
6.067,6.780863311500198,KNeighborsRegressor
2.143,2.443718267078774,KNeighborsRegressor
3.099,4.869520095439984,KNeighborsRegressor
6.2,6.209470595871974,KNeighborsRegressor
1.292,1.6619973807197022,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
6.039,6.036000038078888,KNeighborsRegressor
10.0,10.004555520612904,MLPRegressor
1.255,0.8200692892855558,MLPRegressor
0.3,0.8334643213199354,MLPRegressor
0.911,0.6712621616410864,MLPRegressor
1.056,1.0942760442848791,MLPRegressor
5.0,10.02024647632362,MLPRegressor
7.236,7.407072395595937,MLPRegressor
0.969,0.6726964624425219,MLPRegressor
6.236,6.245700061957836,MLPRegressor
1.186,1.1935102749829976,MLPRegressor
6.317,6.330130699041038,MLPRegressor
6.595,6.335092626343864,MLPRegressor
7.488,7.686241676054412,MLPRegressor
2.075,1.9024058251964635,MLPRegressor
6.067,5.90974805746911,MLPRegressor
2.143,2.162257222396838,MLPRegressor
3.099,4.58658602581026,MLPRegressor
6.2,6.328049471720138,MLPRegressor
1.292,1.6096494078665136,MLPRegressor
10.0,10.062670093507746,MLPRegressor
6.039,6.04811366827153,MLPRegressor
10.0,8.217658285782317,ElasticNet
1.255,2.4778357804836126,ElasticNet
0.3,2.2773812572006276,ElasticNet
0.911,2.4777960749335186,ElasticNet
1.056,2.6778436163280395,ElasticNet
5.0,4.291715065169057,ElasticNet
7.236,5.28131532782161,ElasticNet
0.969,2.477830817289851,ElasticNet
6.236,4.960575385212245,ElasticNet
1.186,2.7983355045149083,ElasticNet
6.317,5.160751969644572,ElasticNet
6.595,5.160917740316215,ElasticNet
7.488,5.602031447100918,ElasticNet
2.075,3.0018471008410743,ElasticNet
6.067,4.760349168842301,ElasticNet
2.143,2.801601031696083,ElasticNet
3.099,3.445954351788808,ElasticNet
6.2,5.1606824849319075,ElasticNet
1.292,2.8014192795405273,ElasticNet
10.0,9.76204393986755,ElasticNet
6.039,4.960625017149862,ElasticNet
10.0,6.987404301064602,SGDRegressor
1.255,0.3566609985158715,SGDRegressor
0.3,1.6450150160740145,SGDRegressor
0.911,1.646148852354377,SGDRegressor
1.056,1.645836069932208,SGDRegressor
5.0,35.312931913716874,SGDRegressor
7.236,5.633426519258645,SGDRegressor
0.969,1.6462856946640758,SGDRegressor
6.236,5.055668256632349,SGDRegressor
1.186,1.6458165210308224,SGDRegressor
6.317,6.345507990695795,SGDRegressor
6.595,6.346160924002072,SGDRegressor
7.488,5.094009307792998,SGDRegressor
2.075,1.6465984770862447,SGDRegressor
6.067,6.9222223419881015,SGDRegressor
2.143,-2.3728834209056,SGDRegressor
3.099,0.4312083608058659,SGDRegressor
6.2,6.345234306076398,SGDRegressor
1.292,1.645413422684252,SGDRegressor
10.0,88.87437946345047,SGDRegressor
6.039,6.345507990695795,SGDRegressor
10.0,13.365603918412674,BayesianRidge
1.255,1.2213192439054472,BayesianRidge
0.3,0.6598740819131481,BayesianRidge
0.911,0.9435869131401273,BayesianRidge
1.056,1.2249985737380906,BayesianRidge
5.0,6.0617865215243665,BayesianRidge
7.236,6.972525084165397,BayesianRidge
0.969,0.9438045914428721,BayesianRidge
6.236,6.123984660993118,BayesianRidge
1.186,1.4118785608984306,BayesianRidge
6.317,6.128721285439093,BayesianRidge
6.595,6.129759921912189,BayesianRidge
7.488,7.127832522465505,BayesianRidge
2.075,1.99461060327756,BayesianRidge
