Actual,Predicted,Model
10.0,13.349508854804288,Ridge
1.255,1.2236098348499573,Ridge
0.3,0.6611665971713063,Ridge
0.911,0.946586855635192,Ridge
1.056,1.2297105273248166,Ridge
5.0,6.030945966740985,Ridge
7.236,6.968084799824623,Ridge
0.969,0.9468041003300547,Ridge
6.236,6.119351814870791,Ridge
1.186,1.4166482706557373,Ridge
6.317,6.1265076958635545,Ridge
6.595,6.1275442634076125,Ridge
7.488,7.126608302731631,Ridge
2.075,1.9990535033787058,Ridge
6.067,5.935753942881316,Ridge
2.143,2.2859125275925267,Ridge
3.099,3.3592319910011703,Ridge
6.2,6.12607320647383,Ridge
1.292,1.7135519333290286,Ridge
10.0,16.335845613060798,Ridge
6.039,5.842887464871388,Ridge
10.0,10.0,DecisionTreeRegressor
1.255,1.3356666666666666,DecisionTreeRegressor
0.3,0.42125,DecisionTreeRegressor
0.911,0.96,DecisionTreeRegressor
1.056,1.2015,DecisionTreeRegressor
5.0,2.06375,DecisionTreeRegressor
7.236,7.286333333333334,DecisionTreeRegressor
0.969,0.96,DecisionTreeRegressor
6.236,6.3525,DecisionTreeRegressor
1.186,1.1945000000000001,DecisionTreeRegressor
6.317,6.189499999999999,DecisionTreeRegressor
6.595,6.555666666666666,DecisionTreeRegressor
7.488,6.8740000000000006,DecisionTreeRegressor
2.075,1.88725,DecisionTreeRegressor
6.067,6.494,DecisionTreeRegressor
2.143,1.78525,DecisionTreeRegressor
3.099,2.499,DecisionTreeRegressor
6.2,6.189499999999999,DecisionTreeRegressor
1.292,1.6084999999999998,DecisionTreeRegressor
10.0,7.657,DecisionTreeRegressor
6.039,6.0225,DecisionTreeRegressor
10.0,7.534589561350309,GradientBoostingRegressor
1.255,2.3009574394951824,GradientBoostingRegressor
0.3,2.3009574394951824,GradientBoostingRegressor
0.911,2.3009574394951824,GradientBoostingRegressor
1.056,2.3009574394951824,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,5.737011542472362,GradientBoostingRegressor
0.969,2.3009574394951824,GradientBoostingRegressor
6.236,5.574818733620144,GradientBoostingRegressor
1.186,2.3009574394951824,GradientBoostingRegressor
6.317,5.574818733620144,GradientBoostingRegressor
6.595,5.755635160633295,GradientBoostingRegressor
7.488,5.755635160633295,GradientBoostingRegressor
2.075,2.3009574394951824,GradientBoostingRegressor
6.067,5.574818733620144,GradientBoostingRegressor
2.143,2.3009574394951824,GradientBoostingRegressor
3.099,2.3009574394951824,GradientBoostingRegressor
6.2,5.574818733620144,GradientBoostingRegressor
1.292,2.3009574394951824,GradientBoostingRegressor
10.0,6.113427854738769,GradientBoostingRegressor
6.039,5.574818733620144,GradientBoostingRegressor
10.0,9.204920000000001,RandomForestRegressor
1.255,1.2691800000000004,RandomForestRegressor
0.3,0.5560400000000001,RandomForestRegressor
0.911,0.9575799999999998,RandomForestRegressor
1.056,1.1621400000000002,RandomForestRegressor
5.0,5.567319999999999,RandomForestRegressor
7.236,6.540859999999998,RandomForestRegressor
0.969,1.00716,RandomForestRegressor
6.236,6.25558,RandomForestRegressor
1.186,1.3252400000000006,RandomForestRegressor
6.317,6.137200000000002,RandomForestRegressor
6.595,6.3938200000000025,RandomForestRegressor
7.488,7.0607999999999995,RandomForestRegressor
2.075,2.07144,RandomForestRegressor
6.067,5.664059999999998,RandomForestRegressor
2.143,2.16542,RandomForestRegressor
3.099,3.2266799999999995,RandomForestRegressor
6.2,6.211700000000004,RandomForestRegressor
1.292,1.77174,RandomForestRegressor
10.0,8.309339999999999,RandomForestRegressor
6.039,6.034600000000004,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
1.255,1.3770000000000007,AdaBoostRegressor
0.3,1.3770000000000007,AdaBoostRegressor
0.911,1.3770000000000007,AdaBoostRegressor
1.056,1.3770000000000007,AdaBoostRegressor
5.0,10.0,AdaBoostRegressor
7.236,6.696158730158729,AdaBoostRegressor
0.969,1.3770000000000007,AdaBoostRegressor
6.236,6.6617457627118615,AdaBoostRegressor
1.186,1.3770000000000007,AdaBoostRegressor
6.317,6.6617457627118615,AdaBoostRegressor
6.595,6.708857142857145,AdaBoostRegressor
7.488,6.708857142857145,AdaBoostRegressor
2.075,1.3770000000000007,AdaBoostRegressor
6.067,6.6617457627118615,AdaBoostRegressor
2.143,1.3770000000000007,AdaBoostRegressor
3.099,1.3770000000000007,AdaBoostRegressor
6.2,6.6617457627118615,AdaBoostRegressor
1.292,1.3770000000000007,AdaBoostRegressor
10.0,6.835906666666665,AdaBoostRegressor
6.039,6.6617457627118615,AdaBoostRegressor
10.0,10.0,KNeighborsRegressor
1.255,0.8190031121859563,KNeighborsRegressor
0.3,0.7585279717914951,KNeighborsRegressor
0.911,0.9155841218469084,KNeighborsRegressor
1.056,0.9741832074157496,KNeighborsRegressor
5.0,1.9580762660258164,KNeighborsRegressor
7.236,7.319801867813799,KNeighborsRegressor
0.969,0.9686652353009438,KNeighborsRegressor
6.236,6.279000102835305,KNeighborsRegressor
1.186,1.186,KNeighborsRegressor
