Actual,Predicted,Model
10.0,13.349503037217836,Ridge
1.255,1.223613918629022,Ridge
0.3,0.6611673880962088,Ridge
0.911,0.946588837815018,Ridge
1.056,1.2297136954521397,Ridge
5.0,6.030333287822938,Ridge
7.236,6.968070201474648,Ridge
0.969,0.9468060830119347,Ridge
6.236,6.119335333703972,Ridge
1.186,1.4166552093275646,Ridge
6.317,6.126490301483541,Ridge
6.595,6.127526871423114,Ridge
7.488,7.126598533826529,Ridge
2.075,1.9990488509912616,Ridge
6.067,5.935731095586821,Ridge
2.143,2.2859258141577192,Ridge
3.099,3.3592189717139553,Ridge
6.2,6.126055811089708,Ridge
1.292,1.7135460894987493,Ridge
10.0,16.336060608500702,Ridge
6.039,5.842868883396325,Ridge
10.0,10.0,DecisionTreeRegressor
1.255,1.042,DecisionTreeRegressor
0.3,0.7,DecisionTreeRegressor
0.911,0.906,DecisionTreeRegressor
1.056,1.914,DecisionTreeRegressor
5.0,1.8199999999999998,DecisionTreeRegressor
7.236,6.279,DecisionTreeRegressor
0.969,1.0139999999999998,DecisionTreeRegressor
6.236,6.279,DecisionTreeRegressor
1.186,1.1945000000000001,DecisionTreeRegressor
6.317,6.815,DecisionTreeRegressor
6.595,6.8725000000000005,DecisionTreeRegressor
7.488,7.076,DecisionTreeRegressor
2.075,2.0484999999999998,DecisionTreeRegressor
6.067,5.469,DecisionTreeRegressor
2.143,2.499,DecisionTreeRegressor
3.099,8.002,DecisionTreeRegressor
6.2,6.2204999999999995,DecisionTreeRegressor
1.292,1.5815,DecisionTreeRegressor
10.0,7.076,DecisionTreeRegressor
6.039,6.0225,DecisionTreeRegressor
10.0,7.534589561350309,GradientBoostingRegressor
1.255,2.300957439495182,GradientBoostingRegressor
0.3,2.300957439495182,GradientBoostingRegressor
0.911,2.300957439495182,GradientBoostingRegressor
1.056,2.300957439495182,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,5.737011542472361,GradientBoostingRegressor
0.969,2.300957439495182,GradientBoostingRegressor
6.236,5.574818733620143,GradientBoostingRegressor
1.186,2.300957439495182,GradientBoostingRegressor
6.317,5.574818733620143,GradientBoostingRegressor
6.595,5.755635160633294,GradientBoostingRegressor
7.488,5.755635160633294,GradientBoostingRegressor
2.075,2.300957439495182,GradientBoostingRegressor
6.067,5.574818733620143,GradientBoostingRegressor
2.143,2.300957439495182,GradientBoostingRegressor
3.099,2.300957439495182,GradientBoostingRegressor
6.2,5.574818733620143,GradientBoostingRegressor
1.292,2.300957439495182,GradientBoostingRegressor
10.0,6.113427854738768,GradientBoostingRegressor
6.039,5.574818733620143,GradientBoostingRegressor
10.0,9.220096888888891,RandomForestRegressor
1.255,1.3876431746031748,RandomForestRegressor
0.3,0.7377786904761906,RandomForestRegressor
0.911,0.9909119682539682,RandomForestRegressor
1.056,1.3889043665223664,RandomForestRegressor
5.0,6.053176333333332,RandomForestRegressor
7.236,6.805525738095237,RandomForestRegressor
0.969,1.0838515238095239,RandomForestRegressor
6.236,6.471055523809522,RandomForestRegressor
1.186,1.2412472460317459,RandomForestRegressor
6.317,6.230387404761904,RandomForestRegressor
6.595,6.4646611428571426,RandomForestRegressor
7.488,6.982787850649349,RandomForestRegressor
2.075,2.618388563492063,RandomForestRegressor
6.067,5.494162460317459,RandomForestRegressor
2.143,2.153195985569985,RandomForestRegressor
3.099,3.4571871226551223,RandomForestRegressor
6.2,6.101917365079365,RandomForestRegressor
1.292,2.0511915466200463,RandomForestRegressor
10.0,8.440083714285713,RandomForestRegressor
6.039,6.039983978021977,RandomForestRegressor
10.0,6.998804878048777,AdaBoostRegressor
1.255,1.417329787234043,AdaBoostRegressor
0.3,1.417329787234043,AdaBoostRegressor
0.911,1.417329787234043,AdaBoostRegressor
1.056,1.417329787234043,AdaBoostRegressor
