Actual,Predicted,Model
10.0,13.34952187152578,Ridge
1.255,1.2236364171860878,Ridge
0.3,0.6612012352862515,Ridge
0.911,0.9466007885094738,Ridge
1.056,1.2297037601831384,Ridge
5.0,6.0308932335057595,Ridge
7.236,6.968099221731432,Ridge
0.969,0.9468180327101079,Ridge
6.236,6.119364782423622,Ridge
1.186,1.4166681297115762,Ridge
6.317,6.126487311538037,Ridge
6.595,6.127523876723918,Ridge
7.488,7.12664133377152,Ridge
2.075,1.9990224410891095,Ridge
6.067,5.93577049399,Ridge
2.143,2.2859072522636774,Ridge
3.099,3.3592323482888053,Ridge
6.2,6.126052823136769,Ridge
1.292,1.713541576465078,Ridge
10.0,16.335824619137618,Ridge
6.039,5.842887781691495,Ridge
10.0,10.0,DecisionTreeRegressor
1.255,1.042,DecisionTreeRegressor
0.3,0.4303333333333333,DecisionTreeRegressor
0.911,0.906,DecisionTreeRegressor
1.056,0.9446666666666665,DecisionTreeRegressor
5.0,1.7615,DecisionTreeRegressor
7.236,6.726999999999999,DecisionTreeRegressor
0.969,1.0139999999999998,DecisionTreeRegressor
6.236,6.279,DecisionTreeRegressor
1.186,1.1753333333333333,DecisionTreeRegressor
6.317,6.555666666666666,DecisionTreeRegressor
6.595,6.555666666666666,DecisionTreeRegressor
7.488,7.6005,DecisionTreeRegressor
2.075,2.0484999999999998,DecisionTreeRegressor
6.067,5.758333333333333,DecisionTreeRegressor
2.143,2.2070000000000003,DecisionTreeRegressor
3.099,1.6833333333333333,DecisionTreeRegressor
6.2,6.2204999999999995,DecisionTreeRegressor
1.292,1.6833333333333333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
6.039,6.0225,DecisionTreeRegressor
10.0,7.534589561350309,GradientBoostingRegressor
1.255,2.3009574394951824,GradientBoostingRegressor
0.3,2.3009574394951824,GradientBoostingRegressor
0.911,2.3009574394951824,GradientBoostingRegressor
1.056,2.3009574394951824,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,5.737011542472362,GradientBoostingRegressor
0.969,2.3009574394951824,GradientBoostingRegressor
6.236,5.574818733620144,GradientBoostingRegressor
1.186,2.3009574394951824,GradientBoostingRegressor
6.317,5.574818733620144,GradientBoostingRegressor
6.595,5.755635160633295,GradientBoostingRegressor
7.488,5.755635160633295,GradientBoostingRegressor
2.075,2.3009574394951824,GradientBoostingRegressor
6.067,5.574818733620144,GradientBoostingRegressor
2.143,2.3009574394951824,GradientBoostingRegressor
3.099,2.3009574394951824,GradientBoostingRegressor
6.2,5.574818733620144,GradientBoostingRegressor
1.292,2.3009574394951824,GradientBoostingRegressor
10.0,6.113427854738769,GradientBoostingRegressor
6.039,5.574818733620144,GradientBoostingRegressor
10.0,8.71983626190476,RandomForestRegressor
1.255,1.5135275555555558,RandomForestRegressor
0.3,0.9198027380952378,RandomForestRegressor
0.911,1.0252178968253967,RandomForestRegressor
1.056,1.232571904761905,RandomForestRegressor
5.0,6.308617333333334,RandomForestRegressor
7.236,6.857099285714285,RandomForestRegressor
0.969,1.0712967539682539,RandomForestRegressor
6.236,6.360830047619047,RandomForestRegressor
1.186,1.3162958253968258,RandomForestRegressor
6.317,6.255324285714284,RandomForestRegressor
6.595,6.659917404761903,RandomForestRegressor
7.488,7.203180063492065,RandomForestRegressor
2.075,2.2766919047619045,RandomForestRegressor
6.067,4.7561048095238085,RandomForestRegressor
2.143,2.1482129444444436,RandomForestRegressor
3.099,3.3722587705627696,RandomForestRegressor
6.2,6.2174588095238095,RandomForestRegressor
1.292,1.6280444126984128,RandomForestRegressor
10.0,8.794089904761906,RandomForestRegressor
6.039,6.077512603174602,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
1.255,1.3026534653465347,AdaBoostRegressor
0.3,1.3026534653465347,AdaBoostRegressor
0.911,1.3026534653465347,AdaBoostRegressor
1.056,1.3026534653465347,AdaBoostRegressor
5.0,10.0,AdaBoostRegressor
7.236,6.506297872340423,AdaBoostRegressor
0.969,1.3026534653465347,AdaBoostRegressor
