Actual,Predicted,Model
6.979,5.530925587562184,Ridge
0.625,1.0889021487860568,Ridge
0.0,-0.15444560320892542,Ridge
0.757,1.19944177171518,Ridge
0.0,-0.9726355653824674,Ridge
4.713,6.042660781241872,Ridge
4.238,3.857559522812994,Ridge
0.778,1.3640742643657753,Ridge
2.934,3.546754332843994,Ridge
0.819,1.7617072615665816,Ridge
5.722,5.828274667261095,Ridge
5.722,5.6081836610810125,Ridge
5.139,5.517249260607133,Ridge
4.639,4.684255200059128,Ridge
6.208,5.88469840523699,Ridge
3.49,3.9785869654993307,Ridge
6.102,5.890419126827327,Ridge
4.885,5.583092288918049,Ridge
0.0,0.1761994447384776,Ridge
5.556,5.823682922764892,Ridge
6.176,5.5906451384931986,Ridge
6.979,5.8835,DecisionTreeRegressor
0.625,0.7829999999999999,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.757,0.854,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.713,6.7265,DecisionTreeRegressor
4.238,5.8835,DecisionTreeRegressor
0.778,0.757,DecisionTreeRegressor
2.934,3.1075,DecisionTreeRegressor
0.819,0.7829999999999999,DecisionTreeRegressor
5.722,5.958,DecisionTreeRegressor
5.722,4.296,DecisionTreeRegressor
5.139,4.778,DecisionTreeRegressor
4.639,4.296,DecisionTreeRegressor
6.208,3.5265,DecisionTreeRegressor
3.49,3.8194999999999997,DecisionTreeRegressor
6.102,4.4165,DecisionTreeRegressor
4.885,6.7265,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.556,5.333,DecisionTreeRegressor
6.176,5.852,DecisionTreeRegressor
6.979,5.123431958686536,GradientBoostingRegressor
0.625,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
0.757,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
4.713,4.862816176622208,GradientBoostingRegressor
4.238,3.638512893207644,GradientBoostingRegressor
0.778,1.410688643267026,GradientBoostingRegressor
2.934,3.8603245782285445,GradientBoostingRegressor
0.819,1.410688643267026,GradientBoostingRegressor
5.722,5.123431958686536,GradientBoostingRegressor
5.722,4.84099411429626,GradientBoostingRegressor
5.139,4.675337564149951,GradientBoostingRegressor
4.639,4.472989308170232,GradientBoostingRegressor
6.208,5.123431958686536,GradientBoostingRegressor
3.49,3.784641977089914,GradientBoostingRegressor
6.102,4.862816176622208,GradientBoostingRegressor
4.885,4.675337564149951,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
5.556,4.559728651288316,GradientBoostingRegressor
6.176,5.123431958686536,GradientBoostingRegressor
6.979,5.823279999999998,RandomForestRegressor
0.625,1.5081399999999996,RandomForestRegressor
0.0,0.07783999999999999,RandomForestRegressor
0.757,1.2485900000000003,RandomForestRegressor
0.0,1.3916400000000004,RandomForestRegressor
4.713,5.823910000000001,RandomForestRegressor
4.238,4.328070000000004,RandomForestRegressor
0.778,0.82452,RandomForestRegressor
2.934,3.856369999999997,RandomForestRegressor
0.819,0.7786099999999998,RandomForestRegressor
5.722,5.720970000000001,RandomForestRegressor
5.722,5.3399,RandomForestRegressor
5.139,5.388160000000004,RandomForestRegressor
4.639,4.494789999999998,RandomForestRegressor
6.208,5.483749999999999,RandomForestRegressor
3.49,3.5973699999999997,RandomForestRegressor
6.102,5.905060000000002,RandomForestRegressor
4.885,5.248200000000001,RandomForestRegressor
0.0,0.4749699999999998,RandomForestRegressor
5.556,5.244909999999999,RandomForestRegressor
6.176,5.57542,RandomForestRegressor
6.979,6.488528571428568,AdaBoostRegressor
0.625,0.8053333333333333,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.759,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.713,5.919909090909095,AdaBoostRegressor
4.238,3.628533333333332,AdaBoostRegressor
0.778,0.70675,AdaBoostRegressor
2.934,3.6821111111111104,AdaBoostRegressor
0.819,0.7795,AdaBoostRegressor
5.722,6.539287878787879,AdaBoostRegressor
5.722,5.212395604395606,AdaBoostRegressor
5.139,5.24156896551724,AdaBoostRegressor
4.639,4.9341219512195105,AdaBoostRegressor
6.208,6.4761071428571455,AdaBoostRegressor
3.49,3.247272727272727,AdaBoostRegressor
6.102,5.850062500000001,AdaBoostRegressor
4.885,5.170157894736842,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.556,4.668555555555556,AdaBoostRegressor
6.176,6.155096385542171,AdaBoostRegressor
6.979,5.602119664322922,KNeighborsRegressor
0.625,2.204601294255111,KNeighborsRegressor
0.0,0.0775857381794605,KNeighborsRegressor
0.757,0.803308690292595,KNeighborsRegressor
0.0,4.595442937836604,KNeighborsRegressor
4.713,6.3964253742771895,KNeighborsRegressor
4.238,4.370077607123108,KNeighborsRegressor
0.778,0.7172851279420863,KNeighborsRegressor
2.934,4.142669456396986,KNeighborsRegressor
0.819,1.2549604600372661,KNeighborsRegressor
5.722,6.12990478107003,KNeighborsRegressor
5.722,4.748807724791655,KNeighborsRegressor
5.139,4.976018067055038,KNeighborsRegressor
4.639,4.147488447347954,KNeighborsRegressor
6.208,5.132103777594386,KNeighborsRegressor
3.49,2.6422526552725647,KNeighborsRegressor
6.102,6.0057673782081356,KNeighborsRegressor
4.885,4.365447839373947,KNeighborsRegressor
0.0,0.46442778963681997,KNeighborsRegressor
5.556,4.57327449210403,KNeighborsRegressor
6.176,5.701008827146144,KNeighborsRegressor
6.979,5.812358957615347,MLPRegressor
0.625,1.462101289209675,MLPRegressor
0.0,0.014541494250057616,MLPRegressor
0.757,0.7028862160936854,MLPRegressor
0.0,0.12915157714161157,MLPRegressor
4.713,6.563267921630007,MLPRegressor
4.238,4.240121633903341,MLPRegressor
0.778,0.8098845860882763,MLPRegressor
2.934,2.674350294038374,MLPRegressor
0.819,0.6951500513550734,MLPRegressor
5.722,5.96182817094625,MLPRegressor
5.722,6.7726707228122045,MLPRegressor
5.139,5.039340687088203,MLPRegressor
4.639,4.023158547399812,MLPRegressor
6.208,4.455221263716332,MLPRegressor
3.49,3.288132676247447,MLPRegressor
6.102,6.967101748225085,MLPRegressor
4.885,4.746369369873946,MLPRegressor
0.0,0.06455201711826757,MLPRegressor
5.556,7.155308643818421,MLPRegressor
6.176,6.089886521383766,MLPRegressor
6.979,4.975311580496056,ElasticNet
0.625,1.9804361099777803,ElasticNet
0.0,0.6803069219870634,ElasticNet
0.757,2.1245512427001607,ElasticNet
0.0,2.2791098135976293,ElasticNet
4.713,4.857883248716186,ElasticNet
4.238,4.4298228386481036,ElasticNet
0.778,1.8210971564834204,ElasticNet
2.934,3.8149491151382664,ElasticNet
0.819,2.1785671648940843,ElasticNet
5.722,4.886205805560539,ElasticNet
5.722,4.057177282151494,ElasticNet
5.139,4.58686375962763,ElasticNet
4.639,4.433084815295516,ElasticNet
6.208,4.7989920143738125,ElasticNet
3.49,3.278213631169742,ElasticNet
6.102,5.006733280962553,ElasticNet
4.885,4.667325703264923,ElasticNet
0.0,1.483946972384166,ElasticNet
5.556,3.9090934224121425,ElasticNet
6.176,4.514345275171046,ElasticNet
6.979,5.540894285599347,SGDRegressor
0.625,1.0446034051198163,SGDRegressor
0.0,-0.2041827879767908,SGDRegressor
0.757,1.1998931601281702,SGDRegressor
0.0,-1.058858607498406,SGDRegressor
4.713,6.065888754370411,SGDRegressor
4.238,3.8584460824623035,SGDRegressor
0.778,1.3725406545229248,SGDRegressor
2.934,3.5960463805831955,SGDRegressor
0.819,1.7154272375333974,SGDRegressor
5.722,5.856555932578855,SGDRegressor
5.722,5.614072088865418,SGDRegressor
5.139,5.5335805534867095,SGDRegressor
4.639,4.717043774005673,SGDRegressor
6.208,5.900841856372809,SGDRegressor
3.49,4.000465407759298,SGDRegressor
6.102,5.845687075228463,SGDRegressor
4.885,5.629719254453543,SGDRegressor
0.0,0.1477048565432919,SGDRegressor
5.556,5.851332884735997,SGDRegressor
6.176,5.577611365896042,SGDRegressor
6.979,5.531599845622972,BayesianRidge
0.625,1.0982275942493689,BayesianRidge
0.0,-0.1517524939932211,BayesianRidge
0.757,1.2039842279569442,BayesianRidge
0.0,-0.9471685836520223,BayesianRidge
4.713,6.037587981865217,BayesianRidge
4.238,3.864945603321293,BayesianRidge
0.778,1.3619833664120857,BayesianRidge
2.934,3.5454215327884993,BayesianRidge
0.819,1.7654263845882339,BayesianRidge
5.722,5.828332871549549,BayesianRidge
5.722,5.601755444549961,BayesianRidge
5.139,5.520025698237461,BayesianRidge
4.639,4.674165033525706,BayesianRidge
6.208,5.883824225675305,BayesianRidge
3.49,3.969319704621424,BayesianRidge
6.102,5.893302344101157,BayesianRidge
4.885,5.582875694332473,BayesianRidge
0.0,0.18845798481480402,BayesianRidge
5.556,5.814039323539412,BayesianRidge
6.176,5.586594997188154,BayesianRidge
6.979,6.097900684564091,KernelRidge
0.625,-0.22493410023649218,KernelRidge
0.0,-0.1731047470659961,KernelRidge
0.757,0.9703319548512805,KernelRidge
0.0,-1.2068427055027096,KernelRidge
4.713,7.126370290051824,KernelRidge
4.238,4.823618668795266,KernelRidge
0.778,0.9649503619751698,KernelRidge
2.934,3.4453076323498664,KernelRidge
0.819,1.2718231170288021,KernelRidge
5.722,5.9308163055156555,KernelRidge
5.722,5.540983414719133,KernelRidge
5.139,5.098852112642742,KernelRidge
4.639,3.5234430329917394,KernelRidge
6.208,5.774016017453018,KernelRidge
3.49,4.246440697513695,KernelRidge
6.102,7.07007131592351,KernelRidge
4.885,4.879574058638896,KernelRidge
0.0,-0.04514064287878483,KernelRidge
5.556,6.161727884590755,KernelRidge
6.176,5.39005555059521,KernelRidge
6.979,5.528407283041906,LinearRegression
0.625,1.0608756542270448,LinearRegression
0.0,-0.16359718845055848,LinearRegression
0.757,1.1809574955412785,LinearRegression
0.0,-1.0571909500907815,LinearRegression
