Actual,Predicted,Model
6.979,5.530925587562184,Ridge
0.625,1.0889021487860568,Ridge
0.0,-0.15444560320892542,Ridge
0.757,1.19944177171518,Ridge
0.0,-0.9726355653824674,Ridge
4.713,6.042660781241872,Ridge
4.238,3.857559522812994,Ridge
0.778,1.3640742643657753,Ridge
2.934,3.546754332843994,Ridge
0.819,1.7617072615665816,Ridge
5.722,5.828274667261095,Ridge
5.722,5.6081836610810125,Ridge
5.139,5.517249260607133,Ridge
4.639,4.684255200059128,Ridge
6.208,5.88469840523699,Ridge
3.49,3.9785869654993307,Ridge
6.102,5.890419126827327,Ridge
4.885,5.583092288918049,Ridge
0.0,0.1761994447384776,Ridge
5.556,5.823682922764892,Ridge
6.176,5.5906451384931986,Ridge
6.979,5.09,DecisionTreeRegressor
0.625,0.76225,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.757,0.8153333333333334,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.713,6.416666666666667,DecisionTreeRegressor
4.238,5.09,DecisionTreeRegressor
0.778,0.7416666666666666,DecisionTreeRegressor
2.934,4.1495,DecisionTreeRegressor
0.819,0.7025,DecisionTreeRegressor
5.722,4.884,DecisionTreeRegressor
5.722,6.986,DecisionTreeRegressor
5.139,6.426000000000001,DecisionTreeRegressor
4.639,5.2315000000000005,DecisionTreeRegressor
6.208,5.09,DecisionTreeRegressor
3.49,3.938,DecisionTreeRegressor
6.102,4.2035,DecisionTreeRegressor
4.885,4.778,DecisionTreeRegressor
0.0,0.7416666666666666,DecisionTreeRegressor
5.556,4.538,DecisionTreeRegressor
6.176,6.0,DecisionTreeRegressor
6.979,5.123335431374005,GradientBoostingRegressor
0.625,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
0.757,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
4.713,4.887585457939205,GradientBoostingRegressor
4.238,3.6385160829448138,GradientBoostingRegressor
0.778,1.410688643267026,GradientBoostingRegressor
2.934,3.8659498946955786,GradientBoostingRegressor
0.819,1.410688643267026,GradientBoostingRegressor
5.722,5.123335431374005,GradientBoostingRegressor
5.722,4.8354852995823965,GradientBoostingRegressor
5.139,4.669828749436087,GradientBoostingRegressor
4.639,4.469733750454095,GradientBoostingRegressor
6.208,5.123335431374005,GradientBoostingRegressor
3.49,3.7845264173019824,GradientBoostingRegressor
6.102,4.887585457939205,GradientBoostingRegressor
4.885,4.669828749436087,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
5.556,4.597062750440878,GradientBoostingRegressor
6.176,5.123335431374005,GradientBoostingRegressor
6.979,5.7671699999999975,RandomForestRegressor
0.625,1.32704,RandomForestRegressor
0.0,0.027489999999999997,RandomForestRegressor
0.757,1.257745,RandomForestRegressor
0.0,1.5638899999999998,RandomForestRegressor
4.713,5.660540000000001,RandomForestRegressor
4.238,4.335200000000003,RandomForestRegressor
0.778,0.7504899999999995,RandomForestRegressor
2.934,3.882009999999998,RandomForestRegressor
0.819,0.9322399999999997,RandomForestRegressor
5.722,5.603629999999999,RandomForestRegressor
5.722,4.974920000000001,RandomForestRegressor
5.139,5.2786500000000025,RandomForestRegressor
4.639,4.48057,RandomForestRegressor
6.208,5.432320000000001,RandomForestRegressor
3.49,3.717814999999997,RandomForestRegressor
6.102,5.726890000000002,RandomForestRegressor
4.885,5.02757,RandomForestRegressor
0.0,0.6434099999999998,RandomForestRegressor
5.556,5.217890000000001,RandomForestRegressor
6.176,5.518310000000001,RandomForestRegressor
6.979,6.437079999999997,AdaBoostRegressor
0.625,0.7742857142857142,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.7306333333333331,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.713,6.097444444444444,AdaBoostRegressor
4.238,3.708340909090911,AdaBoostRegressor
0.778,0.7178888888888889,AdaBoostRegressor
2.934,3.708340909090911,AdaBoostRegressor
0.819,0.7432727272727274,AdaBoostRegressor
5.722,6.455083333333337,AdaBoostRegressor
5.722,5.244750000000001,AdaBoostRegressor
5.139,5.592949999999998,AdaBoostRegressor
4.639,4.575166666666669,AdaBoostRegressor
6.208,6.37728947368421,AdaBoostRegressor
3.49,3.008709677419355,AdaBoostRegressor
6.102,5.8574117647058825,AdaBoostRegressor
4.885,5.360113636363638,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.556,4.977999999999999,AdaBoostRegressor
6.176,6.37728947368421,AdaBoostRegressor
6.979,5.602119664322922,KNeighborsRegressor
0.625,2.204601294255111,KNeighborsRegressor
0.0,0.0775857381794605,KNeighborsRegressor
0.757,0.803308690292595,KNeighborsRegressor
0.0,4.595442937836604,KNeighborsRegressor
4.713,6.3964253742771895,KNeighborsRegressor
4.238,4.370077607123108,KNeighborsRegressor
0.778,0.7172851279420863,KNeighborsRegressor
2.934,4.142669456396986,KNeighborsRegressor
0.819,1.2549604600372661,KNeighborsRegressor
5.722,6.12990478107003,KNeighborsRegressor
5.722,4.748807724791655,KNeighborsRegressor
5.139,4.976018067055038,KNeighborsRegressor
4.639,4.147488447347954,KNeighborsRegressor
6.208,5.132103777594386,KNeighborsRegressor
3.49,2.6422526552725647,KNeighborsRegressor
6.102,6.0057673782081356,KNeighborsRegressor
4.885,4.365447839373947,KNeighborsRegressor
0.0,0.46442778963681997,KNeighborsRegressor
5.556,4.57327449210403,KNeighborsRegressor
6.176,5.701008827146144,KNeighborsRegressor
6.979,5.757843774133822,MLPRegressor
0.625,1.1725457438139046,MLPRegressor
0.0,0.061638286753610994,MLPRegressor
0.757,0.6030891342694435,MLPRegressor
0.0,-0.18799525685082633,MLPRegressor
4.713,6.6855185808168445,MLPRegressor
4.238,3.788945074851264,MLPRegressor
0.778,0.66303688472739,MLPRegressor
2.934,3.233787206677412,MLPRegressor
0.819,0.7838119271777931,MLPRegressor
5.722,6.292064423292657,MLPRegressor
5.722,6.108500599689926,MLPRegressor
5.139,5.3835232772836585,MLPRegressor
4.639,3.8531069841164722,MLPRegressor
6.208,5.331675393334277,MLPRegressor
3.49,3.728545662830308,MLPRegressor
6.102,6.355512636574832,MLPRegressor
4.885,5.234017341490519,MLPRegressor
0.0,0.056890848835783686,MLPRegressor
5.556,6.2946933168444295,MLPRegressor
6.176,5.82598644851667,MLPRegressor
6.979,4.975347458278718,ElasticNet
0.625,1.9804349850999599,ElasticNet
0.0,0.6803744929242495,ElasticNet
0.757,2.1245330376652807,ElasticNet
0.0,2.279195856932123,ElasticNet
4.713,4.857789380649922,ElasticNet
4.238,4.42983242357441,ElasticNet
0.778,1.8210644760811427,ElasticNet
2.934,3.815025781895053,ElasticNet
0.819,2.178460196182824,ElasticNet
5.722,4.886212535254892,ElasticNet
5.722,4.05720252509307,ElasticNet
5.139,4.586843580443944,ElasticNet
4.639,4.433108218864556,ElasticNet
6.208,4.799042123318675,ElasticNet
3.49,3.2783160795143496,ElasticNet
6.102,5.006673363803256,ElasticNet
4.885,4.667432068736279,ElasticNet
0.0,1.4838191038285333,ElasticNet
5.556,3.9090136811411167,ElasticNet
6.176,4.514337406107474,ElasticNet
6.979,5.542751402691085,SGDRegressor
0.625,1.0536920418134446,SGDRegressor
0.0,-0.1762045444473701,SGDRegressor
0.757,1.1896018692921508,SGDRegressor
0.0,-1.0795542019475324,SGDRegressor
4.713,6.05782222198266,SGDRegressor
4.238,3.837804864895532,SGDRegressor
0.778,1.3610727178389834,SGDRegressor
2.934,3.5778413253222157,SGDRegressor
0.819,1.7460791237495097,SGDRegressor
5.722,5.8359129112349395,SGDRegressor
5.722,5.621533035061691,SGDRegressor
5.139,5.523099325567902,SGDRegressor
4.639,4.707768838916165,SGDRegressor
6.208,5.913590369988581,SGDRegressor
3.49,4.008500805350952,SGDRegressor
6.102,5.846360041023277,SGDRegressor
4.885,5.577611795650666,SGDRegressor
0.0,0.13629385248225256,SGDRegressor
5.556,5.879952218112937,SGDRegressor
6.176,5.611600973611832,SGDRegressor
6.979,5.531599845622972,BayesianRidge
0.625,1.0982275942493689,BayesianRidge
0.0,-0.1517524939932211,BayesianRidge
0.757,1.2039842279569442,BayesianRidge
0.0,-0.9471685836520223,BayesianRidge
4.713,6.037587981865217,BayesianRidge
4.238,3.864945603321293,BayesianRidge
0.778,1.3619833664120857,BayesianRidge
2.934,3.5454215327884993,BayesianRidge
0.819,1.7654263845882339,BayesianRidge
5.722,5.828332871549549,BayesianRidge
5.722,5.601755444549961,BayesianRidge
5.139,5.520025698237461,BayesianRidge
4.639,4.674165033525706,BayesianRidge
6.208,5.883824225675305,BayesianRidge
3.49,3.969319704621424,BayesianRidge
6.102,5.893302344101157,BayesianRidge
4.885,5.582875694332473,BayesianRidge
0.0,0.18845798481480402,BayesianRidge
5.556,5.814039323539412,BayesianRidge
6.176,5.586594997188154,BayesianRidge
6.979,6.097900684564091,KernelRidge
0.625,-0.22493410023649218,KernelRidge
0.0,-0.1731047470659961,KernelRidge
0.757,0.9703319548512805,KernelRidge
0.0,-1.2068427055027096,KernelRidge
4.713,7.126370290051824,KernelRidge
4.238,4.823618668795266,KernelRidge
0.778,0.9649503619751698,KernelRidge
2.934,3.4453076323498664,KernelRidge
0.819,1.2718231170288021,KernelRidge
5.722,5.9308163055156555,KernelRidge
5.722,5.540983414719133,KernelRidge
5.139,5.098852112642742,KernelRidge
4.639,3.5234430329917394,KernelRidge
6.208,5.774016017453018,KernelRidge
3.49,4.246440697513695,KernelRidge
6.102,7.07007131592351,KernelRidge
4.885,4.879574058638896,KernelRidge
0.0,-0.04514064287878483,KernelRidge
5.556,6.161727884590755,KernelRidge
6.176,5.39005555059521,KernelRidge
6.979,5.528407283041906,LinearRegression
0.625,1.0608756542270448,LinearRegression
0.0,-0.16359718845055848,LinearRegression
0.757,1.1809574955412785,LinearRegression
