Actual,Predicted,Model
6.979,5.531007135004991,Ridge
0.625,1.0893424770365137,Ridge
0.0,-0.15463986671738317,Ridge
0.757,1.1983654383504447,Ridge
0.0,-0.9733850159091118,Ridge
4.713,6.0431769587080275,Ridge
4.238,3.8572233909936293,Ridge
0.778,1.3633634627772233,Ridge
2.934,3.5467814157497917,Ridge
0.819,1.7620684398241702,Ridge
5.722,5.829134569754331,Ridge
5.722,5.608939485341596,Ridge
5.139,5.518650807975001,Ridge
4.639,4.683757263149814,Ridge
6.208,5.886056057575214,Ridge
3.49,3.9769891351171403,Ridge
6.102,5.890495817451139,Ridge
4.885,5.582781070110882,Ridge
0.0,0.17499962788526302,Ridge
5.556,5.8235295585991995,Ridge
6.176,5.590697288272078,Ridge
6.979,7.108,DecisionTreeRegressor
0.625,0.764,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.757,0.863,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.713,5.972,DecisionTreeRegressor
4.238,4.312,DecisionTreeRegressor
0.778,0.778,DecisionTreeRegressor
2.934,4.219,DecisionTreeRegressor
0.819,0.733,DecisionTreeRegressor
5.722,6.194,DecisionTreeRegressor
5.722,4.157,DecisionTreeRegressor
5.139,5.701,DecisionTreeRegressor
4.639,3.99,DecisionTreeRegressor
6.208,7.108,DecisionTreeRegressor
3.49,3.938,DecisionTreeRegressor
6.102,7.398,DecisionTreeRegressor
4.885,4.157,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.556,6.556,DecisionTreeRegressor
6.176,6.101,DecisionTreeRegressor
6.979,5.123335431374005,GradientBoostingRegressor
0.625,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
0.757,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
4.713,4.870256828979451,GradientBoostingRegressor
4.238,3.63851519795953,GradientBoostingRegressor
0.778,1.410688643267026,GradientBoostingRegressor
2.934,3.8639418369022236,GradientBoostingRegressor
0.819,1.410688643267026,GradientBoostingRegressor
5.722,5.123335431374005,GradientBoostingRegressor
5.722,4.839245662897587,GradientBoostingRegressor
5.139,4.673589112751277,GradientBoostingRegressor
4.639,4.476638494221557,GradientBoostingRegressor
6.208,5.123335431374005,GradientBoostingRegressor
