Actual,Predicted,Model
6.979,5.530925587562184,Ridge
0.625,1.0889021487860568,Ridge
0.0,-0.15444560320892542,Ridge
0.757,1.19944177171518,Ridge
0.0,-0.9726355653824674,Ridge
4.713,6.042660781241872,Ridge
4.238,3.857559522812994,Ridge
0.778,1.3640742643657753,Ridge
2.934,3.546754332843994,Ridge
0.819,1.7617072615665816,Ridge
5.722,5.828274667261095,Ridge
5.722,5.6081836610810125,Ridge
5.139,5.517249260607133,Ridge
4.639,4.684255200059128,Ridge
6.208,5.88469840523699,Ridge
3.49,3.9785869654993307,Ridge
6.102,5.890419126827327,Ridge
4.885,5.583092288918049,Ridge
0.0,0.1761994447384776,Ridge
5.556,5.823682922764892,Ridge
6.176,5.5906451384931986,Ridge
6.979,5.55,DecisionTreeRegressor
0.625,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.757,0.863,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.713,5.904333333333334,DecisionTreeRegressor
4.238,4.134,DecisionTreeRegressor
0.778,0.48133333333333334,DecisionTreeRegressor
2.934,3.809,DecisionTreeRegressor
0.819,0.0,DecisionTreeRegressor
5.722,5.904333333333334,DecisionTreeRegressor
5.722,3.809,DecisionTreeRegressor
5.139,5.904333333333334,DecisionTreeRegressor
4.639,3.809,DecisionTreeRegressor
6.208,5.848333333333334,DecisionTreeRegressor
3.49,3.7399999999999998,DecisionTreeRegressor
6.102,5.832333333333334,DecisionTreeRegressor
4.885,6.422666666666667,DecisionTreeRegressor
0.0,3.624333333333334,DecisionTreeRegressor
5.556,6.352,DecisionTreeRegressor
6.176,5.778,DecisionTreeRegressor
6.979,5.123431958686536,GradientBoostingRegressor
0.625,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
0.757,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
4.713,4.862533679069928,GradientBoostingRegressor
4.238,3.6385115978476272,GradientBoostingRegressor
0.778,1.410688643267026,GradientBoostingRegressor
2.934,3.8562669095457487,GradientBoostingRegressor
0.819,1.410688643267026,GradientBoostingRegressor
5.722,5.123431958686536,GradientBoostingRegressor
5.722,4.840703457743981,GradientBoostingRegressor
5.139,4.675046907597672,GradientBoostingRegressor
4.639,4.473023831122841,GradientBoostingRegressor
6.208,5.123431958686536,GradientBoostingRegressor
3.49,3.784688906200644,GradientBoostingRegressor
6.102,4.862533679069928,GradientBoostingRegressor
4.885,4.675046907597672,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
5.556,4.618333194106669,GradientBoostingRegressor
6.176,5.123431958686536,GradientBoostingRegressor
6.979,5.818600000000001,RandomForestRegressor
0.625,1.1931999999999998,RandomForestRegressor
0.0,0.013879999999999998,RandomForestRegressor
0.757,1.14794,RandomForestRegressor
0.0,1.36924,RandomForestRegressor
4.713,5.605300000000001,RandomForestRegressor
4.238,4.336420000000001,RandomForestRegressor
0.778,0.7271199999999998,RandomForestRegressor
2.934,4.11546,RandomForestRegressor
0.819,0.65738,RandomForestRegressor
5.722,5.74742,RandomForestRegressor
5.722,5.283399999999999,RandomForestRegressor
5.139,5.020080000000001,RandomForestRegressor
4.639,4.597499999999999,RandomForestRegressor
6.208,5.194780000000001,RandomForestRegressor
3.49,3.280500000000001,RandomForestRegressor
6.102,5.5964599999999995,RandomForestRegressor
4.885,5.278719999999998,RandomForestRegressor
0.0,0.5567799999999999,RandomForestRegressor
5.556,5.2702800000000005,RandomForestRegressor
6.176,5.787759999999999,RandomForestRegressor
6.979,6.512937500000003,AdaBoostRegressor
0.625,0.7759999999999999,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.743,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.713,6.035631578947377,AdaBoostRegressor
4.238,3.594212765957446,AdaBoostRegressor
0.778,0.7040000000000001,AdaBoostRegressor
2.934,3.6556666666666664,AdaBoostRegressor
0.819,0.7496666666666666,AdaBoostRegressor
5.722,6.570979166666668,AdaBoostRegressor
5.722,5.325666666666667,AdaBoostRegressor
5.139,5.2147999999999985,AdaBoostRegressor
4.639,4.595999999999999,AdaBoostRegressor
6.208,6.500683333333334,AdaBoostRegressor
3.49,3.561181818181818,AdaBoostRegressor
6.102,5.856795180722892,AdaBoostRegressor
4.885,5.320523809523812,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.556,4.785583333333332,AdaBoostRegressor
6.176,6.377637931034486,AdaBoostRegressor
6.979,5.602119664322922,KNeighborsRegressor
0.625,2.204601294255111,KNeighborsRegressor
0.0,0.0775857381794605,KNeighborsRegressor
0.757,0.803308690292595,KNeighborsRegressor
0.0,4.595442937836604,KNeighborsRegressor
4.713,6.3964253742771895,KNeighborsRegressor
4.238,4.370077607123108,KNeighborsRegressor
0.778,0.7172851279420863,KNeighborsRegressor
2.934,4.142669456396986,KNeighborsRegressor
0.819,1.2549604600372661,KNeighborsRegressor
5.722,6.12990478107003,KNeighborsRegressor
5.722,4.748807724791655,KNeighborsRegressor
5.139,4.976018067055038,KNeighborsRegressor
4.639,4.147488447347954,KNeighborsRegressor
6.208,5.132103777594386,KNeighborsRegressor
3.49,2.6422526552725647,KNeighborsRegressor
6.102,6.0057673782081356,KNeighborsRegressor
4.885,4.365447839373947,KNeighborsRegressor
0.0,0.46442778963681997,KNeighborsRegressor
5.556,4.57327449210403,KNeighborsRegressor
6.176,5.701008827146144,KNeighborsRegressor
6.979,5.761627238798427,MLPRegressor
0.625,1.4084262763636735,MLPRegressor
0.0,0.04457466523356243,MLPRegressor
0.757,0.6396498596324425,MLPRegressor
0.0,-0.15632459361984694,MLPRegressor
4.713,6.44914804194796,MLPRegressor
4.238,3.6188145387296418,MLPRegressor
0.778,0.6762245964410827,MLPRegressor
2.934,3.7922247815118912,MLPRegressor
0.819,0.6303327160862591,MLPRegressor
5.722,6.103327267683405,MLPRegressor
5.722,6.147141143429518,MLPRegressor
5.139,5.661115765014258,MLPRegressor
4.639,3.9459449846508208,MLPRegressor
6.208,5.345552824777439,MLPRegressor
3.49,3.761900179251279,MLPRegressor
6.102,6.40204112122756,MLPRegressor
4.885,5.313368256510911,MLPRegressor
0.0,0.17212226379791393,MLPRegressor
5.556,6.205358219162833,MLPRegressor
6.176,5.836425957817231,MLPRegressor
6.979,4.975359360932242,ElasticNet
0.625,1.9804581451646177,ElasticNet
0.0,0.6802903834286513,ElasticNet
0.757,2.124561842224921,ElasticNet
0.0,2.2791708131982817,ElasticNet
4.713,4.85791598203453,ElasticNet
4.238,4.429827896996977,ElasticNet
0.778,1.8210734909663482,ElasticNet
2.934,3.8149802254805594,ElasticNet
0.819,2.178571624300247,ElasticNet
5.722,4.886236610606808,ElasticNet
5.722,4.057187934436245,ElasticNet
5.139,4.586872160667058,ElasticNet
4.639,4.433072841139273,ElasticNet
6.208,4.798968557227223,ElasticNet
3.49,3.27824296417504,ElasticNet
6.102,5.006715125303866,ElasticNet
4.885,4.667342019963989,ElasticNet
0.0,1.4839059138645017,ElasticNet
5.556,3.909105102600624,ElasticNet
6.176,4.51438606889018,ElasticNet
6.979,5.529419921668856,SGDRegressor
0.625,1.092110384665188,SGDRegressor
0.0,-0.16364193164994711,SGDRegressor
0.757,1.2349775688423037,SGDRegressor
0.0,-0.9338035349409175,SGDRegressor
4.713,6.019288638286136,SGDRegressor
4.238,3.876116342059815,SGDRegressor
0.778,1.3524722372279252,SGDRegressor
2.934,3.618576314191999,SGDRegressor
0.819,1.7788042116579164,SGDRegressor
5.722,5.855063627948951,SGDRegressor
5.722,5.646209468197139,SGDRegressor
5.139,5.608609361397073,SGDRegressor
4.639,4.656633631910511,SGDRegressor
6.208,5.917614609570362,SGDRegressor
3.49,3.95813288709188,SGDRegressor
6.102,5.906070037273638,SGDRegressor
4.885,5.617964130130213,SGDRegressor
0.0,0.24458259697602225,SGDRegressor
5.556,5.8425435169266375,SGDRegressor
6.176,5.614390255539191,SGDRegressor
6.979,5.531599845622972,BayesianRidge
0.625,1.0982275942493689,BayesianRidge
0.0,-0.1517524939932211,BayesianRidge
0.757,1.2039842279569442,BayesianRidge
0.0,-0.9471685836520223,BayesianRidge
4.713,6.037587981865217,BayesianRidge
4.238,3.864945603321293,BayesianRidge
0.778,1.3619833664120857,BayesianRidge
2.934,3.5454215327884993,BayesianRidge
0.819,1.7654263845882339,BayesianRidge
5.722,5.828332871549549,BayesianRidge
5.722,5.601755444549961,BayesianRidge
5.139,5.520025698237461,BayesianRidge
4.639,4.674165033525706,BayesianRidge
6.208,5.883824225675305,BayesianRidge
3.49,3.969319704621424,BayesianRidge
6.102,5.893302344101157,BayesianRidge
4.885,5.582875694332473,BayesianRidge
0.0,0.18845798481480402,BayesianRidge
5.556,5.814039323539412,BayesianRidge
6.176,5.586594997188154,BayesianRidge
6.979,6.097900684564091,KernelRidge
0.625,-0.22493410023649218,KernelRidge
0.0,-0.1731047470659961,KernelRidge
0.757,0.9703319548512805,KernelRidge
0.0,-1.2068427055027096,KernelRidge
4.713,7.126370290051824,KernelRidge
4.238,4.823618668795266,KernelRidge
0.778,0.9649503619751698,KernelRidge
2.934,3.4453076323498664,KernelRidge
0.819,1.2718231170288021,KernelRidge
5.722,5.9308163055156555,KernelRidge
5.722,5.540983414719133,KernelRidge
5.139,5.098852112642742,KernelRidge
4.639,3.5234430329917394,KernelRidge
6.208,5.774016017453018,KernelRidge
3.49,4.246440697513695,KernelRidge
6.102,7.07007131592351,KernelRidge
4.885,4.879574058638896,KernelRidge
0.0,-0.04514064287878483,KernelRidge
5.556,6.161727884590755,KernelRidge
6.176,5.39005555059521,KernelRidge
6.979,5.528407283041906,LinearRegression
0.625,1.0608756542270448,LinearRegression
0.0,-0.16359718845055848,LinearRegression
0.757,1.1809574955412785,LinearRegression
