Actual,Predicted,Model
6.979,5.530925587562184,Ridge
0.625,1.0889021487860568,Ridge
0.0,-0.15444560320892542,Ridge
0.757,1.19944177171518,Ridge
0.0,-0.9726355653824674,Ridge
4.713,6.042660781241872,Ridge
4.238,3.857559522812994,Ridge
0.778,1.3640742643657753,Ridge
2.934,3.546754332843994,Ridge
0.819,1.7617072615665816,Ridge
5.722,5.828274667261095,Ridge
5.722,5.6081836610810125,Ridge
5.139,5.517249260607133,Ridge
4.639,4.684255200059128,Ridge
6.208,5.88469840523699,Ridge
3.49,3.9785869654993307,Ridge
6.102,5.890419126827327,Ridge
4.885,5.583092288918049,Ridge
0.0,0.1761994447384776,Ridge
5.556,5.823682922764892,Ridge
6.176,5.5906451384931986,Ridge
6.979,6.5504999999999995,DecisionTreeRegressor
0.625,0.7915,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.757,0.7816666666666666,DecisionTreeRegressor
0.0,2.9585,DecisionTreeRegressor
4.713,6.3885000000000005,DecisionTreeRegressor
4.238,3.425333333333333,DecisionTreeRegressor
0.778,0.744,DecisionTreeRegressor
2.934,4.492666666666667,DecisionTreeRegressor
0.819,0.744,DecisionTreeRegressor
5.722,5.639,DecisionTreeRegressor
5.722,4.2575,DecisionTreeRegressor
5.139,4.685333333333333,DecisionTreeRegressor
4.639,6.157500000000001,DecisionTreeRegressor
6.208,1.8195,DecisionTreeRegressor
3.49,3.84225,DecisionTreeRegressor
6.102,5.912,DecisionTreeRegressor
4.885,5.517,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.556,5.975499999999999,DecisionTreeRegressor
6.176,5.487666666666667,DecisionTreeRegressor
6.979,5.123335431374005,GradientBoostingRegressor
0.625,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
0.757,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
4.713,4.864452062997716,GradientBoostingRegressor
4.238,3.6385091751768557,GradientBoostingRegressor
0.778,1.410688643267026,GradientBoostingRegressor
2.934,3.851438828187396,GradientBoostingRegressor
0.819,1.410688643267026,GradientBoostingRegressor
5.722,5.123335431374005,GradientBoostingRegressor
5.722,4.843342484810139,GradientBoostingRegressor
5.139,4.67768593466383,GradientBoostingRegressor
4.639,4.477590935681839,GradientBoostingRegressor
6.208,5.123335431374005,GradientBoostingRegressor
3.49,3.784776676228572,GradientBoostingRegressor
6.102,4.864452062997716,GradientBoostingRegressor
4.885,4.67768593466383,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
5.556,4.651641463251204,GradientBoostingRegressor
6.176,5.123335431374005,GradientBoostingRegressor
6.979,5.761909999999999,RandomForestRegressor
0.625,1.3985099999999995,RandomForestRegressor
0.0,0.07722,RandomForestRegressor
0.757,1.18161,RandomForestRegressor
0.0,1.585575,RandomForestRegressor
4.713,5.658460000000002,RandomForestRegressor
4.238,4.3203949999999995,RandomForestRegressor
0.778,0.75342,RandomForestRegressor
2.934,3.917329999999997,RandomForestRegressor
0.819,0.9392800000000002,RandomForestRegressor
5.722,5.822125,RandomForestRegressor
5.722,5.084739999999999,RandomForestRegressor
5.139,5.19846,RandomForestRegressor
4.639,4.68817,RandomForestRegressor
6.208,5.540109999999999,RandomForestRegressor
3.49,3.5644949999999995,RandomForestRegressor
6.102,5.981050000000006,RandomForestRegressor
4.885,5.0763050000000005,RandomForestRegressor
0.0,0.9873399999999998,RandomForestRegressor
5.556,5.234329999999999,RandomForestRegressor
6.176,5.596635000000001,RandomForestRegressor
6.979,6.180569230769229,AdaBoostRegressor
0.625,0.7339285714285714,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.7339285714285714,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.713,5.841797619047616,AdaBoostRegressor
4.238,3.505257142857144,AdaBoostRegressor
0.778,0.7332857142857143,AdaBoostRegressor
2.934,3.6148787878787876,AdaBoostRegressor
0.819,0.7335714285714285,AdaBoostRegressor
5.722,6.072819672131145,AdaBoostRegressor
5.722,5.095088888888889,AdaBoostRegressor
5.139,5.129999999999999,AdaBoostRegressor
4.639,5.020333333333333,AdaBoostRegressor
6.208,6.180569230769229,AdaBoostRegressor
3.49,3.463054054054054,AdaBoostRegressor
6.102,5.841797619047616,AdaBoostRegressor
4.885,5.155,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.556,4.942636363636362,AdaBoostRegressor
6.176,5.982918032786881,AdaBoostRegressor
6.979,5.602119664322922,KNeighborsRegressor
0.625,2.204601294255111,KNeighborsRegressor
0.0,0.0775857381794605,KNeighborsRegressor
0.757,0.803308690292595,KNeighborsRegressor
0.0,4.595442937836604,KNeighborsRegressor
4.713,6.3964253742771895,KNeighborsRegressor
4.238,4.370077607123108,KNeighborsRegressor
0.778,0.7172851279420863,KNeighborsRegressor
2.934,4.142669456396986,KNeighborsRegressor
0.819,1.2549604600372661,KNeighborsRegressor
5.722,6.12990478107003,KNeighborsRegressor
5.722,4.748807724791655,KNeighborsRegressor
5.139,4.976018067055038,KNeighborsRegressor
4.639,4.147488447347954,KNeighborsRegressor
6.208,5.132103777594386,KNeighborsRegressor
3.49,2.6422526552725647,KNeighborsRegressor
6.102,6.0057673782081356,KNeighborsRegressor
4.885,4.365447839373947,KNeighborsRegressor
0.0,0.46442778963681997,KNeighborsRegressor
5.556,4.57327449210403,KNeighborsRegressor
6.176,5.701008827146144,KNeighborsRegressor
6.979,5.8110771141517175,MLPRegressor
0.625,1.1276054074479882,MLPRegressor
0.0,0.058185053537980785,MLPRegressor
0.757,0.5916276897923652,MLPRegressor
0.0,-0.005119418200933007,MLPRegressor
4.713,6.635695137741447,MLPRegressor
4.238,3.5632815872784454,MLPRegressor
0.778,0.6272968993393085,MLPRegressor
2.934,3.11725055415291,MLPRegressor
0.819,0.603762631967595,MLPRegressor
5.722,6.307890778953136,MLPRegressor
5.722,6.272164238854513,MLPRegressor
5.139,5.646070196332163,MLPRegressor
4.639,3.926245857836902,MLPRegressor
6.208,5.1961529308934855,MLPRegressor
3.49,3.7062331642695514,MLPRegressor
6.102,6.3321030464782115,MLPRegressor
4.885,5.199449527977983,MLPRegressor
0.0,0.129291703219646,MLPRegressor
5.556,5.950128644153459,MLPRegressor
6.176,5.740534578481398,MLPRegressor
6.979,4.975286871183542,ElasticNet
0.625,1.9808717138442775,ElasticNet
0.0,0.6802544673472406,ElasticNet
0.757,2.124341416235816,ElasticNet
0.0,2.2797493730746328,ElasticNet
4.713,4.8580943861465595,ElasticNet
4.238,4.430018457261864,ElasticNet
0.778,1.8209748792836828,ElasticNet
2.934,3.8153141099577192,ElasticNet
0.819,2.178267566590696,ElasticNet
5.722,4.886421872609762,ElasticNet
5.722,4.057060275786803,ElasticNet
5.139,4.586779522330687,ElasticNet
4.639,4.433564852304526,ElasticNet
6.208,4.7983071953519785,ElasticNet
3.49,3.278174729334733,ElasticNet
6.102,5.006880839485144,ElasticNet
4.885,4.667710889732992,ElasticNet
0.0,1.4837346457343101,ElasticNet
5.556,3.908939048227185,ElasticNet
6.176,4.513981938850742,ElasticNet
6.979,5.525896008767212,SGDRegressor
0.625,1.0824058489368111,SGDRegressor
0.0,-0.16539155184900167,SGDRegressor
0.757,1.1897683907297023,SGDRegressor
0.0,-1.034363890857573,SGDRegressor
4.713,6.042110748841801,SGDRegressor
4.238,3.8372241824824136,SGDRegressor
0.778,1.368703664919408,SGDRegressor
2.934,3.5503435846123357,SGDRegressor
0.819,1.7556353298291858,SGDRegressor
5.722,5.830890823654803,SGDRegressor
5.722,5.616796436350548,SGDRegressor
5.139,5.501235679329072,SGDRegressor
4.639,4.694567075242001,SGDRegressor
6.208,5.900087419021684,SGDRegressor
3.49,3.991153286190508,SGDRegressor
6.102,5.871912619335632,SGDRegressor
4.885,5.588367549431796,SGDRegressor
0.0,0.15542277276083238,SGDRegressor
5.556,5.849891289726703,SGDRegressor
6.176,5.582627536091385,SGDRegressor
6.979,5.531599845622972,BayesianRidge
0.625,1.0982275942493689,BayesianRidge
0.0,-0.1517524939932211,BayesianRidge
0.757,1.2039842279569442,BayesianRidge
0.0,-0.9471685836520223,BayesianRidge
4.713,6.037587981865217,BayesianRidge
4.238,3.864945603321293,BayesianRidge
0.778,1.3619833664120857,BayesianRidge
2.934,3.5454215327884993,BayesianRidge
0.819,1.7654263845882339,BayesianRidge
5.722,5.828332871549549,BayesianRidge
5.722,5.601755444549961,BayesianRidge
5.139,5.520025698237461,BayesianRidge
4.639,4.674165033525706,BayesianRidge
6.208,5.883824225675305,BayesianRidge
3.49,3.969319704621424,BayesianRidge
6.102,5.893302344101157,BayesianRidge
4.885,5.582875694332473,BayesianRidge
0.0,0.18845798481480402,BayesianRidge
5.556,5.814039323539412,BayesianRidge
6.176,5.586594997188154,BayesianRidge
6.979,6.097900684564091,KernelRidge
0.625,-0.22493410023649218,KernelRidge
0.0,-0.1731047470659961,KernelRidge
0.757,0.9703319548512805,KernelRidge
0.0,-1.2068427055027096,KernelRidge
4.713,7.126370290051824,KernelRidge
4.238,4.823618668795266,KernelRidge
0.778,0.9649503619751698,KernelRidge
2.934,3.4453076323498664,KernelRidge
0.819,1.2718231170288021,KernelRidge
5.722,5.9308163055156555,KernelRidge
5.722,5.540983414719133,KernelRidge
5.139,5.098852112642742,KernelRidge
4.639,3.5234430329917394,KernelRidge
6.208,5.774016017453018,KernelRidge
3.49,4.246440697513695,KernelRidge
6.102,7.07007131592351,KernelRidge
4.885,4.879574058638896,KernelRidge
0.0,-0.04514064287878483,KernelRidge
5.556,6.161727884590755,KernelRidge
6.176,5.39005555059521,KernelRidge
6.979,5.528407283041906,LinearRegression
0.625,1.0608756542270448,LinearRegression
0.0,-0.16359718845055848,LinearRegression
0.757,1.1809574955412785,LinearRegression
