Actual,Predicted,Model
6.979,5.530925587562184,Ridge
0.625,1.0889021487860568,Ridge
0.0,-0.15444560320892542,Ridge
0.757,1.19944177171518,Ridge
0.0,-0.9726355653824674,Ridge
4.713,6.042660781241872,Ridge
4.238,3.857559522812994,Ridge
0.778,1.3640742643657753,Ridge
2.934,3.546754332843994,Ridge
0.819,1.7617072615665816,Ridge
5.722,5.828274667261095,Ridge
5.722,5.6081836610810125,Ridge
5.139,5.517249260607133,Ridge
4.639,4.684255200059128,Ridge
6.208,5.88469840523699,Ridge
3.49,3.9785869654993307,Ridge
6.102,5.890419126827327,Ridge
4.885,5.583092288918049,Ridge
0.0,0.1761994447384776,Ridge
5.556,5.823682922764892,Ridge
6.176,5.5906451384931986,Ridge
6.979,5.6615,DecisionTreeRegressor
0.625,4.167,DecisionTreeRegressor
0.0,0.3774418604651163,DecisionTreeRegressor
0.757,0.427,DecisionTreeRegressor
0.0,4.219,DecisionTreeRegressor
4.713,5.852,DecisionTreeRegressor
4.238,3.7855,DecisionTreeRegressor
0.778,0.3774418604651163,DecisionTreeRegressor
2.934,4.219,DecisionTreeRegressor
0.819,0.18325,DecisionTreeRegressor
5.722,5.1995000000000005,DecisionTreeRegressor
5.722,0.9736666666666666,DecisionTreeRegressor
5.139,5.1995000000000005,DecisionTreeRegressor
4.639,5.342499999999999,DecisionTreeRegressor
6.208,4.5745,DecisionTreeRegressor
3.49,3.931,DecisionTreeRegressor
6.102,5.815,DecisionTreeRegressor
4.885,6.212,DecisionTreeRegressor
0.0,0.3774418604651163,DecisionTreeRegressor
5.556,5.333,DecisionTreeRegressor
6.176,6.532,DecisionTreeRegressor
6.979,5.123335431374005,GradientBoostingRegressor
0.625,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
0.757,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
4.713,4.865798010749798,GradientBoostingRegressor
4.238,3.6385134796467926,GradientBoostingRegressor
0.778,1.410688643267026,GradientBoostingRegressor
2.934,3.8613183865438763,GradientBoostingRegressor
0.819,1.410688643267026,GradientBoostingRegressor
5.722,5.123335431374005,GradientBoostingRegressor
5.722,4.844703446703941,GradientBoostingRegressor
5.139,4.679046896557632,GradientBoostingRegressor
4.639,4.477403250700628,GradientBoostingRegressor
6.208,5.123335431374005,GradientBoostingRegressor
3.49,3.784620731206595,GradientBoostingRegressor
6.102,4.865798010749798,GradientBoostingRegressor
4.885,4.679046896557632,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
5.556,4.616359787574259,GradientBoostingRegressor
6.176,5.123335431374005,GradientBoostingRegressor
6.979,5.83459,RandomForestRegressor
0.625,1.6916099999999994,RandomForestRegressor
0.0,0.06956999999999999,RandomForestRegressor
0.757,1.1136850000000005,RandomForestRegressor
0.0,1.8717599999999996,RandomForestRegressor
4.713,5.595005,RandomForestRegressor
4.238,4.21284,RandomForestRegressor
0.778,0.7948500000000006,RandomForestRegressor
2.934,3.9130549999999977,RandomForestRegressor
0.819,0.9611300000000002,RandomForestRegressor
5.722,5.861080000000002,RandomForestRegressor
5.722,5.1550199999999995,RandomForestRegressor
5.139,5.258130000000003,RandomForestRegressor
4.639,4.628145,RandomForestRegressor
6.208,5.069159999999999,RandomForestRegressor
3.49,3.5544899999999995,RandomForestRegressor
6.102,5.826550000000005,RandomForestRegressor
4.885,5.247895000000001,RandomForestRegressor
0.0,0.83565,RandomForestRegressor
5.556,5.15777,RandomForestRegressor
6.176,5.477780000000003,RandomForestRegressor
6.979,6.48947674418605,AdaBoostRegressor
0.625,0.785,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.7433333333333333,AdaBoostRegressor
0.0,0.1215,AdaBoostRegressor
4.713,5.687399999999999,AdaBoostRegressor
4.238,3.695178571428571,AdaBoostRegressor
0.778,0.7342500000000001,AdaBoostRegressor
2.934,3.595260869565217,AdaBoostRegressor
0.819,0.7897272727272727,AdaBoostRegressor
5.722,6.49034523809524,AdaBoostRegressor
5.722,5.425485714285716,AdaBoostRegressor
5.139,5.373967741935482,AdaBoostRegressor
4.639,4.907527777777775,AdaBoostRegressor
6.208,6.48947674418605,AdaBoostRegressor
3.49,3.344888888888889,AdaBoostRegressor
6.102,5.814666666666666,AdaBoostRegressor
4.885,5.328666666666666,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.556,5.240666666666667,AdaBoostRegressor
6.176,6.308346938775514,AdaBoostRegressor
6.979,5.602119664322922,KNeighborsRegressor
0.625,2.204601294255111,KNeighborsRegressor
0.0,0.0775857381794605,KNeighborsRegressor
0.757,0.803308690292595,KNeighborsRegressor
0.0,4.595442937836604,KNeighborsRegressor
4.713,6.3964253742771895,KNeighborsRegressor
4.238,4.370077607123108,KNeighborsRegressor
0.778,0.7172851279420863,KNeighborsRegressor
2.934,4.142669456396986,KNeighborsRegressor
0.819,1.2549604600372661,KNeighborsRegressor
5.722,6.12990478107003,KNeighborsRegressor
5.722,4.748807724791655,KNeighborsRegressor
5.139,4.976018067055038,KNeighborsRegressor
4.639,4.147488447347954,KNeighborsRegressor
6.208,5.132103777594386,KNeighborsRegressor
3.49,2.6422526552725647,KNeighborsRegressor
6.102,6.0057673782081356,KNeighborsRegressor
4.885,4.365447839373947,KNeighborsRegressor
0.0,0.46442778963681997,KNeighborsRegressor
5.556,4.57327449210403,KNeighborsRegressor
6.176,5.701008827146144,KNeighborsRegressor
6.979,5.94646391924889,MLPRegressor
0.625,1.054372627740221,MLPRegressor
0.0,0.016843547256950808,MLPRegressor
0.757,0.5918059200095149,MLPRegressor
0.0,-0.05950361475888666,MLPRegressor
4.713,6.2690439773177165,MLPRegressor
4.238,3.999931560081871,MLPRegressor
0.778,0.6411685781960933,MLPRegressor
2.934,3.666945149982734,MLPRegressor
0.819,0.7980089524029145,MLPRegressor
5.722,6.225959952813675,MLPRegressor
5.722,5.9634162376351885,MLPRegressor
5.139,5.468474531132346,MLPRegressor
4.639,4.273178230833041,MLPRegressor
6.208,5.759008465096622,MLPRegressor
3.49,3.7452954082671868,MLPRegressor
6.102,6.145061056785509,MLPRegressor
4.885,5.163421780239727,MLPRegressor
0.0,0.11270157327991281,MLPRegressor
5.556,6.025709538671191,MLPRegressor
6.176,5.647105745461265,MLPRegressor
6.979,4.975368916599943,ElasticNet
0.625,1.9804654885518764,ElasticNet
0.0,0.6802145930676562,ElasticNet
0.757,2.124501353479517,ElasticNet
0.0,2.279094356963304,ElasticNet
4.713,4.857943584534819,ElasticNet
4.238,4.429842073140961,ElasticNet
0.778,1.8210322620670436,ElasticNet
2.934,3.8149706325400388,ElasticNet
0.819,2.1784799044268013,ElasticNet
5.722,4.886306312137036,ElasticNet
5.722,4.057162579550286,ElasticNet
5.139,4.586889208312012,ElasticNet
4.639,4.433093893000764,ElasticNet
6.208,4.799010028260381,ElasticNet
3.49,3.2781355956534886,ElasticNet
6.102,5.006718075528033,ElasticNet
4.885,4.667386012538703,ElasticNet
0.0,1.48388431616927,ElasticNet
5.556,3.9091468927312434,ElasticNet
6.176,4.514335771169426,ElasticNet
6.979,5.756998764506569,SGDRegressor
0.625,0.8088527129572176,SGDRegressor
0.0,-0.35936985911097397,SGDRegressor
0.757,1.058295713034418,SGDRegressor
0.0,-1.0181106834603648,SGDRegressor
4.713,6.346020968506003,SGDRegressor
4.238,4.1620204393716005,SGDRegressor
0.778,1.2383722015326684,SGDRegressor
2.934,3.6519746941398648,SGDRegressor
0.819,1.6257370422095725,SGDRegressor
5.722,6.027763640210873,SGDRegressor
5.722,5.495763021781373,SGDRegressor
5.139,5.579663512539387,SGDRegressor
4.639,4.935262161663023,SGDRegressor
6.208,6.000796654791556,SGDRegressor
3.49,3.9196217225687042,SGDRegressor
6.102,6.110731257853361,SGDRegressor
4.885,5.693943590454261,SGDRegressor
0.0,0.04559089094568192,SGDRegressor
5.556,5.79931464277729,SGDRegressor
6.176,5.717127840767943,SGDRegressor
6.979,5.531599845622972,BayesianRidge
0.625,1.0982275942493689,BayesianRidge
0.0,-0.1517524939932211,BayesianRidge
0.757,1.2039842279569442,BayesianRidge
0.0,-0.9471685836520223,BayesianRidge
4.713,6.037587981865217,BayesianRidge
4.238,3.864945603321293,BayesianRidge
0.778,1.3619833664120857,BayesianRidge
2.934,3.5454215327884993,BayesianRidge
0.819,1.7654263845882339,BayesianRidge
5.722,5.828332871549549,BayesianRidge
5.722,5.601755444549961,BayesianRidge
5.139,5.520025698237461,BayesianRidge
4.639,4.674165033525706,BayesianRidge
6.208,5.883824225675305,BayesianRidge
3.49,3.969319704621424,BayesianRidge
6.102,5.893302344101157,BayesianRidge
4.885,5.582875694332473,BayesianRidge
0.0,0.18845798481480402,BayesianRidge
5.556,5.814039323539412,BayesianRidge
6.176,5.586594997188154,BayesianRidge
6.979,6.097900684564091,KernelRidge
0.625,-0.22493410023649218,KernelRidge
0.0,-0.1731047470659961,KernelRidge
0.757,0.9703319548512805,KernelRidge
0.0,-1.2068427055027096,KernelRidge
4.713,7.126370290051824,KernelRidge
4.238,4.823618668795266,KernelRidge
0.778,0.9649503619751698,KernelRidge
2.934,3.4453076323498664,KernelRidge
0.819,1.2718231170288021,KernelRidge
5.722,5.9308163055156555,KernelRidge
5.722,5.540983414719133,KernelRidge
5.139,5.098852112642742,KernelRidge
4.639,3.5234430329917394,KernelRidge
6.208,5.774016017453018,KernelRidge
3.49,4.246440697513695,KernelRidge
6.102,7.07007131592351,KernelRidge
4.885,4.879574058638896,KernelRidge
0.0,-0.04514064287878483,KernelRidge
5.556,6.161727884590755,KernelRidge
6.176,5.39005555059521,KernelRidge
6.979,5.528407283041906,LinearRegression
0.625,1.0608756542270448,LinearRegression
0.0,-0.16359718845055848,LinearRegression
0.757,1.1809574955412785,LinearRegression
