Actual,Predicted,Model
6.979,5.530925587562184,Ridge
0.625,1.0889021487860568,Ridge
0.0,-0.15444560320892542,Ridge
0.757,1.19944177171518,Ridge
0.0,-0.9726355653824674,Ridge
4.713,6.042660781241872,Ridge
4.238,3.857559522812994,Ridge
0.778,1.3640742643657753,Ridge
2.934,3.546754332843994,Ridge
0.819,1.7617072615665816,Ridge
5.722,5.828274667261095,Ridge
5.722,5.6081836610810125,Ridge
5.139,5.517249260607133,Ridge
4.639,4.684255200059128,Ridge
6.208,5.88469840523699,Ridge
3.49,3.9785869654993307,Ridge
6.102,5.890419126827327,Ridge
4.885,5.583092288918049,Ridge
0.0,0.1761994447384776,Ridge
5.556,5.823682922764892,Ridge
6.176,5.5906451384931986,Ridge
6.979,5.611,DecisionTreeRegressor
0.625,0.79425,DecisionTreeRegressor
0.0,0.2313333333333333,DecisionTreeRegressor
0.757,0.8316666666666667,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.713,5.5645,DecisionTreeRegressor
4.238,3.9490000000000003,DecisionTreeRegressor
0.778,0.8316666666666667,DecisionTreeRegressor
2.934,3.993,DecisionTreeRegressor
0.819,0.8316666666666667,DecisionTreeRegressor
5.722,6.006,DecisionTreeRegressor
5.722,5.777666666666668,DecisionTreeRegressor
5.139,5.777666666666668,DecisionTreeRegressor
4.639,5.5645,DecisionTreeRegressor
6.208,5.611,DecisionTreeRegressor
3.49,3.60575,DecisionTreeRegressor
6.102,5.5645,DecisionTreeRegressor
4.885,4.926,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.556,6.2105,DecisionTreeRegressor
6.176,6.194333333333333,DecisionTreeRegressor
6.979,5.123335431374005,GradientBoostingRegressor
0.625,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
0.757,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
4.713,4.862141383828255,GradientBoostingRegressor
4.238,3.6385111480004584,GradientBoostingRegressor
0.778,1.410688643267026,GradientBoostingRegressor
2.934,3.855806638720701,GradientBoostingRegressor
0.819,1.410688643267026,GradientBoostingRegressor
5.722,5.123335431374005,GradientBoostingRegressor
5.722,4.8410014620344715,GradientBoostingRegressor
5.139,4.675344911888162,GradientBoostingRegressor
4.639,4.477872022854291,GradientBoostingRegressor
6.208,5.123335431374005,GradientBoostingRegressor
3.49,3.784705203544467,GradientBoostingRegressor
6.102,4.862141383828255,GradientBoostingRegressor
4.885,4.675344911888162,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
5.556,4.62315117549803,GradientBoostingRegressor
6.176,5.123335431374005,GradientBoostingRegressor
6.979,5.855779999999999,RandomForestRegressor
0.625,1.1019799999999997,RandomForestRegressor
0.0,0.14001999999999998,RandomForestRegressor
0.757,1.0375599999999998,RandomForestRegressor
0.0,1.50058,RandomForestRegressor
4.713,5.524119999999999,RandomForestRegressor
4.238,4.182399999999998,RandomForestRegressor
0.778,0.7337199999999996,RandomForestRegressor
2.934,3.8402599999999993,RandomForestRegressor
0.819,0.6061799999999998,RandomForestRegressor
5.722,5.667639999999999,RandomForestRegressor
5.722,5.189199999999999,RandomForestRegressor
5.139,5.087019999999999,RandomForestRegressor
4.639,4.564099999999999,RandomForestRegressor
6.208,5.07484,RandomForestRegressor
3.49,3.8506,RandomForestRegressor
6.102,5.773840000000002,RandomForestRegressor
4.885,5.009959999999998,RandomForestRegressor
0.0,0.6432799999999999,RandomForestRegressor
5.556,5.0573000000000015,RandomForestRegressor
6.176,5.535920000000001,RandomForestRegressor
6.979,6.137129870129866,AdaBoostRegressor
0.625,0.7415,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.7237058823529411,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.713,6.606482758620692,AdaBoostRegressor
4.238,3.5780263157894736,AdaBoostRegressor
0.778,0.7237058823529411,AdaBoostRegressor
2.934,3.5780263157894736,AdaBoostRegressor
0.819,0.733,AdaBoostRegressor
5.722,6.606482758620692,AdaBoostRegressor
5.722,5.235719999999999,AdaBoostRegressor
5.139,5.235719999999999,AdaBoostRegressor
4.639,4.753482142857142,AdaBoostRegressor
6.208,6.137129870129866,AdaBoostRegressor
3.49,3.5118235294117652,AdaBoostRegressor
6.102,6.68624324324324,AdaBoostRegressor
4.885,5.43197368421053,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.556,5.887516129032258,AdaBoostRegressor
6.176,6.270768292682924,AdaBoostRegressor
6.979,5.602119664322922,KNeighborsRegressor
0.625,2.204601294255111,KNeighborsRegressor
0.0,0.0775857381794605,KNeighborsRegressor
0.757,0.803308690292595,KNeighborsRegressor
0.0,4.595442937836604,KNeighborsRegressor
4.713,6.3964253742771895,KNeighborsRegressor
4.238,4.370077607123108,KNeighborsRegressor
0.778,0.7172851279420863,KNeighborsRegressor
2.934,4.142669456396986,KNeighborsRegressor
0.819,1.2549604600372661,KNeighborsRegressor
5.722,6.12990478107003,KNeighborsRegressor
5.722,4.748807724791655,KNeighborsRegressor
5.139,4.976018067055038,KNeighborsRegressor
4.639,4.147488447347954,KNeighborsRegressor
6.208,5.132103777594386,KNeighborsRegressor
3.49,2.6422526552725647,KNeighborsRegressor
6.102,6.0057673782081356,KNeighborsRegressor
4.885,4.365447839373947,KNeighborsRegressor
0.0,0.46442778963681997,KNeighborsRegressor
5.556,4.57327449210403,KNeighborsRegressor
6.176,5.701008827146144,KNeighborsRegressor
6.979,5.97870396215082,MLPRegressor
0.625,1.6940855801110088,MLPRegressor
0.0,0.00465935154409769,MLPRegressor
0.757,0.8747981697203496,MLPRegressor
0.0,0.3079990456097673,MLPRegressor
4.713,7.075456681335725,MLPRegressor
4.238,3.8474994721576605,MLPRegressor
0.778,0.806563859575464,MLPRegressor
2.934,2.450876773563897,MLPRegressor
0.819,0.7267309282133235,MLPRegressor
5.722,5.764577437546816,MLPRegressor
5.722,6.295362043901688,MLPRegressor
5.139,5.219643339530354,MLPRegressor
4.639,3.797746260476406,MLPRegressor
6.208,4.83279664288489,MLPRegressor
3.49,3.316749223126207,MLPRegressor
6.102,6.236615866816881,MLPRegressor
4.885,5.273920013577797,MLPRegressor
0.0,0.13697036359066328,MLPRegressor
5.556,6.855327856261057,MLPRegressor
6.176,5.596944379220396,MLPRegressor
6.979,4.975367023014242,ElasticNet
0.625,1.9806612606394578,ElasticNet
0.0,0.6802162066432298,ElasticNet
0.757,2.1243380623639543,ElasticNet
0.0,2.2793166170045005,ElasticNet
4.713,4.858179293019847,ElasticNet
4.238,4.429920278835747,ElasticNet
0.778,1.8209690801502314,ElasticNet
2.934,3.815083363608634,ElasticNet
0.819,2.1783453775366244,ElasticNet
5.722,4.8864100065472105,ElasticNet
5.722,4.057140827471968,ElasticNet
5.139,4.586919109313923,ElasticNet
4.639,4.433315012274673,ElasticNet
6.208,4.798832630589544,ElasticNet
3.49,3.278093376936368,ElasticNet
6.102,5.006884561120521,ElasticNet
4.885,4.6675396790963095,ElasticNet
0.0,1.4837393156069394,ElasticNet
5.556,3.9090310214418382,ElasticNet
6.176,4.514192282984858,ElasticNet
6.979,5.352592916243388,SGDRegressor
0.625,1.1488126788706166,SGDRegressor
0.0,-0.10359925676506165,SGDRegressor
0.757,1.177853824512043,SGDRegressor
0.0,-1.0888063246421358,SGDRegressor
4.713,6.165480154724271,SGDRegressor
4.238,3.812810552556596,SGDRegressor
0.778,1.4252857790213094,SGDRegressor
2.934,3.6740188169294656,SGDRegressor
0.819,1.8020048749105366,SGDRegressor
5.722,5.925844911660285,SGDRegressor
5.722,5.748833320789405,SGDRegressor
5.139,5.696329113365378,SGDRegressor
4.639,4.899162718955635,SGDRegressor
6.208,5.630084527695943,SGDRegressor
3.49,3.9748534469424555,SGDRegressor
6.102,6.0138158517151155,SGDRegressor
4.885,5.575491610966155,SGDRegressor
0.0,0.22420322862657738,SGDRegressor
5.556,5.956999603122636,SGDRegressor
6.176,5.613651719750397,SGDRegressor
6.979,5.531599845622972,BayesianRidge
0.625,1.0982275942493689,BayesianRidge
0.0,-0.1517524939932211,BayesianRidge
0.757,1.2039842279569442,BayesianRidge
0.0,-0.9471685836520223,BayesianRidge
4.713,6.037587981865217,BayesianRidge
4.238,3.864945603321293,BayesianRidge
0.778,1.3619833664120857,BayesianRidge
2.934,3.5454215327884993,BayesianRidge
0.819,1.7654263845882339,BayesianRidge
5.722,5.828332871549549,BayesianRidge
5.722,5.601755444549961,BayesianRidge
5.139,5.520025698237461,BayesianRidge
4.639,4.674165033525706,BayesianRidge
6.208,5.883824225675305,BayesianRidge
3.49,3.969319704621424,BayesianRidge
6.102,5.893302344101157,BayesianRidge
4.885,5.582875694332473,BayesianRidge
0.0,0.18845798481480402,BayesianRidge
5.556,5.814039323539412,BayesianRidge
6.176,5.586594997188154,BayesianRidge
6.979,6.097900684564091,KernelRidge
0.625,-0.22493410023649218,KernelRidge
0.0,-0.1731047470659961,KernelRidge
0.757,0.9703319548512805,KernelRidge
0.0,-1.2068427055027096,KernelRidge
4.713,7.126370290051824,KernelRidge
4.238,4.823618668795266,KernelRidge
0.778,0.9649503619751698,KernelRidge
2.934,3.4453076323498664,KernelRidge
0.819,1.2718231170288021,KernelRidge
5.722,5.9308163055156555,KernelRidge
5.722,5.540983414719133,KernelRidge
5.139,5.098852112642742,KernelRidge
4.639,3.5234430329917394,KernelRidge
6.208,5.774016017453018,KernelRidge
3.49,4.246440697513695,KernelRidge
6.102,7.07007131592351,KernelRidge
4.885,4.879574058638896,KernelRidge
0.0,-0.04514064287878483,KernelRidge
5.556,6.161727884590755,KernelRidge
6.176,5.39005555059521,KernelRidge
6.979,5.528407283041906,LinearRegression
0.625,1.0608756542270448,LinearRegression
0.0,-0.16359718845055848,LinearRegression
0.757,1.1809574955412785,LinearRegression
