Actual,Predicted,Model
6.979,5.530925587562184,Ridge
0.625,1.0889021487860568,Ridge
0.0,-0.15444560320892542,Ridge
0.757,1.19944177171518,Ridge
0.0,-0.9726355653824674,Ridge
4.713,6.042660781241872,Ridge
4.238,3.857559522812994,Ridge
0.778,1.3640742643657753,Ridge
2.934,3.546754332843994,Ridge
0.819,1.7617072615665816,Ridge
5.722,5.828274667261095,Ridge
5.722,5.6081836610810125,Ridge
5.139,5.517249260607133,Ridge
4.639,4.684255200059128,Ridge
6.208,5.88469840523699,Ridge
3.49,3.9785869654993307,Ridge
6.102,5.890419126827327,Ridge
4.885,5.583092288918049,Ridge
0.0,0.1761994447384776,Ridge
5.556,5.823682922764892,Ridge
6.176,5.5906451384931986,Ridge
6.979,6.139,DecisionTreeRegressor
0.625,4.138999999999999,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.757,0.759,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.713,6.170999999999999,DecisionTreeRegressor
4.238,4.312,DecisionTreeRegressor
0.778,0.757,DecisionTreeRegressor
2.934,4.219,DecisionTreeRegressor
0.819,0.8434999999999999,DecisionTreeRegressor
5.722,5.6305,DecisionTreeRegressor
5.722,5.333,DecisionTreeRegressor
5.139,5.6855,DecisionTreeRegressor
4.639,3.971,DecisionTreeRegressor
6.208,6.101,DecisionTreeRegressor
3.49,3.931,DecisionTreeRegressor
6.102,7.398,DecisionTreeRegressor
4.885,5.851,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.556,6.556,DecisionTreeRegressor
6.176,5.852,DecisionTreeRegressor
6.979,5.123335431374005,GradientBoostingRegressor
0.625,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
0.757,1.410688643267026,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
4.713,4.864452062997716,GradientBoostingRegressor
4.238,3.6385137266531293,GradientBoostingRegressor
0.778,1.410688643267026,GradientBoostingRegressor
2.934,3.8617887846793666,GradientBoostingRegressor
0.819,1.410688643267026,GradientBoostingRegressor
5.722,5.123335431374005,GradientBoostingRegressor
5.722,4.843342484810139,GradientBoostingRegressor
5.139,4.67768593466383,GradientBoostingRegressor
4.639,4.477590935681839,GradientBoostingRegressor
6.208,5.123335431374005,GradientBoostingRegressor
3.49,3.7846117825069623,GradientBoostingRegressor
6.102,4.864452062997716,GradientBoostingRegressor
4.885,4.67768593466383,GradientBoostingRegressor
0.0,1.410688643267026,GradientBoostingRegressor
5.556,4.589541494214846,GradientBoostingRegressor
6.176,5.123335431374005,GradientBoostingRegressor
6.979,5.5417,RandomForestRegressor
0.625,1.0079399999999996,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.757,0.9188799999999999,RandomForestRegressor
0.0,1.8358599999999998,RandomForestRegressor
4.713,5.398639999999999,RandomForestRegressor
4.238,4.2657799999999995,RandomForestRegressor
0.778,0.9201999999999992,RandomForestRegressor
2.934,3.7291399999999983,RandomForestRegressor
0.819,0.5672799999999999,RandomForestRegressor
5.722,5.7795,RandomForestRegressor
5.722,5.351020000000001,RandomForestRegressor
5.139,5.188979999999999,RandomForestRegressor
4.639,4.387059999999999,RandomForestRegressor
6.208,5.2095400000000005,RandomForestRegressor
3.49,3.666139999999999,RandomForestRegressor
6.102,5.85502,RandomForestRegressor
4.885,5.170780000000002,RandomForestRegressor
0.0,1.2835599999999996,RandomForestRegressor
5.556,4.941300000000002,RandomForestRegressor
6.176,5.47076,RandomForestRegressor
6.979,6.092326923076924,AdaBoostRegressor
0.625,0.7344999999999998,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.7360833333333332,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.713,5.851607142857146,AdaBoostRegressor
4.238,3.5027647058823526,AdaBoostRegressor
0.778,0.733263157894737,AdaBoostRegressor
2.934,3.634888888888889,AdaBoostRegressor
0.819,0.7360833333333332,AdaBoostRegressor
5.722,6.038583333333336,AdaBoostRegressor
5.722,5.095820512820514,AdaBoostRegressor
5.139,5.048196078431374,AdaBoostRegressor
4.639,5.01667857142857,AdaBoostRegressor
6.208,6.092326923076924,AdaBoostRegressor
3.49,3.497578947368421,AdaBoostRegressor
6.102,5.848999999999999,AdaBoostRegressor
4.885,5.182685714285714,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.556,5.161299999999999,AdaBoostRegressor
6.176,5.95807462686567,AdaBoostRegressor
6.979,5.602119664322922,KNeighborsRegressor
0.625,2.204601294255111,KNeighborsRegressor
0.0,0.0775857381794605,KNeighborsRegressor
0.757,0.803308690292595,KNeighborsRegressor
0.0,4.595442937836604,KNeighborsRegressor
4.713,6.3964253742771895,KNeighborsRegressor
4.238,4.370077607123108,KNeighborsRegressor
0.778,0.7172851279420863,KNeighborsRegressor
2.934,4.142669456396986,KNeighborsRegressor
0.819,1.2549604600372661,KNeighborsRegressor
5.722,6.12990478107003,KNeighborsRegressor
5.722,4.748807724791655,KNeighborsRegressor
5.139,4.976018067055038,KNeighborsRegressor
4.639,4.147488447347954,KNeighborsRegressor
6.208,5.132103777594386,KNeighborsRegressor
3.49,2.6422526552725647,KNeighborsRegressor
6.102,6.0057673782081356,KNeighborsRegressor
4.885,4.365447839373947,KNeighborsRegressor
0.0,0.46442778963681997,KNeighborsRegressor
5.556,4.57327449210403,KNeighborsRegressor
6.176,5.701008827146144,KNeighborsRegressor
6.979,6.388387792753316,MLPRegressor
0.625,1.3906539697720486,MLPRegressor
0.0,-0.035702614719919784,MLPRegressor
0.757,0.819461220289454,MLPRegressor
0.0,0.5999746097970025,MLPRegressor
4.713,7.08009531918251,MLPRegressor
4.238,4.0265227843452855,MLPRegressor
0.778,0.8219550798332722,MLPRegressor
2.934,2.8425679396103365,MLPRegressor
0.819,0.7411016763635707,MLPRegressor
5.722,5.766189647329563,MLPRegressor
5.722,5.7943262191761855,MLPRegressor
5.139,5.006718702815298,MLPRegressor
4.639,4.387253278318903,MLPRegressor
6.208,4.912020292706419,MLPRegressor
3.49,3.4065786352863916,MLPRegressor
6.102,6.3846466638064046,MLPRegressor
4.885,5.11082750567381,MLPRegressor
0.0,0.12091420106441461,MLPRegressor
5.556,6.047023968107806,MLPRegressor
6.176,5.974416905793157,MLPRegressor
6.979,4.9753919025975275,ElasticNet
0.625,1.9803986237716182,ElasticNet
0.0,0.6802932155986343,ElasticNet
0.757,2.1246166080405438,ElasticNet
0.0,2.279207779126708,ElasticNet
4.713,4.857778508034893,ElasticNet
4.238,4.429865872570279,ElasticNet
0.778,1.8210593226739604,ElasticNet
2.934,3.8149911230877525,ElasticNet
0.819,2.178520947091085,ElasticNet
5.722,4.886260265018674,ElasticNet
5.722,4.057129240053514,ElasticNet
5.139,4.586822001470397,ElasticNet
4.639,4.432983362846609,ElasticNet
6.208,4.7990435896799895,ElasticNet
3.49,3.278242332316483,ElasticNet
6.102,5.006621972285813,ElasticNet
4.885,4.667366406663747,ElasticNet
0.0,1.48392227737824,ElasticNet
5.556,3.909055438187447,ElasticNet
6.176,4.514382005390866,ElasticNet
6.979,5.544180647202106,SGDRegressor
0.625,1.07571230253915,SGDRegressor
0.0,-0.18182931947528802,SGDRegressor
0.757,1.1954897645960294,SGDRegressor
0.0,-1.0654092143646872,SGDRegressor
4.713,6.037730037619108,SGDRegressor
4.238,3.848468730382136,SGDRegressor
0.778,1.361725073088075,SGDRegressor
2.934,3.569552082275573,SGDRegressor
0.819,1.7503872070926754,SGDRegressor
5.722,5.848087918487886,SGDRegressor
5.722,5.631524338694302,SGDRegressor
5.139,5.512583856401523,SGDRegressor
4.639,4.684815083594705,SGDRegressor
6.208,5.903105872031633,SGDRegressor
3.49,4.030933085687418,SGDRegressor
6.102,5.844915476068037,SGDRegressor
4.885,5.606872188708943,SGDRegressor
0.0,0.13421970793670557,SGDRegressor
5.556,5.887213381012723,SGDRegressor
6.176,5.5945958718415465,SGDRegressor
6.979,5.531599845622972,BayesianRidge
0.625,1.0982275942493689,BayesianRidge
0.0,-0.1517524939932211,BayesianRidge
0.757,1.2039842279569442,BayesianRidge
0.0,-0.9471685836520223,BayesianRidge
4.713,6.037587981865217,BayesianRidge
4.238,3.864945603321293,BayesianRidge
0.778,1.3619833664120857,BayesianRidge
2.934,3.5454215327884993,BayesianRidge
0.819,1.7654263845882339,BayesianRidge
5.722,5.828332871549549,BayesianRidge
5.722,5.601755444549961,BayesianRidge
5.139,5.520025698237461,BayesianRidge
4.639,4.674165033525706,BayesianRidge
6.208,5.883824225675305,BayesianRidge
3.49,3.969319704621424,BayesianRidge
6.102,5.893302344101157,BayesianRidge
4.885,5.582875694332473,BayesianRidge
0.0,0.18845798481480402,BayesianRidge
5.556,5.814039323539412,BayesianRidge
6.176,5.586594997188154,BayesianRidge
6.979,6.097900684564091,KernelRidge
0.625,-0.22493410023649218,KernelRidge
0.0,-0.1731047470659961,KernelRidge
0.757,0.9703319548512805,KernelRidge
0.0,-1.2068427055027096,KernelRidge
4.713,7.126370290051824,KernelRidge
4.238,4.823618668795266,KernelRidge
0.778,0.9649503619751698,KernelRidge
2.934,3.4453076323498664,KernelRidge
0.819,1.2718231170288021,KernelRidge
5.722,5.9308163055156555,KernelRidge
5.722,5.540983414719133,KernelRidge
5.139,5.098852112642742,KernelRidge
4.639,3.5234430329917394,KernelRidge
6.208,5.774016017453018,KernelRidge
3.49,4.246440697513695,KernelRidge
6.102,7.07007131592351,KernelRidge
4.885,4.879574058638896,KernelRidge
0.0,-0.04514064287878483,KernelRidge
5.556,6.161727884590755,KernelRidge
6.176,5.39005555059521,KernelRidge
6.979,5.528407283041906,LinearRegression
0.625,1.0608756542270448,LinearRegression
0.0,-0.16359718845055848,LinearRegression
0.757,1.1809574955412785,LinearRegression
0.0,-1.0571909500907815,LinearRegression
