Actual,Predicted,Model
3.694,2.695463176149607,Ridge
0.0,1.2536520730947256,Ridge
0.0,1.8076643959471,Ridge
0.0,0.595407326325688,Ridge
0.0,2.3635071338113853,Ridge
5.04,4.012266596179964,Ridge
3.331,4.598152552162366,Ridge
0.0,1.381630139717835,Ridge
2.597,1.4112265184205164,Ridge
0.0,0.6465451127236896,Ridge
2.295,1.8776600301742796,Ridge
5.133,2.591930317923845,Ridge
4.841,2.6776743125964853,Ridge
6.434,4.236767870538776,Ridge
1.038,0.1478750902782,Ridge
3.389,3.665997362863523,Ridge
4.392,3.5246512285542853,Ridge
3.529,3.099311189453916,Ridge
0.0,2.04324465797343,Ridge
5.493,5.341754413293449,Ridge
4.562,3.881872091364505,Ridge
3.694,2.6650000000000005,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,0.4995,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.04,4.479,DecisionTreeRegressor
3.331,4.2524999999999995,DecisionTreeRegressor
0.0,1.662,DecisionTreeRegressor
2.597,1.6900000000000002,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.295,2.0545,DecisionTreeRegressor
5.133,4.479,DecisionTreeRegressor
4.841,0.7066666666666667,DecisionTreeRegressor
6.434,4.317666666666667,DecisionTreeRegressor
1.038,0.0,DecisionTreeRegressor
3.389,2.9935,DecisionTreeRegressor
4.392,1.6900000000000002,DecisionTreeRegressor
3.529,4.103,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.493,4.2524999999999995,DecisionTreeRegressor
4.562,5.712,DecisionTreeRegressor
3.694,2.430441780429906,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.472524055735398,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
5.04,2.462084330349307,GradientBoostingRegressor
3.331,2.472524055735398,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
2.597,2.379406626214636,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
2.295,2.379406626214636,GradientBoostingRegressor
5.133,2.4045673413803645,GradientBoostingRegressor
4.841,2.430441780429906,GradientBoostingRegressor
6.434,2.472524055735398,GradientBoostingRegressor
1.038,2.356742907856657,GradientBoostingRegressor
3.389,2.4045673413803645,GradientBoostingRegressor
4.392,2.4045673413803645,GradientBoostingRegressor
3.529,2.430441780429906,GradientBoostingRegressor
0.0,2.430441780429906,GradientBoostingRegressor
5.493,2.472524055735398,GradientBoostingRegressor
4.562,2.472524055735398,GradientBoostingRegressor
3.694,2.12,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,5.193,RandomForestRegressor
5.04,5.974,RandomForestRegressor
3.331,3.693,RandomForestRegressor
0.0,3.291,RandomForestRegressor
2.597,3.591,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.295,0.0,RandomForestRegressor
5.133,7.039,RandomForestRegressor
4.841,0.0,RandomForestRegressor
6.434,5.508,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,6.335,RandomForestRegressor
4.392,4.103,RandomForestRegressor
3.529,0.0,RandomForestRegressor
0.0,2.46,RandomForestRegressor
5.493,3.693,RandomForestRegressor
4.562,6.1945,RandomForestRegressor
3.694,1.7559196428571426,AdaBoostRegressor
0.0,1.1038,AdaBoostRegressor
0.0,2.931049382716048,AdaBoostRegressor
0.0,0.8475925925925926,AdaBoostRegressor
0.0,2.6626578947368427,AdaBoostRegressor
5.04,3.3494387096774187,AdaBoostRegressor
3.331,3.3395851851851868,AdaBoostRegressor
0.0,1.9267500000000002,AdaBoostRegressor
2.597,1.1333928571428573,AdaBoostRegressor
0.0,0.4339130434782609,AdaBoostRegressor
2.295,0.6481428571428571,AdaBoostRegressor
5.133,3.6063043478260868,AdaBoostRegressor
4.841,2.5085,AdaBoostRegressor
6.434,3.3494387096774187,AdaBoostRegressor
1.038,0.20312195121951218,AdaBoostRegressor
3.389,3.1844552845528455,AdaBoostRegressor
4.392,2.7433928571428576,AdaBoostRegressor
3.529,1.4617058823529407,AdaBoostRegressor
0.0,1.4617058823529407,AdaBoostRegressor
5.493,3.609714285714286,AdaBoostRegressor
4.562,3.609714285714286,AdaBoostRegressor
3.694,3.4333,KNeighborsRegressor
0.0,0.8808999999999999,KNeighborsRegressor
0.0,4.2113000000000005,KNeighborsRegressor
0.0,0.36449999999999994,KNeighborsRegressor
0.0,2.3813000000000004,KNeighborsRegressor
5.04,3.8465000000000003,KNeighborsRegressor
3.331,3.8225000000000007,KNeighborsRegressor
0.0,1.2560999999999998,KNeighborsRegressor
2.597,1.4571,KNeighborsRegressor
0.0,0.4906,KNeighborsRegressor
2.295,1.533,KNeighborsRegressor
5.133,1.9553,KNeighborsRegressor
4.841,2.5846,KNeighborsRegressor
6.434,4.5246,KNeighborsRegressor
1.038,0.1873,KNeighborsRegressor
3.389,4.7991,KNeighborsRegressor
4.392,3.0853,KNeighborsRegressor
3.529,2.993,KNeighborsRegressor
0.0,2.4994,KNeighborsRegressor
5.493,4.9094,KNeighborsRegressor
4.562,5.661,KNeighborsRegressor
3.694,2.9666180535111453,MLPRegressor
0.0,-0.6321784219277544,MLPRegressor
0.0,-3.014878594284072,MLPRegressor
0.0,-0.29990058645836215,MLPRegressor
0.0,1.4862399750053454,MLPRegressor
5.04,6.314272976316902,MLPRegressor
3.331,4.28792031761004,MLPRegressor
0.0,1.2700479219262413,MLPRegressor
2.597,1.2122861324830883,MLPRegressor
0.0,-0.15295515230365386,MLPRegressor
2.295,0.29580303429091714,MLPRegressor
5.133,2.8266460942225526,MLPRegressor
4.841,0.3802032174489345,MLPRegressor
6.434,3.927073246815418,MLPRegressor
1.038,-0.13950435989996257,MLPRegressor
3.389,12.9702344570229,MLPRegressor
4.392,6.50566118194236,MLPRegressor
3.529,1.1886526642138209,MLPRegressor
0.0,2.4348049050161453,MLPRegressor
5.493,0.10595278705754096,MLPRegressor
4.562,11.191568934852738,MLPRegressor
3.694,8.645662848588923,ElasticNet
0.0,13.20713018733297,ElasticNet
0.0,-2.171106092218877,ElasticNet
0.0,10.756671223708915,ElasticNet
0.0,9.353826663746965,ElasticNet
5.04,14.57246338181158,ElasticNet
3.331,7.844828893187726,ElasticNet
0.0,9.781628047680305,ElasticNet
2.597,14.788108036080192,ElasticNet
