Actual,Predicted,Model
3.694,2.697637011052871,Ridge
0.0,1.2405638656737263,Ridge
0.0,1.8571446110086534,Ridge
0.0,0.5641025620304703,Ridge
0.0,2.3409288865292908,Ridge
5.04,4.025410650533972,Ridge
3.331,4.633985675890562,Ridge
0.0,1.3548860964925424,Ridge
2.597,1.391735339074252,Ridge
0.0,0.5779508164130576,Ridge
2.295,1.8080503497264413,Ridge
5.133,2.5838389258425263,Ridge
4.841,2.6902820556665876,Ridge
6.434,4.267752371907603,Ridge
1.038,0.086716320253867,Ridge
3.389,3.6753623749020097,Ridge
4.392,3.51839061446171,Ridge
3.529,3.0836087590577588,Ridge
0.0,2.0731100025386926,Ridge
5.493,5.35913280915395,Ridge
4.562,3.897109879583331,Ridge
3.694,2.411,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,4.782500000000001,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.04,3.375,DecisionTreeRegressor
3.331,5.221,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.597,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.295,0.0,DecisionTreeRegressor
5.133,3.363,DecisionTreeRegressor
4.841,4.864,DecisionTreeRegressor
6.434,6.428,DecisionTreeRegressor
1.038,2.122,DecisionTreeRegressor
3.389,0.0,DecisionTreeRegressor
4.392,3.032,DecisionTreeRegressor
3.529,4.409,DecisionTreeRegressor
0.0,3.708,DecisionTreeRegressor
5.493,6.335,DecisionTreeRegressor
4.562,6.317,DecisionTreeRegressor
3.694,2.430441780429906,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.472524055735398,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
5.04,2.462084330349307,GradientBoostingRegressor
3.331,2.472524055735398,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
2.597,2.379406626214636,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
2.295,2.379406626214636,GradientBoostingRegressor
5.133,2.4045673413803645,GradientBoostingRegressor
4.841,2.430441780429906,GradientBoostingRegressor
6.434,2.472524055735398,GradientBoostingRegressor
1.038,2.356742907856657,GradientBoostingRegressor
3.389,2.4045673413803645,GradientBoostingRegressor
4.392,2.4045673413803645,GradientBoostingRegressor
3.529,2.430441780429906,GradientBoostingRegressor
0.0,2.430441780429906,GradientBoostingRegressor
5.493,2.472524055735398,GradientBoostingRegressor
4.562,2.472524055735398,GradientBoostingRegressor
3.694,2.755333333333333,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,4.3125,RandomForestRegressor
0.0,1.9461666666666666,RandomForestRegressor
0.0,3.06,RandomForestRegressor
5.04,0.0,RandomForestRegressor
3.331,0.0,RandomForestRegressor
0.0,1.9461666666666666,RandomForestRegressor
2.597,3.591,RandomForestRegressor
0.0,0.5415,RandomForestRegressor
2.295,0.5415,RandomForestRegressor
5.133,0.6891666666666666,RandomForestRegressor
4.841,6.40325,RandomForestRegressor
6.434,3.2235,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,0.0,RandomForestRegressor
4.392,0.9514285714285714,RandomForestRegressor
3.529,2.755333333333333,RandomForestRegressor
0.0,3.6452000000000004,RandomForestRegressor
5.493,4.103,RandomForestRegressor
4.562,5.188,RandomForestRegressor
