Actual,Predicted,Model
3.694,2.6914380435473735,Ridge
0.0,1.2550999726360121,Ridge
0.0,1.7920562895436287,Ridge
0.0,0.5934895771420905,Ridge
0.0,2.36176229981454,Ridge
5.04,4.017316498441199,Ridge
3.331,4.594636089392354,Ridge
0.0,1.3787441006916747,Ridge
2.597,1.4157061431473519,Ridge
0.0,0.6503122906909145,Ridge
2.295,1.885566736657152,Ridge
5.133,2.590184507637046,Ridge
4.841,2.677688535784574,Ridge
6.434,4.230046293677111,Ridge
1.038,0.15057493687043966,Ridge
3.389,3.6780720603778736,Ridge
4.392,3.528569442309868,Ridge
3.529,3.100035664487633,Ridge
0.0,2.0350811501154773,Ridge
5.493,5.343029780283464,Ridge
4.562,3.875360946119054,Ridge
3.694,2.411,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,1.848,DecisionTreeRegressor
0.0,0.24975,DecisionTreeRegressor
0.0,2.062,DecisionTreeRegressor
5.04,2.176,DecisionTreeRegressor
3.331,4.2524999999999995,DecisionTreeRegressor
0.0,1.2465,DecisionTreeRegressor
2.597,1.938,DecisionTreeRegressor
0.0,0.24975,DecisionTreeRegressor
2.295,1.8969999999999996,DecisionTreeRegressor
5.133,2.7255,DecisionTreeRegressor
4.841,4.23175,DecisionTreeRegressor
6.434,6.21,DecisionTreeRegressor
1.038,0.0,DecisionTreeRegressor
3.389,2.535,DecisionTreeRegressor
4.392,2.176,DecisionTreeRegressor
3.529,2.2045,DecisionTreeRegressor
0.0,2.3890000000000002,DecisionTreeRegressor
5.493,4.2524999999999995,DecisionTreeRegressor
4.562,5.712,DecisionTreeRegressor
3.694,2.430441780429906,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.472524055735398,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
5.04,2.462084330349307,GradientBoostingRegressor
3.331,2.472524055735398,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
2.597,2.379406626214636,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
2.295,2.379406626214636,GradientBoostingRegressor
5.133,2.4045673413803645,GradientBoostingRegressor
4.841,2.430441780429906,GradientBoostingRegressor
6.434,2.472524055735398,GradientBoostingRegressor
1.038,2.356742907856657,GradientBoostingRegressor
3.389,2.4045673413803645,GradientBoostingRegressor
4.392,2.4045673413803645,GradientBoostingRegressor
3.529,2.430441780429906,GradientBoostingRegressor
0.0,2.430441780429906,GradientBoostingRegressor
5.493,2.472524055735398,GradientBoostingRegressor
4.562,2.472524055735398,GradientBoostingRegressor
3.694,3.444,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,2.891,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,2.35,RandomForestRegressor
5.04,4.352,RandomForestRegressor
3.331,0.0,RandomForestRegressor
0.0,4.135,RandomForestRegressor
2.597,2.177,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.295,0.0,RandomForestRegressor
5.133,0.0,RandomForestRegressor
4.841,4.893,RandomForestRegressor
6.434,6.428,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,0.0,RandomForestRegressor
4.392,2.35,RandomForestRegressor
3.529,4.103,RandomForestRegressor
0.0,0.0,RandomForestRegressor
5.493,0.0,RandomForestRegressor
4.562,5.155,RandomForestRegressor
3.694,1.7920555555555557,AdaBoostRegressor
0.0,0.5866190476190477,AdaBoostRegressor
0.0,5.057482758620691,AdaBoostRegressor
0.0,0.5866190476190477,AdaBoostRegressor
0.0,2.792523809523809,AdaBoostRegressor
5.04,2.792523809523809,AdaBoostRegressor
3.331,5.057482758620691,AdaBoostRegressor
0.0,2.792523809523809,AdaBoostRegressor
2.597,1.7920555555555557,AdaBoostRegressor
0.0,0.5866190476190477,AdaBoostRegressor
2.295,1.7920555555555557,AdaBoostRegressor
5.133,2.792523809523809,AdaBoostRegressor
4.841,1.7920555555555557,AdaBoostRegressor
6.434,5.057482758620691,AdaBoostRegressor
1.038,0.5866190476190477,AdaBoostRegressor
3.389,2.792523809523809,AdaBoostRegressor
4.392,2.792523809523809,AdaBoostRegressor
3.529,1.7920555555555557,AdaBoostRegressor
0.0,1.7920555555555557,AdaBoostRegressor
5.493,5.057482758620691,AdaBoostRegressor
4.562,5.057482758620691,AdaBoostRegressor
3.694,3.4333,KNeighborsRegressor
0.0,0.8808999999999999,KNeighborsRegressor
0.0,4.2113000000000005,KNeighborsRegressor
0.0,0.36449999999999994,KNeighborsRegressor
0.0,2.3813000000000004,KNeighborsRegressor
5.04,3.8465000000000003,KNeighborsRegressor
3.331,3.8225000000000007,KNeighborsRegressor
0.0,1.2560999999999998,KNeighborsRegressor
2.597,1.4571,KNeighborsRegressor
0.0,0.4906,KNeighborsRegressor
2.295,1.533,KNeighborsRegressor
5.133,1.9553,KNeighborsRegressor
4.841,2.5846,KNeighborsRegressor
6.434,4.5246,KNeighborsRegressor
1.038,0.1873,KNeighborsRegressor
3.389,4.7991,KNeighborsRegressor
4.392,3.0853,KNeighborsRegressor
3.529,2.993,KNeighborsRegressor
0.0,2.4994,KNeighborsRegressor
5.493,4.9094,KNeighborsRegressor
4.562,5.661,KNeighborsRegressor
3.694,6.800791691373807,MLPRegressor
0.0,-2.3878261823478626,MLPRegressor
0.0,4.904272930107351,MLPRegressor
0.0,0.9586107413084765,MLPRegressor
0.0,3.913163448050109,MLPRegressor
5.04,-0.7871135373078727,MLPRegressor
3.331,5.201205882455901,MLPRegressor
0.0,3.4522266028373063,MLPRegressor
2.597,1.2890301429301059,MLPRegressor
0.0,-0.5926742970948462,MLPRegressor
2.295,2.888347907180078,MLPRegressor
5.133,4.9764536349598245,MLPRegressor
4.841,-4.465223406165486,MLPRegressor
6.434,6.388041354031263,MLPRegressor
1.038,-1.7907146471386506,MLPRegressor
3.389,0.3375189185089814,MLPRegressor
4.392,8.244986328064227,MLPRegressor
3.529,0.30181941532552947,MLPRegressor
0.0,2.507627309669707,MLPRegressor
5.493,1.8284543653226786,MLPRegressor
4.562,9.70558719327798,MLPRegressor
3.694,8.645209817745135,ElasticNet
0.0,13.205319064969578,ElasticNet
0.0,-2.16723190847656,ElasticNet
0.0,10.756258525740686,ElasticNet
0.0,9.356201414617788,ElasticNet
5.04,14.572033577565985,ElasticNet
3.331,7.846210913094693,ElasticNet
0.0,9.782797495920928,ElasticNet
2.597,14.785854229110656,ElasticNet
0.0,17.338649591547757,ElasticNet
2.295,18.95931861250596,ElasticNet
5.133,7.935215235924349,ElasticNet
4.841,10.974866072065378,ElasticNet
6.434,4.212498237533444,ElasticNet
1.038,15.74267996138935,ElasticNet
3.389,20.931640139289748,ElasticNet
4.392,12.794700070086133,ElasticNet
3.529,12.38479698495311,ElasticNet
0.0,3.4006512564356,ElasticNet
5.493,11.88459459270297,ElasticNet
4.562,5.781486324155976,ElasticNet
3.694,2.874328489384098,SGDRegressor
0.0,1.1227195906007381,SGDRegressor
0.0,2.1659271024933684,SGDRegressor
0.0,0.32540887560080556,SGDRegressor
0.0,2.901597171508673,SGDRegressor
5.04,4.823106737868475,SGDRegressor
3.331,5.457360447862509,SGDRegressor
0.0,1.3527244350458183,SGDRegressor
2.597,1.5485385496194812,SGDRegressor
0.0,0.019912648480529427,SGDRegressor
2.295,1.904265495714295,SGDRegressor
5.133,3.404392336442438,SGDRegressor
4.841,3.022908704799935,SGDRegressor
6.434,5.220866527281938,SGDRegressor
1.038,-0.40973287856045637,SGDRegressor
3.389,4.2070295581455,SGDRegressor
4.392,4.514630795011591,SGDRegressor
3.529,3.4376769596587913,SGDRegressor
0.0,2.4843233456794476,SGDRegressor
