Actual,Predicted,Model
3.694,2.7179256519377955,Ridge
0.0,1.237510463288082,Ridge
0.0,1.7775868904431782,Ridge
0.0,0.5809883644170402,Ridge
0.0,2.335378800549506,Ridge
5.04,3.980831311280925,Ridge
3.331,4.593341465576424,Ridge
0.0,1.3550018173911678,Ridge
2.597,1.4068572821840863,Ridge
0.0,0.6387346509563212,Ridge
2.295,1.8913395900366758,Ridge
5.133,2.5833066519892025,Ridge
4.841,2.683716575344052,Ridge
6.434,4.253384894429134,Ridge
1.038,0.13872865139125956,Ridge
3.389,3.6481295769917086,Ridge
4.392,3.505787535343538,Ridge
3.529,3.1355879611319484,Ridge
0.0,2.0607766672851753,Ridge
5.493,5.350872797879008,Ridge
4.562,3.8792029336371048,Ridge
3.694,4.347,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,5.309666666666667,DecisionTreeRegressor
0.0,0.333,DecisionTreeRegressor
0.0,1.7922500000000001,DecisionTreeRegressor
5.04,2.5716666666666668,DecisionTreeRegressor
3.331,4.7315000000000005,DecisionTreeRegressor
0.0,2.4627499999999998,DecisionTreeRegressor
2.597,0.0,DecisionTreeRegressor
0.0,1.18225,DecisionTreeRegressor
2.295,1.18225,DecisionTreeRegressor
5.133,0.0,DecisionTreeRegressor
4.841,4.274666666666666,DecisionTreeRegressor
6.434,4.317666666666667,DecisionTreeRegressor
1.038,0.0,DecisionTreeRegressor
3.389,6.8635,DecisionTreeRegressor
4.392,4.297666666666667,DecisionTreeRegressor
3.529,0.924,DecisionTreeRegressor
0.0,1.2385,DecisionTreeRegressor
5.493,3.5303333333333335,DecisionTreeRegressor
4.562,5.309666666666667,DecisionTreeRegressor
3.694,2.430441780429906,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.472524055735398,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
5.04,2.462084330349307,GradientBoostingRegressor
3.331,2.472524055735398,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
2.597,2.379406626214636,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
2.295,2.379406626214636,GradientBoostingRegressor
5.133,2.4045673413803645,GradientBoostingRegressor
4.841,2.430441780429906,GradientBoostingRegressor
6.434,2.472524055735398,GradientBoostingRegressor
1.038,2.356742907856657,GradientBoostingRegressor
3.389,2.4045673413803645,GradientBoostingRegressor
4.392,2.4045673413803645,GradientBoostingRegressor
3.529,2.430441780429906,GradientBoostingRegressor
0.0,2.430441780429906,GradientBoostingRegressor
5.493,2.472524055735398,GradientBoostingRegressor
4.562,2.472524055735398,GradientBoostingRegressor
3.694,2.182,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,3.696,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,2.757,RandomForestRegressor
5.04,4.352,RandomForestRegressor
3.331,5.221,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.597,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.295,2.122,RandomForestRegressor
5.133,2.612,RandomForestRegressor
4.841,3.004,RandomForestRegressor
6.434,6.428,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,4.352,RandomForestRegressor
4.392,5.07,RandomForestRegressor
3.529,4.409,RandomForestRegressor
0.0,0.0,RandomForestRegressor
5.493,6.335,RandomForestRegressor
4.562,6.317,RandomForestRegressor
3.694,1.8414249999999999,AdaBoostRegressor
0.0,0.6614489795918368,AdaBoostRegressor
0.0,4.23835294117647,AdaBoostRegressor
0.0,0.6614489795918368,AdaBoostRegressor
0.0,2.0476896551724137,AdaBoostRegressor
5.04,4.681749999999999,AdaBoostRegressor
3.331,4.23835294117647,AdaBoostRegressor
0.0,2.0476896551724137,AdaBoostRegressor
2.597,0.6614489795918368,AdaBoostRegressor
0.0,0.6614489795918368,AdaBoostRegressor
2.295,0.6614489795918368,AdaBoostRegressor
5.133,2.0476896551724137,AdaBoostRegressor
4.841,4.200200000000001,AdaBoostRegressor
6.434,4.23835294117647,AdaBoostRegressor
1.038,0.6614489795918368,AdaBoostRegressor
3.389,2.0476896551724137,AdaBoostRegressor
4.392,2.0476896551724137,AdaBoostRegressor
3.529,1.8414249999999999,AdaBoostRegressor
0.0,1.8414249999999999,AdaBoostRegressor
5.493,4.23835294117647,AdaBoostRegressor
4.562,4.23835294117647,AdaBoostRegressor
3.694,3.4333,KNeighborsRegressor
0.0,0.8808999999999999,KNeighborsRegressor
0.0,4.2113000000000005,KNeighborsRegressor
0.0,0.36449999999999994,KNeighborsRegressor
0.0,2.3813000000000004,KNeighborsRegressor
5.04,3.8465000000000003,KNeighborsRegressor
3.331,3.8225000000000007,KNeighborsRegressor
0.0,1.2560999999999998,KNeighborsRegressor
2.597,1.4571,KNeighborsRegressor
0.0,0.4906,KNeighborsRegressor
2.295,1.533,KNeighborsRegressor
5.133,1.9553,KNeighborsRegressor
4.841,2.5846,KNeighborsRegressor
6.434,4.5246,KNeighborsRegressor
1.038,0.1873,KNeighborsRegressor
3.389,4.7991,KNeighborsRegressor
4.392,3.0853,KNeighborsRegressor
3.529,2.993,KNeighborsRegressor
0.0,2.4994,KNeighborsRegressor
5.493,4.9094,KNeighborsRegressor
4.562,5.661,KNeighborsRegressor
3.694,7.625034593655602,MLPRegressor
0.0,-2.961674163485499,MLPRegressor
0.0,13.139715784593827,MLPRegressor
0.0,-0.18101644773694342,MLPRegressor
0.0,0.2415751087841677,MLPRegressor
5.04,-5.055220951374478,MLPRegressor
3.331,6.559557817370872,MLPRegressor
0.0,0.44470269187907036,MLPRegressor
2.597,-4.606311044824591,MLPRegressor
0.0,-4.936105224791054,MLPRegressor
2.295,-5.722586031035327,MLPRegressor
5.133,2.17285258685268,MLPRegressor
4.841,2.0037623353074823,MLPRegressor
6.434,11.200532303873045,MLPRegressor
1.038,-4.511602724620104,MLPRegressor
3.389,-10.944507960702902,MLPRegressor
4.392,-3.2325491843793333,MLPRegressor
3.529,4.764492436147564,MLPRegressor
0.0,10.49771065139583,MLPRegressor
5.493,3.988629559947418,MLPRegressor
4.562,8.971164666221208,MLPRegressor
3.694,8.619786678939882,ElasticNet
0.0,13.231640111508439,ElasticNet
0.0,-2.196468129819321,ElasticNet
0.0,10.77809824646317,ElasticNet
0.0,9.382948995899785,ElasticNet
5.04,14.607749176746513,ElasticNet
3.331,7.827326867246415,ElasticNet
0.0,9.80569545829849,ElasticNet
2.597,14.81502392351188,ElasticNet
0.0,17.360843564817028,ElasticNet
2.295,18.9870939695189,ElasticNet
5.133,7.963507708890224,ElasticNet
4.841,10.978863204586277,ElasticNet
6.434,4.190688107368903,ElasticNet
1.038,15.764805341046708,ElasticNet
3.389,20.97094546852834,ElasticNet
4.392,12.828733365295632,ElasticNet
