Actual,Predicted,Model
3.694,2.695463176149607,Ridge
0.0,1.2536520730947256,Ridge
0.0,1.8076643959471,Ridge
0.0,0.595407326325688,Ridge
0.0,2.3635071338113853,Ridge
5.04,4.012266596179964,Ridge
3.331,4.598152552162366,Ridge
0.0,1.381630139717835,Ridge
2.597,1.4112265184205164,Ridge
0.0,0.6465451127236896,Ridge
2.295,1.8776600301742796,Ridge
5.133,2.591930317923845,Ridge
4.841,2.6776743125964853,Ridge
6.434,4.236767870538776,Ridge
1.038,0.1478750902782,Ridge
3.389,3.665997362863523,Ridge
4.392,3.5246512285542853,Ridge
3.529,3.099311189453916,Ridge
0.0,2.04324465797343,Ridge
5.493,5.341754413293449,Ridge
4.562,3.881872091364505,Ridge
3.694,2.411,DecisionTreeRegressor
0.0,1.6875,DecisionTreeRegressor
0.0,5.28025,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,2.22375,DecisionTreeRegressor
5.04,2.7307499999999996,DecisionTreeRegressor
3.331,3.5860000000000003,DecisionTreeRegressor
0.0,2.684,DecisionTreeRegressor
2.597,2.054,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.295,1.897,DecisionTreeRegressor
5.133,2.7255000000000003,DecisionTreeRegressor
4.841,5.110666666666667,DecisionTreeRegressor
6.434,4.84525,DecisionTreeRegressor
1.038,0.0,DecisionTreeRegressor
3.389,2.7307499999999996,DecisionTreeRegressor
4.392,3.3113333333333337,DecisionTreeRegressor
3.529,4.409,DecisionTreeRegressor
0.0,0.53,DecisionTreeRegressor
5.493,5.677,DecisionTreeRegressor
4.562,6.364,DecisionTreeRegressor
3.694,2.430441780429906,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.472524055735398,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
5.04,2.462084330349307,GradientBoostingRegressor
3.331,2.472524055735398,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
2.597,2.379406626214636,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
2.295,2.379406626214636,GradientBoostingRegressor
5.133,2.4045673413803645,GradientBoostingRegressor
4.841,2.430441780429906,GradientBoostingRegressor
6.434,2.472524055735398,GradientBoostingRegressor
1.038,2.356742907856657,GradientBoostingRegressor
3.389,2.4045673413803645,GradientBoostingRegressor
4.392,2.4045673413803645,GradientBoostingRegressor
3.529,2.430441780429906,GradientBoostingRegressor
0.0,2.430441780429906,GradientBoostingRegressor
5.493,2.472524055735398,GradientBoostingRegressor
4.562,2.472524055735398,GradientBoostingRegressor
3.694,2.566,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,2.654,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,3.5399999999999996,RandomForestRegressor
5.04,4.33675,RandomForestRegressor
3.331,4.8825,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.597,2.2456666666666667,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.295,3.235,RandomForestRegressor
5.133,0.0,RandomForestRegressor
4.841,0.0,RandomForestRegressor
6.434,5.984999999999999,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,4.9670000000000005,RandomForestRegressor
4.392,4.9670000000000005,RandomForestRegressor
3.529,5.077,RandomForestRegressor
0.0,3.0316,RandomForestRegressor
5.493,4.8825,RandomForestRegressor
4.562,6.317,RandomForestRegressor
3.694,4.138129870129872,AdaBoostRegressor
0.0,0.6935925925925928,AdaBoostRegressor
0.0,1.8035416666666668,AdaBoostRegressor
0.0,0.6935925925925928,AdaBoostRegressor
0.0,2.0827272727272725,AdaBoostRegressor
5.04,2.0827272727272725,AdaBoostRegressor
3.331,4.138129870129872,AdaBoostRegressor
0.0,2.0827272727272725,AdaBoostRegressor
2.597,0.6935925925925928,AdaBoostRegressor
0.0,0.6935925925925928,AdaBoostRegressor
2.295,0.6935925925925928,AdaBoostRegressor
5.133,2.0827272727272725,AdaBoostRegressor
4.841,4.138129870129872,AdaBoostRegressor
6.434,4.138129870129872,AdaBoostRegressor
1.038,0.6935925925925928,AdaBoostRegressor
3.389,2.0827272727272725,AdaBoostRegressor
4.392,2.0827272727272725,AdaBoostRegressor
3.529,1.8035416666666668,AdaBoostRegressor
0.0,1.8035416666666668,AdaBoostRegressor
5.493,4.138129870129872,AdaBoostRegressor
4.562,1.8035416666666668,AdaBoostRegressor
3.694,3.4333,KNeighborsRegressor
0.0,0.8808999999999999,KNeighborsRegressor
0.0,4.2113000000000005,KNeighborsRegressor
0.0,0.36449999999999994,KNeighborsRegressor
0.0,2.3813000000000004,KNeighborsRegressor
5.04,3.8465000000000003,KNeighborsRegressor
3.331,3.8225000000000007,KNeighborsRegressor
0.0,1.2560999999999998,KNeighborsRegressor
2.597,1.4571,KNeighborsRegressor
0.0,0.4906,KNeighborsRegressor
2.295,1.533,KNeighborsRegressor
5.133,1.9553,KNeighborsRegressor
4.841,2.5846,KNeighborsRegressor
6.434,4.5246,KNeighborsRegressor
1.038,0.1873,KNeighborsRegressor
3.389,4.7991,KNeighborsRegressor
4.392,3.0853,KNeighborsRegressor
3.529,2.993,KNeighborsRegressor
0.0,2.4994,KNeighborsRegressor
5.493,4.9094,KNeighborsRegressor
4.562,5.661,KNeighborsRegressor
3.694,2.6791598487216475,MLPRegressor
0.0,0.3630151299794602,MLPRegressor
0.0,0.4722445936719618,MLPRegressor
0.0,0.295919533818316,MLPRegressor
0.0,2.275199362006945,MLPRegressor
5.04,8.007545733508072,MLPRegressor
3.331,4.138143798915854,MLPRegressor
0.0,1.3084298630450273,MLPRegressor
2.597,2.279493260828158,MLPRegressor
0.0,-0.3362946168008589,MLPRegressor
2.295,0.5910687047039789,MLPRegressor
5.133,2.8363392701377528,MLPRegressor
4.841,2.2369775433121584,MLPRegressor
6.434,3.7953619478971836,MLPRegressor
1.038,-0.014603845379327574,MLPRegressor
3.389,4.716506603504311,MLPRegressor
4.392,3.5076913080918226,MLPRegressor
3.529,3.9613370223742157,MLPRegressor
0.0,2.2436505053635747,MLPRegressor
5.493,0.466201954250416,MLPRegressor
4.562,5.493071179756743,MLPRegressor
3.694,8.64554618535938,ElasticNet
0.0,13.205962580357145,ElasticNet
0.0,-2.168892630736532,ElasticNet
0.0,10.756536102870957,ElasticNet
0.0,9.3553897502823,ElasticNet
5.04,14.571966944791685,ElasticNet
3.331,7.8456333872969255,ElasticNet
