Actual,Predicted,Model
3.694,2.694741237051405,Ridge
0.0,1.2423290201349815,Ridge
0.0,1.7823063246284967,Ridge
0.0,0.567708357792327,Ridge
0.0,2.361359304983644,Ridge
5.04,4.043125466994637,Ridge
3.331,4.6246596934659205,Ridge
0.0,1.3604011517557488,Ridge
2.597,1.4144740926996082,Ridge
0.0,0.6310273276458886,Ridge
2.295,1.887495724446845,Ridge
5.133,2.58963037273252,Ridge
4.841,2.683174793193862,Ridge
6.434,4.247117070330683,Ridge
1.038,0.12989495227102843,Ridge
3.389,3.712440958219636,Ridge
4.392,3.552002681650391,Ridge
3.529,3.11692357670678,Ridge
0.0,2.0334348393082493,Ridge
5.493,5.386808040039609,Ridge
4.562,3.8927761860019405,Ridge
3.694,2.411,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,3.478,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,3.945,DecisionTreeRegressor
5.04,4.352,DecisionTreeRegressor
3.331,5.221,DecisionTreeRegressor
0.0,3.363,DecisionTreeRegressor
2.597,2.9495,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.295,0.0,DecisionTreeRegressor
5.133,3.4690000000000003,DecisionTreeRegressor
4.841,1.11,DecisionTreeRegressor
6.434,6.447,DecisionTreeRegressor
1.038,0.0,DecisionTreeRegressor
3.389,4.438,DecisionTreeRegressor
4.392,4.352,DecisionTreeRegressor
3.529,4.7829999999999995,DecisionTreeRegressor
0.0,2.163,DecisionTreeRegressor
5.493,3.591,DecisionTreeRegressor
4.562,5.352,DecisionTreeRegressor
3.694,2.430441780429906,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.472524055735398,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
5.04,2.462084330349307,GradientBoostingRegressor
3.331,2.472524055735398,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
2.597,2.379406626214636,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
2.295,2.379406626214636,GradientBoostingRegressor
5.133,2.4045673413803645,GradientBoostingRegressor
4.841,2.430441780429906,GradientBoostingRegressor
6.434,2.472524055735398,GradientBoostingRegressor
1.038,2.356742907856657,GradientBoostingRegressor
3.389,2.4045673413803645,GradientBoostingRegressor
4.392,2.4045673413803645,GradientBoostingRegressor
3.529,2.430441780429906,GradientBoostingRegressor
0.0,2.430441780429906,GradientBoostingRegressor
5.493,2.472524055735398,GradientBoostingRegressor
4.562,2.472524055735398,GradientBoostingRegressor
3.694,2.13,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,2.35,RandomForestRegressor
5.04,3.93,RandomForestRegressor
3.331,2.5385,RandomForestRegressor
0.0,3.291,RandomForestRegressor
2.597,3.004,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.295,0.874,RandomForestRegressor
5.133,3.93,RandomForestRegressor
4.841,2.268,RandomForestRegressor
6.434,6.4765,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,7.392,RandomForestRegressor
4.392,2.35,RandomForestRegressor
3.529,0.0,RandomForestRegressor
0.0,3.702,RandomForestRegressor
5.493,5.803,RandomForestRegressor
4.562,5.803,RandomForestRegressor
3.694,2.2287605633802814,AdaBoostRegressor
0.0,2.2287605633802814,AdaBoostRegressor
0.0,0.426,AdaBoostRegressor
0.0,2.2287605633802814,AdaBoostRegressor
0.0,3.8787260273972586,AdaBoostRegressor
5.04,3.8787260273972586,AdaBoostRegressor
3.331,3.8787260273972586,AdaBoostRegressor
0.0,3.8787260273972586,AdaBoostRegressor
2.597,2.2287605633802814,AdaBoostRegressor
0.0,2.2287605633802814,AdaBoostRegressor
2.295,2.2287605633802814,AdaBoostRegressor
5.133,3.8787260273972586,AdaBoostRegressor
4.841,2.2287605633802814,AdaBoostRegressor
6.434,3.8787260273972586,AdaBoostRegressor
1.038,0.426,AdaBoostRegressor
3.389,3.8787260273972586,AdaBoostRegressor
4.392,3.8787260273972586,AdaBoostRegressor
3.529,2.2287605633802814,AdaBoostRegressor
0.0,0.426,AdaBoostRegressor
5.493,3.8787260273972586,AdaBoostRegressor
4.562,3.8787260273972586,AdaBoostRegressor
3.694,3.4333,KNeighborsRegressor
0.0,0.8808999999999999,KNeighborsRegressor
0.0,4.2113000000000005,KNeighborsRegressor
0.0,0.36449999999999994,KNeighborsRegressor
0.0,2.3813000000000004,KNeighborsRegressor
5.04,3.8465000000000003,KNeighborsRegressor
3.331,3.8225000000000007,KNeighborsRegressor
0.0,1.2560999999999998,KNeighborsRegressor
2.597,1.4571,KNeighborsRegressor
0.0,0.4906,KNeighborsRegressor
2.295,1.533,KNeighborsRegressor
5.133,1.9553,KNeighborsRegressor
4.841,2.5846,KNeighborsRegressor
6.434,4.5246,KNeighborsRegressor
1.038,0.1873,KNeighborsRegressor
3.389,4.7991,KNeighborsRegressor
4.392,3.0853,KNeighborsRegressor
3.529,2.993,KNeighborsRegressor
0.0,2.4994,KNeighborsRegressor
5.493,4.9094,KNeighborsRegressor
4.562,5.661,KNeighborsRegressor
3.694,0.46011300769195357,MLPRegressor
0.0,0.48988415986144224,MLPRegressor
0.0,3.8581803909580556,MLPRegressor
0.0,0.6046265392920098,MLPRegressor
0.0,2.357983434450793,MLPRegressor
5.04,0.7719534006125952,MLPRegressor
3.331,4.896462936706389,MLPRegressor
0.0,1.1269600037212673,MLPRegressor
2.597,0.43798446896229953,MLPRegressor
0.0,0.22916993212720443,MLPRegressor
2.295,0.34792975658083686,MLPRegressor
5.133,1.7953006538436924,MLPRegressor
4.841,0.8547748969600171,MLPRegressor
6.434,3.1621731609428343,MLPRegressor
1.038,0.1928517235238853,MLPRegressor
3.389,-0.11897494139666404,MLPRegressor
4.392,2.492929595410948,MLPRegressor
3.529,1.8773579417366948,MLPRegressor
0.0,2.5491037000021315,MLPRegressor
5.493,4.605310431113857,MLPRegressor
4.562,3.5766704499851314,MLPRegressor
3.694,8.606267351629377,ElasticNet
0.0,13.240955731365853,ElasticNet
0.0,-2.2025430992082597,ElasticNet
0.0,10.78628631787939,ElasticNet
0.0,9.39949940748023,ElasticNet
5.04,14.626527028852927,ElasticNet
3.331,7.82276064109706,ElasticNet
0.0,9.817677646939272,ElasticNet
2.597,14.824889240226675,ElasticNet
0.0,17.36763787605383,ElasticNet
2.295,18.99542530413755,ElasticNet
5.133,7.977762027214245,ElasticNet
4.841,10.978053379970758,ElasticNet
6.434,4.182656198122246,ElasticNet
1.038,15.771879172798485,ElasticNet
3.389,20.986405889193822,ElasticNet
4.392,12.847128213770816,ElasticNet
3.529,12.348931304148532,ElasticNet
0.0,3.3624853259952094,ElasticNet
5.493,11.8642024481231,ElasticNet
4.562,5.752361323436948,ElasticNet
3.694,4.540423749869568,SGDRegressor
0.0,0.1420778263802145,SGDRegressor
0.0,6.42796731804237,SGDRegressor
0.0,0.8097447740029651,SGDRegressor
0.0,-0.8966875033700585,SGDRegressor
5.04,-1.8175030069664864,SGDRegressor
3.331,4.408191275004182,SGDRegressor
0.0,1.592183999507295,SGDRegressor
2.597,-2.504623409876695,SGDRegressor
0.0,4.977211064414252,SGDRegressor
2.295,-0.6911212774579685,SGDRegressor
5.133,-6.268013989683505,SGDRegressor
4.841,-0.3592810441199603,SGDRegressor
