Actual,Predicted,Model
3.694,2.7101520134677752,Ridge
0.0,1.2464495238536362,Ridge
0.0,1.770742764458845,Ridge
0.0,0.5901136328469381,Ridge
0.0,2.3481802153498545,Ridge
5.04,3.993461720413288,Ridge
3.331,4.589918445402697,Ridge
0.0,1.367309587786604,Ridge
2.597,1.414850001062936,Ridge
0.0,0.6586709629210912,Ridge
2.295,1.9059517408938813,Ridge
5.133,2.584587984776947,Ridge
4.841,2.680203708114492,Ridge
6.434,4.238951456440963,Ridge
1.038,0.15651612841130458,Ridge
3.389,3.662449439286222,Ridge
4.392,3.5161456247914575,Ridge
3.529,3.1301910878213466,Ridge
0.0,2.0449833180603605,Ridge
5.493,5.349989473876578,Ridge
4.562,3.8766566448366557,Ridge
3.694,2.7075,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,5.142,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,3.2424999999999997,DecisionTreeRegressor
5.04,4.651,DecisionTreeRegressor
3.331,5.221,DecisionTreeRegressor
0.0,0.8475,DecisionTreeRegressor
2.597,3.637,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.295,1.363,DecisionTreeRegressor
5.133,2.822,DecisionTreeRegressor
4.841,4.116,DecisionTreeRegressor
6.434,6.4375,DecisionTreeRegressor
1.038,0.0,DecisionTreeRegressor
3.389,4.651,DecisionTreeRegressor
4.392,4.352,DecisionTreeRegressor
3.529,2.1515,DecisionTreeRegressor
0.0,1.851,DecisionTreeRegressor
5.493,6.363,DecisionTreeRegressor
4.562,4.8315,DecisionTreeRegressor
3.694,2.430441780429906,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.472524055735398,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
5.04,2.462084330349307,GradientBoostingRegressor
3.331,2.472524055735398,GradientBoostingRegressor
0.0,2.4045673413803645,GradientBoostingRegressor
2.597,2.379406626214636,GradientBoostingRegressor
0.0,2.356742907856657,GradientBoostingRegressor
2.295,2.379406626214636,GradientBoostingRegressor
5.133,2.4045673413803645,GradientBoostingRegressor
4.841,2.430441780429906,GradientBoostingRegressor
6.434,2.472524055735398,GradientBoostingRegressor
1.038,2.356742907856657,GradientBoostingRegressor
3.389,2.4045673413803645,GradientBoostingRegressor
4.392,2.4045673413803645,GradientBoostingRegressor
3.529,2.430441780429906,GradientBoostingRegressor
0.0,2.430441780429906,GradientBoostingRegressor
5.493,2.472524055735398,GradientBoostingRegressor
4.562,2.472524055735398,GradientBoostingRegressor
3.694,2.411,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,5.85,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,1.659,RandomForestRegressor
5.04,0.0,RandomForestRegressor
3.331,3.693,RandomForestRegressor
0.0,3.291,RandomForestRegressor
2.597,0.0,RandomForestRegressor
0.0,3.235,RandomForestRegressor
2.295,3.235,RandomForestRegressor
5.133,2.22,RandomForestRegressor
4.841,0.0,RandomForestRegressor
6.434,6.428,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,0.0,RandomForestRegressor
4.392,5.07,RandomForestRegressor
3.529,2.411,RandomForestRegressor
0.0,3.702,RandomForestRegressor
5.493,6.335,RandomForestRegressor
4.562,4.334,RandomForestRegressor
3.694,2.652931818181817,AdaBoostRegressor
0.0,0.6039538461538461,AdaBoostRegressor
0.0,4.549096153846154,AdaBoostRegressor
0.0,0.6039538461538461,AdaBoostRegressor
0.0,2.169148148148148,AdaBoostRegressor
5.04,2.169148148148148,AdaBoostRegressor
3.331,4.549096153846154,AdaBoostRegressor
0.0,2.169148148148148,AdaBoostRegressor
2.597,0.6039538461538461,AdaBoostRegressor
0.0,0.6039538461538461,AdaBoostRegressor
2.295,0.6039538461538461,AdaBoostRegressor
5.133,2.169148148148148,AdaBoostRegressor
4.841,2.652931818181817,AdaBoostRegressor
6.434,4.549096153846154,AdaBoostRegressor
1.038,0.6039538461538461,AdaBoostRegressor
3.389,2.169148148148148,AdaBoostRegressor
4.392,2.169148148148148,AdaBoostRegressor
3.529,2.652931818181817,AdaBoostRegressor
0.0,2.652931818181817,AdaBoostRegressor
5.493,4.549096153846154,AdaBoostRegressor
4.562,4.549096153846154,AdaBoostRegressor
