Actual,Predicted,Model
5.773,5.871437614646614,Ridge
7.407,6.717704965961442,Ridge
8.889,8.163447423902804,Ridge
10.0,9.200082347734138,Ridge
10.0,9.548026875178442,Ridge
3.296,3.650818354038767,Ridge
5.265,5.608187530343477,Ridge
10.0,8.584901071689401,Ridge
3.788,4.432818362457535,Ridge
10.0,8.821335502885786,Ridge
4.602,3.864885046253973,Ridge
2.329,2.8290197187407764,Ridge
2.515,1.7716094255552273,Ridge
4.248,3.9920725527487866,Ridge
6.328,6.6403713912814135,Ridge
3.925,3.963111307721088,Ridge
3.907,2.757456145927954,Ridge
5.269,4.701760383481163,Ridge
10.0,7.734002425728855,Ridge
3.627,3.8331323742639682,Ridge
3.275,4.18272242735291,Ridge
5.773,5.315,DecisionTreeRegressor
7.407,7.222,DecisionTreeRegressor
8.889,6.666999999999999,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,4.343,DecisionTreeRegressor
5.265,5.838333333333334,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,4.6499999999999995,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.810666666666666,DecisionTreeRegressor
2.329,2.8674999999999997,DecisionTreeRegressor
2.515,2.8674999999999997,DecisionTreeRegressor
4.248,4.157,DecisionTreeRegressor
6.328,5.7885,DecisionTreeRegressor
3.925,4.346333333333333,DecisionTreeRegressor
3.907,3.9593333333333334,DecisionTreeRegressor
5.269,6.032,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,4.1819999999999995,DecisionTreeRegressor
3.275,4.810666666666666,DecisionTreeRegressor
5.773,5.551874319526284,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.5811671934004075,GradientBoostingRegressor
5.265,5.5344242994191575,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.799743753692354,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.917585838627758,GradientBoostingRegressor
2.329,4.424504128353705,GradientBoostingRegressor
2.515,4.424504128353705,GradientBoostingRegressor
4.248,4.917585838627758,GradientBoostingRegressor
6.328,5.65455709317143,GradientBoostingRegressor
3.925,4.608648832050682,GradientBoostingRegressor
3.907,4.799743753692354,GradientBoostingRegressor
5.269,5.598563630783663,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.627,4.987042016471546,GradientBoostingRegressor
3.275,4.5811671934004075,GradientBoostingRegressor
5.773,5.423639999999998,RandomForestRegressor
7.407,7.496379999999997,RandomForestRegressor
8.889,7.50014,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.391440000000001,RandomForestRegressor
3.296,3.871019999999998,RandomForestRegressor
5.265,5.2856000000000005,RandomForestRegressor
10.0,9.940760000000001,RandomForestRegressor
3.788,4.268900000000001,RandomForestRegressor
10.0,9.97038,RandomForestRegressor
4.602,4.428140000000001,RandomForestRegressor
2.329,3.2363400000000007,RandomForestRegressor
2.515,3.289880000000001,RandomForestRegressor
4.248,4.445359999999999,RandomForestRegressor
6.328,5.80768,RandomForestRegressor
3.925,3.8481399999999994,RandomForestRegressor
3.907,4.090699999999999,RandomForestRegressor
5.269,5.125619999999999,RandomForestRegressor
10.0,8.548060000000001,RandomForestRegressor
3.627,4.497940000000001,RandomForestRegressor
3.275,4.03204,RandomForestRegressor
5.773,5.228263157894733,AdaBoostRegressor
7.407,7.540750000000002,AdaBoostRegressor
8.889,7.540750000000002,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,3.941569444444443,AdaBoostRegressor
5.265,5.198647058823531,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,3.941569444444443,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,4.672960396039607,AdaBoostRegressor
2.329,3.540625,AdaBoostRegressor
2.515,3.537011764705884,AdaBoostRegressor
4.248,4.672960396039607,AdaBoostRegressor
6.328,5.417244897959184,AdaBoostRegressor
3.925,3.679614583333336,AdaBoostRegressor
3.907,3.941569444444443,AdaBoostRegressor
5.269,5.142266666666668,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,3.941569444444443,AdaBoostRegressor
3.275,4.022375,AdaBoostRegressor
5.773,5.62081270218827,KNeighborsRegressor
7.407,7.616887001735265,KNeighborsRegressor
8.889,7.810309952288617,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,6.993746256622327,KNeighborsRegressor
3.296,3.6635491459221305,KNeighborsRegressor
5.265,5.1744015711466655,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.788,3.9358153565733263,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.602,4.44828069217089,KNeighborsRegressor
2.329,3.273469925272248,KNeighborsRegressor
2.515,3.521081805839178,KNeighborsRegressor
4.248,4.426729387179326,KNeighborsRegressor
6.328,6.718510418770019,KNeighborsRegressor
3.925,3.901977375999431,KNeighborsRegressor
3.907,4.037098576165858,KNeighborsRegressor
5.269,5.707274993975808,KNeighborsRegressor
10.0,6.012054514955591,KNeighborsRegressor
3.627,4.17336367012992,KNeighborsRegressor
3.275,3.834299502085417,KNeighborsRegressor
5.773,5.754082914612289,MLPRegressor
7.407,9.106780122569237,MLPRegressor
8.889,8.658554618521002,MLPRegressor
10.0,9.998013888968664,MLPRegressor
10.0,9.132549759768988,MLPRegressor
3.296,3.005265947430842,MLPRegressor
5.265,5.112071255559333,MLPRegressor
