Actual,Predicted,Model
5.773,5.941759184957589,Ridge
7.407,6.730457848651021,Ridge
8.889,8.16276498718118,Ridge
10.0,9.182247844473952,Ridge
10.0,9.538937485493538,Ridge
3.296,3.6559404048921147,Ridge
5.265,5.806459421415511,Ridge
10.0,8.586974870359237,Ridge
3.788,4.430213009221443,Ridge
10.0,8.823302092271952,Ridge
4.602,3.864269317705542,Ridge
2.329,2.822753075387854,Ridge
2.515,1.766340921358279,Ridge
4.248,3.9930233177582237,Ridge
6.328,6.6610063914631175,Ridge
3.925,3.969679259821046,Ridge
3.907,2.7459343221860255,Ridge
5.269,4.792081454722998,Ridge
10.0,7.736842161802509,Ridge
3.627,3.8376815078425195,Ridge
3.275,4.187175172924286,Ridge
5.773,5.266,DecisionTreeRegressor
7.407,7.222,DecisionTreeRegressor
8.889,8.333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,4.343,DecisionTreeRegressor
5.265,4.775,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,3.53,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.727,DecisionTreeRegressor
2.329,3.282,DecisionTreeRegressor
2.515,4.491,DecisionTreeRegressor
4.248,6.032,DecisionTreeRegressor
6.328,5.917,DecisionTreeRegressor
3.925,4.485,DecisionTreeRegressor
3.907,4.306,DecisionTreeRegressor
5.269,5.812,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,4.12,DecisionTreeRegressor
3.275,4.343,DecisionTreeRegressor
5.773,5.551874319526284,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.296,4.5811671934004075,GradientBoostingRegressor
5.265,5.5344242994191575,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.788,4.799743753692353,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
4.602,4.917585838627757,GradientBoostingRegressor
2.329,4.424504128353705,GradientBoostingRegressor
2.515,4.424504128353705,GradientBoostingRegressor
4.248,4.917585838627757,GradientBoostingRegressor
6.328,5.65455709317143,GradientBoostingRegressor
3.925,4.608648832050682,GradientBoostingRegressor
3.907,4.799743753692353,GradientBoostingRegressor
5.269,5.598563630783663,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.627,4.973213834754524,GradientBoostingRegressor
3.275,4.5811671934004075,GradientBoostingRegressor
5.773,5.412160000000001,RandomForestRegressor
7.407,7.339399999999999,RandomForestRegressor
8.889,7.630060000000002,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.207160000000002,RandomForestRegressor
3.296,3.7571799999999977,RandomForestRegressor
5.265,5.40945,RandomForestRegressor
10.0,9.68611,RandomForestRegressor
3.788,4.183689999999997,RandomForestRegressor
10.0,9.72777,RandomForestRegressor
4.602,4.47485,RandomForestRegressor
2.329,2.939430000000003,RandomForestRegressor
2.515,3.1700600000000008,RandomForestRegressor
4.248,4.402469999999997,RandomForestRegressor
6.328,5.889709999999999,RandomForestRegressor
3.925,4.0253799999999975,RandomForestRegressor
3.907,3.9836599999999978,RandomForestRegressor
5.269,5.458150000000002,RandomForestRegressor
10.0,7.59491,RandomForestRegressor
3.627,4.24811,RandomForestRegressor
3.275,3.917309999999999,RandomForestRegressor
5.773,5.229684210526317,AdaBoostRegressor
7.407,7.669078125000001,AdaBoostRegressor
8.889,7.710960000000003,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,3.6281923076923093,AdaBoostRegressor
5.265,5.1652000000000005,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,4.398095238095238,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,4.579113924050635,AdaBoostRegressor
2.329,3.232924528301887,AdaBoostRegressor
2.515,3.2562599999999997,AdaBoostRegressor
4.248,4.656151515151522,AdaBoostRegressor
6.328,5.566935483870971,AdaBoostRegressor
3.925,3.9668461538461552,AdaBoostRegressor
3.907,3.9668461538461552,AdaBoostRegressor
5.269,5.0288,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,3.402244897959185,AdaBoostRegressor
3.275,3.7406363636363626,AdaBoostRegressor
5.773,5.322875161192331,KNeighborsRegressor
7.407,7.616887001735265,KNeighborsRegressor
8.889,7.810309952288617,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,7.108025546931142,KNeighborsRegressor
3.296,3.6635491459221305,KNeighborsRegressor
5.265,5.544656458562758,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.788,3.9358153565733263,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.602,4.44828069217089,KNeighborsRegressor
2.329,3.273469925272248,KNeighborsRegressor
2.515,3.521081805839178,KNeighborsRegressor
4.248,4.426729387179326,KNeighborsRegressor
6.328,6.588706611007885,KNeighborsRegressor
3.925,3.901977375999431,KNeighborsRegressor
3.907,4.037098576165858,KNeighborsRegressor
5.269,5.6365820145858505,KNeighborsRegressor
10.0,6.012054514955591,KNeighborsRegressor
3.627,4.17336367012992,KNeighborsRegressor
3.275,3.834299502085417,KNeighborsRegressor
5.773,5.697778484675041,MLPRegressor
7.407,6.102649829541796,MLPRegressor
8.889,8.870958475178067,MLPRegressor
10.0,9.996084230648227,MLPRegressor
10.0,7.690516121469416,MLPRegressor
3.296,2.77460729376232,MLPRegressor
5.265,5.466819442248509,MLPRegressor
10.0,10.003709784459286,MLPRegressor
3.788,3.695134597468094,MLPRegressor
10.0,10.002057269572285,MLPRegressor
4.602,4.6571814354202115,MLPRegressor
2.329,2.2406631372916466,MLPRegressor
2.515,2.1269402047217048,MLPRegressor
4.248,4.623964384881841,MLPRegressor
6.328,6.119197258377273,MLPRegressor
3.925,4.221522366988096,MLPRegressor
3.907,3.7402469284716098,MLPRegressor
5.269,5.417314741575462,MLPRegressor
10.0,9.04955018116911,MLPRegressor
3.627,5.0005654785648215,MLPRegressor
3.275,3.9442397610242694,MLPRegressor
5.773,5.595416067804184,ElasticNet
7.407,7.246909386171128,ElasticNet
8.889,7.839497361766062,ElasticNet
10.0,7.802403793490097,ElasticNet
10.0,7.846054362753538,ElasticNet
3.296,5.168603523279757,ElasticNet
5.265,5.706185469115881,ElasticNet
10.0,7.763492929692942,ElasticNet
3.788,4.643973493085692,ElasticNet
10.0,7.832329336394462,ElasticNet
4.602,4.309635465914207,ElasticNet
2.329,4.598018007314036,ElasticNet
2.515,3.934568699720084,ElasticNet
4.248,4.069757154291056,ElasticNet
6.328,6.2435174997310385,ElasticNet
3.925,4.99417017228875,ElasticNet
3.907,4.441062295430948,ElasticNet
5.269,4.410041308031521,ElasticNet
10.0,7.249084564448282,ElasticNet
3.627,4.489238497267946,ElasticNet
3.275,5.427251522480496,ElasticNet
5.773,6.112579973115788,SGDRegressor
7.407,6.360980061317883,SGDRegressor
8.889,7.441569008534651,SGDRegressor
