Actual,Predicted,Model
5.773,5.861418914553807,Ridge
7.407,6.731526307579444,Ridge
8.889,8.154450939716291,Ridge
10.0,9.181270689676863,Ridge
10.0,9.519222827714632,Ridge
3.296,3.6224430806332197,Ridge
5.265,6.028340749755501,Ridge
10.0,8.588315666315811,Ridge
3.788,4.429678539184049,Ridge
10.0,8.835462282203714,Ridge
4.602,3.871997229145983,Ridge
2.329,2.8424868406926262,Ridge
2.515,1.7685034970579911,Ridge
4.248,3.971984354101363,Ridge
6.328,6.603411482922494,Ridge
3.925,3.9756544553134843,Ridge
3.907,2.736900868200769,Ridge
5.269,4.71804336597367,Ridge
10.0,7.716716167367702,Ridge
3.627,3.8359021328842062,Ridge
3.275,4.170095397056795,Ridge
5.773,5.388333333333333,DecisionTreeRegressor
7.407,7.5,DecisionTreeRegressor
8.889,8.302666666666667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,4.023333333333333,DecisionTreeRegressor
5.265,5.778,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,4.1819999999999995,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.157,DecisionTreeRegressor
2.329,3.282,DecisionTreeRegressor
2.515,3.282,DecisionTreeRegressor
4.248,4.968500000000001,DecisionTreeRegressor
6.328,6.0776666666666666,DecisionTreeRegressor
3.925,4.2145,DecisionTreeRegressor
3.907,3.9939999999999998,DecisionTreeRegressor
5.269,5.3195,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,2.5995,DecisionTreeRegressor
3.275,4.023333333333333,DecisionTreeRegressor
5.773,5.551874319526283,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.5811671934004075,GradientBoostingRegressor
5.265,5.534424299419157,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.799743753692353,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.917585838627757,GradientBoostingRegressor
2.329,4.424504128353705,GradientBoostingRegressor
2.515,4.424504128353705,GradientBoostingRegressor
4.248,4.917585838627757,GradientBoostingRegressor
6.328,5.654557093171429,GradientBoostingRegressor
3.925,4.608648832050682,GradientBoostingRegressor
3.907,4.799743753692353,GradientBoostingRegressor
5.269,5.598563630783662,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.627,5.17355950570057,GradientBoostingRegressor
3.275,4.5811671934004075,GradientBoostingRegressor
5.773,5.580619999999999,RandomForestRegressor
7.407,7.3056399999999995,RandomForestRegressor
8.889,7.379779999999995,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.08268,RandomForestRegressor
3.296,3.7064800000000004,RandomForestRegressor
5.265,5.275100000000002,RandomForestRegressor
10.0,9.73888,RandomForestRegressor
3.788,4.19582,RandomForestRegressor
10.0,9.73334,RandomForestRegressor
4.602,4.6796999999999995,RandomForestRegressor
2.329,3.471599999999999,RandomForestRegressor
2.515,3.4815400000000016,RandomForestRegressor
4.248,4.459580000000002,RandomForestRegressor
6.328,5.851359999999997,RandomForestRegressor
3.925,4.251619999999999,RandomForestRegressor
3.907,4.045939999999999,RandomForestRegressor
5.269,5.331339999999996,RandomForestRegressor
10.0,8.35284,RandomForestRegressor
3.627,4.274400000000001,RandomForestRegressor
3.275,3.8955799999999994,RandomForestRegressor
5.773,5.110530612244901,AdaBoostRegressor
7.407,7.587894736842105,AdaBoostRegressor
8.889,7.587894736842105,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,3.7276063829787263,AdaBoostRegressor
5.265,5.054029411764707,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,4.286909090909092,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,4.576756097560976,AdaBoostRegressor
2.329,3.2172622950819676,AdaBoostRegressor
2.515,3.2976176470588237,AdaBoostRegressor
4.248,4.648813186813187,AdaBoostRegressor
6.328,5.366771428571431,AdaBoostRegressor
3.925,3.7706086956521743,AdaBoostRegressor
3.907,3.7276063829787263,AdaBoostRegressor
5.269,5.110530612244901,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,3.703387096774193,AdaBoostRegressor
3.275,3.7972777777777784,AdaBoostRegressor
5.773,5.575667546746155,KNeighborsRegressor
7.407,7.616887001735265,KNeighborsRegressor
8.889,7.810309952288617,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,7.9812413810078935,KNeighborsRegressor
3.296,3.6635491459221305,KNeighborsRegressor
5.265,5.167516741299848,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.788,3.9358153565733263,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.602,4.44828069217089,KNeighborsRegressor
2.329,3.273469925272248,KNeighborsRegressor
2.515,3.521081805839178,KNeighborsRegressor
4.248,4.426729387179326,KNeighborsRegressor
6.328,6.745146083362668,KNeighborsRegressor
3.925,3.901977375999431,KNeighborsRegressor
3.907,4.037098576165858,KNeighborsRegressor
5.269,5.68753087256562,KNeighborsRegressor
10.0,6.012054514955591,KNeighborsRegressor
3.627,4.17336367012992,KNeighborsRegressor
3.275,3.834299502085417,KNeighborsRegressor
5.773,5.763128441335195,MLPRegressor
7.407,6.8684415038495965,MLPRegressor
8.889,8.849625793619197,MLPRegressor
10.0,10.00149701725891,MLPRegressor
10.0,8.278737117256838,MLPRegressor
3.296,2.7707334139361164,MLPRegressor
5.265,5.4091774712772756,MLPRegressor
10.0,10.002100460657815,MLPRegressor
3.788,3.7480782071634247,MLPRegressor
10.0,9.999914296643695,MLPRegressor
4.602,4.507356768321151,MLPRegressor
2.329,2.22714006839144,MLPRegressor
2.515,2.234928721897769,MLPRegressor
4.248,4.597519828798077,MLPRegressor
6.328,6.233863839252957,MLPRegressor
3.925,4.175633457817665,MLPRegressor
3.907,4.141203062746731,MLPRegressor
5.269,5.25301071985041,MLPRegressor
10.0,9.023183686796035,MLPRegressor
3.627,4.871175202745541,MLPRegressor
3.275,3.457878445372061,MLPRegressor
5.773,5.595391978876289,ElasticNet
7.407,7.246931574240693,ElasticNet
8.889,7.839512386682754,ElasticNet
10.0,7.80242032572313,ElasticNet
10.0,7.846092633717776,ElasticNet
3.296,5.168580549386491,ElasticNet
5.265,5.706183285658748,ElasticNet
10.0,7.763500311532943,ElasticNet
3.788,4.64398094637807,ElasticNet
10.0,7.832339699952035,ElasticNet
4.602,4.309634556179799,ElasticNet
2.329,4.598004532997767,ElasticNet
2.515,3.9345656192677505,ElasticNet
4.248,4.069756382850699,ElasticNet
6.328,6.243504787801602,ElasticNet
3.925,4.994155125919853,ElasticNet
3.907,4.441052661456344,ElasticNet
5.269,4.410034655479251,ElasticNet
10.0,7.249107215429919,ElasticNet
3.627,4.489207301491996,ElasticNet
3.275,5.427219361150557,ElasticNet
5.773,5.8394217225546745,SGDRegressor
7.407,6.848411516182159,SGDRegressor
8.889,8.241073566008641,SGDRegressor
10.0,9.250359244594396,SGDRegressor
10.0,9.340562609551544,SGDRegressor
3.296,3.6619726961099843,SGDRegressor
5.265,5.975510801662237,SGDRegressor
10.0,8.697100455906469,SGDRegressor
3.788,4.307848611545504,SGDRegressor
10.0,8.923238850211742,SGDRegressor
4.602,3.8163144173742523,SGDRegressor
2.329,2.9642036500533346,SGDRegressor
2.515,1.752391081805639,SGDRegressor
4.248,3.8444166446125663,SGDRegressor
6.328,6.6508076518771855,SGDRegressor
