Actual,Predicted,Model
5.773,5.952124802456219,Ridge
7.407,6.711830527142646,Ridge
8.889,8.172611202085672,Ridge
10.0,9.210917594866707,Ridge
10.0,9.549016724358546,Ridge
3.296,3.722803805821601,Ridge
5.265,5.639690690249099,Ridge
10.0,8.587139893886853,Ridge
3.788,4.462434346967985,Ridge
10.0,8.813162243714826,Ridge
4.602,3.8544641639750274,Ridge
2.329,2.820818067485536,Ridge
2.515,1.8179871532484615,Ridge
4.248,4.035724251213999,Ridge
6.328,6.732963298417754,Ridge
3.925,3.9406068328301975,Ridge
3.907,2.757580016939653,Ridge
5.269,4.7973589691800615,Ridge
10.0,7.759610070402587,Ridge
3.627,3.8522150659887435,Ridge
3.275,4.196998068344723,Ridge
5.773,5.231,DecisionTreeRegressor
7.407,8.519,DecisionTreeRegressor
8.889,6.667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,2.957,DecisionTreeRegressor
5.265,5.7989999999999995,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,4.842499999999999,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.515,DecisionTreeRegressor
2.329,3.537,DecisionTreeRegressor
2.515,2.285,DecisionTreeRegressor
4.248,4.145,DecisionTreeRegressor
6.328,5.283,DecisionTreeRegressor
3.925,4.279,DecisionTreeRegressor
3.907,4.046,DecisionTreeRegressor
5.269,4.278,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,3.537,DecisionTreeRegressor
3.275,3.583,DecisionTreeRegressor
5.773,5.551978214243239,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.296,4.590272648915063,GradientBoostingRegressor
5.265,5.534528194136112,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.788,4.8041106667590725,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
4.602,4.915729690024341,GradientBoostingRegressor
2.329,4.433633098121161,GradientBoostingRegressor
2.515,4.420957016354217,GradientBoostingRegressor
4.248,4.915729690024341,GradientBoostingRegressor
6.328,5.654720359243173,GradientBoostingRegressor
3.925,4.600672185741942,GradientBoostingRegressor
