Actual,Predicted,Model
5.773,5.7874036557574,Ridge
7.407,6.755356406797462,Ridge
8.889,8.15234403057026,Ridge
10.0,9.156676488797633,Ridge
10.0,9.74224110704995,Ridge
3.296,3.547977124643791,Ridge
5.265,5.812354416037342,Ridge
10.0,8.586367571448188,Ridge
3.788,4.423252518546694,Ridge
10.0,8.861078416752385,Ridge
4.602,3.8751882793339276,Ridge
2.329,2.8551704823641995,Ridge
2.515,1.8164370397073313,Ridge
4.248,3.903920906141064,Ridge
6.328,6.5620159674446725,Ridge
3.925,3.897382820443852,Ridge
3.907,2.6865377969446547,Ridge
5.269,4.748053756758383,Ridge
10.0,7.672108522069447,Ridge
3.627,3.7732284703481533,Ridge
3.275,4.104093077402116,Ridge
5.773,5.283,DecisionTreeRegressor
7.407,8.519,DecisionTreeRegressor
8.889,6.667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,3.375,DecisionTreeRegressor
5.265,5.266500000000001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,3.53,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.311,DecisionTreeRegressor
2.329,2.4865,DecisionTreeRegressor
2.515,3.1455,DecisionTreeRegressor
4.248,3.53,DecisionTreeRegressor
6.328,5.7885,DecisionTreeRegressor
3.925,4.709,DecisionTreeRegressor
3.907,3.69,DecisionTreeRegressor
5.269,6.01,DecisionTreeRegressor
10.0,4.167,DecisionTreeRegressor
3.627,5.741,DecisionTreeRegressor
3.275,3.222,DecisionTreeRegressor
5.773,5.551874319526284,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.296,4.5811671934004075,GradientBoostingRegressor
5.265,5.5344242994191575,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.788,4.799743753692353,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
4.602,4.917585838627757,GradientBoostingRegressor
2.329,4.424504128353705,GradientBoostingRegressor
2.515,4.424504128353705,GradientBoostingRegressor
4.248,4.917585838627757,GradientBoostingRegressor
6.328,5.65455709317143,GradientBoostingRegressor
3.925,4.608648832050682,GradientBoostingRegressor
3.907,4.799743753692353,GradientBoostingRegressor
5.269,5.598563630783663,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.627,5.108829817332864,GradientBoostingRegressor
3.275,4.5811671934004075,GradientBoostingRegressor
5.773,5.387350000000003,RandomForestRegressor
7.407,7.4820999999999955,RandomForestRegressor
8.889,7.583430000000002,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.28239,RandomForestRegressor
3.296,3.9244500000000007,RandomForestRegressor
5.265,5.2781300000000035,RandomForestRegressor
10.0,9.91666,RandomForestRegressor
3.788,4.283209999999997,RandomForestRegressor
10.0,9.876759999999999,RandomForestRegressor
4.602,4.516039999999999,RandomForestRegressor
2.329,3.229775000000002,RandomForestRegressor
2.515,3.366764999999999,RandomForestRegressor
4.248,4.443359999999996,RandomForestRegressor
6.328,5.886779999999999,RandomForestRegressor
3.925,4.014539999999999,RandomForestRegressor
3.907,4.093109999999998,RandomForestRegressor
5.269,5.228670000000002,RandomForestRegressor
10.0,8.22584,RandomForestRegressor
3.627,4.119499999999997,RandomForestRegressor
3.275,4.027259999999999,RandomForestRegressor
5.773,5.165472972972975,AdaBoostRegressor
7.407,7.5348125,AdaBoostRegressor
8.889,7.559785714285716,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,3.6061376146788975,AdaBoostRegressor
5.265,5.158280701754387,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,3.9863095238095227,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,4.697903225806451,AdaBoostRegressor
2.329,3.3880243902439044,AdaBoostRegressor
2.515,3.414466666666667,AdaBoostRegressor
4.248,4.697903225806451,AdaBoostRegressor
6.328,5.510944444444445,AdaBoostRegressor
3.925,3.810205479452054,AdaBoostRegressor
3.907,3.810205479452054,AdaBoostRegressor
5.269,5.165472972972975,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,4.167000000000001,AdaBoostRegressor
3.275,3.7824226804123704,AdaBoostRegressor
5.773,5.558260153447612,KNeighborsRegressor
7.407,7.616887001735265,KNeighborsRegressor
8.889,7.810309952288617,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,6.168654611673015,KNeighborsRegressor
3.296,3.6635491459221305,KNeighborsRegressor
5.265,5.310244020288354,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.788,3.9358153565733263,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.602,4.44828069217089,KNeighborsRegressor
2.329,3.273469925272248,KNeighborsRegressor
2.515,3.521081805839178,KNeighborsRegressor
4.248,4.520457221991087,KNeighborsRegressor
6.328,6.619007967084697,KNeighborsRegressor
3.925,3.901977375999431,KNeighborsRegressor
3.907,4.108571421691883,KNeighborsRegressor
5.269,5.6365820145858505,KNeighborsRegressor
10.0,6.012054514955591,KNeighborsRegressor
3.627,4.17336367012992,KNeighborsRegressor
3.275,3.834299502085417,KNeighborsRegressor
5.773,5.435026446703231,MLPRegressor
7.407,6.8470651407232666,MLPRegressor
8.889,9.014688902760573,MLPRegressor
10.0,10.00604379945219,MLPRegressor
10.0,9.145524598445007,MLPRegressor
3.296,3.077582799217033,MLPRegressor
5.265,5.102308075837518,MLPRegressor
10.0,9.996723188465634,MLPRegressor
3.788,3.591918768690922,MLPRegressor
10.0,9.996617430000745,MLPRegressor
4.602,4.496103040109354,MLPRegressor
2.329,1.713086277624588,MLPRegressor
2.515,2.0713059066669395,MLPRegressor
4.248,4.6015304071104275,MLPRegressor
6.328,6.529554765208596,MLPRegressor
3.925,4.552253368060042,MLPRegressor
3.907,3.7363167094144925,MLPRegressor
5.269,5.264454959112943,MLPRegressor
10.0,7.965200586144622,MLPRegressor
3.627,4.998496077770724,MLPRegressor
3.275,3.680597956192995,MLPRegressor
5.773,5.595338672765956,ElasticNet
7.407,7.246937278430703,ElasticNet
8.889,7.839448643482674,ElasticNet
10.0,7.802336223186726,ElasticNet
10.0,7.846056938429225,ElasticNet
3.296,5.168576575270507,ElasticNet
5.265,5.706169350599481,ElasticNet
10.0,7.763440595258551,ElasticNet
3.788,4.644047807716001,ElasticNet
10.0,7.8322872046332614,ElasticNet
4.602,4.30971799367391,ElasticNet
2.329,4.597997323323137,ElasticNet
2.515,3.9346307112916934,ElasticNet
4.248,4.06980963530277,ElasticNet
6.328,6.2434628953900555,ElasticNet
3.925,4.994192616551285,ElasticNet
3.907,4.441034297378409,ElasticNet
5.269,4.410095270269267,ElasticNet
10.0,7.249047849584173,ElasticNet
3.627,4.489137475665133,ElasticNet
3.275,5.427205306289669,ElasticNet
5.773,5.517980460040366,SGDRegressor
7.407,7.052212020519259,SGDRegressor
8.889,8.339518875791752,SGDRegressor
10.0,8.98075072768859,SGDRegressor
10.0,9.264053080512127,SGDRegressor
3.296,3.7285245464215797,SGDRegressor
5.265,5.4327979960139166,SGDRegressor
10.0,8.512598785318126,SGDRegressor
3.788,4.697676906705865,SGDRegressor
10.0,8.78994867255134,SGDRegressor
4.602,4.122409039241758,SGDRegressor
2.329,3.1394174713721132,SGDRegressor
2.515,2.2899282013889977,SGDRegressor
4.248,4.1727241964835935,SGDRegressor
6.328,6.02424362103147,SGDRegressor
3.925,4.081868326801739,SGDRegressor
3.907,2.9622681453422266,SGDRegressor
5.269,4.748326015857632,SGDRegressor
10.0,7.9051724311672995,SGDRegressor
3.627,4.150800737140451,SGDRegressor
3.275,4.123580463048267,SGDRegressor
5.773,5.839489409966948,BayesianRidge
7.407,6.809599985760227,BayesianRidge
8.889,8.144361355117015,BayesianRidge
10.0,9.14740230315026,BayesianRidge
10.0,9.548770320502802,BayesianRidge
3.296,3.65605596341138,BayesianRidge
5.265,5.790941511571231,BayesianRidge
10.0,8.600780031551814,BayesianRidge
3.788,4.358615231005021,BayesianRidge
10.0,8.88191486325198,BayesianRidge
4.602,3.890947855183708,BayesianRidge
2.329,3.0078767922928717,BayesianRidge
2.515,1.9042314618534757,BayesianRidge
4.248,3.840619626652788,BayesianRidge
6.328,6.69156481955387,BayesianRidge
3.925,3.9355270383670575,BayesianRidge
3.907,2.7868333938609853,BayesianRidge
5.269,4.697682865726357,BayesianRidge
10.0,7.58161130700798,BayesianRidge
3.627,3.871071841840495,BayesianRidge
3.275,4.219410026815087,BayesianRidge
5.773,5.544483363359752,KernelRidge
7.407,6.558760471226931,KernelRidge
8.889,8.868170970330368,KernelRidge
10.0,9.242581499279424,KernelRidge
10.0,9.01702116903573,KernelRidge
3.296,3.0116136476515956,KernelRidge
5.265,5.746874662905068,KernelRidge
10.0,9.439595186920789,KernelRidge
3.788,4.083068688907297,KernelRidge
10.0,9.824887473808495,KernelRidge
4.602,4.433863346765882,KernelRidge
2.329,2.780783626647342,KernelRidge
2.515,2.12123315579122,KernelRidge
4.248,4.6380161078323,KernelRidge
6.328,6.748502242471106,KernelRidge
3.925,4.282001828263995,KernelRidge
3.907,3.217573253223529,KernelRidge
5.269,5.206504084609252,KernelRidge
10.0,6.633110392836061,KernelRidge
3.627,3.9264731238974355,KernelRidge
3.275,3.8255159158649366,KernelRidge
5.773,5.775311838093839,LinearRegression
7.407,6.7427725907012075,LinearRegression
8.889,8.153912875630764,LinearRegression
10.0,9.15745410269092,LinearRegression
10.0,9.782273643560499,LinearRegression
3.296,3.526573690827162,LinearRegression
5.265,5.8170003620977875,LinearRegression
10.0,8.581970777434819,LinearRegression
3.788,4.438531061608161,LinearRegression
10.0,8.855477680310809,LinearRegression
4.602,3.8721818171876268,LinearRegression
2.329,2.8216027914139783,LinearRegression
2.515,1.8015595665656416,LinearRegression
4.248,3.9176473956140874,LinearRegression
6.328,6.535377179682234,LinearRegression
3.925,3.888459883037106,LinearRegression
3.907,2.665683831246393,LinearRegression
5.269,4.757626989286612,LinearRegression
10.0,7.692290413555311,LinearRegression
3.627,3.749614098661583,LinearRegression
3.275,4.080433181874599,LinearRegression
5.773,5.737379634199173,RANSACRegressor
7.407,6.399638600475285,RANSACRegressor
8.889,7.831062133636459,RANSACRegressor
10.0,9.370602933705062,RANSACRegressor
10.0,10.81302484231385,RANSACRegressor
3.296,3.438351032930622,RANSACRegressor
5.265,6.003486257259451,RANSACRegressor
10.0,8.579349110992393,RANSACRegressor
3.788,4.676388019714809,RANSACRegressor
10.0,8.831487901724074,RANSACRegressor
4.602,4.267302322404101,RANSACRegressor
2.329,3.1443629344790844,RANSACRegressor
2.515,1.959833005730534,RANSACRegressor
4.248,4.563011517381536,RANSACRegressor
6.328,6.331805997143388,RANSACRegressor
3.925,4.360186954813241,RANSACRegressor
3.907,3.710371958665132,RANSACRegressor
5.269,4.666181487424876,RANSACRegressor
10.0,8.500097808339255,RANSACRegressor
3.627,3.6906166626815944,RANSACRegressor
3.275,4.299579117071694,RANSACRegressor
5.773,5.765561705846215,TheilSenRegressor
7.407,6.964169820310335,TheilSenRegressor
8.889,8.194626564682977,TheilSenRegressor
