Actual,Predicted,Model
5.773,5.946731910252619,Ridge
7.407,6.746815405072778,Ridge
8.889,8.17171811020407,Ridge
10.0,9.186579217243493,Ridge
10.0,9.506050364817831,Ridge
3.296,3.650540477650341,Ridge
5.265,5.667433872401418,Ridge
10.0,8.62919290942034,Ridge
3.788,4.415172326471126,Ridge
10.0,8.877687731172845,Ridge
4.602,3.8775341752034946,Ridge
2.329,2.9330438443444615,Ridge
2.515,1.7258745773850572,Ridge
4.248,3.851840801927801,Ridge
6.328,6.646544284296888,Ridge
3.925,3.9728118024871124,Ridge
3.907,2.7708734044237318,Ridge
5.269,4.813939775046874,Ridge
10.0,7.596072230308194,Ridge
3.627,3.8286831890028417,Ridge
3.275,4.199740227175612,Ridge
5.773,5.115666666666666,DecisionTreeRegressor
7.407,7.222,DecisionTreeRegressor
8.889,8.333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,3.3265000000000002,DecisionTreeRegressor
5.265,4.557666666666667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,4.3389999999999995,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.345000000000001,DecisionTreeRegressor
2.329,3.1245000000000003,DecisionTreeRegressor
2.515,2.7295,DecisionTreeRegressor
4.248,4.314,DecisionTreeRegressor
6.328,5.617,DecisionTreeRegressor
3.925,4.346333333333333,DecisionTreeRegressor
3.907,4.084333333333333,DecisionTreeRegressor
5.269,5.341,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,4.326,DecisionTreeRegressor
3.275,4.8335,DecisionTreeRegressor
5.773,5.551874319526284,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.296,4.5811671934004075,GradientBoostingRegressor
5.265,5.5344242994191575,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.788,4.799743753692353,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
4.602,4.917585838627757,GradientBoostingRegressor
2.329,4.424504128353705,GradientBoostingRegressor
2.515,4.424504128353705,GradientBoostingRegressor
4.248,4.917585838627757,GradientBoostingRegressor
6.328,5.65455709317143,GradientBoostingRegressor
3.925,4.608648832050682,GradientBoostingRegressor
3.907,4.799743753692353,GradientBoostingRegressor
5.269,5.598563630783663,GradientBoostingRegressor
10.0,8.496486329657701,GradientBoostingRegressor
3.627,5.0848646703561915,GradientBoostingRegressor
3.275,4.5811671934004075,GradientBoostingRegressor
5.773,5.403739999999998,RandomForestRegressor
7.407,7.24264,RandomForestRegressor
8.889,7.59826,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.59056,RandomForestRegressor
3.296,3.7821,RandomForestRegressor
5.265,5.3076,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.788,4.10134,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.602,4.5845,RandomForestRegressor
2.329,3.1560999999999995,RandomForestRegressor
2.515,3.243980000000001,RandomForestRegressor
4.248,4.317560000000001,RandomForestRegressor
6.328,5.5987800000000005,RandomForestRegressor
3.925,4.182300000000001,RandomForestRegressor
3.907,3.9838400000000003,RandomForestRegressor
5.269,5.314219999999998,RandomForestRegressor
10.0,7.860499999999998,RandomForestRegressor
3.627,4.492819999999999,RandomForestRegressor
3.275,3.81408,RandomForestRegressor
5.773,5.181156862745101,AdaBoostRegressor
7.407,7.5186,AdaBoostRegressor
8.889,7.5442352941176445,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,3.5809230769230775,AdaBoostRegressor
5.265,5.097291139240506,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,4.185416666666668,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,4.607727272727272,AdaBoostRegressor
2.329,3.3243731343283605,AdaBoostRegressor
2.515,3.356617283950615,AdaBoostRegressor
4.248,4.872933333333333,AdaBoostRegressor
6.328,5.321571428571429,AdaBoostRegressor
3.925,3.917242857142861,AdaBoostRegressor
3.907,3.6053333333333337,AdaBoostRegressor
5.269,5.093357142857142,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,4.144680000000001,AdaBoostRegressor
3.275,3.7595384615384613,AdaBoostRegressor
5.773,5.322875161192331,KNeighborsRegressor
7.407,7.614367402411527,KNeighborsRegressor
8.889,7.810309952288617,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,7.061858637443045,KNeighborsRegressor
3.296,3.6635491459221305,KNeighborsRegressor
5.265,5.4743797721899945,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.788,3.784962488919123,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.602,4.44828069217089,KNeighborsRegressor
2.329,3.273469925272248,KNeighborsRegressor
2.515,3.6051763665071177,KNeighborsRegressor
4.248,4.423674232234045,KNeighborsRegressor
6.328,6.603076873895545,KNeighborsRegressor
3.925,3.8883439067741388,KNeighborsRegressor
3.907,4.037098576165858,KNeighborsRegressor
5.269,5.6365820145858505,KNeighborsRegressor
10.0,6.017675466190895,KNeighborsRegressor
3.627,4.17336367012992,KNeighborsRegressor
3.275,3.834299502085417,KNeighborsRegressor
5.773,5.565836689134303,MLPRegressor
7.407,6.5071821057708545,MLPRegressor
8.889,9.007820385049403,MLPRegressor
10.0,9.991791353480314,MLPRegressor
10.0,9.647050951780948,MLPRegressor
3.296,2.740630681141179,MLPRegressor
5.265,5.517532849589899,MLPRegressor
10.0,10.022876669106678,MLPRegressor
