Actual,Predicted,Model
5.773,5.9346813411226025,Ridge
7.407,6.822385608461017,Ridge
8.889,8.174768853810033,Ridge
10.0,9.188448635920741,Ridge
10.0,9.48225259906775,Ridge
3.296,3.6539743813133256,Ridge
5.265,5.646630801861846,Ridge
10.0,8.63658048382057,Ridge
3.788,4.410219656816777,Ridge
10.0,8.88257000813659,Ridge
4.602,3.8615056851587966,Ridge
2.329,2.937468634472414,Ridge
2.515,1.8027188077545597,Ridge
4.248,3.9200646126482845,Ridge
6.328,6.728032961672944,Ridge
3.925,3.9586744059251964,Ridge
3.907,2.7575638589765075,Ridge
5.269,4.7965925889657886,Ridge
10.0,7.666635563516843,Ridge
3.627,3.8392026355046527,Ridge
3.275,4.193911645889937,Ridge
5.773,5.283,DecisionTreeRegressor
7.407,6.667,DecisionTreeRegressor
8.889,8.519,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,3.75,DecisionTreeRegressor
5.265,6.223,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,4.546,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,3.995,DecisionTreeRegressor
2.329,2.348,DecisionTreeRegressor
2.515,2.348,DecisionTreeRegressor
4.248,4.293,DecisionTreeRegressor
6.328,5.531,DecisionTreeRegressor
3.925,4.217,DecisionTreeRegressor
3.907,4.046,DecisionTreeRegressor
5.269,6.032,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,3.482,DecisionTreeRegressor
3.275,3.583,DecisionTreeRegressor
5.773,5.551874319526284,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.5811671934004075,GradientBoostingRegressor
5.265,5.5344242994191575,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.799743753692354,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.917585838627758,GradientBoostingRegressor
2.329,4.424504128353705,GradientBoostingRegressor
2.515,4.424504128353705,GradientBoostingRegressor
4.248,4.917585838627758,GradientBoostingRegressor
6.328,5.65455709317143,GradientBoostingRegressor
3.925,4.608648832050682,GradientBoostingRegressor
3.907,4.799743753692354,GradientBoostingRegressor
5.269,5.598563630783663,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.627,5.058298041209685,GradientBoostingRegressor
3.275,4.5811671934004075,GradientBoostingRegressor
5.773,5.295939999999997,RandomForestRegressor
7.407,7.360279999999997,RandomForestRegressor
8.889,7.635360000000003,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.30362,RandomForestRegressor
3.296,3.847200000000001,RandomForestRegressor
5.265,5.336380000000002,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.788,4.19575,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.602,4.3903300000000005,RandomForestRegressor
2.329,2.941220000000001,RandomForestRegressor
2.515,3.22904,RandomForestRegressor
4.248,4.312560000000001,RandomForestRegressor
6.328,5.829540000000001,RandomForestRegressor
3.925,4.1031,RandomForestRegressor
3.907,4.048269999999999,RandomForestRegressor
5.269,4.948219999999997,RandomForestRegressor
10.0,8.665479999999999,RandomForestRegressor
3.627,4.439820000000001,RandomForestRegressor
3.275,3.88852,RandomForestRegressor
5.773,5.43811627906977,AdaBoostRegressor
7.407,7.53475,AdaBoostRegressor
8.889,7.536999999999998,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,3.6908333333333347,AdaBoostRegressor
5.265,5.43811627906977,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,4.194,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,3.743058823529412,AdaBoostRegressor
2.329,3.4406376811594206,AdaBoostRegressor
2.515,3.4406376811594206,AdaBoostRegressor
4.248,4.487833333333333,AdaBoostRegressor
6.328,5.476239130434784,AdaBoostRegressor
3.925,3.6908333333333347,AdaBoostRegressor
3.907,3.6908333333333347,AdaBoostRegressor
5.269,5.087102040816326,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,5.058759493670886,AdaBoostRegressor
3.275,3.6908333333333347,AdaBoostRegressor
5.773,5.322875161192331,KNeighborsRegressor
7.407,7.616887001735265,KNeighborsRegressor
8.889,7.810309952288617,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,7.061858637443045,KNeighborsRegressor
3.296,3.6635491459221305,KNeighborsRegressor
5.265,5.15000823650825,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.788,3.9358153565733263,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.602,4.44828069217089,KNeighborsRegressor
2.329,3.273469925272248,KNeighborsRegressor
2.515,3.521081805839178,KNeighborsRegressor
4.248,4.426729387179326,KNeighborsRegressor
6.328,6.600297954484571,KNeighborsRegressor
3.925,3.901977375999431,KNeighborsRegressor
3.907,4.037098576165858,KNeighborsRegressor
5.269,5.6365820145858505,KNeighborsRegressor
10.0,6.012054514955591,KNeighborsRegressor
3.627,4.17336367012992,KNeighborsRegressor
3.275,3.834299502085417,KNeighborsRegressor
5.773,5.656873842797401,MLPRegressor
7.407,7.170785738730121,MLPRegressor
8.889,8.718058509205473,MLPRegressor
10.0,9.999940477600934,MLPRegressor
10.0,9.921564722422755,MLPRegressor
3.296,3.1024868185932326,MLPRegressor
5.265,5.479061643522866,MLPRegressor
10.0,10.000412592922952,MLPRegressor
3.788,3.7952278129374295,MLPRegressor
10.0,9.997592415867812,MLPRegressor
4.602,4.532790805937746,MLPRegressor
2.329,2.3876119281900925,MLPRegressor
2.515,2.177022802792381,MLPRegressor
4.248,4.48200404433175,MLPRegressor
6.328,6.226336222704865,MLPRegressor
3.925,3.9265738282935305,MLPRegressor
3.907,3.7735893730471775,MLPRegressor
5.269,5.339196063443125,MLPRegressor
10.0,7.337124058483574,MLPRegressor
3.627,3.5551781057444387,MLPRegressor
3.275,3.7008732716200003,MLPRegressor
5.773,5.595400126488615,ElasticNet
7.407,7.246897856923297,ElasticNet
8.889,7.839496337895768,ElasticNet
10.0,7.802426872736427,ElasticNet
10.0,7.846097897671218,ElasticNet
3.296,5.168577115822584,ElasticNet
5.265,5.706187062645409,ElasticNet
10.0,7.763527580753253,ElasticNet
3.788,4.6439733562139605,ElasticNet
10.0,7.832363052281939,ElasticNet
4.602,4.309592821387241,ElasticNet
2.329,4.598003201788484,ElasticNet
2.515,3.9345597617126,ElasticNet
4.248,4.0697365616395675,ElasticNet
6.328,6.243498655528446,ElasticNet
3.925,4.994190180464191,ElasticNet
3.907,4.441021149604655,ElasticNet
5.269,4.410007381882377,ElasticNet
10.0,7.249118750572662,ElasticNet
