Actual,Predicted,Model
10.0,11.995052067595292,Ridge
0.662,0.9098292593514539,Ridge
0.2,0.3234412748789528,Ridge
0.521,0.5939804795345087,Ridge
0.603,0.6255046546358254,Ridge
5.0,6.091136799794909,Ridge
4.291,4.125962718147726,Ridge
0.554,0.7404472324295317,Ridge
3.985,3.8618316586689705,Ridge
0.678,0.8921535760966415,Ridge
4.086,3.8358042657429063,Ridge
4.245,4.127866169325118,Ridge
4.785,4.6352770775161165,Ridge
1.384,1.2751041416220437,Ridge
3.625,3.381205741916398,Ridge
1.181,1.4283476666539787,Ridge
1.807,1.7882777635868559,Ridge
4.019,3.626813275397442,Ridge
0.897,0.7647602573674006,Ridge
10.0,14.577257111191923,Ridge
3.927,3.764755653425368,Ridge
10.0,10.0,DecisionTreeRegressor
0.662,0.68,DecisionTreeRegressor
0.2,0.4076666666666667,DecisionTreeRegressor
0.521,0.535,DecisionTreeRegressor
0.603,0.6435,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
4.291,4.4055,DecisionTreeRegressor
0.554,0.535,DecisionTreeRegressor
3.985,4.241,DecisionTreeRegressor
0.678,0.6716666666666667,DecisionTreeRegressor
4.086,3.948,DecisionTreeRegressor
4.245,4.515000000000001,DecisionTreeRegressor
4.785,5.085,DecisionTreeRegressor
1.384,1.188,DecisionTreeRegressor
3.625,6.801,DecisionTreeRegressor
1.181,1.3094999999999999,DecisionTreeRegressor
1.807,1.164,DecisionTreeRegressor
4.019,3.948,DecisionTreeRegressor
0.897,0.889,DecisionTreeRegressor
10.0,4.4055,DecisionTreeRegressor
3.927,3.9746666666666672,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,1.1983158269420071,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,1.1853235048077833,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
0.662,0.597,RandomForestRegressor
0.2,0.411,RandomForestRegressor
0.521,0.703,RandomForestRegressor
0.603,0.737,RandomForestRegressor
5.0,0.825,RandomForestRegressor
4.291,4.368,RandomForestRegressor
0.554,0.719,RandomForestRegressor
3.985,4.01,RandomForestRegressor
0.678,0.687,RandomForestRegressor
4.086,4.024,RandomForestRegressor
4.245,4.094,RandomForestRegressor
4.785,4.368,RandomForestRegressor
1.384,0.679,RandomForestRegressor
3.625,3.602,RandomForestRegressor
1.181,0.926,RandomForestRegressor
1.807,4.585,RandomForestRegressor
4.019,4.024,RandomForestRegressor
0.897,0.861,RandomForestRegressor
10.0,4.368,RandomForestRegressor
3.927,3.922,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
0.662,0.719342105263158,AdaBoostRegressor
0.2,0.719342105263158,AdaBoostRegressor
0.521,0.719342105263158,AdaBoostRegressor
0.603,0.719342105263158,AdaBoostRegressor
5.0,0.719342105263158,AdaBoostRegressor
4.291,4.503,AdaBoostRegressor
0.554,0.719342105263158,AdaBoostRegressor
3.985,4.1089142857142855,AdaBoostRegressor
0.678,0.719342105263158,AdaBoostRegressor
4.086,4.1089142857142855,AdaBoostRegressor
4.245,4.1089142857142855,AdaBoostRegressor
4.785,4.503,AdaBoostRegressor
1.384,0.719342105263158,AdaBoostRegressor
3.625,4.1089142857142855,AdaBoostRegressor
1.181,0.719342105263158,AdaBoostRegressor
1.807,0.719342105263158,AdaBoostRegressor
4.019,4.1089142857142855,AdaBoostRegressor
0.897,0.719342105263158,AdaBoostRegressor
10.0,4.503,AdaBoostRegressor
3.927,4.1089142857142855,AdaBoostRegressor
10.0,10.0,KNeighborsRegressor
0.662,0.8568999999999999,KNeighborsRegressor
0.2,0.3989,KNeighborsRegressor
0.521,0.3876,KNeighborsRegressor
0.603,0.6195000000000002,KNeighborsRegressor
5.0,1.4064,KNeighborsRegressor
4.291,4.3488,KNeighborsRegressor
0.554,0.39990000000000003,KNeighborsRegressor
3.985,4.004500000000001,KNeighborsRegressor
0.678,0.5439,KNeighborsRegressor
4.086,4.029100000000001,KNeighborsRegressor
4.245,3.4128,KNeighborsRegressor
4.785,3.415100000000001,KNeighborsRegressor
1.384,1.9762999999999997,KNeighborsRegressor
3.625,3.8784,KNeighborsRegressor
1.181,1.4661000000000002,KNeighborsRegressor
1.807,3.0484,KNeighborsRegressor
4.019,4.2143,KNeighborsRegressor
0.897,0.6723,KNeighborsRegressor
10.0,7.377,KNeighborsRegressor
3.927,3.9579,KNeighborsRegressor
10.0,9.575214257707472,MLPRegressor
0.662,1.8117931504507367,MLPRegressor
0.2,1.189396889505081,MLPRegressor
0.521,-0.12244166204987336,MLPRegressor
0.603,-0.5774436705639051,MLPRegressor
5.0,6.318256874440533,MLPRegressor
4.291,6.401005020498107,MLPRegressor
0.554,1.153019252801084,MLPRegressor
3.985,4.284745557743913,MLPRegressor
0.678,4.263589435017766,MLPRegressor
4.086,3.8238821063943336,MLPRegressor
4.245,5.802289931015474,MLPRegressor
4.785,11.888586546549849,MLPRegressor
1.384,0.7421974013613202,MLPRegressor
3.625,2.6608030943662095,MLPRegressor
1.181,-0.5309510257012475,MLPRegressor
1.807,3.9940093480663585,MLPRegressor
4.019,3.0203890387896313,MLPRegressor
0.897,-0.3084225517537875,MLPRegressor
10.0,18.24223065425646,MLPRegressor
3.927,4.24932825719933,MLPRegressor
10.0,8.860044853913795,ElasticNet
0.662,3.7002058903752038,ElasticNet
0.2,3.4353615900504586,ElasticNet
0.521,4.185987447428331,ElasticNet
0.603,4.303269679491979,ElasticNet
5.0,5.026870823741554,ElasticNet
4.291,3.9471774165418445,ElasticNet
0.554,3.8573712943418528,ElasticNet
3.985,4.097197397266555,ElasticNet
0.678,3.174078685355486,ElasticNet
4.086,4.2957455443752455,ElasticNet
4.245,3.8889726618321374,ElasticNet
4.785,2.899996867285602,ElasticNet
1.384,4.111030917015534,ElasticNet
3.625,4.360358830621752,ElasticNet
1.181,4.214764450084753,ElasticNet
1.807,3.7708303512659618,ElasticNet
4.019,4.243076598558102,ElasticNet
0.897,4.060449694624837,ElasticNet
10.0,7.243596094028992,ElasticNet
3.927,4.118270231377721,ElasticNet
10.0,12.95185380366608,SGDRegressor
0.662,0.7785081852854163,SGDRegressor
0.2,0.1840435546554855,SGDRegressor
0.521,0.5524642916751765,SGDRegressor
0.603,0.593702079989828,SGDRegressor
5.0,6.975720319165157,SGDRegressor
4.291,4.359127434499283,SGDRegressor
0.554,0.6111244902393449,SGDRegressor
3.985,4.02942066441542,SGDRegressor
0.678,0.7403572957831153,SGDRegressor
4.086,4.007824381586106,SGDRegressor
4.245,4.186537418187451,SGDRegressor
4.785,4.783366761734529,SGDRegressor
1.384,1.1120713439024956,SGDRegressor
3.625,3.6287611044221615,SGDRegressor
1.181,1.0578866832188503,SGDRegressor
1.807,1.6182980241870286,SGDRegressor
4.019,3.936194358218927,SGDRegressor
0.897,0.6634127497700812,SGDRegressor
10.0,15.102370671132816,SGDRegressor
3.927,3.9087319744689237,SGDRegressor
10.0,12.002607810434718,BayesianRidge
0.662,0.9094010924490137,BayesianRidge
0.2,0.32517736419287857,BayesianRidge
0.521,0.5888987982549541,BayesianRidge
0.603,0.620655461885721,BayesianRidge
5.0,6.106532687426088,BayesianRidge
4.291,4.1318890475987455,BayesianRidge
0.554,0.7426243675767124,BayesianRidge
3.985,3.8677227128048735,BayesianRidge
0.678,0.9014847348705297,BayesianRidge
4.086,3.841409322791968,BayesianRidge
4.245,4.141011561888685,BayesianRidge
4.785,4.6539029592693115,BayesianRidge
1.384,1.2793962352560238,BayesianRidge
3.625,3.3821386992629385,BayesianRidge
1.181,1.4236966891687102,BayesianRidge
1.807,1.7829985156953398,BayesianRidge
4.019,3.6304380143139765,BayesianRidge
0.897,0.7584610059347416,BayesianRidge
10.0,14.601200750361897,BayesianRidge
3.927,3.773493877063123,BayesianRidge
10.0,12.002661878155777,KernelRidge
0.662,0.909398309799144,KernelRidge
0.2,0.325189982278971,KernelRidge
0.521,0.5888628154716571,KernelRidge
0.603,0.6206211659300607,KernelRidge
5.0,6.1066428514168365,KernelRidge
4.291,4.1319314726715675,KernelRidge
0.554,0.7426401572301984,KernelRidge
3.985,3.867764963346417,KernelRidge
0.678,0.9015514743587119,KernelRidge
4.086,3.8414495084434748,KernelRidge
4.245,4.141105505230371,KernelRidge
4.785,4.654035851563094,KernelRidge
1.384,1.2794272196042584,KernelRidge
3.625,3.382145549490815,KernelRidge
1.181,1.423663945926819,KernelRidge
1.807,1.7829611518536694,KernelRidge
4.019,3.630464106638101,KernelRidge
0.897,0.7584163936408004,KernelRidge
10.0,14.60137166280765,KernelRidge
