Actual,Predicted,Model
10.0,11.993151868867429,Ridge
0.662,0.8769630357249012,Ridge
0.2,0.27933506226820937,Ridge
0.521,0.5553437048874819,Ridge
0.603,0.597622875098613,Ridge
5.0,6.001647723869289,Ridge
4.291,4.105426842233989,Ridge
0.554,0.7070903864476938,Ridge
3.985,3.8531436323957715,Ridge
0.678,0.85223258925503,Ridge
4.086,3.8338865865140006,Ridge
4.245,4.12619673339648,Ridge
4.785,4.603328236732854,Ridge
1.384,1.436007289762542,Ridge
3.625,3.355994115160633,Ridge
1.181,1.42760908214626,Ridge
1.807,1.8692844636727024,Ridge
4.019,3.7641918251597817,Ridge
0.897,0.868827535938268,Ridge
10.0,14.549049472391111,Ridge
3.927,3.753615642799131,Ridge
10.0,10.0,DecisionTreeRegressor
0.662,0.9735,DecisionTreeRegressor
0.2,0.49850000000000005,DecisionTreeRegressor
0.521,0.716,DecisionTreeRegressor
0.603,0.611,DecisionTreeRegressor
5.0,1.364,DecisionTreeRegressor
4.291,4.01,DecisionTreeRegressor
0.554,0.589,DecisionTreeRegressor
3.985,4.01,DecisionTreeRegressor
0.678,0.786,DecisionTreeRegressor
4.086,4.085,DecisionTreeRegressor
4.245,4.094,DecisionTreeRegressor
4.785,4.009,DecisionTreeRegressor
1.384,0.9055,DecisionTreeRegressor
3.625,3.849,DecisionTreeRegressor
1.181,1.215,DecisionTreeRegressor
1.807,0.87,DecisionTreeRegressor
4.019,4.085,DecisionTreeRegressor
0.897,0.868,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.927,3.922,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,1.1983158269420071,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,1.1853235048077833,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
0.662,0.706,RandomForestRegressor
0.2,0.463,RandomForestRegressor
0.521,0.574,RandomForestRegressor
0.603,0.67,RandomForestRegressor
5.0,4.616,RandomForestRegressor
4.291,4.614,RandomForestRegressor
0.554,0.574,RandomForestRegressor
3.985,0.851,RandomForestRegressor
0.678,0.687,RandomForestRegressor
4.086,4.283,RandomForestRegressor
4.245,4.038,RandomForestRegressor
4.785,1.152,RandomForestRegressor
1.384,0.605,RandomForestRegressor
3.625,3.949,RandomForestRegressor
1.181,1.215,RandomForestRegressor
1.807,1.404,RandomForestRegressor
4.019,3.948,RandomForestRegressor
0.897,0.349,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.927,4.113,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
0.662,0.6898761904761908,AdaBoostRegressor
0.2,0.6898761904761908,AdaBoostRegressor
0.521,0.6898761904761908,AdaBoostRegressor
0.603,0.6898761904761908,AdaBoostRegressor
5.0,10.0,AdaBoostRegressor
4.291,4.320129032258064,AdaBoostRegressor
0.554,0.6898761904761908,AdaBoostRegressor
3.985,4.320129032258064,AdaBoostRegressor
0.678,0.6898761904761908,AdaBoostRegressor
4.086,4.320129032258064,AdaBoostRegressor
4.245,4.320129032258064,AdaBoostRegressor
4.785,4.320129032258064,AdaBoostRegressor
1.384,0.6898761904761908,AdaBoostRegressor
3.625,4.320129032258064,AdaBoostRegressor
1.181,0.6898761904761908,AdaBoostRegressor
1.807,0.6898761904761908,AdaBoostRegressor
4.019,4.320129032258064,AdaBoostRegressor
0.897,0.6898761904761908,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.927,4.320129032258064,AdaBoostRegressor
10.0,10.0,KNeighborsRegressor
0.662,0.8597999999999999,KNeighborsRegressor
0.2,0.5327999999999999,KNeighborsRegressor
0.521,0.4544,KNeighborsRegressor
0.603,0.6756,KNeighborsRegressor
5.0,1.1705999999999999,KNeighborsRegressor
4.291,4.3636,KNeighborsRegressor
0.554,0.292,KNeighborsRegressor
3.985,4.3336,KNeighborsRegressor
0.678,0.6844,KNeighborsRegressor
4.086,4.2326,KNeighborsRegressor
4.245,3.9840000000000004,KNeighborsRegressor
4.785,3.9226,KNeighborsRegressor
1.384,0.6237999999999999,KNeighborsRegressor
3.625,3.9034,KNeighborsRegressor
1.181,1.3004,KNeighborsRegressor
1.807,3.5652,KNeighborsRegressor
4.019,4.0886,KNeighborsRegressor
0.897,0.6479999999999999,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.927,3.9687999999999994,KNeighborsRegressor
10.0,9.670178015202712,MLPRegressor
0.662,0.7070454679566739,MLPRegressor
0.2,4.296493837477148,MLPRegressor
0.521,4.211392525936347,MLPRegressor
0.603,2.8212526327585286,MLPRegressor
5.0,-11.277612890322155,MLPRegressor
4.291,6.360199146243064,MLPRegressor
0.554,3.2725942991380177,MLPRegressor
3.985,1.9122090435667414,MLPRegressor
0.678,6.5358173441120035,MLPRegressor
4.086,2.96838475469855,MLPRegressor
4.245,2.4668781430135716,MLPRegressor
4.785,6.951684644110601,MLPRegressor
1.384,-2.259997983845342,MLPRegressor
3.625,6.680094390582458,MLPRegressor
