Actual,Predicted,Model
10.0,11.842972438415847,Ridge
0.662,0.7244514675494225,Ridge
0.2,0.27567626060568795,Ridge
0.521,-0.4298196282475111,Ridge
0.603,0.25308672207128735,Ridge
5.0,6.339748338387004,Ridge
4.291,4.008297248082947,Ridge
0.554,-0.411823701488097,Ridge
3.985,3.979039563827909,Ridge
0.678,-0.11080561101696107,Ridge
4.086,4.147145630714032,Ridge
4.245,4.591608053091521,Ridge
4.785,4.39922143716877,Ridge
1.384,0.8249045964441253,Ridge
3.625,3.699102295387272,Ridge
1.181,0.6255281992533872,Ridge
1.807,1.286393979476332,Ridge
4.019,3.542764009739627,Ridge
0.897,-0.1517715095568457,Ridge
10.0,13.163164674167962,Ridge
3.927,4.223802639354852,Ridge
10.0,10.0,DecisionTreeRegressor
0.662,0.6074999999999999,DecisionTreeRegressor
0.2,0.858,DecisionTreeRegressor
0.521,0.225,DecisionTreeRegressor
0.603,0.72,DecisionTreeRegressor
5.0,5.694,DecisionTreeRegressor
4.291,4.368,DecisionTreeRegressor
0.554,0.244,DecisionTreeRegressor
3.985,3.9635,DecisionTreeRegressor
0.678,0.7905,DecisionTreeRegressor
4.086,4.085,DecisionTreeRegressor
4.245,3.8375,DecisionTreeRegressor
4.785,4.368,DecisionTreeRegressor
1.384,0.5345,DecisionTreeRegressor
3.625,3.8914999999999997,DecisionTreeRegressor
1.181,1.364,DecisionTreeRegressor
1.807,1.152,DecisionTreeRegressor
4.019,4.085,DecisionTreeRegressor
0.897,0.437,DecisionTreeRegressor
10.0,4.368,DecisionTreeRegressor
3.927,3.922,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,1.1983158269420071,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,1.1853235048077833,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
0.662,0.5096,RandomForestRegressor
0.2,0.248,RandomForestRegressor
0.521,0.75825,RandomForestRegressor
0.603,0.6548333333333333,RandomForestRegressor
5.0,2.941666666666667,RandomForestRegressor
4.291,4.216,RandomForestRegressor
0.554,0.5995999999999999,RandomForestRegressor
3.985,4.30875,RandomForestRegressor
0.678,1.9693333333333332,RandomForestRegressor
4.086,3.9599999999999995,RandomForestRegressor
4.245,0.8614285714285713,RandomForestRegressor
4.785,1.9693333333333332,RandomForestRegressor
1.384,1.37,RandomForestRegressor
3.625,3.893666666666667,RandomForestRegressor
1.181,0.98475,RandomForestRegressor
1.807,4.947777777777778,RandomForestRegressor
4.019,3.907166666666667,RandomForestRegressor
0.897,0.98475,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.927,3.602,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
0.662,1.0178225806451615,AdaBoostRegressor
0.2,1.0178225806451615,AdaBoostRegressor
0.521,1.0178225806451615,AdaBoostRegressor
0.603,1.1307499999999997,AdaBoostRegressor
5.0,10.0,AdaBoostRegressor
4.291,4.289686567164178,AdaBoostRegressor
0.554,1.0178225806451615,AdaBoostRegressor
3.985,4.289686567164178,AdaBoostRegressor
0.678,1.0178225806451615,AdaBoostRegressor
4.086,4.289686567164178,AdaBoostRegressor
4.245,4.289686567164178,AdaBoostRegressor
4.785,4.289686567164178,AdaBoostRegressor
1.384,1.1307499999999997,AdaBoostRegressor
3.625,4.196750000000001,AdaBoostRegressor
1.181,1.1307499999999997,AdaBoostRegressor
1.807,1.1307499999999997,AdaBoostRegressor
4.019,4.289686567164178,AdaBoostRegressor
0.897,1.1307499999999997,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.927,4.289686567164178,AdaBoostRegressor
10.0,10.0,KNeighborsRegressor
0.662,0.7891155318832325,KNeighborsRegressor
0.2,0.45177946183053824,KNeighborsRegressor
0.521,0.3972809715180011,KNeighborsRegressor
0.603,0.782394607959258,KNeighborsRegressor
5.0,1.1656758567961323,KNeighborsRegressor
4.291,4.368000043051807,KNeighborsRegressor
0.554,0.3091936275825904,KNeighborsRegressor
3.985,4.2540517429818,KNeighborsRegressor
0.678,0.678247612847582,KNeighborsRegressor
4.086,4.21555408061445,KNeighborsRegressor
4.245,3.9983703860833693,KNeighborsRegressor
4.785,3.8770726049952025,KNeighborsRegressor
1.384,2.161577589294547,KNeighborsRegressor
3.625,3.724685072201689,KNeighborsRegressor
1.181,1.3207499282312944,KNeighborsRegressor
1.807,4.319533908222837,KNeighborsRegressor
4.019,4.022794952480107,KNeighborsRegressor
0.897,1.0142734865117136,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
