Actual,Predicted,Model
10.0,11.983488450129645,Ridge
0.662,0.8861088842580833,Ridge
0.2,0.2885635728409417,Ridge
0.521,0.5645735068988555,Ridge
0.603,0.6051445070979513,Ridge
5.0,6.057241097231523,Ridge
4.291,4.113489213971776,Ridge
0.554,0.7059175201803414,Ridge
3.985,3.861622112048506,Ridge
0.678,0.8576287292448992,Ridge
4.086,3.8240716381325415,Ridge
4.245,4.118977335333046,Ridge
4.785,4.611542283296952,Ridge
1.384,1.4032602049799383,Ridge
3.625,3.3662643621116377,Ridge
1.181,1.4218606061018493,Ridge
1.807,1.8750998712869666,Ridge
4.019,3.759619511272952,Ridge
0.897,0.8465457881763871,Ridge
10.0,14.55995126700384,Ridge
3.927,3.7595306177518992,Ridge
10.0,10.0,DecisionTreeRegressor
0.662,0.618,DecisionTreeRegressor
0.2,0.249,DecisionTreeRegressor
0.521,0.67,DecisionTreeRegressor
0.603,0.854,DecisionTreeRegressor
5.0,1.364,DecisionTreeRegressor
4.291,4.4505,DecisionTreeRegressor
0.554,0.703,DecisionTreeRegressor
3.985,4.053,DecisionTreeRegressor
0.678,0.664,DecisionTreeRegressor
4.086,4.224,DecisionTreeRegressor
4.245,4.038,DecisionTreeRegressor
4.785,1.152,DecisionTreeRegressor
1.384,0.392,DecisionTreeRegressor
3.625,3.749,DecisionTreeRegressor
1.181,0.868,DecisionTreeRegressor
1.807,0.825,DecisionTreeRegressor
4.019,4.0,DecisionTreeRegressor
0.897,0.889,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.927,3.9055,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,1.1983158269420071,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
