Actual,Predicted,Model
2.879,2.9305179808747592,Ridge
8.194,6.461411072095403,Ridge
7.917,7.8886417098230694,Ridge
6.559,6.162788465301508,Ridge
6.792,7.121952837548568,Ridge
1.348,2.0183500427651264,Ridge
4.775,3.8740599106026377,Ridge
5.434,5.5603171739461805,Ridge
4.865,4.6947961360510915,Ridge
5.434,5.469845123935038,Ridge
3.122,3.5445825114907663,Ridge
1.946,2.174845157095769,Ridge
2.197,2.209693890733279,Ridge
3.494,3.681584179010481,Ridge
3.268,3.056172713858923,Ridge
4.556,4.197016856737845,Ridge
2.522,2.8383856382643984,Ridge
3.326,3.425739825635114,Ridge
5.139,6.675702176928974,Ridge
1.939,2.6174973733032596,Ridge
1.85,2.7939071617945457,Ridge
2.879,2.782,DecisionTreeRegressor
8.194,7.361,DecisionTreeRegressor
7.917,8.240666666666668,DecisionTreeRegressor
6.559,6.318,DecisionTreeRegressor
6.792,5.6243333333333325,DecisionTreeRegressor
1.348,2.17325,DecisionTreeRegressor
4.775,5.268,DecisionTreeRegressor
5.434,5.434,DecisionTreeRegressor
4.865,4.715,DecisionTreeRegressor
5.434,5.434,DecisionTreeRegressor
3.122,3.113,DecisionTreeRegressor
1.946,1.585,DecisionTreeRegressor
2.197,1.585,DecisionTreeRegressor
3.494,2.724,DecisionTreeRegressor
3.268,3.714,DecisionTreeRegressor
4.556,4.122,DecisionTreeRegressor
2.522,3.0526666666666666,DecisionTreeRegressor
3.326,1.585,DecisionTreeRegressor
5.139,6.019,DecisionTreeRegressor
1.939,1.182,DecisionTreeRegressor
1.85,2.5879999999999996,DecisionTreeRegressor
2.879,3.5231974096511434,GradientBoostingRegressor
8.194,6.2878064752097185,GradientBoostingRegressor
7.917,6.2878064752097185,GradientBoostingRegressor
6.559,5.656199745976494,GradientBoostingRegressor
6.792,5.656199745976494,GradientBoostingRegressor
1.348,2.74646641490862,GradientBoostingRegressor
4.775,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
4.865,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
3.122,3.6449373147561093,GradientBoostingRegressor
1.946,3.1890809993520897,GradientBoostingRegressor
2.197,3.1890809993520897,GradientBoostingRegressor
3.494,3.6892831990140573,GradientBoostingRegressor
3.268,3.7623910020686098,GradientBoostingRegressor
4.556,4.426074382584793,GradientBoostingRegressor
2.522,3.4057437223386433,GradientBoostingRegressor
3.326,3.6892831990140573,GradientBoostingRegressor
5.139,5.667663530349677,GradientBoostingRegressor
1.939,3.1890809993520897,GradientBoostingRegressor
1.85,2.74646641490862,GradientBoostingRegressor
2.879,3.0910599999999993,RandomForestRegressor
8.194,7.314979999999997,RandomForestRegressor
7.917,7.587369999999997,RandomForestRegressor
6.559,6.347069999999997,RandomForestRegressor
6.792,6.254239999999998,RandomForestRegressor
1.348,2.10316,RandomForestRegressor
4.775,4.583919999999999,RandomForestRegressor
5.434,5.901670000000003,RandomForestRegressor
4.865,4.852740000000001,RandomForestRegressor
5.434,5.918170000000003,RandomForestRegressor
3.122,3.0826200000000004,RandomForestRegressor
1.946,2.3521600000000005,RandomForestRegressor
2.197,2.310610000000001,RandomForestRegressor
3.494,3.2930199999999985,RandomForestRegressor
3.268,3.339849999999997,RandomForestRegressor
4.556,3.8839699999999984,RandomForestRegressor
2.522,2.65299,RandomForestRegressor
3.326,2.9604800000000004,RandomForestRegressor
5.139,5.528170000000002,RandomForestRegressor
1.939,2.5370100000000018,RandomForestRegressor
1.85,2.3577600000000016,RandomForestRegressor
2.879,2.693235294117647,AdaBoostRegressor
8.194,7.717272727272723,AdaBoostRegressor
7.917,7.530535714285714,AdaBoostRegressor
6.559,6.264599999999999,AdaBoostRegressor
6.792,6.333619047619048,AdaBoostRegressor
1.348,2.02508,AdaBoostRegressor
4.775,4.711250000000001,AdaBoostRegressor
5.434,6.2520740740740735,AdaBoostRegressor
4.865,4.719137931034482,AdaBoostRegressor
5.434,6.2520740740740735,AdaBoostRegressor
3.122,3.407,AdaBoostRegressor
1.946,2.3840888888888894,AdaBoostRegressor
2.197,2.5450833333333334,AdaBoostRegressor
3.494,3.4371538461538456,AdaBoostRegressor
3.268,3.1524545454545456,AdaBoostRegressor
4.556,4.447657142857142,AdaBoostRegressor
2.522,2.8552608695652166,AdaBoostRegressor
3.326,3.327866666666666,AdaBoostRegressor
5.139,6.368939393939392,AdaBoostRegressor
1.939,2.3840888888888894,AdaBoostRegressor
1.85,2.0041818181818187,AdaBoostRegressor
2.879,3.5805,KNeighborsRegressor
8.194,7.7775,KNeighborsRegressor
7.917,7.638999999999999,KNeighborsRegressor
6.559,6.292,KNeighborsRegressor
6.792,6.41,KNeighborsRegressor
1.348,2.1959999999999997,KNeighborsRegressor
4.775,4.0805,KNeighborsRegressor
5.434,6.318,KNeighborsRegressor
4.865,4.399,KNeighborsRegressor
5.434,6.045,KNeighborsRegressor
3.122,3.7215,KNeighborsRegressor
1.946,2.975,KNeighborsRegressor
2.197,1.81,KNeighborsRegressor
3.494,2.9355,KNeighborsRegressor
3.268,3.327,KNeighborsRegressor
4.556,2.0535,KNeighborsRegressor
2.522,2.6765,KNeighborsRegressor
3.326,2.3064999999999998,KNeighborsRegressor
5.139,7.028,KNeighborsRegressor
1.939,4.9245,KNeighborsRegressor
1.85,2.5945,KNeighborsRegressor
2.879,2.7065649529510143,MLPRegressor
8.194,7.57939868034719,MLPRegressor
7.917,7.7688496381840375,MLPRegressor
6.559,6.503101871783508,MLPRegressor
6.792,6.307907032489147,MLPRegressor
1.348,1.6765442834812632,MLPRegressor
4.775,4.517972386492967,MLPRegressor
5.434,5.874045543143477,MLPRegressor
4.865,4.790845241244311,MLPRegressor
5.434,5.895502692959428,MLPRegressor
3.122,3.1521675070391852,MLPRegressor
1.946,2.5389760514160162,MLPRegressor
2.197,2.0738998048890407,MLPRegressor
3.494,3.0542970128529605,MLPRegressor
3.268,3.835962094660756,MLPRegressor
4.556,4.361445623752742,MLPRegressor
2.522,2.3975914372206395,MLPRegressor
3.326,3.1994985997304326,MLPRegressor
5.139,5.3004172727251495,MLPRegressor
1.939,3.0609335998030227,MLPRegressor
1.85,1.9256914819115023,MLPRegressor
2.879,3.8444824638161044,ElasticNet
8.194,5.763862489394873,ElasticNet
7.917,6.3303807091648725,ElasticNet
6.559,5.673650199484955,ElasticNet
6.792,5.8124247390379375,ElasticNet
1.348,3.8931758322974663,ElasticNet
4.775,4.128058449669111,ElasticNet
5.434,5.673650199484955,ElasticNet
4.865,3.8329954302768225,ElasticNet
5.434,5.6535034742177945,ElasticNet
3.122,3.474985813854981,ElasticNet
1.946,3.7760559026726273,ElasticNet
2.197,3.487236412207309,ElasticNet
3.494,3.249498016719367,ElasticNet
3.268,3.998078320388902,ElasticNet
4.556,4.131066331428238,ElasticNet
2.522,3.6986365330836874,ElasticNet
3.326,3.4951325391221424,ElasticNet
5.139,5.921181518913266,ElasticNet
1.939,3.5347660027678187,ElasticNet
1.85,3.96736117161502,ElasticNet
2.879,2.942045622545005,SGDRegressor
8.194,6.4739761843522405,SGDRegressor
7.917,7.882011295344833,SGDRegressor
6.559,6.158295509606266,SGDRegressor
6.792,7.064380335634421,SGDRegressor
1.348,2.029862699623557,SGDRegressor
4.775,3.910234852054228,SGDRegressor
5.434,5.543785254036601,SGDRegressor
