Actual,Predicted,Model
2.879,2.9302024129066666,Ridge
8.194,6.461460914140391,Ridge
7.917,7.889047684636414,Ridge
6.559,6.163231786773273,Ridge
6.792,7.122194518222459,Ridge
1.348,2.0182707065340537,Ridge
4.775,3.873758896998894,Ridge
5.434,5.560932256913079,Ridge
4.865,4.695422018726347,Ridge
5.434,5.4701303607721465,Ridge
3.122,3.543544309312136,Ridge
1.946,2.174743389831355,Ridge
2.197,2.210073892306912,Ridge
3.494,3.6816928077849083,Ridge
3.268,3.056118596006076,Ridge
4.556,4.1968763747731375,Ridge
2.522,2.837372762212998,Ridge
3.326,3.424928117618693,Ridge
5.139,6.676081367342183,Ridge
1.939,2.616810997135933,Ridge
1.85,2.7935287628339216,Ridge
2.879,3.0873333333333335,DecisionTreeRegressor
8.194,7.361,DecisionTreeRegressor
7.917,6.94475,DecisionTreeRegressor
6.559,5.96175,DecisionTreeRegressor
6.792,3.5856666666666666,DecisionTreeRegressor
1.348,2.581,DecisionTreeRegressor
4.775,5.1587499999999995,DecisionTreeRegressor
5.434,6.230333333333334,DecisionTreeRegressor
4.865,4.653,DecisionTreeRegressor
5.434,6.4375,DecisionTreeRegressor
3.122,2.8966666666666665,DecisionTreeRegressor
1.946,3.323,DecisionTreeRegressor
2.197,1.9685000000000001,DecisionTreeRegressor
3.494,2.7544999999999997,DecisionTreeRegressor
3.268,4.61125,DecisionTreeRegressor
4.556,2.7626666666666666,DecisionTreeRegressor
2.522,2.7544999999999997,DecisionTreeRegressor
3.326,1.9685000000000001,DecisionTreeRegressor
5.139,7.111,DecisionTreeRegressor
1.939,3.323,DecisionTreeRegressor
1.85,2.6525,DecisionTreeRegressor
2.879,3.5231974096511443,GradientBoostingRegressor
8.194,6.287806475209719,GradientBoostingRegressor
7.917,6.287806475209719,GradientBoostingRegressor
6.559,5.656199745976494,GradientBoostingRegressor
6.792,5.656199745976494,GradientBoostingRegressor
1.348,2.7464664149086198,GradientBoostingRegressor
4.775,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
4.865,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
3.122,3.64493731475611,GradientBoostingRegressor
1.946,3.189080999352089,GradientBoostingRegressor
2.197,3.189080999352089,GradientBoostingRegressor
3.494,3.689283199014057,GradientBoostingRegressor
3.268,3.7623910020686107,GradientBoostingRegressor
4.556,4.426074382584793,GradientBoostingRegressor
2.522,3.4057437223386433,GradientBoostingRegressor
3.326,3.689283199014057,GradientBoostingRegressor
5.139,5.667663530349677,GradientBoostingRegressor
1.939,3.189080999352089,GradientBoostingRegressor
1.85,2.7464664149086198,GradientBoostingRegressor
2.879,3.056779999999999,RandomForestRegressor
8.194,7.332349999999998,RandomForestRegressor
7.917,7.543139999999999,RandomForestRegressor
6.559,6.294829999999995,RandomForestRegressor
6.792,6.343769999999995,RandomForestRegressor
1.348,2.3461200000000004,RandomForestRegressor
4.775,4.58941,RandomForestRegressor
5.434,5.981640000000003,RandomForestRegressor
4.865,4.960960000000002,RandomForestRegressor
5.434,5.866830000000004,RandomForestRegressor
3.122,3.049159999999999,RandomForestRegressor
1.946,2.1589400000000007,RandomForestRegressor
2.197,2.274170000000001,RandomForestRegressor
3.494,3.2843699999999973,RandomForestRegressor
3.268,3.386769999999999,RandomForestRegressor
4.556,4.18956,RandomForestRegressor
2.522,2.71065,RandomForestRegressor
3.326,2.9996099999999997,RandomForestRegressor
5.139,6.019240000000002,RandomForestRegressor
1.939,2.3065200000000003,RandomForestRegressor
1.85,2.3816000000000015,RandomForestRegressor
2.879,2.658266666666667,AdaBoostRegressor
8.194,7.708914285714284,AdaBoostRegressor
7.917,7.5662876712328755,AdaBoostRegressor
6.559,6.228976744186046,AdaBoostRegressor
6.792,6.394014925373136,AdaBoostRegressor
1.348,1.8912499999999999,AdaBoostRegressor
4.775,4.716551724137932,AdaBoostRegressor
5.434,6.250222222222221,AdaBoostRegressor
4.865,4.653470588235295,AdaBoostRegressor
5.434,6.250222222222221,AdaBoostRegressor
3.122,3.311727272727273,AdaBoostRegressor
1.946,2.5425357142857146,AdaBoostRegressor
2.197,2.5956153846153853,AdaBoostRegressor
3.494,3.4545714285714277,AdaBoostRegressor
3.268,3.085833333333333,AdaBoostRegressor
4.556,4.532918918918919,AdaBoostRegressor
2.522,2.8296842105263154,AdaBoostRegressor
3.326,3.2912962962962977,AdaBoostRegressor
5.139,6.51652380952381,AdaBoostRegressor
1.939,2.5839166666666666,AdaBoostRegressor
1.85,1.8662307692307682,AdaBoostRegressor
