Actual,Predicted,Model
2.879,2.9305179808747592,Ridge
8.194,6.461411072095403,Ridge
7.917,7.8886417098230694,Ridge
6.559,6.162788465301508,Ridge
6.792,7.121952837548568,Ridge
1.348,2.0183500427651264,Ridge
4.775,3.8740599106026377,Ridge
5.434,5.5603171739461805,Ridge
4.865,4.6947961360510915,Ridge
5.434,5.469845123935038,Ridge
3.122,3.5445825114907663,Ridge
1.946,2.174845157095769,Ridge
2.197,2.209693890733279,Ridge
3.494,3.681584179010481,Ridge
3.268,3.056172713858923,Ridge
4.556,4.197016856737845,Ridge
2.522,2.8383856382643984,Ridge
3.326,3.425739825635114,Ridge
5.139,6.675702176928974,Ridge
1.939,2.6174973733032596,Ridge
1.85,2.7939071617945457,Ridge
2.879,3.04,DecisionTreeRegressor
8.194,7.546333333333333,DecisionTreeRegressor
7.917,7.546333333333333,DecisionTreeRegressor
6.559,6.734750000000001,DecisionTreeRegressor
6.792,2.365,DecisionTreeRegressor
1.348,2.8185,DecisionTreeRegressor
4.775,5.2195,DecisionTreeRegressor
5.434,8.020999999999999,DecisionTreeRegressor
4.865,5.2195,DecisionTreeRegressor
5.434,4.633,DecisionTreeRegressor
3.122,2.8185,DecisionTreeRegressor
1.946,4.323,DecisionTreeRegressor
2.197,2.8185,DecisionTreeRegressor
3.494,2.646,DecisionTreeRegressor
3.268,3.5395,DecisionTreeRegressor
4.556,4.379,DecisionTreeRegressor
2.522,2.78,DecisionTreeRegressor
3.326,2.78,DecisionTreeRegressor
5.139,8.611,DecisionTreeRegressor
1.939,4.323,DecisionTreeRegressor
1.85,1.4387499999999998,DecisionTreeRegressor
2.879,3.523197409651144,GradientBoostingRegressor
8.194,6.2878064752097185,GradientBoostingRegressor
7.917,6.2878064752097185,GradientBoostingRegressor
6.559,5.656199745976494,GradientBoostingRegressor
6.792,5.656199745976494,GradientBoostingRegressor
1.348,2.74646641490862,GradientBoostingRegressor
4.775,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
4.865,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
3.122,3.6449373147561093,GradientBoostingRegressor
1.946,3.189080999352089,GradientBoostingRegressor
2.197,3.189080999352089,GradientBoostingRegressor
3.494,3.6892831990140573,GradientBoostingRegressor
3.268,3.7623910020686098,GradientBoostingRegressor
4.556,4.426074382584793,GradientBoostingRegressor
2.522,3.4057437223386433,GradientBoostingRegressor
3.326,3.6892831990140573,GradientBoostingRegressor
5.139,5.667663530349677,GradientBoostingRegressor
1.939,3.189080999352089,GradientBoostingRegressor
1.85,2.74646641490862,GradientBoostingRegressor
2.879,3.15598,RandomForestRegressor
8.194,7.380599999999996,RandomForestRegressor
7.917,7.686259999999995,RandomForestRegressor
6.559,6.292940000000001,RandomForestRegressor
6.792,6.141120000000001,RandomForestRegressor
1.348,2.1500399999999997,RandomForestRegressor
4.775,4.887659999999999,RandomForestRegressor
5.434,5.918939999999999,RandomForestRegressor
4.865,4.93576,RandomForestRegressor
5.434,5.967899999999998,RandomForestRegressor
3.122,3.2119800000000005,RandomForestRegressor
1.946,2.55818,RandomForestRegressor
2.197,2.4326800000000004,RandomForestRegressor
3.494,3.0981000000000005,RandomForestRegressor
3.268,3.4766400000000006,RandomForestRegressor
4.556,4.17496,RandomForestRegressor
2.522,2.7173800000000012,RandomForestRegressor
3.326,3.025079999999999,RandomForestRegressor
5.139,5.90652,RandomForestRegressor
1.939,2.660179999999999,RandomForestRegressor
1.85,2.2466999999999993,RandomForestRegressor
2.879,2.819136363636363,AdaBoostRegressor
8.194,7.753919999999999,AdaBoostRegressor
7.917,7.513285714285713,AdaBoostRegressor
6.559,6.228523809523809,AdaBoostRegressor
6.792,6.294999999999996,AdaBoostRegressor
1.348,1.9954999999999996,AdaBoostRegressor
4.775,4.705214285714286,AdaBoostRegressor
5.434,6.245999999999998,AdaBoostRegressor
4.865,4.696951219512199,AdaBoostRegressor
5.434,6.245999999999998,AdaBoostRegressor
3.122,3.3721599999999996,AdaBoostRegressor
1.946,2.485925000000001,AdaBoostRegressor
2.197,2.6602799999999998,AdaBoostRegressor
3.494,3.5314999999999994,AdaBoostRegressor
3.268,3.0214000000000003,AdaBoostRegressor
4.556,4.522371428571428,AdaBoostRegressor
2.522,2.838272727272727,AdaBoostRegressor
3.326,3.2314799999999995,AdaBoostRegressor
5.139,6.531151515151515,AdaBoostRegressor
1.939,2.5172380952380946,AdaBoostRegressor
1.85,1.9400869565217393,AdaBoostRegressor
2.879,3.5805,KNeighborsRegressor
8.194,7.7775,KNeighborsRegressor
7.917,7.638999999999999,KNeighborsRegressor
6.559,6.292,KNeighborsRegressor
6.792,6.41,KNeighborsRegressor
1.348,2.1959999999999997,KNeighborsRegressor
4.775,4.0805,KNeighborsRegressor
5.434,6.318,KNeighborsRegressor
4.865,4.399,KNeighborsRegressor
5.434,6.045,KNeighborsRegressor
3.122,3.7215,KNeighborsRegressor
1.946,2.975,KNeighborsRegressor
2.197,1.81,KNeighborsRegressor
3.494,2.9355,KNeighborsRegressor
3.268,3.327,KNeighborsRegressor
4.556,2.0535,KNeighborsRegressor
2.522,2.6765,KNeighborsRegressor
3.326,2.3064999999999998,KNeighborsRegressor
5.139,7.028,KNeighborsRegressor
1.939,4.9245,KNeighborsRegressor
1.85,2.5945,KNeighborsRegressor
2.879,2.822406774864571,MLPRegressor
8.194,7.931991609333138,MLPRegressor
7.917,7.865775428737217,MLPRegressor
6.559,6.288440257446859,MLPRegressor
6.792,6.48977496144762,MLPRegressor
1.348,1.6743521750495032,MLPRegressor
4.775,4.6885487153085705,MLPRegressor
5.434,5.986238889045799,MLPRegressor
4.865,4.798979501358871,MLPRegressor
5.434,6.101050343035413,MLPRegressor
3.122,3.220909998989106,MLPRegressor
1.946,2.240046173284956,MLPRegressor
2.197,1.5986569773110633,MLPRegressor
3.494,3.191076905918408,MLPRegressor
3.268,4.0928583466047685,MLPRegressor
4.556,4.372788344140587,MLPRegressor
2.522,2.7135861942297628,MLPRegressor
3.326,3.26925263232622,MLPRegressor
5.139,5.344062026101715,MLPRegressor
1.939,3.0521384692832196,MLPRegressor
1.85,2.0654338743684284,MLPRegressor
2.879,3.8445325245387503,ElasticNet
8.194,5.763885913911057,ElasticNet
7.917,6.330327973223584,ElasticNet
6.559,5.673617555587958,ElasticNet
6.792,5.812342800877756,ElasticNet
1.348,3.8932406285669736,ElasticNet
4.775,4.12805277499675,ElasticNet
5.434,5.673617555587958,ElasticNet
4.865,3.83296019737085,ElasticNet
5.434,5.653489377026465,ElasticNet
3.122,3.475012323532354,ElasticNet
1.946,3.776071820167592,ElasticNet
2.197,3.4872675141051936,ElasticNet
3.494,3.2494940728442288,ElasticNet
3.268,3.9981566459409974,ElasticNet
4.556,4.1310258103952595,ElasticNet
2.522,3.6986632192690188,ElasticNet
3.326,3.4951405020938466,ElasticNet
5.139,5.921118274190809,ElasticNet
1.939,3.5348167351883375,ElasticNet
1.85,3.9674090544747984,ElasticNet
2.879,2.9413031325757464,SGDRegressor
8.194,6.474943700596846,SGDRegressor
7.917,7.901009203414098,SGDRegressor
6.559,6.159486964254772,SGDRegressor
6.792,7.070165612803972,SGDRegressor
1.348,2.0180763589455295,SGDRegressor
4.775,3.9122003028288383,SGDRegressor
5.434,5.536241246565478,SGDRegressor
