Actual,Predicted,Model
2.879,2.9306506871105853,Ridge
8.194,6.4610960788574,Ridge
7.917,7.888580219309995,Ridge
6.559,6.162936255764687,Ridge
6.792,7.12233467493356,Ridge
1.348,2.0182173859757966,Ridge
4.775,3.8741027840312245,Ridge
5.434,5.560363236139112,Ridge
4.865,4.695410843817124,Ridge
5.434,5.469633169171281,Ridge
3.122,3.5441245770757197,Ridge
1.946,2.1749978301022206,Ridge
2.197,2.2102289552683496,Ridge
3.494,3.682183282899765,Ridge
3.268,3.0565927679544997,Ridge
4.556,4.196400292145859,Ridge
2.522,2.8380426082245744,Ridge
3.326,3.425303475975346,Ridge
5.139,6.675515582943495,Ridge
1.939,2.6172200434154496,Ridge
1.85,2.793494453189987,Ridge
2.879,3.004,DecisionTreeRegressor
8.194,7.175999999999999,DecisionTreeRegressor
7.917,7.3613333333333335,DecisionTreeRegressor
6.559,6.276666666666667,DecisionTreeRegressor
6.792,6.391666666666667,DecisionTreeRegressor
1.348,1.43875,DecisionTreeRegressor
4.775,3.004,DecisionTreeRegressor
5.434,5.373,DecisionTreeRegressor
4.865,5.005,DecisionTreeRegressor
5.434,6.271999999999999,DecisionTreeRegressor
3.122,2.875,DecisionTreeRegressor
1.946,1.9483333333333333,DecisionTreeRegressor
2.197,1.9483333333333333,DecisionTreeRegressor
3.494,2.52675,DecisionTreeRegressor
3.268,3.56575,DecisionTreeRegressor
4.556,4.093333333333334,DecisionTreeRegressor
2.522,2.52675,DecisionTreeRegressor
3.326,2.52675,DecisionTreeRegressor
5.139,6.045,DecisionTreeRegressor
1.939,2.94,DecisionTreeRegressor
1.85,1.43875,DecisionTreeRegressor
2.879,3.5231974096511443,GradientBoostingRegressor
8.194,6.287806475209719,GradientBoostingRegressor
7.917,6.287806475209719,GradientBoostingRegressor
6.559,5.656199745976494,GradientBoostingRegressor
6.792,5.656199745976494,GradientBoostingRegressor
1.348,2.74646641490862,GradientBoostingRegressor
4.775,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
4.865,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
3.122,3.64493731475611,GradientBoostingRegressor
1.946,3.1890809993520897,GradientBoostingRegressor
2.197,3.1890809993520897,GradientBoostingRegressor
3.494,3.689283199014057,GradientBoostingRegressor
3.268,3.7623910020686107,GradientBoostingRegressor
4.556,4.426074382584793,GradientBoostingRegressor
2.522,3.4057437223386433,GradientBoostingRegressor
