Actual,Predicted,Model
2.879,2.9305179808747592,Ridge
8.194,6.461411072095403,Ridge
7.917,7.8886417098230694,Ridge
6.559,6.162788465301508,Ridge
6.792,7.121952837548568,Ridge
1.348,2.0183500427651264,Ridge
4.775,3.8740599106026377,Ridge
5.434,5.5603171739461805,Ridge
4.865,4.6947961360510915,Ridge
5.434,5.469845123935038,Ridge
3.122,3.5445825114907663,Ridge
1.946,2.174845157095769,Ridge
2.197,2.209693890733279,Ridge
3.494,3.681584179010481,Ridge
3.268,3.056172713858923,Ridge
4.556,4.197016856737845,Ridge
2.522,2.8383856382643984,Ridge
3.326,3.425739825635114,Ridge
5.139,6.675702176928974,Ridge
1.939,2.6174973733032596,Ridge
1.85,2.7939071617945457,Ridge
2.879,2.9625,DecisionTreeRegressor
8.194,7.694333333333334,DecisionTreeRegressor
7.917,7.638999999999999,DecisionTreeRegressor
6.559,5.809,DecisionTreeRegressor
6.792,6.559,DecisionTreeRegressor
1.348,2.345333333333333,DecisionTreeRegressor
4.775,6.2364999999999995,DecisionTreeRegressor
5.434,6.1145,DecisionTreeRegressor
4.865,2.618,DecisionTreeRegressor
5.434,6.045,DecisionTreeRegressor
3.122,3.054,DecisionTreeRegressor
1.946,2.416,DecisionTreeRegressor
2.197,2.416,DecisionTreeRegressor
3.494,2.7906666666666666,DecisionTreeRegressor
3.268,3.723,DecisionTreeRegressor
4.556,3.7246666666666663,DecisionTreeRegressor
2.522,2.201,DecisionTreeRegressor
3.326,3.423,DecisionTreeRegressor
5.139,5.358333333333333,DecisionTreeRegressor
1.939,1.182,DecisionTreeRegressor
1.85,2.102,DecisionTreeRegressor
2.879,3.5231974096511443,GradientBoostingRegressor
8.194,6.2878064752097185,GradientBoostingRegressor
7.917,6.2878064752097185,GradientBoostingRegressor
6.559,5.656199745976494,GradientBoostingRegressor
6.792,5.656199745976494,GradientBoostingRegressor
1.348,2.74646641490862,GradientBoostingRegressor
4.775,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
4.865,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
3.122,3.64493731475611,GradientBoostingRegressor
1.946,3.1890809993520897,GradientBoostingRegressor
2.197,3.1890809993520897,GradientBoostingRegressor
3.494,3.689283199014057,GradientBoostingRegressor
3.268,3.7623910020686107,GradientBoostingRegressor
4.556,4.426074382584793,GradientBoostingRegressor
2.522,3.4057437223386433,GradientBoostingRegressor
3.326,3.689283199014057,GradientBoostingRegressor
5.139,5.667663530349677,GradientBoostingRegressor
1.939,3.1890809993520897,GradientBoostingRegressor
1.85,2.74646641490862,GradientBoostingRegressor
2.879,3.0673836984126983,RandomForestRegressor
8.194,7.247718277777776,RandomForestRegressor
7.917,7.508434317460317,RandomForestRegressor
6.559,6.257277507936509,RandomForestRegressor
6.792,6.203746119047619,RandomForestRegressor
1.348,2.0875641190476193,RandomForestRegressor
4.775,4.886918019480519,RandomForestRegressor
5.434,6.054144983405483,RandomForestRegressor
4.865,4.760006238095239,RandomForestRegressor
5.434,6.0537140627705615,RandomForestRegressor
3.122,3.0581984841269856,RandomForestRegressor
1.946,2.387806927960928,RandomForestRegressor
2.197,2.2970243203463205,RandomForestRegressor
3.494,3.1862431666666664,RandomForestRegressor
3.268,3.3348302857142857,RandomForestRegressor
4.556,4.490069611111111,RandomForestRegressor
2.522,2.683389396825398,RandomForestRegressor
3.326,3.1120176904761916,RandomForestRegressor
5.139,6.045042187590188,RandomForestRegressor
1.939,2.2867315238095243,RandomForestRegressor
1.85,2.2189566666666667,RandomForestRegressor
2.879,2.6893787878787876,AdaBoostRegressor
8.194,7.825516666666661,AdaBoostRegressor
7.917,7.478785714285711,AdaBoostRegressor
6.559,6.228874999999999,AdaBoostRegressor
6.792,6.366580645161288,AdaBoostRegressor
1.348,2.072833333333333,AdaBoostRegressor
4.775,4.731026315789475,AdaBoostRegressor
5.434,6.282240000000001,AdaBoostRegressor
4.865,4.684125000000001,AdaBoostRegressor
5.434,6.292,AdaBoostRegressor
3.122,3.3460370370370365,AdaBoostRegressor
1.946,2.399195121951219,AdaBoostRegressor
2.197,2.531846153846153,AdaBoostRegressor
3.494,3.407633333333335,AdaBoostRegressor
3.268,3.1461621621621623,AdaBoostRegressor
4.556,4.526052631578946,AdaBoostRegressor
2.522,2.6968510638297873,AdaBoostRegressor
3.326,3.1713529411764707,AdaBoostRegressor
5.139,6.725384615384614,AdaBoostRegressor
1.939,2.4794736842105265,AdaBoostRegressor
1.85,2.056583333333333,AdaBoostRegressor
2.879,3.5805,KNeighborsRegressor
8.194,7.7775,KNeighborsRegressor
7.917,7.638999999999999,KNeighborsRegressor
6.559,6.292,KNeighborsRegressor
6.792,6.41,KNeighborsRegressor
1.348,2.1959999999999997,KNeighborsRegressor
4.775,4.0805,KNeighborsRegressor
5.434,6.318,KNeighborsRegressor
4.865,4.399,KNeighborsRegressor
5.434,6.045,KNeighborsRegressor
3.122,3.7215,KNeighborsRegressor
1.946,2.975,KNeighborsRegressor
2.197,1.81,KNeighborsRegressor
3.494,2.9355,KNeighborsRegressor
3.268,3.327,KNeighborsRegressor
4.556,2.0535,KNeighborsRegressor
2.522,2.6765,KNeighborsRegressor
3.326,2.3064999999999998,KNeighborsRegressor
5.139,7.028,KNeighborsRegressor
1.939,4.9245,KNeighborsRegressor
1.85,2.5945,KNeighborsRegressor
2.879,2.6652321611564584,MLPRegressor
8.194,8.104444818041301,MLPRegressor
7.917,7.862245454083768,MLPRegressor
6.559,6.430984642256607,MLPRegressor
6.792,6.363023816634793,MLPRegressor
1.348,2.2041634355340043,MLPRegressor
4.775,4.79609386997873,MLPRegressor
5.434,5.915540548075971,MLPRegressor
4.865,4.591493231426919,MLPRegressor
5.434,6.017661019480135,MLPRegressor
3.122,3.2681511085120967,MLPRegressor
1.946,2.3742626987086326,MLPRegressor
2.197,2.0082782672549397,MLPRegressor
3.494,3.2959079740297526,MLPRegressor
3.268,3.6751894652478,MLPRegressor
4.556,4.4269886963953216,MLPRegressor
2.522,2.520632463638923,MLPRegressor
3.326,3.234539143397922,MLPRegressor
5.139,5.2469962068194045,MLPRegressor
1.939,3.051433369868488,MLPRegressor
1.85,2.151864515301963,MLPRegressor
2.879,3.8445373445179944,ElasticNet
8.194,5.763895056354424,ElasticNet
7.917,6.330381992967981,ElasticNet
6.559,5.673659717564524,ElasticNet
6.792,5.812351688747542,ElasticNet
1.348,3.893228654737447,ElasticNet
4.775,4.128061080656902,ElasticNet
5.434,5.673659717564524,ElasticNet
4.865,3.8329462371478615,ElasticNet
5.434,5.653514305890421,ElasticNet
3.122,3.474986310942799,ElasticNet
1.946,3.7760985490311745,ElasticNet
2.197,3.487238913403851,ElasticNet
3.494,3.2494607858414124,ElasticNet
3.268,3.998155636882146,ElasticNet
4.556,4.13105284663714,ElasticNet
2.522,3.698663799315973,ElasticNet
3.326,3.495131722616902,ElasticNet
5.139,5.921115312019377,ElasticNet
1.939,3.5347778818315922,ElasticNet
1.85,3.9674268663175076,ElasticNet
2.879,2.9896026012766184,SGDRegressor
8.194,6.480902076174276,SGDRegressor
7.917,7.673904645325337,SGDRegressor
6.559,5.986045744075163,SGDRegressor
6.792,6.952614925834593,SGDRegressor
1.348,2.0861417713015924,SGDRegressor
4.775,3.985051488306321,SGDRegressor
5.434,5.451713855554607,SGDRegressor
