Actual,Predicted,Model
2.879,2.9305179808747592,Ridge
8.194,6.461411072095403,Ridge
7.917,7.8886417098230694,Ridge
6.559,6.162788465301508,Ridge
6.792,7.121952837548568,Ridge
1.348,2.0183500427651264,Ridge
4.775,3.8740599106026377,Ridge
5.434,5.5603171739461805,Ridge
4.865,4.6947961360510915,Ridge
5.434,5.469845123935038,Ridge
3.122,3.5445825114907663,Ridge
1.946,2.174845157095769,Ridge
2.197,2.209693890733279,Ridge
3.494,3.681584179010481,Ridge
3.268,3.056172713858923,Ridge
4.556,4.197016856737845,Ridge
2.522,2.8383856382643984,Ridge
3.326,3.425739825635114,Ridge
5.139,6.675702176928974,Ridge
1.939,2.6174973733032596,Ridge
1.85,2.7939071617945457,Ridge
2.879,2.573,DecisionTreeRegressor
8.194,8.4025,DecisionTreeRegressor
7.917,7.917,DecisionTreeRegressor
6.559,6.559,DecisionTreeRegressor
6.792,7.2825,DecisionTreeRegressor
1.348,1.585,DecisionTreeRegressor
4.775,4.6105,DecisionTreeRegressor
5.434,5.434,DecisionTreeRegressor
4.865,4.1545000000000005,DecisionTreeRegressor
5.434,5.434,DecisionTreeRegressor
3.122,3.0564999999999998,DecisionTreeRegressor
1.946,2.0995,DecisionTreeRegressor
2.197,2.417,DecisionTreeRegressor
3.494,2.83,DecisionTreeRegressor
3.268,3.6935000000000002,DecisionTreeRegressor
4.556,2.6689999999999996,DecisionTreeRegressor
2.522,2.501,DecisionTreeRegressor
3.326,2.83,DecisionTreeRegressor
5.139,8.056,DecisionTreeRegressor
1.939,1.182,DecisionTreeRegressor
1.85,1.585,DecisionTreeRegressor
2.879,3.5231974096511443,GradientBoostingRegressor
8.194,6.2878064752097185,GradientBoostingRegressor
7.917,6.2878064752097185,GradientBoostingRegressor
6.559,5.656199745976494,GradientBoostingRegressor
6.792,5.656199745976494,GradientBoostingRegressor
1.348,2.74646641490862,GradientBoostingRegressor
4.775,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
4.865,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
3.122,3.64493731475611,GradientBoostingRegressor
1.946,3.1890809993520897,GradientBoostingRegressor
2.197,3.1890809993520897,GradientBoostingRegressor
3.494,3.689283199014057,GradientBoostingRegressor
3.268,3.7623910020686107,GradientBoostingRegressor
4.556,4.426074382584793,GradientBoostingRegressor
2.522,3.4057437223386433,GradientBoostingRegressor
3.326,3.689283199014057,GradientBoostingRegressor
5.139,5.667663530349677,GradientBoostingRegressor
1.939,3.1890809993520897,GradientBoostingRegressor
1.85,2.74646641490862,GradientBoostingRegressor
2.879,3.049779999999998,RandomForestRegressor
8.194,7.372409999999998,RandomForestRegressor
7.917,7.6024899999999995,RandomForestRegressor
6.559,6.29707,RandomForestRegressor
6.792,6.3953599999999975,RandomForestRegressor
1.348,2.271490000000002,RandomForestRegressor
4.775,4.6759699999999995,RandomForestRegressor
5.434,6.017850000000005,RandomForestRegressor
4.865,4.996840000000003,RandomForestRegressor
5.434,6.014010000000002,RandomForestRegressor
3.122,3.0374700000000003,RandomForestRegressor
1.946,2.186100000000001,RandomForestRegressor
2.197,2.316250000000001,RandomForestRegressor
3.494,3.1713699999999987,RandomForestRegressor
3.268,3.2283499999999994,RandomForestRegressor
4.556,4.140859999999999,RandomForestRegressor
2.522,2.738529999999999,RandomForestRegressor
3.326,3.24539,RandomForestRegressor
5.139,6.017850000000005,RandomForestRegressor
1.939,2.4292500000000006,RandomForestRegressor
1.85,2.4165600000000014,RandomForestRegressor
2.879,2.660461538461538,AdaBoostRegressor
8.194,7.75838888888889,AdaBoostRegressor
7.917,7.554380952380949,AdaBoostRegressor
6.559,6.277999999999999,AdaBoostRegressor
6.792,6.3709999999999996,AdaBoostRegressor
1.348,1.9881379310344829,AdaBoostRegressor
4.775,4.723142857142856,AdaBoostRegressor
5.434,6.330275862068962,AdaBoostRegressor
4.865,4.636999999999999,AdaBoostRegressor
5.434,6.330275862068962,AdaBoostRegressor
3.122,3.326750000000001,AdaBoostRegressor
1.946,2.4725161290322575,AdaBoostRegressor
2.197,2.5460606060606055,AdaBoostRegressor
3.494,3.379,AdaBoostRegressor
3.268,3.229473684210526,AdaBoostRegressor
4.556,4.4357999999999995,AdaBoostRegressor
2.522,2.8947058823529415,AdaBoostRegressor
3.326,3.287714285714285,AdaBoostRegressor
5.139,6.3709999999999996,AdaBoostRegressor
1.939,2.4258292682926834,AdaBoostRegressor
1.85,1.9881379310344829,AdaBoostRegressor
2.879,3.5805,KNeighborsRegressor
8.194,7.7775,KNeighborsRegressor
7.917,7.638999999999999,KNeighborsRegressor
6.559,6.292,KNeighborsRegressor
6.792,6.41,KNeighborsRegressor
1.348,2.1959999999999997,KNeighborsRegressor
4.775,4.0805,KNeighborsRegressor
5.434,6.318,KNeighborsRegressor
4.865,4.399,KNeighborsRegressor
5.434,6.045,KNeighborsRegressor
3.122,3.7215,KNeighborsRegressor
1.946,2.975,KNeighborsRegressor
2.197,1.81,KNeighborsRegressor
3.494,2.9355,KNeighborsRegressor
3.268,3.327,KNeighborsRegressor
4.556,2.0535,KNeighborsRegressor
2.522,2.6765,KNeighborsRegressor
3.326,2.3064999999999998,KNeighborsRegressor
5.139,7.028,KNeighborsRegressor
1.939,4.9245,KNeighborsRegressor
1.85,2.5945,KNeighborsRegressor
2.879,2.9353393954611215,MLPRegressor
8.194,7.803717835990393,MLPRegressor
7.917,7.720186452029402,MLPRegressor
6.559,6.504444705300363,MLPRegressor
6.792,6.625716072544083,MLPRegressor
1.348,2.113485971073976,MLPRegressor
4.775,4.8971691935283665,MLPRegressor
5.434,5.748546045830711,MLPRegressor
4.865,5.805861338037058,MLPRegressor
5.434,5.8942359650905845,MLPRegressor
3.122,3.1892792402906855,MLPRegressor
1.946,2.379030228112122,MLPRegressor
2.197,2.193220235925724,MLPRegressor
3.494,3.2963013005298567,MLPRegressor
3.268,3.661722835881806,MLPRegressor
4.556,3.9308627749747806,MLPRegressor
2.522,2.443911959710603,MLPRegressor
3.326,2.994023773739474,MLPRegressor
5.139,5.740341287053134,MLPRegressor
1.939,2.606335794547888,MLPRegressor
1.85,2.258616872501824,MLPRegressor
2.879,3.844539423461316,ElasticNet
8.194,5.763885123919046,ElasticNet
7.917,6.330344790628784,ElasticNet
6.559,5.673629882374362,ElasticNet
6.792,5.812330272433149,ElasticNet
1.348,3.8932313894566835,ElasticNet
4.775,4.128063671354309,ElasticNet
5.434,5.673629882374362,ElasticNet
4.865,3.8329565566784134,ElasticNet
5.434,5.653490930159768,ElasticNet
3.122,3.4750053038900957,ElasticNet
1.946,3.776111134576674,ElasticNet
2.197,3.487268398767881,ElasticNet
3.494,3.2494788530766745,ElasticNet
3.268,3.9981483752661817,ElasticNet
4.556,4.131051919962778,ElasticNet
2.522,3.6986762410408884,ElasticNet
3.326,3.4951442561046906,ElasticNet
5.139,5.921107318220159,ElasticNet
1.939,3.534812581385585,ElasticNet
1.85,3.9674174498998966,ElasticNet
2.879,2.9450589927358544,SGDRegressor
8.194,6.4409641243934,SGDRegressor
7.917,7.8890948009859585,SGDRegressor
6.559,6.148107970715298,SGDRegressor
6.792,7.089506334311601,SGDRegressor
1.348,1.9727258511009693,SGDRegressor
4.775,3.9194883975275587,SGDRegressor
5.434,5.5190994888186795,SGDRegressor
