Actual,Predicted,Model
2.879,2.9302434336311336,Ridge
8.194,6.461880656411879,Ridge
7.917,7.88885271531129,Ridge
6.559,6.1629912524157495,Ridge
6.792,7.121994853864824,Ridge
1.348,2.018176652745659,Ridge
4.775,3.873754854748504,Ridge
5.434,5.560547699666194,Ridge
4.865,4.695838908244143,Ridge
5.434,5.470297405806541,Ridge
3.122,3.543804147628688,Ridge
1.946,2.1751781364585687,Ridge
2.197,2.210370626481872,Ridge
3.494,3.68200641412094,Ridge
3.268,3.056305566184051,Ridge
4.556,4.196763388081638,Ridge
2.522,2.837704739944705,Ridge
3.326,3.4251316131082366,Ridge
5.139,6.675814212634597,Ridge
1.939,2.6177138352371063,Ridge
1.85,2.7934193490454806,Ridge
2.879,2.9625,DecisionTreeRegressor
8.194,8.194,DecisionTreeRegressor
7.917,7.361,DecisionTreeRegressor
6.559,6.184,DecisionTreeRegressor
6.792,6.452,DecisionTreeRegressor
1.348,1.637,DecisionTreeRegressor
4.775,5.112,DecisionTreeRegressor
5.434,5.434,DecisionTreeRegressor
4.865,5.282,DecisionTreeRegressor
5.434,5.434,DecisionTreeRegressor
3.122,2.858,DecisionTreeRegressor
1.946,1.914,DecisionTreeRegressor
2.197,1.914,DecisionTreeRegressor
3.494,2.9355,DecisionTreeRegressor
3.268,2.9625,DecisionTreeRegressor
4.556,3.838,DecisionTreeRegressor
2.522,2.6245000000000003,DecisionTreeRegressor
3.326,3.3905000000000003,DecisionTreeRegressor
5.139,5.312,DecisionTreeRegressor
1.939,1.914,DecisionTreeRegressor
1.85,1.637,DecisionTreeRegressor
2.879,3.5231974096511443,GradientBoostingRegressor
8.194,6.287806475209719,GradientBoostingRegressor
7.917,6.287806475209719,GradientBoostingRegressor
6.559,5.656199745976494,GradientBoostingRegressor
6.792,5.656199745976494,GradientBoostingRegressor
1.348,2.74646641490862,GradientBoostingRegressor
4.775,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
4.865,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
3.122,3.64493731475611,GradientBoostingRegressor
1.946,3.1890809993520897,GradientBoostingRegressor
2.197,3.1890809993520897,GradientBoostingRegressor
3.494,3.689283199014057,GradientBoostingRegressor
3.268,3.7623910020686107,GradientBoostingRegressor
4.556,4.426074382584793,GradientBoostingRegressor
2.522,3.4057437223386433,GradientBoostingRegressor
3.326,3.689283199014057,GradientBoostingRegressor
5.139,5.667663530349677,GradientBoostingRegressor
1.939,3.1890809993520897,GradientBoostingRegressor
1.85,2.74646641490862,GradientBoostingRegressor
2.879,3.0477900000000004,RandomForestRegressor
8.194,7.323539999999995,RandomForestRegressor
7.917,7.571409999999999,RandomForestRegressor
6.559,6.302000000000001,RandomForestRegressor
6.792,6.298589999999997,RandomForestRegressor
1.348,2.378599999999999,RandomForestRegressor
4.775,4.7388499999999985,RandomForestRegressor
5.434,6.030230000000002,RandomForestRegressor
4.865,4.751090000000003,RandomForestRegressor
5.434,6.00626,RandomForestRegressor
3.122,3.1672700000000007,RandomForestRegressor
1.946,2.382240000000001,RandomForestRegressor
2.197,2.461610000000002,RandomForestRegressor
3.494,3.2971999999999992,RandomForestRegressor
3.268,3.5047599999999983,RandomForestRegressor
4.556,4.07564,RandomForestRegressor
2.522,2.68454,RandomForestRegressor
3.326,3.0270600000000005,RandomForestRegressor
5.139,5.999350000000003,RandomForestRegressor
1.939,2.610760000000001,RandomForestRegressor
1.85,2.4019800000000004,RandomForestRegressor
2.879,2.787407407407407,AdaBoostRegressor
8.194,7.716339285714284,AdaBoostRegressor
7.917,7.575961538461536,AdaBoostRegressor
6.559,6.250842105263158,AdaBoostRegressor
6.792,6.315777777777776,AdaBoostRegressor
1.348,2.0229000000000004,AdaBoostRegressor
4.775,4.804843750000001,AdaBoostRegressor
5.434,6.242521739130436,AdaBoostRegressor
4.865,4.704384615384616,AdaBoostRegressor
5.434,6.242521739130436,AdaBoostRegressor
3.122,3.2016818181818194,AdaBoostRegressor
1.946,2.49884375,AdaBoostRegressor
2.197,2.5153793103448274,AdaBoostRegressor
3.494,3.522181818181818,AdaBoostRegressor
3.268,3.048222222222222,AdaBoostRegressor
4.556,4.432944444444444,AdaBoostRegressor
2.522,2.844333333333333,AdaBoostRegressor
3.326,3.200300000000001,AdaBoostRegressor
5.139,6.3555573770491804,AdaBoostRegressor
1.939,2.4860344827586207,AdaBoostRegressor
1.85,2.0247058823529414,AdaBoostRegressor
2.879,3.5805,KNeighborsRegressor
8.194,7.7775,KNeighborsRegressor
7.917,7.638999999999999,KNeighborsRegressor
6.559,6.292,KNeighborsRegressor
6.792,6.41,KNeighborsRegressor
1.348,2.1959999999999997,KNeighborsRegressor
4.775,4.0805,KNeighborsRegressor
5.434,6.318,KNeighborsRegressor
4.865,4.399,KNeighborsRegressor
5.434,6.045,KNeighborsRegressor
3.122,3.7215,KNeighborsRegressor
1.946,2.975,KNeighborsRegressor
2.197,1.81,KNeighborsRegressor
3.494,2.9355,KNeighborsRegressor
3.268,3.327,KNeighborsRegressor
4.556,2.0535,KNeighborsRegressor
2.522,2.6765,KNeighborsRegressor
3.326,2.3064999999999998,KNeighborsRegressor
5.139,7.028,KNeighborsRegressor
1.939,4.9245,KNeighborsRegressor
1.85,2.5945,KNeighborsRegressor
2.879,2.574673106048772,MLPRegressor
8.194,8.199398376438614,MLPRegressor
7.917,7.575177397719698,MLPRegressor
6.559,6.456048999847145,MLPRegressor
6.792,6.546426779901773,MLPRegressor
1.348,1.93446814271407,MLPRegressor
4.775,4.540002335777991,MLPRegressor
5.434,5.810665395376002,MLPRegressor
4.865,4.588461835228551,MLPRegressor
5.434,6.138363416056235,MLPRegressor
3.122,3.150894317438962,MLPRegressor
1.946,1.9278139079127592,MLPRegressor
2.197,2.1350618156343066,MLPRegressor
3.494,3.137935604347,MLPRegressor
3.268,3.856978986855979,MLPRegressor
4.556,4.545199312575881,MLPRegressor
2.522,2.6113070008334343,MLPRegressor
3.326,3.4850063197892633,MLPRegressor
5.139,5.428744047968631,MLPRegressor
1.939,2.607314230735473,MLPRegressor
1.85,2.019596999436837,MLPRegressor
2.879,3.8445563405728493,ElasticNet
8.194,5.763895319825218,ElasticNet
7.917,6.3303455182307315,ElasticNet
6.559,5.673644925813729,ElasticNet
6.792,5.812349030249392,ElasticNet
1.348,3.893247422006712,ElasticNet
4.775,4.128075029651524,ElasticNet
5.434,5.673644925813729,ElasticNet
4.865,3.8329374257956195,ElasticNet
5.434,5.6535084268691165,ElasticNet
3.122,3.474991330849856,ElasticNet
1.946,3.776112839771235,ElasticNet
2.197,3.487247779619372,ElasticNet
3.494,3.249474776621623,ElasticNet
3.268,3.9981671543059933,ElasticNet
