Actual,Predicted,Model
2.879,2.9305179808747592,Ridge
8.194,6.461411072095403,Ridge
7.917,7.8886417098230694,Ridge
6.559,6.162788465301508,Ridge
6.792,7.121952837548568,Ridge
1.348,2.0183500427651264,Ridge
4.775,3.8740599106026377,Ridge
5.434,5.5603171739461805,Ridge
4.865,4.6947961360510915,Ridge
5.434,5.469845123935038,Ridge
3.122,3.5445825114907663,Ridge
1.946,2.174845157095769,Ridge
2.197,2.209693890733279,Ridge
3.494,3.681584179010481,Ridge
3.268,3.056172713858923,Ridge
4.556,4.197016856737845,Ridge
2.522,2.8383856382643984,Ridge
3.326,3.425739825635114,Ridge
5.139,6.675702176928974,Ridge
1.939,2.6174973733032596,Ridge
1.85,2.7939071617945457,Ridge
2.879,2.782,DecisionTreeRegressor
8.194,7.361,DecisionTreeRegressor
7.917,7.917,DecisionTreeRegressor
6.559,6.184,DecisionTreeRegressor
6.792,6.549,DecisionTreeRegressor
1.348,1.681,DecisionTreeRegressor
4.775,5.157,DecisionTreeRegressor
5.434,6.184,DecisionTreeRegressor
4.865,5.115,DecisionTreeRegressor
5.434,6.184,DecisionTreeRegressor
3.122,3.305,DecisionTreeRegressor
1.946,2.921,DecisionTreeRegressor
2.197,3.054,DecisionTreeRegressor
3.494,3.305,DecisionTreeRegressor
3.268,3.121,DecisionTreeRegressor
4.556,4.062,DecisionTreeRegressor
2.522,2.737,DecisionTreeRegressor
3.326,3.523,DecisionTreeRegressor
5.139,8.611,DecisionTreeRegressor
1.939,2.131,DecisionTreeRegressor
1.85,1.681,DecisionTreeRegressor
2.879,3.5231974096511443,GradientBoostingRegressor
8.194,6.2878064752097185,GradientBoostingRegressor
7.917,6.2878064752097185,GradientBoostingRegressor
6.559,5.656199745976494,GradientBoostingRegressor
6.792,5.656199745976494,GradientBoostingRegressor
1.348,2.74646641490862,GradientBoostingRegressor
4.775,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
4.865,4.770225547716065,GradientBoostingRegressor
5.434,5.644181351172506,GradientBoostingRegressor
3.122,3.64493731475611,GradientBoostingRegressor
1.946,3.1890809993520897,GradientBoostingRegressor
2.197,3.1890809993520897,GradientBoostingRegressor
3.494,3.689283199014057,GradientBoostingRegressor
3.268,3.7623910020686107,GradientBoostingRegressor
4.556,4.426074382584793,GradientBoostingRegressor
2.522,3.4057437223386433,GradientBoostingRegressor
3.326,3.689283199014057,GradientBoostingRegressor
5.139,5.667663530349677,GradientBoostingRegressor
1.939,3.1890809993520897,GradientBoostingRegressor
1.85,2.74646641490862,GradientBoostingRegressor
2.879,3.0612200000000005,RandomForestRegressor
8.194,7.135719999999997,RandomForestRegressor
7.917,7.704439999999993,RandomForestRegressor
6.559,6.217800000000002,RandomForestRegressor
6.792,6.417560000000001,RandomForestRegressor
1.348,2.4701999999999993,RandomForestRegressor
4.775,4.579260000000001,RandomForestRegressor
5.434,5.99672,RandomForestRegressor
4.865,4.55902,RandomForestRegressor
5.434,5.949940000000001,RandomForestRegressor
3.122,2.9846400000000006,RandomForestRegressor
1.946,2.3655399999999998,RandomForestRegressor
2.197,2.352120000000001,RandomForestRegressor
3.494,3.3987199999999995,RandomForestRegressor
3.268,3.3723000000000023,RandomForestRegressor
4.556,4.041460000000001,RandomForestRegressor
2.522,2.7517800000000006,RandomForestRegressor
3.326,3.04882,RandomForestRegressor
5.139,6.094859999999998,RandomForestRegressor
1.939,2.5820799999999995,RandomForestRegressor
1.85,2.4045999999999994,RandomForestRegressor
2.879,2.9699999999999993,AdaBoostRegressor
8.194,7.62615384615384,AdaBoostRegressor
7.917,7.3940526315789485,AdaBoostRegressor
6.559,6.315769230769231,AdaBoostRegressor
6.792,6.315769230769231,AdaBoostRegressor
1.348,1.9789999999999999,AdaBoostRegressor
4.775,4.762599999999999,AdaBoostRegressor
5.434,6.286066666666666,AdaBoostRegressor
4.865,4.6563448275862065,AdaBoostRegressor
5.434,6.286066666666666,AdaBoostRegressor
3.122,3.3978333333333333,AdaBoostRegressor
1.946,2.4185312500000005,AdaBoostRegressor
2.197,2.4556333333333327,AdaBoostRegressor
3.494,3.4468749999999995,AdaBoostRegressor
3.268,3.236105263157895,AdaBoostRegressor
4.556,4.47574074074074,AdaBoostRegressor
2.522,2.8566382978723412,AdaBoostRegressor
3.326,3.3116399999999993,AdaBoostRegressor
5.139,6.422249999999998,AdaBoostRegressor
1.939,2.4185312500000005,AdaBoostRegressor
1.85,2.1049999999999995,AdaBoostRegressor
2.879,3.5805,KNeighborsRegressor
8.194,7.7775,KNeighborsRegressor
7.917,7.638999999999999,KNeighborsRegressor
6.559,6.292,KNeighborsRegressor
6.792,6.41,KNeighborsRegressor
1.348,2.1959999999999997,KNeighborsRegressor
4.775,4.0805,KNeighborsRegressor
5.434,6.318,KNeighborsRegressor
4.865,4.399,KNeighborsRegressor
5.434,6.045,KNeighborsRegressor
3.122,3.7215,KNeighborsRegressor
1.946,2.975,KNeighborsRegressor
2.197,1.81,KNeighborsRegressor
3.494,2.9355,KNeighborsRegressor
3.268,3.327,KNeighborsRegressor
4.556,2.0535,KNeighborsRegressor
2.522,2.6765,KNeighborsRegressor
3.326,2.3064999999999998,KNeighborsRegressor
5.139,7.028,KNeighborsRegressor
1.939,4.9245,KNeighborsRegressor
1.85,2.5945,KNeighborsRegressor
2.879,2.7114333600767977,MLPRegressor
8.194,8.126777674760401,MLPRegressor
7.917,7.745642547020524,MLPRegressor
6.559,6.520657658600328,MLPRegressor
6.792,6.834904446078505,MLPRegressor
1.348,1.6930201244891652,MLPRegressor
4.775,4.655210335233538,MLPRegressor
5.434,5.822019242652018,MLPRegressor
4.865,4.917729985467856,MLPRegressor
5.434,5.87503839477788,MLPRegressor
3.122,3.188470153274504,MLPRegressor
1.946,2.712260351201076,MLPRegressor
2.197,2.2600967215606174,MLPRegressor
3.494,3.264234331024901,MLPRegressor
3.268,3.704620103799654,MLPRegressor
4.556,4.571813496240871,MLPRegressor
2.522,2.502112320414222,MLPRegressor
3.326,3.221953262514723,MLPRegressor
5.139,5.318168982645446,MLPRegressor
1.939,2.7173000721935185,MLPRegressor
1.85,1.8473380722417798,MLPRegressor
2.879,3.8445532558618547,ElasticNet
8.194,5.76386602034361,ElasticNet
7.917,6.330337536576529,ElasticNet
6.559,5.673631402358227,ElasticNet
6.792,5.812349988508578,ElasticNet
1.348,3.8932311580978083,ElasticNet
4.775,4.128079800236089,ElasticNet
5.434,5.673631402358227,ElasticNet
4.865,3.8329561411073243,ElasticNet
5.434,5.653490370908474,ElasticNet
3.122,3.4750027660010003,ElasticNet
1.946,3.776102856315763,ElasticNet
2.197,3.487247849138799,ElasticNet
3.494,3.249493004894194,ElasticNet
3.268,3.9981534541684463,ElasticNet
4.556,4.131048145313887,ElasticNet
2.522,3.6986881419862963,ElasticNet
3.326,3.495143797450752,ElasticNet
5.139,5.921116587176719,ElasticNet
1.939,3.5348353853907293,ElasticNet
1.85,3.967422451964559,ElasticNet
2.879,3.0261429120003758,SGDRegressor
8.194,6.7581009929889095,SGDRegressor
7.917,8.416384993355896,SGDRegressor
6.559,6.355363099372806,SGDRegressor
6.792,7.098045772588325,SGDRegressor
1.348,2.046699376454954,SGDRegressor
4.775,3.940370580352427,SGDRegressor
5.434,5.806789067388651,SGDRegressor
4.865,4.4784531281102264,SGDRegressor
