Actual,Predicted,Model
0.775,0.8730619471076224,Ridge
1.32,1.2959493998287073,Ridge
5.35,4.793999428363602,Ridge
0.6,0.6981543516334838,Ridge
1.0,1.0979431412886562,Ridge
3.52,3.653956142588214,Ridge
3.572,1.6582962887444204,Ridge
10.0,4.570532431042231,Ridge
2.04,2.1567893747839904,Ridge
2.275,1.6079726809846342,Ridge
1.05,1.1479167399955514,Ridge
0.84,2.998653157589345,Ridge
3.7,4.685355195085464,Ridge
10.0,5.674325231043451,Ridge
1.8,1.8588359188301489,Ridge
10.0,7.110382660317889,Ridge
5.824,5.173717148754971,Ridge
1.4,1.4977319309438357,Ridge
4.04,5.827034848965578,Ridge
3.6,1.654593006070396,Ridge
1.05,1.1866015417644107,Ridge
0.775,0.725,DecisionTreeRegressor
1.32,2.36,DecisionTreeRegressor
5.35,2.893,DecisionTreeRegressor
0.6,0.6,DecisionTreeRegressor
1.0,1.0,DecisionTreeRegressor
3.52,2.6,DecisionTreeRegressor
3.572,2.471,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.04,1.95,DecisionTreeRegressor
2.275,2.25,DecisionTreeRegressor
1.05,1.0625,DecisionTreeRegressor
0.84,1.245,DecisionTreeRegressor
3.7,2.6,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.8,1.7999999999999998,DecisionTreeRegressor
10.0,3.1,DecisionTreeRegressor
5.824,4.181,DecisionTreeRegressor
1.4,1.4,DecisionTreeRegressor
4.04,2.512,DecisionTreeRegressor
3.6,2.0875,DecisionTreeRegressor
1.05,1.0625,DecisionTreeRegressor
0.775,6.276268098500387,GradientBoostingRegressor
1.32,6.276268098500387,GradientBoostingRegressor
5.35,6.276268098500387,GradientBoostingRegressor
0.6,6.276268098500387,GradientBoostingRegressor
1.0,6.276268098500387,GradientBoostingRegressor
3.52,6.276268098500387,GradientBoostingRegressor
3.572,6.276268098500387,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276268098500387,GradientBoostingRegressor
2.275,6.276268098500387,GradientBoostingRegressor
1.05,6.276268098500387,GradientBoostingRegressor
0.84,6.276268098500387,GradientBoostingRegressor
3.7,6.34790473196895,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
1.8,6.276268098500387,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
5.824,6.276268098500387,GradientBoostingRegressor
1.4,6.276268098500387,GradientBoostingRegressor
4.04,6.276268098500387,GradientBoostingRegressor
3.6,6.276268098500387,GradientBoostingRegressor
1.05,6.276268098500387,GradientBoostingRegressor
0.775,0.65,RandomForestRegressor
1.32,1.3,RandomForestRegressor
5.35,2.893,RandomForestRegressor
0.6,0.6,RandomForestRegressor
1.0,1.0,RandomForestRegressor
3.52,3.136,RandomForestRegressor
3.572,3.136,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.04,2.58,RandomForestRegressor
2.275,1.85,RandomForestRegressor
1.05,1.0,RandomForestRegressor
0.84,0.075,RandomForestRegressor
3.7,3.136,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.8,1.825,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.824,5.47,RandomForestRegressor
1.4,1.35,RandomForestRegressor
4.04,2.512,RandomForestRegressor
3.6,3.136,RandomForestRegressor
1.05,1.85,RandomForestRegressor
0.775,1.4240514705882352,AdaBoostRegressor
1.32,1.4240514705882352,AdaBoostRegressor
5.35,1.4240514705882352,AdaBoostRegressor
0.6,1.4240514705882352,AdaBoostRegressor
1.0,1.4240514705882352,AdaBoostRegressor
3.52,1.4240514705882352,AdaBoostRegressor
3.572,1.4240514705882352,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.04,1.4240514705882352,AdaBoostRegressor
2.275,1.4240514705882352,AdaBoostRegressor
1.05,1.4240514705882352,AdaBoostRegressor
0.84,1.4240514705882352,AdaBoostRegressor
3.7,1.4240514705882352,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.8,1.4240514705882352,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.824,3.4485172413793106,AdaBoostRegressor
1.4,1.4240514705882352,AdaBoostRegressor
4.04,3.4485172413793106,AdaBoostRegressor
3.6,1.4240514705882352,AdaBoostRegressor
1.05,1.4240514705882352,AdaBoostRegressor
0.775,0.7564814814178267,KNeighborsRegressor
1.32,1.2518181905573433,KNeighborsRegressor
5.35,2.3192377284986554,KNeighborsRegressor
0.6,0.6,KNeighborsRegressor
1.0,1.0,KNeighborsRegressor
3.52,2.9052716167428883,KNeighborsRegressor
3.572,2.077999987828142,KNeighborsRegressor
10.0,4.943809985322168,KNeighborsRegressor
2.04,1.24469082417468,KNeighborsRegressor
2.275,2.275,KNeighborsRegressor
1.05,1.05,KNeighborsRegressor
0.84,0.8447240235735818,KNeighborsRegressor
3.7,4.028121245914699,KNeighborsRegressor
10.0,9.999106363348538,KNeighborsRegressor
1.8,1.8261627897741066,KNeighborsRegressor
10.0,6.502635078753492,KNeighborsRegressor
5.824,4.6579393279426275,KNeighborsRegressor
1.4,1.4,KNeighborsRegressor
4.04,2.547604625299952,KNeighborsRegressor
3.6,2.0194493676444716,KNeighborsRegressor
1.05,1.2107142857161668,KNeighborsRegressor
0.775,1.2020553096210247,MLPRegressor
1.32,1.4900730336789443,MLPRegressor
5.35,1.274660078387446,MLPRegressor
0.6,1.2013630308663013,MLPRegressor
1.0,1.2029453823056682,MLPRegressor
3.52,5.471413352222467,MLPRegressor
3.572,2.7535395976220087,MLPRegressor
10.0,6.562462697015869,MLPRegressor
2.04,1.216854344301653,MLPRegressor
2.275,2.1277224501853182,MLPRegressor
1.05,1.2031431762355895,MLPRegressor
0.84,1.2443994719276381,MLPRegressor
3.7,4.052267683306079,MLPRegressor
10.0,9.995886191323944,MLPRegressor
1.8,1.3066810144191492,MLPRegressor
10.0,9.475877315097634,MLPRegressor
5.824,4.53757630849078,MLPRegressor
1.4,1.204527733745036,MLPRegressor
4.04,2.520654378053343,MLPRegressor
3.6,1.9311804579152874,MLPRegressor
1.05,1.0269134557383222,MLPRegressor
0.775,9.050406792971646,ElasticNet
1.32,8.751518324184676,ElasticNet
5.35,9.317607821675445,ElasticNet
0.6,8.91092550753773,ElasticNet
1.0,9.229739874243826,ElasticNet
3.52,-0.5011379296471823,ElasticNet
3.572,9.002584637965729,ElasticNet
10.0,-8.761581465400024,ElasticNet
2.04,17.6735986691464,ElasticNet
2.275,1.0449177522899546,ElasticNet
1.05,9.269591670082086,ElasticNet
0.84,-0.34970110546178645,ElasticNet
3.7,7.882943171497999,ElasticNet
10.0,7.329100207639872,ElasticNet
1.8,18.072116627529027,ElasticNet
10.0,-0.3974262621739797,ElasticNet
5.824,1.0489029318737835,ElasticNet
1.4,9.54855424094993,ElasticNet
4.04,17.11626604195655,ElasticNet
3.6,17.235228914925518,ElasticNet
1.05,1.0648436502090846,ElasticNet
0.775,1.0139397241030839,SGDRegressor
1.32,1.4197726192984046,SGDRegressor
5.35,2.2967911208866543,SGDRegressor
0.6,0.9571953622556801,SGDRegressor
1.0,1.0868967607640307,SGDRegressor
3.52,2.9563747903700452,SGDRegressor
3.572,2.287682279500965,SGDRegressor
10.0,2.2505917524811476,SGDRegressor
2.04,1.6886015316844105,SGDRegressor
2.275,2.1474861194542694,SGDRegressor
1.05,1.103109435577574,SGDRegressor
0.84,1.7247851894873776,SGDRegressor
3.7,4.299530357947345,SGDRegressor
10.0,3.6087066506483314,SGDRegressor
1.8,1.3233003235229504,SGDRegressor
10.0,4.353685938965544,SGDRegressor
5.824,5.480450895466283,SGDRegressor
1.4,1.2165981592723831,SGDRegressor
4.04,3.6423994954699612,SGDRegressor
3.6,2.2760319176126647,SGDRegressor
1.05,1.1261086698353573,SGDRegressor
0.775,0.8465852550676765,BayesianRidge
1.32,1.3044942199091594,BayesianRidge
5.35,4.788878967960077,BayesianRidge
0.6,0.6715568499605737,BayesianRidge
1.0,1.0716217759196667,BayesianRidge
3.52,3.646045985909648,BayesianRidge
3.572,1.587612321235305,BayesianRidge
10.0,4.66007638806213,BayesianRidge
2.04,2.1231814027611335,BayesianRidge
2.275,1.5626366229455257,BayesianRidge
1.05,1.1216298916645506,BayesianRidge
0.84,3.0350400206787214,BayesianRidge
3.7,4.590660411267148,BayesianRidge
10.0,5.694762780645469,BayesianRidge
1.8,1.7902927272818694,BayesianRidge
10.0,7.209288903068238,BayesianRidge
5.824,5.1794605902929085,BayesianRidge
1.4,1.4716867018787632,BayesianRidge
4.04,5.7955064876181055,BayesianRidge
3.6,1.541159101700746,BayesianRidge
1.05,1.2030887922205373,BayesianRidge
0.775,0.8465755542565603,KernelRidge
1.32,1.3044909494929016,KernelRidge
5.35,4.788879026658833,KernelRidge
0.6,0.6715471080970019,KernelRidge
1.0,1.0716121276491322,KernelRidge
3.52,3.646039439830929,KernelRidge
3.572,1.587581341038458,KernelRidge
10.0,4.660111065488309,KernelRidge
2.04,2.1231632090639323,KernelRidge
2.275,1.5626175901852548,KernelRidge
1.05,1.1216202551440801,KernelRidge
0.84,3.0350547841517255,KernelRidge
3.7,4.590617519570515,KernelRidge
10.0,5.694767984561622,KernelRidge
1.8,1.7902681323466823,KernelRidge
10.0,7.2093158981297165,KernelRidge
5.824,5.179446590133011,KernelRidge
1.4,1.471677147084847,KernelRidge
4.04,5.795492180157453,KernelRidge
3.6,1.5411129961139522,KernelRidge
1.05,1.2030942892306484,KernelRidge
0.775,0.8465698494685014,LinearRegression
1.32,1.3044942716638488,LinearRegression
5.35,4.7888870184075465,LinearRegression
0.6,0.6715413460884214,LinearRegression
1.0,1.071606496671457,LinearRegression
3.52,3.6460381640090986,LinearRegression
3.572,1.5875457783572529,LinearRegression
10.0,4.660167632795691,LinearRegression
2.04,2.1231455915237234,LinearRegression
2.275,1.562598788577592,LinearRegression
1.05,1.1216146404943323,LinearRegression
0.84,3.035083409059826,LinearRegression
3.7,4.5905652437363145,LinearRegression
10.0,5.69478319362597,LinearRegression
1.8,1.7902415288855735,LinearRegression
10.0,7.2093616893194366,LinearRegression
5.824,5.179434852027821,LinearRegression
1.4,1.471671647254496,LinearRegression
4.04,5.795480013217677,LinearRegression
3.6,1.5410562100813188,LinearRegression
1.05,1.2031099094462903,LinearRegression
0.775,0.8127852964814579,RANSACRegressor
1.32,1.1926427110764237,RANSACRegressor
5.35,2.60996852366727,RANSACRegressor
0.6,0.6377830334365306,RANSACRegressor
1.0,1.037788206110644,RANSACRegressor
3.52,2.1046442869131674,RANSACRegressor
3.572,2.27254582581277,RANSACRegressor
10.0,1.2459121686745576,RANSACRegressor
2.04,2.092713704917017,RANSACRegressor
2.275,2.2050593473229014,RANSACRegressor
1.05,1.0877888526949064,RANSACRegressor
0.84,0.7748854387009381,RANSACRegressor
3.7,3.8494678570986274,RANSACRegressor
10.0,2.621841591263415,RANSACRegressor
1.8,1.8378579067827054,RANSACRegressor
10.0,3.9766522589277145,RANSACRegressor
5.824,6.139122313200435,RANSACRegressor
1.4,1.437793378784761,RANSACRegressor
4.04,3.8763371749127593,RANSACRegressor
3.6,2.3076056337455917,RANSACRegressor
1.05,1.0877294973710718,RANSACRegressor
0.775,1.3363380350177811,TheilSenRegressor
1.32,3.2143394380648935,TheilSenRegressor
5.35,1.8246356339492404,TheilSenRegressor
0.6,1.3196314881661833,TheilSenRegressor
1.0,1.3578178809698347,TheilSenRegressor
3.52,3.266953760265749,TheilSenRegressor
3.572,3.6551852097471196,TheilSenRegressor
10.0,0.4749158615895306,TheilSenRegressor
2.04,3.9891972156380033,TheilSenRegressor
2.275,2.038940697254788,TheilSenRegressor
1.05,1.3625911800702908,TheilSenRegressor
0.84,0.9605171631975962,TheilSenRegressor
3.7,6.301947133632583,TheilSenRegressor
10.0,2.460110860222175,TheilSenRegressor
1.8,2.1231290603420314,TheilSenRegressor
10.0,3.7422532019632957,TheilSenRegressor
5.824,4.287327808128122,TheilSenRegressor
1.4,1.3960042737734866,TheilSenRegressor
4.04,3.1104387137869924,TheilSenRegressor
3.6,4.347464912882334,TheilSenRegressor
1.05,0.6736527863053974,TheilSenRegressor
0.775,1.1639333963394165,TensorFlow
1.32,1.4763973951339722,TensorFlow
5.35,1.3166877031326294,TensorFlow
0.6,1.164009928703308,TensorFlow
1.0,1.163835048675537,TensorFlow
3.52,2.4730074405670166,TensorFlow
3.572,2.821976900100708,TensorFlow
10.0,1.9338480234146118,TensorFlow
2.04,1.1863491535186768,TensorFlow
2.275,2.1821374893188477,TensorFlow
1.05,1.1638133525848389,TensorFlow
0.84,1.2742751836776733,TensorFlow
3.7,3.8322813510894775,TensorFlow
10.0,10.144957542419434,TensorFlow
1.8,1.1782352924346924,TensorFlow
10.0,8.701362609863281,TensorFlow
5.824,4.922346591949463,TensorFlow
1.4,1.1636604070663452,TensorFlow
4.04,2.480024576187134,TensorFlow
3.6,2.0001800060272217,TensorFlow
1.05,0.8020281195640564,TensorFlow
