Actual,Predicted,Model
0.775,0.8211899061068877,Ridge
1.32,1.27718690031584,Ridge
5.35,4.771868027462649,Ridge
0.6,0.6462648685166741,Ridge
1.0,1.0460935258657322,Ridge
3.52,3.6503826580798275,Ridge
3.572,1.6877969051341886,Ridge
10.0,4.437808066644184,Ridge
2.04,2.200735468534088,Ridge
2.275,1.5583118451600058,Ridge
1.05,1.0960721080343632,Ridge
0.84,2.9137199726909664,Ridge
3.7,4.825801664651202,Ridge
10.0,5.721991525321414,Ridge
1.8,1.8696849297467182,Ridge
10.0,7.128636782635851,Ridge
5.824,5.251015758934873,Ridge
1.4,1.445922183214801,Ridge
4.04,5.922664302007714,Ridge
3.6,1.7467160018350967,Ridge
1.05,1.0721380188515042,Ridge
0.775,0.725,DecisionTreeRegressor
1.32,2.3899999999999997,DecisionTreeRegressor
5.35,2.7995,DecisionTreeRegressor
0.6,0.5874999999999999,DecisionTreeRegressor
1.0,1.0,DecisionTreeRegressor
3.52,3.2,DecisionTreeRegressor
3.572,3.2,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.04,1.95,DecisionTreeRegressor
2.275,2.25,DecisionTreeRegressor
1.05,1.0625,DecisionTreeRegressor
0.84,1.586,DecisionTreeRegressor
3.7,2.27,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.8,1.7999999999999998,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.824,6.46,DecisionTreeRegressor
1.4,1.4,DecisionTreeRegressor
4.04,2.93,DecisionTreeRegressor
3.6,3.2,DecisionTreeRegressor
1.05,1.5,DecisionTreeRegressor
0.775,6.276268098500387,GradientBoostingRegressor
1.32,6.276268098500387,GradientBoostingRegressor
5.35,6.276268098500387,GradientBoostingRegressor
0.6,6.276268098500387,GradientBoostingRegressor
1.0,6.276268098500387,GradientBoostingRegressor
3.52,6.276268098500387,GradientBoostingRegressor
3.572,6.276268098500387,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276268098500387,GradientBoostingRegressor
2.275,6.276268098500387,GradientBoostingRegressor
1.05,6.276268098500387,GradientBoostingRegressor
0.84,6.276268098500387,GradientBoostingRegressor
3.7,6.34790473196895,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
1.8,6.276268098500387,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
