Actual,Predicted,Model
0.775,0.8615568565449045,Ridge
1.32,1.3044526201211255,Ridge
5.35,4.781075088155976,Ridge
0.6,0.6866239328996038,Ridge
1.0,1.0864706155174346,Ridge
3.52,3.653650508944196,Ridge
3.572,1.6522333489940237,Ridge
10.0,4.571492918802797,Ridge
2.04,2.1579618993120526,Ridge
2.275,1.5993842704568273,Ridge
1.05,1.1364514508446604,Ridge
0.84,2.9929241883458673,Ridge
3.7,4.6830720060593265,Ridge
10.0,5.67494928999842,Ridge
1.8,1.8400182240539031,Ridge
10.0,7.138617099154814,Ridge
5.824,5.204447502678487,Ridge
1.4,1.4863172981352726,Ridge
4.04,5.821219186684171,Ridge
3.6,1.6410741770238921,Ridge
1.05,1.1825972075438607,Ridge
0.775,0.725,DecisionTreeRegressor
1.32,1.27,DecisionTreeRegressor
5.35,2.893,DecisionTreeRegressor
0.6,0.5874999999999999,DecisionTreeRegressor
1.0,1.4449999999999998,DecisionTreeRegressor
3.52,2.64,DecisionTreeRegressor
3.572,2.602,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.04,1.95,DecisionTreeRegressor
2.275,2.25,DecisionTreeRegressor
1.05,1.0625,DecisionTreeRegressor
0.84,0.6,DecisionTreeRegressor
3.7,2.075,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.8,1.775,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.824,2.25,DecisionTreeRegressor
1.4,1.375,DecisionTreeRegressor
4.04,4.65,DecisionTreeRegressor
3.6,2.602,DecisionTreeRegressor
1.05,1.0625,DecisionTreeRegressor
0.775,6.276268098500387,GradientBoostingRegressor
1.32,6.276268098500387,GradientBoostingRegressor
5.35,6.276268098500387,GradientBoostingRegressor
0.6,6.276268098500387,GradientBoostingRegressor
1.0,6.276268098500387,GradientBoostingRegressor
3.52,6.276268098500387,GradientBoostingRegressor
3.572,6.276268098500387,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276268098500387,GradientBoostingRegressor
2.275,6.276268098500387,GradientBoostingRegressor
1.05,6.276268098500387,GradientBoostingRegressor
0.84,6.276268098500387,GradientBoostingRegressor
3.7,6.34790473196895,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
1.8,6.276268098500387,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
5.824,6.276268098500387,GradientBoostingRegressor
1.4,6.276268098500387,GradientBoostingRegressor
4.04,6.276268098500387,GradientBoostingRegressor
3.6,6.276268098500387,GradientBoostingRegressor
1.05,6.276268098500387,GradientBoostingRegressor
0.775,0.9333333333333332,RandomForestRegressor
1.32,1.58825,RandomForestRegressor
5.35,10.0,RandomForestRegressor
0.6,0.5874999999999999,RandomForestRegressor
1.0,0.9333333333333332,RandomForestRegressor
3.52,3.775,RandomForestRegressor
3.572,2.46,RandomForestRegressor
10.0,1.0433333333333332,RandomForestRegressor
2.04,1.24,RandomForestRegressor
2.275,2.8192500000000003,RandomForestRegressor
1.05,0.9333333333333332,RandomForestRegressor
0.84,1.0433333333333332,RandomForestRegressor
3.7,5.235333333333333,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.8,1.7599999999999998,RandomForestRegressor
10.0,5.964666666666666,RandomForestRegressor
5.824,5.48,RandomForestRegressor
1.4,1.3874999999999997,RandomForestRegressor
4.04,1.83475,RandomForestRegressor
3.6,1.24,RandomForestRegressor
1.05,0.8375,RandomForestRegressor
0.775,1.499478571428572,AdaBoostRegressor
1.32,1.499478571428572,AdaBoostRegressor
5.35,1.499478571428572,AdaBoostRegressor
0.6,1.499478571428572,AdaBoostRegressor
1.0,1.499478571428572,AdaBoostRegressor
3.52,1.499478571428572,AdaBoostRegressor
