Actual,Predicted,Model
0.775,0.8635550074914882,Ridge
1.32,1.3046671980452764,Ridge
5.35,4.8028699964719515,Ridge
0.6,0.6886028339440884,Ridge
1.0,1.0884935163381435,Ridge
3.52,3.6663446692222017,Ridge
3.572,1.629533027307751,Ridge
10.0,4.634565079060369,Ridge
2.04,2.1424616032371233,Ridge
2.275,1.5934030837088144,Ridge
1.05,1.1384798516373955,Ridge
0.84,3.030331121184002,Ridge
3.7,4.6552851700494635,Ridge
10.0,5.681920887199762,Ridge
1.8,1.8263152509314757,Ridge
10.0,7.159726246283839,Ridge
5.824,5.148738071733856,Ridge
1.4,1.4883841987321986,Ridge
4.04,5.802715360500752,Ridge
3.6,1.6025638318224615,Ridge
1.05,1.2004394818321735,Ridge
0.775,0.725,DecisionTreeRegressor
1.32,1.7704999999999997,DecisionTreeRegressor
5.35,2.7215,DecisionTreeRegressor
0.6,0.5874999999999999,DecisionTreeRegressor
1.0,1.0416666666666667,DecisionTreeRegressor
3.52,5.375,DecisionTreeRegressor
3.572,2.34,DecisionTreeRegressor
10.0,1.1203333333333332,DecisionTreeRegressor
2.04,1.8399999999999999,DecisionTreeRegressor
2.275,2.2505,DecisionTreeRegressor
1.05,1.0416666666666667,DecisionTreeRegressor
0.84,1.1203333333333332,DecisionTreeRegressor
3.7,5.378666666666667,DecisionTreeRegressor
10.0,4.2865,DecisionTreeRegressor
1.8,1.8375,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.824,3.947,DecisionTreeRegressor
1.4,1.3499999999999999,DecisionTreeRegressor
4.04,6.43875,DecisionTreeRegressor
3.6,2.34,DecisionTreeRegressor
1.05,1.1203333333333332,DecisionTreeRegressor
0.775,6.276268098500387,GradientBoostingRegressor
1.32,6.276268098500387,GradientBoostingRegressor
5.35,6.276268098500387,GradientBoostingRegressor
0.6,6.276268098500387,GradientBoostingRegressor
1.0,6.276268098500387,GradientBoostingRegressor
3.52,6.276268098500387,GradientBoostingRegressor
3.572,6.276268098500387,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276268098500387,GradientBoostingRegressor
2.275,6.276268098500387,GradientBoostingRegressor
1.05,6.276268098500387,GradientBoostingRegressor
0.84,6.276268098500387,GradientBoostingRegressor
3.7,6.34790473196895,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
1.8,6.276268098500387,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
5.824,6.276268098500387,GradientBoostingRegressor
1.4,6.276268098500387,GradientBoostingRegressor
4.04,6.276268098500387,GradientBoostingRegressor
3.6,6.276268098500387,GradientBoostingRegressor
1.05,6.276268098500387,GradientBoostingRegressor
0.775,0.625,RandomForestRegressor
1.32,2.32,RandomForestRegressor
5.35,1.8250000000000002,RandomForestRegressor
0.6,0.625,RandomForestRegressor
1.0,1.89,RandomForestRegressor
3.52,3.2,RandomForestRegressor
3.572,2.2,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.04,1.24,RandomForestRegressor
2.275,3.2,RandomForestRegressor
1.05,1.075,RandomForestRegressor
0.84,1.175,RandomForestRegressor
3.7,3.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.8,1.775,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.824,3.2,RandomForestRegressor
1.4,1.25,RandomForestRegressor
4.04,0.777,RandomForestRegressor
3.6,2.2,RandomForestRegressor
1.05,1.175,RandomForestRegressor
0.775,1.5640373134328358,AdaBoostRegressor
1.32,1.5640373134328358,AdaBoostRegressor
5.35,1.5640373134328358,AdaBoostRegressor
0.6,1.5640373134328358,AdaBoostRegressor
1.0,1.5640373134328358,AdaBoostRegressor
3.52,1.5640373134328358,AdaBoostRegressor
3.572,1.5640373134328358,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.04,1.5640373134328358,AdaBoostRegressor
2.275,1.5640373134328358,AdaBoostRegressor
1.05,1.5640373134328358,AdaBoostRegressor
0.84,1.5640373134328358,AdaBoostRegressor
3.7,1.5640373134328358,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.8,1.5640373134328358,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.824,3.8818378378378373,AdaBoostRegressor
1.4,1.5640373134328358,AdaBoostRegressor
4.04,3.8818378378378373,AdaBoostRegressor
3.6,1.5640373134328358,AdaBoostRegressor
1.05,1.5640373134328358,AdaBoostRegressor
0.775,0.7564814814178267,KNeighborsRegressor
1.32,1.2518181905573433,KNeighborsRegressor
5.35,2.3192377284986554,KNeighborsRegressor
0.6,0.6,KNeighborsRegressor
1.0,1.0,KNeighborsRegressor
3.52,2.9052716167428883,KNeighborsRegressor
3.572,2.077999987828142,KNeighborsRegressor
10.0,4.943809985322168,KNeighborsRegressor
2.04,1.24469082417468,KNeighborsRegressor
2.275,2.275,KNeighborsRegressor
1.05,1.05,KNeighborsRegressor
0.84,0.8447240235735818,KNeighborsRegressor
3.7,4.028121245914699,KNeighborsRegressor
10.0,9.999106363348538,KNeighborsRegressor
1.8,1.8261627897741066,KNeighborsRegressor
10.0,6.502635078753492,KNeighborsRegressor
5.824,4.6579393279426275,KNeighborsRegressor
1.4,1.4,KNeighborsRegressor
4.04,2.547604625299952,KNeighborsRegressor
3.6,2.0194493676444716,KNeighborsRegressor
1.05,1.2107142857161668,KNeighborsRegressor
0.775,1.216970019995017,MLPRegressor
1.32,1.4604588751451981,MLPRegressor
5.35,1.3186087007544438,MLPRegressor
0.6,1.216083212610606,MLPRegressor
1.0,1.2181102009178306,MLPRegressor
3.52,5.594916736473531,MLPRegressor
3.572,2.9946524386649953,MLPRegressor
10.0,9.69275221935902,MLPRegressor
2.04,1.2882701107187409,MLPRegressor
2.275,2.1531851396477784,MLPRegressor
1.05,1.218363574456234,MLPRegressor
0.84,1.2241776542849305,MLPRegressor
3.7,2.721133178045791,MLPRegressor
10.0,10.0171481362463,MLPRegressor
1.8,1.3128122969908187,MLPRegressor
10.0,9.784635567349929,MLPRegressor
