Actual,Predicted,Model
10.0,11.289729840690143,Ridge
10.0,10.20845629055034,Ridge
10.0,8.607042124739857,Ridge
3.168,2.5602333348323203,Ridge
0.748,2.53454394269035,Ridge
2.288,1.313359811542199,Ridge
2.498,3.7411606343808295,Ridge
10.0,9.71352828999455,Ridge
2.411,3.86925790028482,Ridge
2.055,1.9940463724820887,Ridge
1.742,2.618932589412765,Ridge
10.0,9.046051246810087,Ridge
3.856,3.697185375218309,Ridge
10.0,9.10297926240251,Ridge
1.199,2.1904477613738553,Ridge
1.321,2.07185558704829,Ridge
10.0,10.657044858461708,Ridge
2.146,1.882861085267999,Ridge
2.318,2.478611442428374,Ridge
2.374,1.5377719517993196,Ridge
3.441,3.2291327955885087,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,2.172,DecisionTreeRegressor
3.168,3.341,DecisionTreeRegressor
0.748,1.708,DecisionTreeRegressor
2.288,2.252,DecisionTreeRegressor
2.498,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,2.056,DecisionTreeRegressor
2.055,2.988,DecisionTreeRegressor
1.742,2.004,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.856,2.338,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,2.252,DecisionTreeRegressor
1.321,2.159,DecisionTreeRegressor
10.0,3.988,DecisionTreeRegressor
2.146,1.753,DecisionTreeRegressor
2.318,0.097,DecisionTreeRegressor
2.374,10.0,DecisionTreeRegressor
3.441,1.281,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.168,1.406,RandomForestRegressor
0.748,1.158,RandomForestRegressor
2.288,2.295,RandomForestRegressor
2.498,0.14900000000000002,RandomForestRegressor
