Actual,Predicted,Model
10.0,11.67175697887527,Ridge
10.0,10.33378880543539,Ridge
10.0,8.378783758192354,Ridge
3.168,2.5773393775493183,Ridge
0.748,1.7044298411888263,Ridge
2.288,1.342922917645648,Ridge
2.498,3.295887283177427,Ridge
10.0,9.895418805927926,Ridge
2.411,4.32670767875383,Ridge
2.055,2.1678628160055915,Ridge
1.742,2.6412598941180985,Ridge
10.0,9.37427874592833,Ridge
3.856,3.86534652124541,Ridge
10.0,9.15913683414183,Ridge
1.199,1.91078167050709,Ridge
1.321,1.8124074622192001,Ridge
10.0,10.671925299661131,Ridge
2.146,2.1729339832208563,Ridge
2.318,2.6361442357744487,Ridge
2.374,1.571150141300313,Ridge
3.441,3.3562829120598483,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.168,2.4206666666666665,DecisionTreeRegressor
0.748,0.418,DecisionTreeRegressor
2.288,1.97225,DecisionTreeRegressor
2.498,6.8255,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,3.133,DecisionTreeRegressor
2.055,3.187,DecisionTreeRegressor
1.742,0.418,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.856,3.8305,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,2.582666666666667,DecisionTreeRegressor
1.321,1.78,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.146,2.8836666666666666,DecisionTreeRegressor
2.318,2.1202500000000004,DecisionTreeRegressor
2.374,2.1255,DecisionTreeRegressor
3.441,2.4206666666666665,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.168,2.709,RandomForestRegressor
0.748,1.708,RandomForestRegressor
2.288,1.753,RandomForestRegressor
2.498,1.336,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,3.267,RandomForestRegressor
2.055,2.944,RandomForestRegressor
1.742,1.214,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.856,2.254,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.199,2.159,RandomForestRegressor
1.321,2.387,RandomForestRegressor
10.0,3.988,RandomForestRegressor
2.146,3.058,RandomForestRegressor
2.318,1.296,RandomForestRegressor
2.374,-0.415,RandomForestRegressor
