Actual,Predicted,Model
10.0,11.67175697887527,Ridge
10.0,10.33378880543539,Ridge
10.0,8.378783758192354,Ridge
3.168,2.5773393775493183,Ridge
0.748,1.7044298411888263,Ridge
2.288,1.342922917645648,Ridge
2.498,3.295887283177427,Ridge
10.0,9.895418805927926,Ridge
2.411,4.32670767875383,Ridge
2.055,2.1678628160055915,Ridge
1.742,2.6412598941180985,Ridge
10.0,9.37427874592833,Ridge
3.856,3.86534652124541,Ridge
10.0,9.15913683414183,Ridge
1.199,1.91078167050709,Ridge
1.321,1.8124074622192001,Ridge
10.0,10.671925299661131,Ridge
2.146,2.1729339832208563,Ridge
2.318,2.6361442357744487,Ridge
2.374,1.571150141300313,Ridge
3.441,3.3562829120598483,Ridge
10.0,2.422,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.168,2.1645,DecisionTreeRegressor
0.748,0.708,DecisionTreeRegressor
2.288,2.709,DecisionTreeRegressor
2.498,1.19,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,3.792,DecisionTreeRegressor
2.055,1.753,DecisionTreeRegressor
1.742,0.201,DecisionTreeRegressor
10.0,3.531,DecisionTreeRegressor
3.856,3.294,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,1.6400000000000001,DecisionTreeRegressor
1.321,1.35,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.146,3.205,DecisionTreeRegressor
2.318,3.294,DecisionTreeRegressor
2.374,3.13,DecisionTreeRegressor
3.441,2.119,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.168,2.988,RandomForestRegressor
0.748,2.071,RandomForestRegressor
2.288,2.894,RandomForestRegressor
2.498,3.095,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,3.108,RandomForestRegressor
2.055,2.894,RandomForestRegressor
1.742,0.065,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.856,2.817,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.199,2.2165,RandomForestRegressor
1.321,1.806,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.146,2.693,RandomForestRegressor
2.318,3.095,RandomForestRegressor
2.374,1.506,RandomForestRegressor
3.441,3.56,RandomForestRegressor
