Actual,Predicted,Model
10.0,11.037966683040102,Ridge
10.0,10.211227687732714,Ridge
10.0,8.544727971047365,Ridge
3.168,2.7002706921407533,Ridge
0.748,2.7779993266609733,Ridge
2.288,1.3550580109716002,Ridge
2.498,3.5762411263877283,Ridge
10.0,9.665358177842725,Ridge
2.411,3.784667538596903,Ridge
2.055,1.9894908996189944,Ridge
1.742,2.713418605209787,Ridge
10.0,9.078991921260037,Ridge
3.856,3.7785821908673505,Ridge
10.0,9.062669488433322,Ridge
1.199,2.2798516964457995,Ridge
1.321,1.971932484940215,Ridge
10.0,10.829199921731457,Ridge
2.146,1.7956650700358647,Ridge
2.318,2.4885537037795498,Ridge
2.374,1.3654935322636632,Ridge
3.441,3.046484956125431,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.168,4.309,DecisionTreeRegressor
0.748,-0.292,DecisionTreeRegressor
2.288,2.894,DecisionTreeRegressor
2.498,2.944,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,0.182,DecisionTreeRegressor
2.055,4.309,DecisionTreeRegressor
1.742,1.158,DecisionTreeRegressor
10.0,1.044,DecisionTreeRegressor
3.856,3.651,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,0.26,DecisionTreeRegressor
1.321,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.146,4.309,DecisionTreeRegressor
2.318,2.177,DecisionTreeRegressor
2.374,2.167,DecisionTreeRegressor
3.441,2.885,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.168,2.376,RandomForestRegressor
0.748,2.709,RandomForestRegressor
2.288,3.111,RandomForestRegressor
2.498,2.422,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,1.984,RandomForestRegressor
2.055,3.143,RandomForestRegressor
1.742,1.708,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.856,2.376,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.199,2.817,RandomForestRegressor
1.321,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.146,1.406,RandomForestRegressor
2.318,2.387,RandomForestRegressor
2.374,2.056,RandomForestRegressor
3.441,3.111,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.168,2.7981170212765947,AdaBoostRegressor
0.748,0.8965185185185186,AdaBoostRegressor
2.288,2.7981170212765947,AdaBoostRegressor
2.498,0.8965185185185186,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.411,2.7981170212765947,AdaBoostRegressor
2.055,2.7981170212765947,AdaBoostRegressor
1.742,0.8965185185185186,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.856,2.7981170212765947,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.199,2.7981170212765947,AdaBoostRegressor
1.321,2.7981170212765947,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.146,2.7981170212765947,AdaBoostRegressor
2.318,2.7981170212765947,AdaBoostRegressor
2.374,2.7981170212765947,AdaBoostRegressor
3.441,2.7981170212765947,AdaBoostRegressor
10.0,6.077347005744732,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,6.0066508564001255,KNeighborsRegressor
3.168,3.023917270849558,KNeighborsRegressor
0.748,2.8852022784784896,KNeighborsRegressor
2.288,2.3133462373824414,KNeighborsRegressor
2.498,3.5378064661003745,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
2.411,3.4295604203216277,KNeighborsRegressor
2.055,2.500506073757308,KNeighborsRegressor
1.742,1.2632414454032137,KNeighborsRegressor
10.0,7.92880132959165,KNeighborsRegressor
3.856,3.704384107133843,KNeighborsRegressor
10.0,9.999999999999996,KNeighborsRegressor
1.199,1.8588735463458974,KNeighborsRegressor
1.321,2.7795166128622726,KNeighborsRegressor
10.0,8.03071558013543,KNeighborsRegressor
2.146,2.466409933607279,KNeighborsRegressor
2.318,2.4283319359875786,KNeighborsRegressor
2.374,1.9251999662126704,KNeighborsRegressor
3.441,3.153294650042938,KNeighborsRegressor
10.0,12.937794789188374,MLPRegressor
10.0,13.235153343285475,MLPRegressor
10.0,7.638194734365653,MLPRegressor
3.168,2.3674349352632182,MLPRegressor
0.748,3.6372251875564143,MLPRegressor
2.288,2.752425034280322,MLPRegressor
2.498,3.1678755061277997,MLPRegressor
10.0,4.194312436455453,MLPRegressor
2.411,1.1417802392826815,MLPRegressor
2.055,1.452349368332329,MLPRegressor
1.742,2.2161636249386043,MLPRegressor
10.0,12.492738591675527,MLPRegressor
3.856,3.336136040928978,MLPRegressor
10.0,8.565436807406998,MLPRegressor
1.199,4.5744563738499595,MLPRegressor
1.321,4.382210801767816,MLPRegressor
10.0,17.06562600444808,MLPRegressor
2.146,0.9985446314989611,MLPRegressor
2.318,1.826666796185978,MLPRegressor
2.374,1.271260185539094,MLPRegressor
3.441,2.175202314553602,MLPRegressor
10.0,7.155964692692542,ElasticNet
10.0,7.703960312817145,ElasticNet
10.0,7.273550185755865,ElasticNet
3.168,6.464954591685624,ElasticNet
0.748,3.64761912534607,ElasticNet
2.288,7.036370533526893,ElasticNet
2.498,6.776032817461296,ElasticNet
10.0,9.416755698330146,ElasticNet
2.411,5.3408985850372765,ElasticNet
2.055,6.640908244011725,ElasticNet
1.742,5.97925871417771,ElasticNet
10.0,8.005501728900697,ElasticNet
3.856,5.3105944507046425,ElasticNet
10.0,9.562767730800031,ElasticNet
1.199,7.151807104085541,ElasticNet
1.321,6.600727682861843,ElasticNet
10.0,7.957654756380542,ElasticNet
2.146,5.449184163327863,ElasticNet
2.318,3.882719951478016,ElasticNet
2.374,3.450314421233289,ElasticNet
3.441,4.236011185854623,ElasticNet
10.0,10.342312149821852,SGDRegressor
10.0,11.222422421139362,SGDRegressor
10.0,6.655738910172728,SGDRegressor
3.168,4.5493233754942155,SGDRegressor
0.748,1.9473577400540787,SGDRegressor
2.288,0.5985367146611491,SGDRegressor
2.498,2.081867244533047,SGDRegressor
10.0,10.269354375012295,SGDRegressor
2.411,4.219925450348609,SGDRegressor
2.055,3.4627884355081235,SGDRegressor
1.742,-0.038281725334332606,SGDRegressor
10.0,10.801765832880486,SGDRegressor
3.856,3.2219947005898115,SGDRegressor
10.0,10.33172441831149,SGDRegressor
1.199,1.2797383657936692,SGDRegressor
1.321,-1.172578848265962,SGDRegressor
10.0,14.390921304006486,SGDRegressor
2.146,0.27154471356931964,SGDRegressor
2.318,2.525366967643131,SGDRegressor
2.374,0.7966669491248215,SGDRegressor
3.441,2.3201832733585412,SGDRegressor
10.0,11.94559297512992,BayesianRidge
10.0,10.537251166993547,BayesianRidge
10.0,8.11451498177605,BayesianRidge
3.168,2.5186191963538995,BayesianRidge
0.748,1.4085637858791316,BayesianRidge
2.288,1.4589927981668875,BayesianRidge
2.498,2.49317980090696,BayesianRidge
10.0,10.08133406193047,BayesianRidge
2.411,4.51671175139551,BayesianRidge
2.055,1.9899320025830445,BayesianRidge
1.742,2.71647868135096,BayesianRidge
10.0,9.583781196884997,BayesianRidge
3.856,4.025585037341607,BayesianRidge
10.0,9.007453089113255,BayesianRidge
1.199,1.3649576876248144,BayesianRidge
1.321,1.102759781455756,BayesianRidge
